Time	Knöchel li X	Knöchel li Y	Knöchel li Weg	Knöchel li v(X)	Knöchel li v(Y)	Knöchel li v(Bahn)	Knöchel li a(X)	Knöchel li a(Y)	Knöchel li a(Bahn)
0.000000	-0.45652172	-0.50472146	0.00000000	0.58917665	-0.04930745	0.59123629	-0.94107854	1.09508657	-1.00204337	
0.020000	-0.44468740	-0.50585985	0.01188895	0.57028830	-0.02725869	0.57093936	-0.93689114	0.92470771	-0.97293109	
0.040000	-0.43333155	-0.50641435	0.02325833	0.55139995	-0.00520994	0.55142456	-0.93270373	0.75432891	-0.94381881	
0.060000	-0.42221713	-0.50618094	0.03437519	0.53485012	0.00113050	0.53485131	-0.90868962	0.75165164	-0.91021651	
0.080000	-0.41179314	-0.50588232	0.04480346	0.51279008	0.01904988	0.51314384	-0.82355881	0.60555989	-0.80412692	
0.100000	-0.40188086	-0.50539511	0.05472771	0.49629092	0.03070780	0.49724004	-0.70270312	0.58129042	-0.66855299	
0.120000	-0.39247304	-0.50473326	0.06415877	0.48321939	0.04029372	0.48489645	-0.52270037	0.56252581	-0.47819793	
0.140000	-0.38284785	-0.50386751	0.07382283	0.47508022	0.05108364	0.47781876	-0.34034911	0.47175178	-0.29060829	
0.160000	-0.37331936	-0.50265265	0.08342845	0.47228730	0.06136519	0.47625726	-0.20383266	0.41993681	-0.15284674	
0.180000	-0.36388832	-0.50133264	0.09295141	0.47092691	0.06964676	0.47604918	-0.07994271	0.35917851	-0.03143721	
0.200000	-0.35460934	-0.49974611	0.10236505	0.46886957	0.07520390	0.47486240	-0.00611481	0.27932426	0.03507993	
0.220000	-0.34523135	-0.49817121	0.11187436	0.46920872	0.07960732	0.47591400	0.00569845	0.22648232	0.04199543	
0.240000	-0.33590615	-0.49658138	0.12133411	0.47151959	0.08323015	0.47880891	-0.03230546	0.26442572	0.01522178	
0.260000	-0.32642093	-0.49494055	0.13096020	0.47264045	0.08607528	0.48041436	-0.16441302	0.42680633	-0.07311537	
0.280000	-0.31689224	-0.49314877	0.14065589	0.46982226	0.09314017	0.47896561	-0.44435370	0.73942286	-0.24445519	
0.300000	-0.30734101	-0.49128908	0.15038648	0.46033221	0.10870318	0.47299275	-0.87969154	1.25449002	-0.42650858	
0.320000	-0.29810348	-0.48927310	0.15984143	0.44012886	0.13653469	0.46082008	-1.47278178	1.94761944	-0.50222915	
0.340000	-0.28929684	-0.48657027	0.16905351	0.40659913	0.18055555	0.44488555	-2.22347355	2.68071699	-0.36952382	
0.360000	-0.28131586	-0.48280227	0.17787926	0.35640010	0.24503796	0.43250969	-3.09764385	3.28965259	0.02190892	
0.380000	-0.27441797	-0.47744444	0.18661352	0.28640902	0.32484096	0.43307248	-4.04719734	3.58922911	0.60440212	
0.400000	-0.26904935	-0.47024420	0.19559492	0.19501564	0.40887752	0.45300323	-5.02217340	3.35190296	1.18421817	
0.420000	-0.26576659	-0.46083185	0.20556331	0.08342884	0.48383653	0.49097675	-5.95727444	2.42390013	1.59108460	
0.440000	-0.26505205	-0.44991723	0.21650130	-0.04692895	0.53360242	0.53566206	-6.79933834	0.83008969	1.84315300	
0.460000	-0.26722735	-0.43799669	0.22861870	-0.19324054	0.54022747	0.57374877	-7.52974844	-1.28850687	2.17556930	
0.480000	-0.27244025	-0.42632765	0.24139918	-0.35246161	0.49291012	0.60596168	-8.14036083	-3.68019271	2.91365457	
0.500000	-0.28094321	-0.41604322	0.25474346	-0.52230388	0.38996089	0.65182120	-8.58945370	-5.95777941	4.20835495	
0.520000	-0.29295406	-0.40873745	0.26880172	-0.70105326	0.23660712	0.73990446	-8.80340004	-7.70687199	5.86876678	
0.540000	-0.30871230	-0.40524247	0.28494290	-0.88496846	0.04871858	0.88630843	-8.68905067	-8.63514996	7.43822193	
0.560000	-0.32831353	-0.40630466	0.30457288	-1.06513357	-0.14941649	1.07556260	-8.12687206	-8.58778858	8.33917046	
0.580000	-0.35171220	-0.41180632	0.32860965	-1.23015916	-0.33221555	1.27422869	-6.96014547	-7.56573820	8.04320717	
0.600000	-0.37852544	-0.42115507	0.35700592	-1.36731434	-0.48029241	1.44921684	-5.02400589	-5.76531553	6.29944801	
0.620000	-0.40788481	-0.43302685	0.38867471	-1.46125174	-0.57921845	1.57186210	-2.20580697	-3.51676607	3.19829750	
0.640000	-0.43886930	-0.44626892	0.42237025	-1.49148047	-0.62335807	1.61650527	1.44320166	-1.16334975	-0.92721397	
0.660000	-0.47015461	-0.45974422	0.45643422	-1.43491817	-0.61558932	1.56139052	5.60447073	0.97964865	-5.53338861	
0.680000	-0.49998951	-0.47242999	0.48885411	-1.27523196	-0.56575572	1.39509714	9.71444798	2.65915513	-9.91536427	
0.700000	-0.52569222	-0.48350975	0.51684320	-1.01782668	-0.48608503	1.12794054	13.04453945	3.73528981	-13.03925705	
0.720000	-0.54437536	-0.49240437	0.53753555	-0.69240159	-0.39235336	0.79583991	14.84252071	4.18107986	-12.85037708	
0.740000	-0.55429310	-0.49906346	0.54948145	-0.34341949	-0.29789147	0.45461664	14.68720436	4.06771183	-9.52585125	
0.760000	-0.55611104	-0.50368840	0.55445087	-0.02336749	-0.21446089	0.21573019	12.78695679	3.56411910	-5.44806671	
0.780000	-0.55176800	-0.50692105	0.55986494	0.21974982	-0.14880617	0.26539266	9.79801655	2.87638617	-1.51859343	
0.800000	-0.54352933	-0.50893873	0.56834710	0.36880904	-0.10230388	0.38273516	6.46693134	2.16935277	1.70894325	
