Time	Knöchel re X	Knöchel re Y	Knöchel re Weg	Knöchel re v(X)	Knöchel re v(Y)	Knöchel re v(Bahn)	Knöchel re a(X)	Knöchel re a(Y)	Knöchel re a(Bahn)
0.000000	-0.70434773	-0.50472146	0.00000000	-0.34370285	-0.18454446	0.39011320	-0.28809696	2.38184214	-0.65746802	
0.020000	-0.71159410	-0.50869584	0.00826472	-0.35113990	-0.13778210	0.37720436	-0.53110719	1.88513589	-0.15100166	
0.040000	-0.71822929	-0.51146442	0.01545435	-0.35857695	-0.09101973	0.36994869	-0.77411741	1.38842976	0.35546470	
0.060000	-0.72508132	-0.51308155	0.02249462	-0.37492299	-0.07867984	0.38308975	-0.92264313	1.23588705	0.56741977	
0.080000	-0.73271435	-0.51320040	0.03012858	-0.39639306	-0.05366899	0.40000978	-1.03792310	0.70837861	0.88301724	
0.100000	-0.74129415	-0.51407099	0.03875243	-0.42690071	-0.04242210	0.42900333	-0.97955549	0.44954187	0.90593326	
0.120000	-0.74981904	-0.51491529	0.04731903	-0.45065215	-0.04034587	0.45245460	-0.73548746	0.35892835	0.68795228	
0.140000	-0.75950837	-0.51633751	0.05711218	-0.46134001	-0.04039008	0.46310470	-0.32254881	0.23362929	0.30329439	
0.160000	-0.76899290	-0.51697576	0.06661817	-0.46214443	-0.03439584	0.46342266	0.09392595	0.18582276	-0.10668656	
0.180000	-0.77854061	-0.51744497	0.07617740	-0.45130384	-0.02615997	0.45206138	0.32165658	0.14579034	-0.33162495	
0.200000	-0.78739625	-0.51775444	0.08503845	-0.43647817	-0.02121478	0.43699342	0.35565355	0.09408915	-0.36174703	
0.220000	-0.79579705	-0.51804876	0.09344440	-0.42779106	-0.02397074	0.42846212	0.19557840	0.04540540	-0.19812016	
0.240000	-0.80366850	-0.51853698	0.10133097	-0.42615467	-0.02780953	0.42706108	-0.07264177	0.06288970	0.06991957	
0.260000	-0.81229532	-0.51922959	0.10998555	-0.43223161	-0.02786193	0.43312868	-0.25073841	0.15854469	0.24556074	
0.280000	-0.82102418	-0.52002448	0.11875053	-0.44526166	-0.02164095	0.44578725	-0.28912973	0.26486337	0.28103617	
0.300000	-0.83038878	-0.52062321	0.12813427	-0.45467323	-0.01091137	0.45480415	-0.24783875	0.31672394	0.23839428	
0.320000	-0.83944321	-0.52056527	0.13718887	-0.45560333	-0.00221531	0.45560873	-0.12691835	0.30120629	0.11969067	
0.340000	-0.84897828	-0.52021903	0.14673023	-0.45336071	0.00182961	0.45336440	0.00828641	0.23283316	-0.01084171	
0.360000	-0.85768312	-0.51978076	0.15544610	-0.45220834	0.00376055	0.45222399	0.04788039	0.15327446	-0.04734991	
0.380000	-0.86665010	-0.52004790	0.16441706	-0.45032433	0.00536615	0.45035630	0.04439377	0.13989012	-0.04209378	
0.400000	-0.87544709	-0.52030480	0.17321780	-0.45044330	0.00840897	0.45052177	0.11331435	0.20510006	-0.10755555	
0.420000	-0.88481623	-0.52014428	0.18258831	-0.45139697	0.01105442	0.45153230	0.26257622	0.33051220	-0.24738240	
0.440000	-0.89371991	-0.51953089	0.19151309	-0.44670013	0.01902356	0.44710502	0.47794795	0.54009700	-0.43866655	
0.460000	-0.90303564	-0.51877385	0.20085953	-0.43364298	0.02981771	0.43466693	0.81195575	0.98241866	-0.67009729	
0.480000	-0.91140419	-0.51869345	0.20922847	-0.41392577	0.04873398	0.41678476	1.27292740	1.74768698	-0.77889705	
0.500000	-0.91977364	-0.51773000	0.21765319	-0.38744867	0.08057502	0.39573830	1.87069046	2.82904673	-0.45031828	
0.520000	-0.92698783	-0.51647633	0.22497550	-0.34774604	0.14561781	0.37700379	2.69164538	4.10206461	0.46086690	
0.540000	-0.93408138	-0.51296538	0.23289037	-0.29092494	0.24385877	0.37961087	3.76383519	5.24730062	1.78523386	
0.560000	-0.93972826	-0.50819731	0.24028103	-0.20816988	0.37621680	0.42996952	4.89106941	5.83770561	3.15640640	
0.580000	-0.94367242	-0.49905980	0.25023344	-0.09366916	0.51795298	0.52635461	5.89677668	5.49372864	4.11304855	
0.600000	-0.94484365	-0.48756722	0.26178554	0.04690884	0.64258611	0.64429599	6.70670938	4.04241467	4.24896002	
0.620000	-0.94255155	-0.47110596	0.27840561	0.19247574	0.72106618	0.74631315	7.20165920	1.54971266	3.51444197	
0.640000	-0.93644392	-0.45532420	0.29532799	0.34158862	0.73160720	0.80742300	7.31570816	-1.53110886	2.40663743	
0.660000	-0.92774361	-0.43882266	0.31398267	0.49048519	0.66410673	0.82559884	7.19333839	-4.63759851	1.67014265	
0.680000	-0.91704428	-0.42642304	0.33036026	0.63623416	0.52107280	0.82238114	6.98546171	-7.23890305	1.79811120	
0.700000	-0.90315872	-0.41640827	0.34748057	0.77230972	0.33224845	0.84074450	6.66060305	-8.95374393	2.75075769	
0.720000	-0.88625395	-0.41183978	0.36499178	0.90209657	0.11998373	0.91004086	6.12120819	-9.52211761	4.02639627	
0.740000	-0.86577976	-0.41191518	0.38546613	1.02482677	-0.08633009	1.02845645	5.34777117	-8.98461342	4.99203491	
0.760000	-0.84417212	-0.41654262	0.40756372	1.13253891	-0.27200532	1.16474521	4.40353775	-7.64701843	5.19705486	
0.780000	-0.82046616	-0.42456368	0.43258989	1.21092951	-0.41169372	1.27900040	3.19946718	-5.82183266	4.41282940	
0.800000	-0.79529577	-0.43482161	0.45977026	1.26086628	-0.50541914	1.35839331	1.62487710	-3.79535079	2.69804692	
0.820000	-0.76852530	-0.44640058	0.48893756	1.28547800	-0.55540204	1.40033031	-0.29942381	-1.85097027	0.38419053	
0.840000	-0.74226320	-0.45818630	0.51772296	1.26944530	-0.56851125	1.39093363	-2.71211767	-0.17722937	-2.41860890	
0.860000	-0.71643507	-0.46991977	0.54609138	1.20061886	-0.55110431	1.32106078	-5.85581923	1.25224459	-5.81615591	
0.880000	-0.69245929	-0.48103896	0.57252008	1.06658447	-0.51084560	1.18260968	-9.24759483	2.45481896	-9.27819824	
0.900000	-0.67117882	-0.49103424	0.59603101	0.84170467	-0.44982988	0.95436561	-11.93251324	3.33736777	-11.27499962	
0.920000	-0.65472925	-0.49962375	0.61458814	0.52739507	-0.36856568	0.64341760	-13.34706306	3.80180645	-10.31255245	
0.940000	-0.64562142	-0.50643545	0.62596142	0.20006043	-0.27507433	0.34013242	-13.14694023	3.85333824	-7.28025770	
0.960000	-0.64738959	-0.51099914	0.63085568	-0.07537600	-0.19056615	0.20493169	-11.04831028	3.49703860	-3.89357066	
0.980000	-0.65648979	-0.51331878	0.64024687	-0.27397040	-0.12469783	0.30101383	-7.69560003	2.77493572	-0.65742666	
1.000000	-0.66558993	-0.51402205	0.64937413	-0.38827592	-0.07863390	0.39615840	-4.53609180	1.91743624	1.64594913	
1.020000	-0.67293447	-0.51532745	0.65683377	-0.41402215	-0.05170626	0.41723838	-2.34252691	1.20077920	1.89977348	
1.040000	-0.67945606	-0.51631653	0.66342992	-0.40119249	-0.04128191	0.40331081	-0.98787141	0.68507338	0.90479022	
1.060000	-0.68849558	-0.51746893	0.67254257	-0.40936404	-0.03712300	0.41104385	-0.35027626	0.32629871	0.31957936	
1.080000	-0.69693774	-0.51770866	0.68098813	-0.43592709	-0.03183334	0.43708786	-0.33150759	0.10700095	0.32138985	
1.100000	-0.70580757	-0.51811135	0.68986708	-0.44760215	-0.02920850	0.44855416	-0.37440184	0.01862529	0.37133083	
1.120000	-0.71505696	-0.51867265	0.69913346	-0.44357014	-0.03120848	0.44466665	-0.13967213	-0.00783222	0.13973285	
1.140000	-0.72415018	-0.51942301	0.70825762	-0.44102329	-0.03624259	0.44250995	0.08687970	0.00312979	-0.08683822	
1.160000	-0.73288065	-0.52034009	0.71703613	-0.43787915	-0.03618994	0.43937212	0.08101436	0.07786234	-0.08538921	
1.180000	-0.74124712	-0.52115554	0.72544223	-0.43551731	-0.03287493	0.43675631	-0.03372293	0.19513766	0.02295746	
1.200000	-0.74968940	-0.52178144	0.73390770	-0.43690163	-0.02560863	0.43765149	-0.12675717	0.29372334	0.11188110	
1.220000	-0.75878263	-0.52212787	0.74300754	-0.44153836	-0.01798942	0.44190469	-0.17405072	0.35035470	0.15996714	
1.240000	-0.76763892	-0.52242696	0.75186890	-0.44952366	-0.01090342	0.44965586	-0.18203710	0.37046951	0.17257290	
1.260000	-0.77687782	-0.52243596	0.76110780	-0.45339397	-0.00404740	0.45341203	-0.16699663	0.34743023	0.16344717	
1.280000	-0.78564107	-0.52266902	0.76987416	-0.45354596	0.00380973	0.45356196	-0.09283060	0.28916776	0.09285332	
