Time	Hip_left X
0.000000	76.83867645	
0.020000	78.39269257	
0.040000	79.59504700	
0.060000	80.34515381	
0.080000	80.96925354	
0.100000	81.68224335	
0.120000	82.54698944	
0.140000	83.15583801	
0.160000	83.79269409	
0.180000	84.57533264	
0.200000	85.56011963	
0.220000	86.53273773	
0.240000	87.39035034	
0.260000	88.27397919	
0.280000	89.13033295	
0.300000	89.91008759	
0.320000	90.53620911	
0.340000	91.00872803	
0.360000	91.12072754	
0.380000	90.97014618	
0.400000	90.47961426	
0.420000	89.74583435	
0.440000	88.62805939	
0.460000	87.16669464	
0.480000	85.50397491	
0.500000	83.78427887	
0.520000	82.13490295	
0.540000	80.63365936	
0.560000	79.32945251	
0.580000	78.22895813	
0.600000	77.33303833	
0.620000	76.62628937	
0.640000	76.10354614	
0.660000	75.74132538	
0.680000	75.51367950	
0.700000	75.38860321	
0.720000	75.34436035	
0.740000	75.37996674	
0.760000	75.50232697	
0.780000	75.72050476	
0.800000	76.01420593	
0.820000	76.36177826	
0.840000	76.73017883	
0.860000	77.11467743	
0.880000	77.51336670	
0.900000	77.96022797	
0.920000	78.46710205	
0.940000	79.03837585	
0.960000	79.64599609	
0.980000	80.29311371	
1.000000	81.04449463	
1.020000	82.10772705	
1.040000	83.30398560	
1.060000	84.58730316	
1.080000	85.75760651	
1.100000	86.91709900	
1.120000	87.99320984	
1.140000	88.94286346	
1.160000	89.77440643	
1.180000	90.48304749	
1.200000	91.03293610	
1.220000	91.36274719	
1.240000	91.11290741	
1.260000	90.18084717	
1.280000	88.60021973	
1.300000	86.72360229	
1.320000	84.71277618	
1.340000	82.66628265	
1.360000	80.70267487	
1.380000	78.90583038	
1.400000	77.34366608	
1.420000	76.04106903	
1.440000	75.01260376	
1.460000	74.24670410	
1.480000	73.74539185	
1.500000	73.50079346	
1.520000	73.50408936	
1.540000	73.73088074	
1.560000	74.10823822	
1.580000	74.43859100	
1.600000	74.72772217	
1.620000	75.09059143	
1.640000	75.57804871	
1.660000	76.27777100	
1.680000	76.99468231	
1.700000	78.15257263	
1.720000	78.55319977	
1.740000	78.82119751	
1.760000	78.65264130	
1.780000	79.14580536	
1.800000	79.82318115	
1.820000	80.67660522	
1.840000	81.63932037	
1.860000	82.63507843	
1.880000	83.60420227	
1.900000	84.51011658	
1.920000	85.35157013	
1.940000	86.14346313	
1.960000	86.89115143	
1.980000	87.57778931	
2.000000	88.19903564	
2.020000	88.74748230	
2.040000	89.19892883	
2.060000	89.47390747	
2.080000	89.48339081	
2.100000	89.13098907	
2.120000	88.36774445	
2.140000	87.17960358	
2.160000	85.38494873	
2.180000	83.06017303	
2.200000	80.56823730	
2.220000	78.33990479	
2.240000	76.55286407	
2.260000	75.02895355	
2.280000	73.72679901	
2.300000	72.63256836	
2.320000	71.72976685	
2.340000	70.99465179	
2.360000	70.41819763	
2.380000	69.99128723	
2.400000	69.70293427	
2.420000	69.55812836	
2.440000	69.57491302	
2.460000	69.77814484	
2.480000	70.17119598	
2.500000	70.75102234	
2.520000	71.48692322	
2.540000	72.34391785	
2.560000	73.28329468	
2.580000	74.30651093	
2.600000	75.43347168	
2.620000	76.70051575	
2.640000	78.11006165	
2.660000	79.65863800	
2.680000	81.25875092	
2.700000	82.69559479	
2.720000	83.95917511	
2.740000	85.02125549	
2.760000	86.04470825	
2.780000	87.01388550	
2.800000	87.98529053	
2.820000	88.96215057	
2.840000	89.92172241	
2.860000	90.84742737	
2.880000	91.68354797	
2.900000	92.37549591	
2.920000	92.84072113	
2.940000	93.00737000	
2.960000	92.81591797	
2.980000	92.25114441	
3.000000	91.32289124	
3.020000	90.07173157	
3.040000	88.56926727	
3.060000	86.89707947	
3.080000	85.14106750	
3.100000	83.37616730	
3.120000	81.68344116	
3.140000	80.11283875	
3.160000	78.71388245	
3.180000	77.50386047	
3.200000	76.49741364	
3.220000	75.67551422	
3.240000	75.03118134	
3.260000	74.53348541	
3.280000	74.16980743	
3.300000	73.93018341	
3.320000	73.84187317	
3.340000	73.94421387	
3.360000	74.28837585	
3.380000	74.89696503	
3.400000	75.74246979	
3.420000	76.74886322	
3.440000	77.80876160	
3.460000	78.82467651	
3.480000	79.72740936	
3.500000	80.50193787	
3.520000	81.15892792	
3.540000	81.71722412	
3.560000	82.19631958	
3.580000	82.62705994	
3.600000	83.05247498	
3.620000	83.51502991	
3.640000	84.05110931	
3.660000	84.66656494	
3.680000	85.34588623	
3.700000	86.05818176	
3.720000	86.78151703	
3.740000	87.50140381	
3.760000	88.20285034	
3.780000	88.86905670	
3.800000	89.45806885	
3.820000	89.90608978	
3.840000	90.12349701	
3.860000	90.02774811	
3.880000	89.54488373	
3.900000	88.64422607	
3.920000	87.35409546	
3.940000	85.77087402	
3.960000	84.03874207	
3.980000	82.30469513	
4.000000	80.69657898	
4.020000	79.28591919	
4.040000	78.09902954	
4.060000	77.11670685	
4.080000	76.31347656	
4.100000	75.66208649	
4.120000	75.15307617	
4.140000	74.78028107	
4.160000	74.53796387	
4.180000	74.41145325	
4.200000	74.38932037	
4.220000	74.48895264	
4.240000	74.74745178	
4.260000	75.20366669	
4.280000	75.86816406	
4.300000	76.71728516	
4.320000	77.66512299	
4.340000	78.60455322	
4.360000	79.44417572	
4.380000	80.15938568	
4.400000	80.76413727	
4.420000	81.30646515	
4.440000	81.83130646	
4.460000	82.38777161	
4.480000	82.99751282	
4.500000	83.67673492	
4.520000	84.41828918	
4.540000	85.21531677	
4.560000	86.03470612	
4.580000	86.84745789	
4.600000	87.62097168	
4.620000	88.35435486	
4.640000	89.04605103	
4.660000	89.70510101	
4.680000	90.32130432	
4.700000	90.86657715	
4.720000	91.26797485	
4.740000	91.44152069	
4.760000	91.30529022	
4.780000	90.80715942	
4.800000	89.93473053	
4.820000	88.73620605	
4.840000	87.30509186	
4.860000	85.74532318	
4.880000	84.14463806	
4.900000	82.57431030	
4.920000	81.08896637	
4.940000	79.71627045	
4.960000	78.47512054	
4.980000	77.38669586	
5.000000	76.46609497	
5.020000	75.70594025	
5.040000	75.09796143	
5.060000	74.63159180	
5.080000	74.29399872	
5.100000	74.06815338	
5.120000	73.97472382	
5.140000	74.05436707	
5.160000	74.34433746	
5.180000	74.85579681	
5.200000	75.58625031	
5.220000	76.49398804	
5.240000	77.45809174	
5.260000	78.36524963	
5.280000	79.27634430	
5.300000	80.31462860	
5.320000	81.51844025	
5.340000	82.70908356	
5.360000	83.64451599	
5.380000	84.12277985	
5.400000	84.05481720	
5.420000	83.90837860	
5.440000	84.28379822	
5.460000	85.18257904	
5.480000	86.26456451	
5.500000	87.12022400	
5.520000	87.86707306	
5.540000	88.49121857	
5.560000	88.93584442	
5.580000	89.19190216	
5.600000	89.18176270	
5.620000	88.87915802	
5.640000	88.22171783	
5.660000	87.23821259	
5.680000	85.97566223	
5.700000	84.53231049	
5.720000	83.01355743	
5.740000	81.52482605	
5.760000	80.15748596	
5.780000	78.95614624	
5.800000	77.91046906	
5.820000	77.00736237	
5.840000	76.20877075	
5.860000	75.52085876	
5.880000	74.93219757	
5.900000	74.46171570	
5.920000	74.10456848	
5.940000	73.87857056	
5.960000	73.79977417	
5.980000	73.93088531	
6.000000	74.33702850	
6.020000	75.05075836	
6.040000	76.03619385	
6.060000	77.18730927	
6.080000	78.36725616	
6.100000	79.46012115	
6.120000	80.39648438	
6.140000	81.19151306	
6.160000	81.87506866	
6.180000	82.10057831	
6.200000	82.41140747	
6.220000	82.94334412	
6.240000	83.84485626	
6.260000	84.64205170	
6.280000	85.27763367	
6.300000	86.00268555	
6.320000	86.84582520	
6.340000	87.75849152	
6.360000	88.72081757	
6.380000	89.64934540	
6.400000	90.50587463	
6.420000	91.27084351	
6.440000	91.87483978	
6.460000	92.25321198	
6.480000	92.28274536	
6.500000	91.88989258	
6.520000	90.99441528	
6.540000	89.64198303	
6.560000	87.91997528	
6.580000	85.99638367	
6.600000	83.85079956	
6.620000	81.53008270	
6.640000	79.81334686	
6.660000	78.47215271	
6.680000	77.57957458	
6.700000	76.46524811	
6.720000	75.56011963	
6.740000	74.86319733	
6.760000	74.37102509	
6.780000	74.11704254	
6.800000	74.05618286	
6.820000	74.07153320	
6.840000	74.17309570	
6.860000	74.38150787	
6.880000	74.78212738	
6.900000	75.28157806	
6.920000	75.92790222	
6.940000	76.68529510	
6.960000	77.36736298	
6.980000	77.73279572	
7.000000	77.73600769	
7.020000	77.63134003	
7.040000	77.71832275	
7.060000	78.25328064	
7.080000	79.29986572	
7.100000	80.42813873	
7.120000	81.42858887	
7.140000	82.16800690	
7.160000	82.93330383	
7.180000	83.72612762	
7.200000	84.56851959	
7.220000	85.43521881	
7.240000	86.30255890	
7.260000	87.12702942	
7.280000	87.89694977	
7.300000	88.57685089	
7.320000	89.10579681	
7.340000	89.38751221	
7.360000	89.33601379	
7.380000	88.85690308	
7.400000	87.94735718	
7.420000	86.62162781	
7.440000	84.99103546	
7.460000	83.15408325	
7.480000	81.27942657	
7.500000	79.45455170	
7.520000	77.78363800	
7.540000	76.29176331	
7.560000	75.02285004	
7.580000	73.97244263	
7.600000	73.13955688	
7.620000	72.51046753	
7.640000	72.07643127	
7.660000	71.81725311	
7.680000	71.71059418	
7.700000	71.73631287	
7.720000	71.88879395	
7.740000	72.18132019	
7.760000	72.62204742	
7.780000	73.21177673	
7.800000	73.92098999	
7.820000	74.71105194	
7.840000	75.53390503	
7.860000	76.37349701	
7.880000	77.23391724	
7.900000	78.13977051	
7.920000	79.09259796	
7.940000	80.04808807	
7.960000	80.95503235	
7.980000	81.75850677	
8.000000	82.45646667	
8.020000	83.06204987	
8.040000	83.64468384	
8.059999	84.24861908	
8.080000	84.91535187	
8.099999	85.63249969	
8.120000	86.39215088	
8.139999	87.17466736	
8.160000	87.94919586	
8.179999	88.69327545	
8.200000	89.35279083	
8.220000	89.89741516	
8.240000	90.22788239	
8.260000	90.26876068	
8.280000	89.91693115	
8.300000	89.15602112	
8.320000	87.72735596	
8.340000	85.84909821	
8.360000	83.67407227	
8.380000	81.60178375	
8.400000	79.58988953	
