Time	Hip_right X
0.000000	104.46354675	
0.020000	103.93087769	
0.040000	103.42912292	
0.060000	102.69187164	
0.080000	102.46391296	
0.100000	102.16823578	
0.120000	102.16474152	
0.140000	101.63198853	
0.160000	101.11832428	
0.180000	100.18889618	
0.200000	99.85901642	
0.220000	99.38800812	
0.240000	99.15325165	
0.260000	98.25839996	
0.280000	97.61298370	
0.300000	96.70343018	
0.320000	96.38940430	
0.340000	95.63146973	
0.360000	95.26516724	
0.380000	94.41720581	
0.400000	93.89609528	
0.420000	93.07445526	
0.440000	92.76573944	
0.460000	91.98003387	
0.480000	91.41645813	
0.500000	90.87755585	
0.520000	90.71567535	
0.540000	91.11079407	
0.560000	91.48223114	
0.580000	93.03904724	
0.600000	94.49350739	
0.620000	97.33973694	
0.640000	99.32418060	
0.660000	102.25788116	
0.680000	104.14224243	
0.700000	106.51779938	
0.720000	107.48641968	
0.740000	108.18511200	
0.760000	108.74242401	
0.780000	109.60235596	
0.800000	110.28906250	
0.820000	110.23281097	
0.840000	109.85713959	
0.860000	109.42826843	
0.880000	109.12174988	
0.900000	108.54037476	
0.920000	108.02400970	
0.940000	107.03303528	
0.960000	106.39145660	
0.980000	105.51095581	
1.000000	105.19554138	
1.020000	104.59491730	
1.040000	104.24959564	
1.060000	103.53863525	
1.080000	102.95219421	
1.100000	101.96199799	
1.120000	101.01085663	
1.140000	100.00576019	
1.160000	99.36151123	
1.180000	98.86584473	
1.200000	98.29254150	
1.220000	97.48821259	
1.240000	96.76379395	
1.260000	96.15499115	
1.280000	95.68766022	
1.300000	95.05828094	
1.320000	94.33539581	
1.340000	93.54235840	
1.360000	92.79856873	
1.380000	92.10654449	
1.400000	91.45169067	
1.420000	90.74983978	
1.440000	90.18569183	
1.460000	89.70995331	
1.480000	89.45555878	
1.500000	89.23377228	
1.520000	89.13153839	
1.540000	89.28160095	
1.560000	89.76251984	
1.580000	90.73365784	
1.600000	92.04395294	
1.620000	93.88741302	
1.640000	96.00495911	
1.660000	98.43614960	
1.680000	100.83020782	
1.700000	103.09337616	
1.720000	104.89376068	
1.740000	106.28112793	
1.760000	107.20775604	
1.780000	107.97854614	
1.800000	108.45001984	
1.820000	108.77507019	
1.840000	108.72910309	
1.860000	108.38835144	
1.880000	107.77777100	
1.900000	107.05004120	
1.920000	106.42987061	
1.940000	105.80590820	
1.960000	105.25204468	
1.980000	104.48306274	
2.000000	103.70097351	
2.020000	102.72559357	
2.040000	101.91191101	
2.060000	101.30596924	
2.080000	101.11027527	
2.100000	100.96929932	
2.120000	100.49343109	
2.140000	99.53104401	
2.160000	98.50671387	
2.180000	97.77561188	
2.200000	97.40226746	
2.220000	96.88964844	
2.240000	96.24874878	
2.260000	95.57546997	
2.280000	95.16233826	
2.300000	94.86186981	
2.320000	94.55245972	
2.340000	94.08403778	
2.360000	93.47454071	
2.380000	92.77636719	
2.400000	92.11021423	
2.420000	91.37955475	
2.440000	90.76206207	
2.460000	90.24971008	
2.480000	90.00921631	
2.500000	89.95026398	
2.520000	90.19152832	
2.540000	90.86797333	
2.560000	92.06399536	
2.580000	93.79080963	
2.600000	95.84122467	
2.620000	98.22615814	
2.640000	100.64485168	
2.660000	103.10256195	
2.680000	105.09014130	
2.700000	106.69205475	
2.720000	107.68731689	
2.740000	108.41966248	
2.760000	108.87657166	
2.780000	109.28534698	
2.800000	109.48734283	
2.820000	109.49507141	
2.840000	109.24790955	
2.860000	108.78104401	
2.880000	108.26529694	
2.900000	107.73932648	
2.920000	107.29333496	
2.940000	106.83808136	
2.960000	106.35087585	
2.980000	105.81626129	
3.000000	105.32818604	
3.020000	104.81661987	
3.040000	104.32286072	
3.060000	103.85992432	
3.080000	103.58460999	
3.100000	103.20166016	
3.120000	102.57620239	
3.140000	101.62049866	
3.160000	100.84494019	
3.180000	100.22985840	
3.200000	99.74678040	
3.220000	99.05747986	
3.240000	98.28215790	
3.260000	97.49911499	
3.280000	96.88388062	
3.300000	96.35250854	
3.320000	95.86647034	
3.340000	95.27563477	
3.360000	94.62412262	
3.380000	93.94223785	
3.400000	93.30277252	
3.420000	92.57138062	
3.440000	91.88425446	
3.460000	91.15369415	
3.480000	90.67887115	
3.500000	90.27431488	
3.520000	90.02741241	
3.540000	89.88955688	
3.560000	90.00324249	
3.580000	90.52631378	
3.600000	91.36171722	
3.620000	92.67617035	
3.640000	94.46531677	
3.660000	96.72109985	
3.680000	99.23004913	
3.700000	101.80361938	
3.720000	104.26379395	
3.740000	106.38726807	
3.760000	107.95793152	
3.780000	109.07859802	
3.800000	109.82919312	
3.820000	110.51114655	
3.840000	110.94815063	
3.860000	111.18671417	
3.880000	111.03350067	
3.900000	110.63485718	
3.920000	110.12311554	
3.940000	109.55340576	
3.960000	109.10326385	
3.980000	108.52586365	
4.000000	107.89231110	
4.020000	107.01690674	
4.040000	106.11627197	
4.060000	105.19719696	
4.080000	104.64528656	
4.100000	104.46228027	
4.120000	104.51669312	
4.140000	103.97700500	
4.160000	102.80205536	
4.180000	101.31570435	
4.200000	100.44752502	
4.220000	99.97483063	
4.240000	99.51459503	
4.260000	98.63217163	
4.280000	97.69526672	
4.300000	96.92776489	
4.320000	96.43377686	
4.340000	95.86409760	
4.360000	95.21224213	
4.380000	94.41770935	
4.400000	93.74359894	
4.420000	93.11454010	
4.440000	92.52660370	
4.460000	91.82345581	
4.480000	91.17807007	
4.500000	90.68607330	
4.520000	90.53173065	
4.540000	90.62473297	
4.560000	90.99844360	
4.580000	91.79286957	
4.600000	93.05678558	
4.620000	94.77756500	
4.640000	96.84445953	
4.660000	99.26100159	
4.680000	101.80110931	
4.700000	104.25930023	
4.720000	106.27141571	
4.740000	107.83369446	
4.760000	108.93295288	
4.780000	109.83034515	
4.800000	110.50849915	
4.820000	111.10641479	
4.840000	111.48579407	
4.860000	111.56787872	
4.880000	111.38474274	
4.900000	110.92333984	
4.920000	110.50550842	
4.940000	110.08576202	
4.960000	109.77785492	
4.980000	109.43230438	
5.000000	109.04161072	
5.020000	108.47698212	
5.040000	107.88172913	
5.060000	107.19403076	
5.080000	106.71102905	
5.100000	106.45121002	
5.120000	106.37628174	
5.140000	105.97649384	
5.160000	105.10529327	
5.180000	103.83605957	
5.200000	102.80841827	
5.220000	102.03385162	
5.240000	101.49220276	
5.260000	100.72354889	
5.280000	99.91741180	
5.300000	99.11335754	
5.320000	98.57567596	
