Time	Knee_Angle_left X
0.000000	147.31710815	
0.020000	148.91354370	
0.040000	150.06343079	
0.060000	150.58000183	
0.080000	151.01405334	
0.100000	151.54699707	
0.120000	152.27894592	
0.140000	152.70573425	
0.160000	153.12620544	
0.180000	153.67164612	
0.200000	154.38568115	
0.220000	155.05091858	
0.240000	155.57556152	
0.260000	156.06538391	
0.280000	156.43205261	
0.300000	156.59832764	
0.320000	156.47065735	
0.340000	155.99023438	
0.360000	154.90731812	
0.380000	153.25929260	
0.400000	150.94503784	
0.420000	148.07870483	
0.440000	144.64286804	
0.460000	140.83775330	
0.480000	137.04850769	
0.500000	133.68362427	
0.520000	131.13922119	
0.540000	129.66076660	
0.560000	129.38761902	
0.580000	130.28317261	
0.600000	132.20538330	
0.620000	134.90055847	
0.640000	138.14973450	
0.660000	141.67599487	
0.680000	145.17071533	
0.700000	148.23132324	
0.720000	150.46861267	
0.740000	151.69717407	
0.760000	152.05413818	
0.780000	151.84341431	
0.800000	151.33506775	
0.820000	150.79655457	
0.840000	150.41239929	
0.860000	150.19694519	
0.880000	150.02978516	
0.900000	149.94506836	
0.920000	150.02795410	
0.940000	150.26286316	
0.960000	150.54789734	
0.980000	150.89060974	
1.000000	151.39916992	
1.020000	152.29411316	
1.040000	153.40193176	
1.060000	154.66006470	
1.080000	155.83001709	
1.100000	156.94175720	
1.120000	157.88609314	
1.140000	158.57505798	
1.160000	159.02638245	
1.180000	159.20056152	
1.200000	159.04071045	
1.220000	158.40734863	
1.240000	156.92677307	
1.260000	154.44514465	
1.280000	151.04031372	
1.300000	147.10469055	
1.320000	142.95620728	
1.340000	138.85307312	
1.360000	135.15551758	
1.380000	132.15371704	
1.400000	130.09732056	
1.420000	129.09428406	
1.440000	129.17262268	
1.460000	130.24594116	
1.480000	132.19606018	
1.500000	134.84625244	
1.520000	138.00839233	
1.540000	141.42352295	
1.560000	144.70204163	
1.580000	147.28541565	
1.600000	148.92449951	
1.620000	149.75939941	
1.640000	150.06375122	
1.660000	150.20118713	
1.680000	150.23716736	
1.700000	150.81898499	
1.720000	150.79577637	
1.740000	150.69631958	
1.760000	150.17662048	
1.780000	150.39228821	
1.800000	150.90599060	
1.820000	151.62866211	
1.840000	152.45732117	
1.860000	153.29042053	
1.880000	154.07208252	
1.900000	154.77072144	
1.920000	155.43492126	
1.940000	156.06541443	
1.960000	156.65870667	
1.980000	157.14152527	
2.000000	157.49114990	
2.020000	157.63088989	
2.040000	157.51087952	
2.060000	156.98663330	
2.080000	155.92231750	
2.100000	154.14344788	
2.120000	151.61886597	
2.140000	148.36726379	
2.160000	144.34704590	
2.180000	139.79711914	
2.200000	135.33972168	
2.220000	131.62907410	
2.240000	129.06987000	
2.260000	127.59349823	
2.280000	127.21395874	
2.300000	127.85014343	
2.320000	129.34928894	
2.340000	131.47277832	
2.360000	133.98536682	
2.380000	136.62977600	
2.400000	139.02549744	
2.420000	140.81457520	
2.440000	141.85801697	
2.460000	142.35072327	
2.480000	142.50306702	
2.500000	142.57090759	
2.520000	142.77473450	
2.540000	143.27796936	
2.560000	143.96910095	
2.580000	144.73712158	
2.600000	145.63493347	
2.620000	146.78372192	
2.640000	148.15332031	
2.660000	149.65740967	
2.680000	151.22758484	
2.700000	152.63618469	
2.720000	153.87507629	
2.740000	154.91514587	
2.760000	155.96678162	
2.780000	156.98612976	
2.800000	157.99015808	
2.820000	158.93386841	
2.840000	159.78672791	
2.860000	160.51605225	
2.880000	161.04975891	
2.900000	161.30023193	
2.920000	161.13063049	
2.940000	160.39239502	
2.960000	158.96769714	
2.980000	156.83740234	
3.000000	154.04037476	
3.020000	150.66995239	
3.040000	146.90539551	
3.060000	142.98805237	
3.080000	139.20425415	
3.100000	135.82986450	
3.120000	133.17436218	
3.140000	131.42550659	
3.160000	130.70989990	
3.180000	130.98663330	
3.200000	132.20683289	
3.220000	134.18821716	
3.240000	136.75190735	
3.260000	139.62193298	
3.280000	142.50537109	
3.300000	145.03047180	
3.320000	146.90480042	
3.340000	148.02476501	
3.360000	148.59205627	
3.380000	148.89726257	
3.400000	149.20544434	
3.420000	149.65686035	
3.440000	150.30456543	
3.460000	150.98744202	
3.480000	151.56610107	
3.500000	151.98677063	
3.520000	152.35444641	
3.540000	152.64077759	
3.560000	152.85781860	
3.580000	152.98455811	
3.600000	153.11408997	
3.620000	153.27139282	
3.640000	153.54591370	
3.660000	153.91914368	
3.680000	154.38546753	
3.700000	154.86003113	
3.720000	155.30757141	
3.740000	155.68402100	
3.760000	155.96711731	
3.780000	156.12594604	
3.800000	156.07987976	
3.820000	155.71086121	
3.840000	154.88195801	
3.860000	153.46841431	
3.880000	151.37825012	
3.900000	148.57986450	
3.920000	145.17864990	
3.940000	141.38574219	
3.960000	137.55174255	
3.980000	134.03819275	
4.000000	131.22578430	
4.020000	129.34150696	
4.040000	128.50831604	
4.060000	128.68493652	
4.080000	129.78283691	
4.100000	131.64260864	
4.120000	134.13862610	
4.140000	137.10069275	
4.160000	140.30986023	
4.180000	143.37760925	
4.200000	145.88281250	
4.220000	147.52491760	
4.240000	148.36286926	
4.260000	148.65815735	
4.280000	148.76829529	
4.300000	148.96318054	
4.320000	149.41612244	
4.340000	150.00889587	
4.360000	150.53129578	
4.380000	150.87780762	
4.400000	151.14530945	
4.420000	151.40943909	
4.440000	151.69833374	
4.460000	152.05001831	
4.480000	152.49491882	
4.500000	153.01881409	
4.520000	153.58784485	
4.540000	154.17997742	
4.560000	154.76173401	
4.580000	155.27185059	
4.600000	155.68182373	
4.620000	155.95713806	
4.640000	156.11184692	
4.660000	156.10621643	
4.680000	155.92338562	
4.700000	155.46679688	
4.720000	154.68325806	
4.740000	153.42884827	
4.760000	151.64114380	
4.780000	149.21549988	
4.800000	146.21592712	
4.820000	142.75262451	
4.840000	139.10256958	
