Time	Knee_Angle_right X
0.000000	158.73054504	
0.020000	158.93177795	
0.040000	159.06509399	
0.060000	159.63505554	
0.080000	159.02471924	
0.100000	158.49757385	
0.120000	157.46029663	
0.140000	157.56416321	
0.160000	157.83753967	
0.180000	159.05731201	
0.200000	159.07341003	
0.220000	159.32270813	
0.240000	159.01469421	
0.260000	159.95112610	
0.280000	160.38226318	
0.300000	161.31448364	
0.320000	161.09974670	
0.340000	161.84115601	
0.360000	161.91851807	
0.380000	163.00137329	
0.400000	163.27381897	
0.420000	164.00122070	
0.440000	163.52842712	
0.460000	163.87530518	
0.480000	163.76795959	
0.500000	163.44409180	
0.520000	162.38380432	
0.540000	159.98905945	
0.560000	157.84735107	
0.580000	153.37393188	
0.600000	149.49453735	
0.620000	143.16265869	
0.640000	138.97789001	
0.660000	133.43458557	
0.680000	130.16744995	
0.700000	126.65815735	
0.720000	126.27453613	
0.740000	127.29340363	
0.760000	128.86651611	
0.780000	130.26660156	
0.800000	132.07443237	
0.820000	135.60060120	
0.840000	139.69290161	
0.860000	143.88758850	
0.880000	147.59353638	
0.900000	151.36834717	
0.920000	154.34519958	
0.940000	157.27822876	
0.960000	158.16798401	
0.980000	158.62753296	
1.000000	157.97810364	
1.020000	158.18678284	
1.040000	157.93223572	
1.060000	158.23303223	
1.080000	158.42904663	
1.100000	159.60624695	
1.120000	160.66488647	
1.140000	161.88629150	
1.160000	162.38453674	
1.180000	162.61534119	
1.200000	162.96478271	
1.220000	163.72323608	
1.240000	164.39701843	
1.260000	164.87774658	
1.280000	165.15559387	
1.300000	165.69924927	
1.320000	166.46766663	
1.340000	167.32127380	
1.360000	168.05659485	
1.380000	168.62878418	
1.400000	169.12472534	
1.420000	169.53321838	
1.440000	169.62199402	
1.460000	169.42773438	
1.480000	168.80982971	
1.500000	168.02003479	
1.520000	166.95570374	
1.540000	165.38893127	
1.560000	163.27424622	
1.580000	160.27043152	
1.600000	156.73789978	
1.620000	152.34902954	
1.640000	147.78921509	
1.660000	142.97496033	
1.680000	138.54885864	
1.700000	134.68580627	
1.720000	132.13288879	
1.740000	130.86454773	
1.760000	130.88844299	
1.780000	131.65466309	
1.800000	133.22952271	
1.820000	135.31011963	
1.840000	138.23507690	
1.860000	141.89543152	
1.880000	146.02589417	
1.900000	150.10511780	
1.920000	153.56201172	
1.940000	156.46908569	
1.960000	158.40409851	
1.980000	159.53106689	
2.000000	160.03163147	
2.020000	160.81292725	
2.040000	161.49130249	
2.060000	161.71018982	
2.080000	161.02610779	
2.100000	160.28668213	
2.120000	160.50222778	
2.140000	161.64436340	
2.160000	163.00917053	
2.180000	163.67877197	
2.200000	163.65464783	
2.220000	163.89358521	
2.240000	164.46032715	
2.260000	165.08529663	
2.280000	165.32339478	
2.300000	165.27239990	
2.320000	165.27119446	
2.340000	165.45281982	
2.360000	165.92051697	
2.380000	166.52494812	
2.400000	167.05712891	
2.420000	167.58349609	
2.440000	167.81987000	
2.460000	167.72247314	
2.480000	167.01651001	
2.500000	165.72241211	
2.520000	163.89219666	
2.540000	161.14533997	
2.560000	157.64956665	
2.580000	153.32444763	
2.600000	148.78463745	
2.620000	143.94667053	
2.640000	139.31568909	
2.660000	134.94403076	
2.680000	131.79243469	
2.700000	129.80714417	
2.720000	129.28881836	
2.740000	129.70840454	
2.760000	130.96630859	
2.780000	132.67816162	
2.800000	134.99037170	
2.820000	137.93823242	
2.840000	141.40573120	
2.860000	145.33215332	
2.880000	149.12376404	
2.900000	152.73808289	
2.920000	155.69641113	
2.940000	158.12889099	
2.960000	159.68070984	
2.980000	160.29008484	
3.000000	160.30674744	
3.020000	160.23066711	
3.040000	160.24015808	
3.060000	160.01040649	
3.080000	159.32704163	
3.100000	158.99028015	
3.120000	159.32575989	
3.140000	160.36764526	
3.160000	161.16075134	
3.180000	161.52932739	
3.200000	161.72651672	
3.220000	162.24000549	
3.240000	162.97241211	
3.260000	163.65055847	
3.280000	164.06890869	
3.300000	164.34033203	
3.320000	164.60063171	
3.340000	165.03889465	
3.360000	165.72079468	
3.380000	166.35400391	
3.400000	166.84324646	
3.420000	167.34465027	
3.440000	167.72274780	
3.460000	168.03160095	
3.480000	167.79438782	
3.500000	167.24157715	
3.520000	166.45314026	
3.540000	165.27809143	
3.560000	163.83421326	
3.580000	161.44525146	
3.600000	158.58261108	
3.620000	154.80134583	
3.640000	150.52549744	
3.660000	145.69715881	
3.680000	140.86526489	
3.700000	136.22778320	
3.720000	132.30737305	
3.740000	129.59165955	
3.760000	128.38595581	
3.780000	128.68000793	
3.800000	129.99342346	
3.820000	131.94334412	
3.840000	134.44433594	
3.860000	137.54685974	
3.880000	141.29103088	
3.900000	145.38862610	
3.920000	149.32333374	
3.940000	152.92361450	
3.960000	155.58381653	
3.980000	157.55950928	
4.000000	158.51240540	
4.020000	159.15303040	
4.040000	159.81166077	
4.060000	160.72270203	
4.080000	161.03215027	
4.100000	160.25973511	
4.120000	158.92582703	
4.140000	158.94599915	
4.160000	160.44958496	
4.180000	162.63233948	
4.200000	163.50691223	
4.220000	163.52632141	
4.240000	163.51695251	
4.260000	164.29930115	
4.280000	165.28623962	
4.300000	165.94863892	
4.320000	166.06066895	
4.340000	166.38366699	
4.360000	166.87312317	
4.380000	167.68238831	
4.400000	168.07923889	
4.420000	168.38546753	
4.440000	168.50320435	
4.460000	168.80128479	
4.480000	168.89860535	
4.500000	168.51951599	
4.520000	167.42343140	
4.540000	165.62783813	
4.560000	163.33081055	
4.580000	160.13670349	
4.600000	156.39924622	
4.620000	152.03260803	
4.640000	147.44325256	
4.660000	142.37721252	
4.680000	137.38246155	
4.700000	132.84260559	
4.720000	129.74307251	
4.740000	128.08677673	
4.760000	127.89443207	
4.780000	128.61222839	
4.800000	130.01895142	
4.820000	131.92703247	
4.840000	134.35203552	
4.860000	137.56848145	
4.880000	141.36903381	
4.900000	145.69433594	
4.920000	149.75827026	
4.940000	153.38356018	
4.960000	156.17317200	
4.980000	158.31152344	
5.000000	159.58982849	
5.020000	160.12852478	
5.040000	160.14065552	
5.060000	160.33435059	
5.080000	160.31333923	
5.100000	159.69488525	
5.120000	158.58547974	
5.140000	158.18353271	
5.160000	158.96250916	
5.180000	160.48399353	
5.200000	161.51925659	
5.220000	161.92070007	
5.240000	161.99267578	
5.260000	162.48538208	
5.280000	163.19569397	
5.300000	163.82260132	
5.320000	163.94534302	
5.340000	163.99485779	
5.360000	164.21612549	
5.380000	165.05363464	
5.400000	165.97462463	
5.420000	166.95309448	
5.440000	167.48527527	
5.460000	168.23114014	
5.480000	168.75448608	
5.500000	169.10736084	
5.520000	168.79711914	
5.540000	167.99707031	
5.560000	166.87622070	
5.580000	165.18461609	
5.600000	163.17657471	
5.620000	160.55026245	
5.640000	157.35145569	
5.660000	153.48507690	
5.680000	149.13235474	
5.700000	144.32089233	
5.720000	139.48468018	
5.740000	134.94580078	
5.760000	131.65065002	
5.780000	129.78228760	
5.800000	129.24057007	
5.820000	129.71699524	
5.840000	130.65126038	
5.860000	132.07298279	
5.880000	134.15573120	
5.900000	137.05346680	
5.920000	140.71920776	
5.940000	144.74792480	
5.960000	148.54016113	
5.980000	152.17922974	
6.000000	155.25823975	
6.020000	157.94317627	
6.040000	159.38635254	
6.060000	159.77523804	
6.080000	159.56111145	
6.100000	159.66201782	
6.120000	159.78799438	
6.140000	159.65298462	
6.160000	159.19981384	
6.180000	159.42648315	
6.200000	160.67208862	
6.220000	162.40634155	
6.240000	163.50816345	
6.260000	163.80101013	
6.280000	163.61967468	
6.300000	163.89811707	
6.320000	164.57325745	
6.340000	165.40618896	
6.360000	166.01950073	
6.380000	166.49961853	
6.400000	167.12875366	
6.420000	167.83219910	
6.440000	168.36755371	
6.460000	168.86315918	
6.480000	169.21464539	
6.500000	169.46174622	
6.520000	169.35749817	
6.540000	168.77636719	
6.560000	167.78770447	
6.580000	165.99139404	
6.600000	163.61605835	
6.620000	160.39070129	
6.640000	156.37628174	
6.660000	151.39570618	
6.680000	145.69413757	
6.700000	139.78749084	
6.720000	134.29887390	
6.740000	129.66853333	
6.760000	126.64677429	
6.780000	125.35572815	
6.800000	125.52064514	
6.820000	126.43670654	
6.840000	127.71860504	
6.860000	129.59103394	
6.880000	132.35769653	
6.900000	136.30319214	
