Time	Knee_Ankle_Angle_left X
0.000000	109.52158356	
0.020000	109.47914886	
0.040000	109.53162384	
0.060000	109.76514435	
0.080000	109.95520020	
0.100000	110.13523865	
0.120000	110.26804352	
0.140000	110.45010376	
0.160000	110.66648865	
0.180000	110.90367889	
0.200000	111.17445374	
0.220000	111.48181915	
0.240000	111.81479645	
0.260000	112.20858765	
0.280000	112.69828033	
0.300000	113.31176758	
0.320000	114.06554413	
0.340000	115.01850128	
0.360000	116.21342468	
0.380000	117.71084595	
0.400000	119.53457642	
0.420000	121.66713715	
0.440000	123.98519897	
0.460000	126.32894897	
0.480000	128.45547485	
0.500000	130.10064697	
0.520000	130.99568176	
0.540000	130.97288513	
0.560000	129.94183350	
0.580000	127.94578552	
0.600000	125.12765503	
0.620000	121.72572327	
0.640000	117.95381165	
0.660000	114.06533813	
0.680000	110.34295654	
0.700000	107.15727997	
0.720000	104.87574768	
0.740000	103.68279266	
0.760000	103.44819641	
0.780000	103.87708282	
0.800000	104.67912292	
0.820000	105.56521606	
0.840000	106.31777954	
0.860000	106.91771698	
0.880000	107.48358917	
0.900000	108.01517487	
0.920000	108.43914795	
0.940000	108.77552032	
0.960000	109.09810638	
0.980000	109.40250397	
1.000000	109.64531708	
1.020000	109.81360626	
1.040000	109.90205383	
1.060000	109.92724609	
1.080000	109.92758942	
1.100000	109.97534943	
1.120000	110.10712433	
1.140000	110.36780548	
1.160000	110.74803162	
1.180000	111.28249359	
1.200000	111.99223328	
1.220000	112.95539856	
1.240000	114.18611908	
1.260000	115.73570251	
1.280000	117.55989075	
1.300000	119.61891174	
1.320000	121.75656128	
1.340000	123.81320190	
1.360000	125.54715729	
1.380000	126.75210571	
1.400000	127.24633789	
1.420000	126.94677734	
1.440000	125.83998108	
1.460000	124.00076294	
1.480000	121.54932404	
1.500000	118.65454102	
1.520000	115.49569702	
1.540000	112.30735779	
1.560000	109.40618134	
1.580000	107.15316772	
1.600000	105.80321503	
1.620000	105.33119202	
1.640000	105.51428223	
1.660000	106.07656860	
1.680000	106.75750732	
1.700000	107.33359528	
1.720000	107.75741577	
1.740000	108.12487030	
1.760000	108.47602081	
1.780000	108.75351715	
1.800000	108.91719818	
1.820000	109.04794312	
1.840000	109.18199921	
1.860000	109.34465790	
1.880000	109.53211975	
1.900000	109.73939514	
1.920000	109.91663361	
1.940000	110.07804871	
1.960000	110.23243713	
1.980000	110.43626404	
2.000000	110.70786285	
2.020000	111.11658478	
2.040000	111.68805695	
2.060000	112.48725128	
2.080000	113.56106567	
2.100000	114.98754883	
2.120000	116.74888611	
2.140000	118.81233215	
2.160000	121.03788757	
2.180000	123.26305389	
2.200000	125.22850800	
2.220000	126.71082306	
2.240000	127.48300171	
2.260000	127.43545532	
2.280000	126.51283264	
2.300000	124.78241730	
2.320000	122.38047028	
2.340000	119.52188110	
2.360000	116.43284607	
2.380000	113.36150360	
2.400000	110.67744446	
2.420000	108.74356079	
2.440000	107.71689606	
2.460000	107.42741394	
2.480000	107.66812134	
2.500000	108.18012238	
2.520000	108.71218109	
2.540000	109.06593323	
2.560000	109.31418610	
2.580000	109.56938934	
2.600000	109.79853821	
2.620000	109.91679382	
2.640000	109.95672607	
2.660000	110.00122070	
2.680000	110.03116608	
2.700000	110.05941772	
2.720000	110.08409119	
2.740000	110.10610962	
2.760000	110.07791901	
2.780000	110.02774811	
2.800000	109.99512482	
2.820000	110.02827454	
2.840000	110.13499451	
2.860000	110.33136749	
2.880000	110.63379669	
2.900000	111.07527161	
2.920000	111.71009827	
2.940000	112.61496735	
2.960000	113.84823608	
2.980000	115.41374969	
3.000000	117.28251648	
3.020000	119.40177917	
3.040000	121.66386414	
3.060000	123.90901184	
3.080000	125.93681335	
3.100000	127.54631042	
3.120000	128.50909424	
3.140000	128.68733215	
3.160000	128.00396729	
3.180000	126.51722717	
3.200000	124.29058838	
3.220000	121.48728943	
3.240000	118.27926636	
3.260000	114.91153717	
3.280000	111.66445160	
3.300000	108.89969635	
3.320000	106.93706512	
3.340000	105.91945648	
3.360000	105.69631195	
3.380000	105.99970245	
3.400000	106.53701019	
3.420000	107.09200287	
3.440000	107.50420380	
3.460000	107.83722687	
3.480000	108.16130066	
3.500000	108.51516724	
3.520000	108.80448151	
3.540000	109.07644653	
3.560000	109.33850861	
3.580000	109.64250946	
3.600000	109.93836975	
3.620000	110.24362183	
3.640000	110.50518036	
3.660000	110.74742889	
3.680000	110.96039581	
3.700000	111.19815063	
3.720000	111.47393036	
3.740000	111.81737518	
3.760000	112.23571777	
3.780000	112.74309540	
3.800000	113.37817383	
3.820000	114.19522095	
3.840000	115.24153900	
3.860000	116.55932617	
3.880000	118.16664124	
3.900000	120.06436157	
3.920000	122.17544556	
3.940000	124.38512421	
3.960000	126.48699188	
3.980000	128.26649475	
4.000000	129.47079468	
4.020000	129.94439697	
4.040000	129.59069824	
4.060000	128.43176270	
4.080000	126.53064728	
4.100000	124.01947021	
4.120000	121.01445007	
4.140000	117.67958069	
4.160000	114.22809601	
4.180000	111.03385162	
4.200000	108.50650024	
4.220000	106.96404266	
4.240000	106.38458252	
4.260000	106.54550934	
4.280000	107.09987640	
4.300000	107.75409698	
4.320000	108.24901581	
4.340000	108.59564209	
4.360000	108.91287994	
4.380000	109.28156281	
4.400000	109.61882782	
4.420000	109.89702606	
4.440000	110.13297272	
4.460000	110.33774567	
4.480000	110.50259399	
4.500000	110.65792847	
4.520000	110.83044434	
4.540000	111.03533936	
4.560000	111.27297974	
4.580000	111.57559204	
4.600000	111.93915558	
4.620000	112.39721680	
4.640000	112.93418121	
4.660000	113.59888458	
4.680000	114.39791107	
4.700000	115.39977264	
4.720000	116.58471680	
4.740000	118.01267242	
4.760000	119.66413879	
4.780000	121.59165955	
4.800000	123.71881104	
4.820000	125.98359680	
4.840000	128.20251465	
4.860000	130.19006348	
4.880000	131.64697266	
4.900000	132.35034180	
4.920000	132.16188049	
4.940000	131.07498169	
4.960000	129.13275146	
4.980000	126.45985413	
5.000000	123.20774078	
5.020000	119.54266357	
5.040000	115.62180328	
5.060000	111.68692017	
5.080000	108.07596588	
5.100000	105.20986938	
5.120000	103.42729187	
5.140000	102.76351929	
5.160000	102.95806885	
5.180000	103.67486572	
5.200000	104.58042145	
5.220000	105.38531494	
5.240000	105.96909332	
5.260000	106.43214417	
5.280000	106.84262848	
5.300000	107.15380859	
5.320000	107.33195496	
5.340000	107.47341919	
5.360000	107.64981842	
5.380000	107.84931946	
5.400000	108.07433319	
5.420000	108.34655762	
5.440000	108.64112091	
5.460000	108.96358490	
5.480000	109.35151672	
5.500000	109.88216400	
5.520000	110.55842590	
5.540000	111.40572357	
5.560000	112.43186951	
5.580000	113.69969940	
5.600000	115.21160126	
5.620000	117.01124573	
5.640000	119.06663513	
5.660000	121.31935883	
5.680000	123.60924530	
5.700000	125.76139832	
5.720000	127.53747559	
5.740000	128.74612427	
5.760000	129.22270203	
5.780000	128.89933777	
5.800000	127.77481079	
5.820000	125.94167328	
5.840000	123.51310730	
5.860000	120.64018250	
5.880000	117.49688721	
5.900000	114.28810120	
5.920000	111.23436737	
5.940000	108.61121368	
5.960000	106.69431305	
5.980000	105.62525940	
6.000000	105.29592896	
6.020000	105.45957947	
6.040000	105.87632751	
6.060000	106.34865570	
6.080000	106.73642731	
6.100000	107.04841614	
6.120000	107.36336517	
6.140000	107.70852661	
6.160000	107.98272705	
6.180000	108.16646576	
6.200000	108.30313873	
6.220000	108.44529724	
6.240000	108.58998871	
6.260000	108.74188232	
6.280000	108.87784576	
6.300000	108.97373962	
6.320000	109.00785065	
6.340000	109.03370667	
6.360000	109.10397339	
6.380000	109.29504395	
6.400000	109.62424469	
6.420000	110.13709259	
6.440000	110.85222626	
6.460000	111.82971191	
6.480000	113.09053802	
6.500000	114.68605804	
6.520000	116.60709381	
6.540000	118.81111145	
6.560000	121.13446045	
6.580000	123.39793396	
6.600000	125.33615112	
6.620000	126.73355865	
6.640000	127.37741089	
6.660000	127.21453857	
6.680000	126.23410034	
6.700000	124.53704834	
6.720000	122.21554565	
6.740000	119.43231201	
6.760000	116.33127594	
6.780000	113.09337616	
6.800000	109.93502045	
6.820000	107.14126587	
6.840000	105.06291199	
6.860000	103.87760162	
6.880000	103.52369690	
6.900000	103.75852966	
6.920000	104.36270142	
6.940000	105.08547211	
6.960000	105.72128296	
6.980000	106.22657013	
7.000000	106.68026733	
7.020000	107.09432220	
7.040000	107.36611176	
7.060000	107.53507233	
7.080000	107.68781281	
7.100000	107.90826416	
7.120000	108.17609406	
7.140000	108.47992706	
7.160000	108.77151489	
7.180000	109.00585175	
7.200000	109.15359497	
7.220000	109.27146912	
7.240000	109.43052673	
7.260000	109.68920898	
7.280000	110.05569458	
7.300000	110.57386780	
7.320000	111.26728821	
7.340000	112.21468353	
7.360000	113.43629456	
7.380000	115.01720428	
7.400000	116.90423584	
7.420000	119.04937744	
7.440000	121.25702667	
7.460000	123.36253357	
7.480000	125.08178711	
7.500000	126.23098755	
7.520000	126.62419128	
7.540000	126.22380066	
7.560000	125.01629639	
7.580000	123.12348938	
7.600000	120.66304016	
7.620000	117.80813599	
7.640000	114.70762634	
7.660000	111.57220459	
7.680000	108.67094421	
7.700000	106.33682251	
7.720000	104.83507538	
7.740000	104.17789459	
7.760000	104.18064117	
7.780000	104.58729553	
7.800000	105.16533661	
7.820000	105.70038605	
7.840000	106.11293793	
7.860000	106.48471832	
7.880000	106.85406494	
7.900000	107.16771698	
7.920000	107.36726379	
7.940000	107.53746033	
7.960000	107.73309326	
7.980000	107.97875214	
8.000000	108.26381683	
8.020000	108.57943726	
8.040000	108.87211609	
8.059999	109.10831451	
8.080000	109.29577637	
8.099999	109.48921204	
8.120000	109.70970154	
8.139999	109.99417114	
8.160000	110.34268951	
8.179999	110.78793335	
8.200000	111.32691956	
8.220000	112.04248047	
8.240000	112.97658539	
8.260000	114.20684814	
8.280000	115.72726440	
8.300000	117.54719543	
8.320000	119.57102203	
8.340000	121.70564270	
8.360000	123.76068878	
8.380000	125.57339478	
8.400000	126.89546204	
8.420000	127.56402588	
8.440000	127.41893005	
8.460000	126.43626404	
8.480000	124.63728333	
8.500000	122.15664673	
8.520000	119.15885162	
8.540000	115.84077454	
8.559999	112.45400238	
8.580000	109.28344727	
8.599999	106.69277191	
8.620000	104.93901062	
8.639999	104.06695557	
8.660000	103.88526917	
8.679999	104.15344238	
8.700000	104.65231323	
8.720000	105.15087128	
8.740000	105.56680298	
8.760000	105.93071747	
8.780000	106.30364227	
8.800000	106.59247589	
8.820000	106.78308105	
8.840000	106.92468262	
8.860000	107.09774017	
8.880000	107.30330658	
8.900000	107.56003571	
8.920000	107.85573578	
8.940000	108.15528107	
8.960000	108.43247986	
8.980000	108.69969177	
9.000000	108.98590088	
9.020000	109.31510162	
9.040000	109.70211029	
9.059999	110.18946838	
9.080000	110.81221771	
9.099999	111.65357208	
9.120000	112.76239777	
9.139999	114.21513367	
9.160000	115.99230194	
9.179999	118.07423401	
9.200000	120.31060028	
9.220000	122.56224823	
9.240000	124.58799744	
9.260000	126.19613647	
9.280000	127.17454529	
9.300000	127.41976929	
9.320000	126.87957764	
9.340000	125.60559082	
9.360000	123.66753387	
9.380000	121.21806335	
9.400000	118.38687897	
9.420000	115.33935547	
9.440000	112.23376465	
9.460000	109.30673981	
9.480000	106.80453491	
9.500000	105.01529694	
9.520000	104.05184174	
9.540000	103.83593750	
9.559999	104.12595367	
9.580000	104.70968628	
9.599999	105.35777283	
9.620000	105.91722870	
9.639999	106.36553955	
9.660000	106.78779602	
9.679999	107.16441345	
9.700000	107.43222046	
9.719999	107.60134125	
9.740000	107.75196838	
9.760000	107.91959381	
9.780000	108.12953186	
9.800000	108.37242889	
9.820000	108.61904144	
9.840000	108.81316376	
9.860000	108.94810486	
9.880000	109.03208160	
9.900000	109.12750244	
9.920000	109.27388000	
9.940000	109.53997803	
9.960000	109.92335510	
9.980000	110.47125244	
10.000000	111.19813538	
10.020000	112.17231750	
10.040000	113.41759491	
10.059999	114.98167419	
10.080000	116.83662415	
10.099999	118.94119263	
10.120000	121.16474152	
10.139999	123.34046936	
10.160000	125.25395203	
10.179999	126.67793274	
10.200000	127.39535522	
10.219999	127.28631592	
10.240000	126.28744507	
10.260000	124.45697021	
10.280000	121.89311218	
10.300000	118.81111145	
10.320000	115.42892456	
10.340000	112.02198792	
10.360000	108.89648438	
10.380000	106.42380524	
10.400000	104.85613251	
10.420000	104.19622040	
10.440000	104.21875763	
10.460000	104.70223236	
10.480000	105.42150879	
10.500000	106.17035675	
10.520000	106.82297516	
10.540000	107.44693756	
10.559999	108.02075958	
10.580000	108.46199799	
10.599999	108.72870636	
10.620000	108.95007324	
10.639999	109.17843628	
10.660000	109.43565369	
10.679999	109.71132660	
10.700000	109.99214172	
10.719999	110.20445251	
10.740000	110.36296082	
10.760000	110.52417755	
10.780000	110.76826477	
10.800000	111.11277771	
10.820000	111.59988403	
10.840000	112.22564697	
10.860000	113.02792358	
10.880000	114.03422546	
10.900000	115.32834625	
10.920000	116.93650055	
10.940000	118.87850189	
10.960000	121.08821106	
10.980000	123.47396851	
11.000000	125.84663391	
11.020000	128.00207520	
11.040000	129.64459229	
11.059999	130.55813599	
11.080000	130.53456116	
11.099999	129.54472351	
11.120000	127.60987091	
11.139999	124.90834045	
11.160000	121.59351349	
11.179999	117.92100525	
11.200000	114.11054993	
11.219999	110.47863770	
11.240000	107.36052704	
11.259999	105.12211609	
11.280000	103.91783142	
11.300000	103.62332153	
11.320000	103.95026398	
11.340000	104.65039825	
11.360000	105.46755219	
11.380000	106.20050049	
11.400000	106.80849457	
11.420000	107.35854340	
11.440000	107.83014679	
11.460000	108.17053986	
11.480000	108.43442535	
11.500000	108.73512268	
11.520000	109.09443665	
11.540000	109.48313904	
11.559999	109.85317230	
11.580000	110.17649078	
11.599999	110.42594910	
11.620000	110.65189362	
11.639999	110.91792297	
11.660000	111.29339600	
11.679999	111.81004333	
11.700000	112.51543427	
11.719999	113.43845367	
11.740000	114.64373016	
11.759999	116.15000916	
11.780000	117.97200012	
11.800000	120.04907990	
11.820000	122.31589508	
11.840000	124.58255005	
11.860000	126.63774109	
11.880000	128.20568848	
11.900000	129.07424927	
11.920000	129.06692505	
11.940000	128.13668823	
11.960000	126.34615326	
11.980000	123.84863281	
12.000000	120.80413818	
12.020000	117.38656616	
12.040000	113.81098175	
12.059999	110.35774994	
12.080000	107.41842651	
12.099999	105.37246704	
12.120000	104.35125732	
12.139999	104.18755341	
12.160000	104.60473633	
12.179999	105.30791473	
12.200000	106.01236725	
12.219999	106.55464172	
12.240000	107.00571442	
12.259999	107.46169281	
12.280000	107.87644958	
12.300000	108.18222046	
12.320000	108.42990875	
12.340000	108.68193817	
12.360000	108.93506622	
12.380000	109.18727112	
12.400000	109.43634796	
12.420000	109.69412231	
12.440000	109.94692230	
12.460000	110.25938416	
12.480000	110.66934967	
12.500000	111.27825165	
12.520000	112.13201141	
12.540000	113.33305359	
12.559999	114.88468933	
12.580000	116.79506683	
12.599999	118.95448303	
12.620000	121.25846100	
12.639999	123.46910095	
12.660000	125.38070679	
12.679999	126.71513367	
12.700000	127.31560516	
12.719999	127.01548767	
12.740000	125.82196045	
12.759999	123.78289795	
12.780000	121.09855652	
12.799999	117.97637939	
12.820000	114.68831635	
12.840000	111.54154968	
12.860000	108.91299438	
12.880000	107.13675690	
12.900000	106.26541138	
12.920000	106.12592316	
12.940000	106.50086975	
12.960000	107.15730286	
12.980000	107.83993530	
13.000000	108.38919067	
13.020000	108.86246490	
13.040000	109.26652527	
13.059999	109.53363800	
13.080000	109.63339996	
13.099999	109.68756104	
13.120000	109.74353790	
13.139999	109.79723358	
13.160000	109.84797668	
13.179999	109.89639282	
13.200000	109.93678284	
13.219999	109.98426056	
13.240000	110.11759186	
13.259999	110.37776184	
13.280000	110.79324341	
13.299999	111.36025238	
13.320000	112.11109161	
13.340000	113.07720947	
13.360000	114.31797028	
13.380000	115.87379456	
13.400000	117.74762726	
13.420000	119.90609741	
13.440000	122.22335815	
13.460000	124.56684113	
13.480000	126.73413086	
13.500000	128.54216003	
13.520000	129.73489380	
13.540000	130.16763306	
13.559999	129.70489502	
13.580000	128.36250305	
13.599999	126.18302155	
13.620000	123.34008789	
13.639999	120.03567505	
13.660000	116.50706482	
13.679999	112.98194885	
13.700000	109.75720978	
13.719999	107.19914246	
13.740000	105.55978394	
13.759999	104.83339691	
13.780000	104.80728149	
13.799999	105.23250580	
13.820000	105.83699799	
13.840000	106.37324524	
13.860000	106.76706696	
13.880000	107.08876801	
13.900000	107.37201691	
13.920000	107.54367828	
13.940000	107.59680939	
13.960000	107.59778595	
13.980000	107.60665131	
14.000000	107.63819122	
14.020000	107.71282196	
14.040000	107.81622314	
14.059999	107.92166138	
14.080000	108.02342224	
14.099999	108.17166901	
14.120000	108.41000366	
14.139999	108.76381683	
14.160000	109.26023865	
14.179999	109.93606567	
14.200000	110.82006836	
14.219999	111.95952606	
14.240000	113.39616394	
14.259999	115.16870117	
14.280000	117.22425842	
14.299999	119.49827576	
14.320000	121.83713531	
14.340000	124.11415100	
14.360000	126.09633636	
14.380000	127.61770630	
14.400000	128.46432495	
14.420000	128.56532288	
14.440000	127.85067749	
14.460000	126.38324738	
14.480000	124.22146606	
14.500000	121.51905060	
14.520000	118.41950989	
14.540000	115.12516785	
14.559999	111.86817169	
14.580000	108.95717621	
14.599999	106.74296570	
14.620000	105.44029236	
14.639999	104.99999237	
14.660000	105.17019653	
14.679999	105.69894409	
14.700000	106.34140015	
14.719999	106.88933563	
14.740000	107.29526520	
14.759999	107.64012909	
14.780000	107.96578979	
14.799999	108.20314026	
14.820000	108.35594177	
14.839999	108.51294708	
14.860000	108.71810913	
14.880000	108.97893524	
14.900000	109.28572845	
14.920000	109.62915802	
14.940000	109.96089935	
14.960000	110.25609589	
14.980000	110.52999878	
15.000000	110.80743408	
15.020000	111.11232758	
15.040000	111.44921112	
15.059999	111.86537933	
15.080000	112.40476990	
15.099999	113.15001678	
15.120000	114.15850830	
15.139999	115.50436401	
15.160000	117.22423553	
15.179999	119.31544495	
15.200000	121.70977020	
15.219999	124.28833008	
15.240000	126.86686707	
15.259999	129.21580505	
15.280000	131.06307983	
15.299999	132.17764282	
15.320000	132.41394043	
15.339999	131.72872925	
15.360000	130.16697693	
15.380000	127.83666992	
15.400000	124.89549255	
15.420000	121.50265503	
15.440000	117.82489777	
15.460000	114.08643341	
15.480000	110.62101746	
15.500000	107.79938507	
15.520000	105.96781921	
15.540000	105.18175507	
15.559999	105.24709320	
15.580000	105.80322266	
15.599999	106.55258942	
15.620000	107.20352936	
15.639999	107.67098236	
15.660000	108.03293610	
15.679999	108.41842651	
15.700000	108.78364563	
15.719999	109.07258606	
15.740000	109.30670929	
15.759999	109.53421783	
15.780000	109.76255798	
15.799999	110.01929474	
15.820000	110.32736969	
15.839999	110.68751526	
15.860000	111.11383057	
15.880000	111.66165924	
15.900000	112.40830231	
15.920000	113.42687988	
15.940000	114.81269073	
15.960000	116.58599091	
15.980000	118.76245117	
16.000000	121.24206543	
16.020000	123.91438293	
16.039999	126.51992798	
16.059999	128.81477356	
16.080000	130.46151733	
16.100000	131.24627686	
16.119999	131.00015259	
16.139999	129.72805786	
16.160000	127.50148010	
16.180000	124.48894501	
16.199999	120.89835358	
16.219999	116.97202301	
16.240000	112.99707794	
16.260000	109.41522217	
16.279999	106.71225739	
16.299999	105.13913727	
16.320000	104.60315704	
16.340000	104.89604950	
16.359999	105.70817566	
16.379999	106.66105652	
16.400000	107.43415833	
16.420000	108.01504517	
16.440001	108.44557953	
16.459999	108.69989014	
16.480000	108.74211884	
16.500000	108.71070862	
16.520000	108.68494415	
16.539999	108.67426300	
16.559999	108.65009308	
16.580000	108.61513519	
16.600000	108.54786682	
16.619999	108.46250153	
16.639999	108.41822815	
16.660000	108.48026276	
16.680000	108.68853760	
16.699999	109.04741669	
16.719999	109.55716705	
16.740000	110.25878906	
16.760000	111.20708466	
16.779999	112.46181488	
16.799999	114.04841614	
16.820000	115.97907257	
16.840000	118.16267395	
16.859999	120.46260071	
16.879999	122.66423035	
16.900000	124.57488251	
16.920000	125.96327209	
16.940001	126.68377686	
16.959999	126.64595032	
16.980000	125.88537598	
17.000000	124.45346069	
17.020000	122.46447754	
17.039999	120.03744507	
17.059999	117.30320740	
17.080000	114.40324402	
17.100000	111.55091095	
17.119999	109.06211090	
17.139999	107.27515411	
17.160000	106.32912445	
17.180000	106.11634827	
17.199999	106.41474915	
17.219999	107.01183319	
17.240000	107.65833282	
17.260000	108.19816589	
17.279999	108.64905548	
17.299999	109.10095215	
17.320000	109.51184082	
17.340000	109.81445313	
17.359999	110.04387665	
17.379999	110.27073669	
17.400000	110.49588013	
17.420000	110.71307373	
17.440001	110.89682007	
17.459999	111.02270508	
17.480000	111.04567719	
17.500000	111.02365112	
17.520000	110.98445892	
17.539999	111.00202179	
17.559999	111.07355499	
17.580000	111.26058960	
17.600000	111.53276062	
17.619999	111.95603180	
17.639999	112.56716919	
17.660000	113.49106598	
17.680000	114.74429321	
17.699999	116.37879944	
17.719999	118.32810211	
17.740000	120.54869080	
17.760000	122.85400391	
17.779999	125.09802246	
17.799999	127.03802490	
17.820000	128.49082947	
17.840000	129.21020508	
17.859999	129.11332703	
17.879999	128.13854980	
17.900000	126.37008667	
17.920000	123.89453888	
17.940001	120.90303802	
17.959999	117.59300232	
17.980000	114.23583221	
18.000000	111.17597198	
18.020000	108.83113861	
18.039999	107.45055389	
18.059999	106.97750092	
18.080000	107.13600922	
18.100000	107.65067291	
18.119999	108.21629333	
18.139999	108.64093781	
18.160000	108.88702393	
18.180000	109.12493896	
18.199999	109.32673645	
18.219999	109.43894196	
18.240000	109.41092682	
18.260000	109.35555267	
18.279999	109.26650238	
18.299999	109.21591949	
18.320000	109.22913361	
18.340000	109.33513641	
18.359999	109.46772003	
18.379999	109.62622070	
18.400000	109.80594635	
18.420000	110.02887726	
18.440001	110.31249237	
18.459999	110.70434570	
18.480000	111.24560547	
18.500000	112.01870728	
18.520000	113.09914398	
18.539999	114.57601166	
18.559999	116.44058228	
18.580000	118.69219208	
18.600000	121.17113495	
18.619999	123.70705414	
18.639999	125.98130798	
18.660000	127.75961304	
18.680000	128.77507019	
18.699999	128.92765808	
18.719999	128.15429688	
18.740000	126.54743958	
18.760000	124.21043396	
18.779999	121.31777954	
18.799999	118.04960632	
18.820000	114.64677429	
18.840000	111.41656494	
18.859999	108.76467896	
18.879999	107.01185608	
18.900000	106.21195221	
18.920000	106.17035675	
18.939999	106.64406586	
18.959999	107.34328461	
18.980000	107.97579193	
19.000000	108.42670441	
19.020000	108.77635956	
19.039999	109.07051086	
19.059999	109.24373627	
19.080000	109.29483795	
19.100000	109.29628754	
19.119999	109.25821686	
19.139999	109.17658234	
19.160000	109.07758331	
19.180000	108.99109650	
19.199999	108.90128326	
19.219999	108.83491516	
19.240000	108.81707764	
19.260000	108.87608337	
19.279999	109.00749969	
19.299999	109.23030090	
19.320000	109.54975891	
19.340000	110.00022125	
19.359999	110.60986328	
19.379999	111.41645813	
19.400000	112.44326019	
19.420000	113.75256348	
19.439999	115.34910583	
19.459999	117.25061035	
19.480000	119.42236328	
19.500000	121.80517578	
19.520000	124.22206116	
19.539999	126.46482086	
19.559999	128.25790405	
19.580000	129.37019348	
19.600000	129.60508728	
19.619999	128.89956665	
19.639999	127.27794647	
19.660000	124.87082672	
19.680000	121.85497284	
19.699999	118.43981934	
19.719999	114.84310150	
19.740000	111.33198547	
19.760000	108.20719910	
19.779999	105.81942749	
19.799999	104.38973999	
19.820000	103.89861298	
19.840000	104.06346893	
19.859999	104.62046051	
19.879999	105.29584503	
19.900000	105.88605499	
19.920000	106.29385376	
19.939999	106.65396118	
19.959999	107.00061798	
19.980000	107.29846954	
20.000000	107.48046875	
20.020000	107.62567139	
