Time	Knee_Ankle_Angle_right X
0.000000	83.19409943	
0.020000	82.86264801	
0.040000	82.49420929	
0.060000	82.32692719	
0.080000	81.48863220	
0.100000	80.66580200	
0.120000	79.62503052	
0.140000	79.19613647	
0.160000	78.95584106	
0.180000	79.24621582	
0.200000	78.93241882	
0.220000	78.71073151	
0.240000	78.16795349	
0.260000	78.20953369	
0.280000	77.99525452	
0.300000	78.01790619	
0.320000	77.48915100	
0.340000	77.47262573	
0.360000	77.18369293	
0.380000	77.41857910	
0.400000	77.16990662	
0.420000	77.07567596	
0.440000	76.29417419	
0.460000	75.85533905	
0.480000	75.18441772	
0.500000	74.32164001	
0.520000	73.09947205	
0.540000	71.09985352	
0.560000	69.32958221	
0.580000	66.41298676	
0.600000	63.98804855	
0.620000	60.50240326	
0.640000	58.30207062	
0.660000	55.69246674	
0.680000	54.30969238	
0.700000	53.17596054	
0.720000	53.76096344	
0.740000	55.47851944	
0.760000	57.60895157	
0.780000	59.86894608	
0.800000	62.36349487	
0.820000	65.83341217	
0.840000	69.55005646	
0.860000	73.31584930	
0.880000	76.71527100	
0.900000	79.90872955	
0.920000	82.36921692	
0.940000	84.31126404	
0.960000	84.55944061	
0.980000	84.13850403	
1.000000	83.17364502	
1.020000	82.78171539	
1.040000	82.18182373	
1.060000	81.77165222	
1.080000	81.38124084	
1.100000	81.56824493	
1.120000	81.67573547	
1.140000	81.89204407	
1.160000	81.74604797	
1.180000	81.48118591	
1.200000	81.25732422	
1.220000	81.21144867	
1.240000	81.16080475	
1.260000	81.03274536	
1.280000	80.84324646	
1.300000	80.75754547	
1.320000	80.80306244	
1.340000	80.86362457	
1.360000	80.85515594	
1.380000	80.73531342	
1.400000	80.57641602	
1.420000	80.28305054	
1.440000	79.80770874	
1.460000	79.13770294	
1.480000	78.26537323	
1.500000	77.25383759	
1.520000	76.08722687	
1.540000	74.67051697	
1.560000	73.03673553	
1.580000	71.00408173	
1.600000	68.78185272	
1.620000	66.23644257	
1.640000	63.79418564	
1.660000	61.41111374	
1.680000	59.37908173	
1.700000	57.77918625	
1.720000	57.02664948	
1.740000	57.14566803	
1.760000	58.09620285	
1.780000	59.63320923	
1.800000	61.67955399	
1.820000	64.08518982	
1.840000	66.96418762	
1.860000	70.28379059	
1.880000	73.80366516	
1.900000	77.15515900	
1.920000	79.99188232	
1.940000	82.27500153	
1.960000	83.65613556	
1.980000	84.01412964	
2.000000	83.73260498	
2.020000	83.53849792	
2.040000	83.40321350	
2.060000	83.01615906	
2.080000	82.13639069	
2.100000	81.25597382	
2.120000	80.99565887	
2.140000	81.17540741	
2.160000	81.51589966	
2.180000	81.45439148	
2.200000	81.05690765	
2.220000	80.78325653	
2.240000	80.70909882	
2.260000	80.66077423	
2.280000	80.48571014	
2.300000	80.13425446	
2.320000	79.82366180	
2.340000	79.53687286	
2.360000	79.39503479	
2.380000	79.30132294	
2.400000	79.16736603	
2.420000	78.96304321	
2.440000	78.58192444	
2.460000	77.97216797	
2.480000	77.02573395	
2.500000	75.67267609	
2.520000	74.08372498	
2.540000	72.01332855	
2.560000	69.71357727	
2.580000	67.11525726	
2.600000	64.62586975	
2.620000	62.17284393	
2.640000	59.96054459	
2.660000	58.04660416	
2.680000	56.88258362	
2.700000	56.49920273	
2.720000	56.97614288	
2.740000	58.12805939	
2.760000	59.84288025	
2.780000	61.96351624	
2.800000	64.47772217	
2.820000	67.43330383	
2.840000	70.65364075	
2.860000	74.11320496	
2.880000	77.38906097	
2.900000	80.47740936	
2.920000	82.98975372	
2.940000	84.96697235	
2.960000	86.03157806	
2.980000	86.10633850	
3.000000	85.63494873	
3.020000	85.04730225	
3.040000	84.56302643	
3.060000	83.87030792	
3.080000	82.91165924	
3.100000	82.19192505	
3.120000	81.90196991	
3.140000	81.98814392	
3.160000	82.00571442	
3.180000	81.75917816	
3.200000	81.47331238	
3.220000	81.29748535	
3.240000	81.25457001	
3.260000	81.14970398	
3.280000	80.95279694	
3.300000	80.69284058	
3.320000	80.46713257	
3.340000	80.31454468	
