Time	Left_Forefoot_y_baseline X
0.000000	-0.00804648	
0.020000	-0.00728826	
0.040000	-0.00556140	
0.060000	-0.00223255	
0.080000	0.00194091	
0.100000	0.00676775	
0.120000	0.01110905	
0.140000	0.01434641	
0.160000	0.01550768	
0.180000	0.01403935	
0.200000	0.01039997	
0.220000	0.00545357	
0.240000	0.00050840	
0.260000	-0.00398766	
0.280000	-0.00688049	
0.300000	-0.00798158	
0.320000	-0.00709912	
0.340000	-0.00474997	
0.360000	-0.00123239	
0.380000	0.00330257	
0.400000	0.00792882	
0.420000	0.01195489	
0.440000	0.01449789	
0.460000	0.01516357	
0.480000	0.01337203	
0.500000	0.00952795	
0.520000	0.00451767	
0.540000	-0.00053108	
0.560000	-0.00480707	
0.580000	-0.00718878	
0.600000	-0.00756788	
0.620000	-0.00575669	
0.640000	-0.00293714	
0.660000	0.00104493	
0.680000	0.00490211	
0.700000	0.00837342	
0.720000	0.01001187	
0.740000	0.00937380	
0.760000	0.00640318	
0.780000	0.00231080	
0.800000	-0.00181864	
0.820000	-0.00532231	
0.840000	-0.00733636	
0.860000	-0.00761640	
0.880000	-0.00607438	
0.900000	-0.00314470	
0.920000	0.00070164	
0.940000	0.00514120	
0.960000	0.00921762	
0.980000	0.01204577	
1.000000	0.01218824	
1.020000	0.00983541	
1.040000	0.00570822	
1.060000	0.00113171	
1.080000	-0.00318420	
1.100000	-0.00599454	
1.120000	-0.00699963	
1.140000	-0.00564656	
1.160000	-0.00286385	
1.180000	0.00134481	
1.200000	0.00579071	
1.220000	0.01026630	
1.240000	0.01338862	
1.260000	0.01486082	
1.280000	0.01381235	
1.300000	0.01081429	
1.320000	0.00644392	
1.340000	0.00166619	
1.360000	-0.00267737	
1.380000	-0.00585331	
1.400000	-0.00740740	
1.420000	-0.00720842	
1.440000	-0.00568709	
1.460000	-0.00253572	
1.480000	0.00167683	
1.500000	0.00679949	
1.520000	0.01161426	
1.540000	0.01569928	
1.560000	0.01783124	
1.580000	0.01738909	
1.600000	0.01436913	
1.620000	0.00946940	
1.640000	0.00398873	
1.660000	-0.00117670	
1.680000	-0.00471722	
1.700000	-0.00610960	
1.720000	-0.00512211	
1.740000	-0.00215559	
1.760000	0.00190856	
1.780000	0.00668915	
1.800000	0.01114079	
1.820000	0.01460986	
1.840000	0.01575394	
1.860000	0.01399903	
1.880000	0.00982107	
1.900000	0.00436375	
1.920000	-0.00094743	
1.940000	-0.00521894	
1.960000	-0.00746717	
1.980000	-0.00751261	
2.000000	-0.00548321	
