Time	Left_Hand_y_baseline X
0.000000	-0.03080571	
0.020000	-0.02300525	
0.040000	-0.00785464	
0.060000	0.01220614	
0.080000	0.02981609	
0.100000	0.03821355	
0.120000	0.03568786	
0.140000	0.01884472	
0.160000	-0.00298882	
0.180000	-0.02018744	
0.200000	-0.02576005	
0.220000	-0.02219266	
0.240000	-0.01079232	
0.260000	0.00777692	
0.280000	0.02549279	
0.300000	0.03457361	
0.320000	0.03115737	
0.340000	0.01293194	
0.360000	-0.00750005	
0.380000	-0.02265024	
0.400000	-0.02561277	
0.420000	-0.01845872	
0.440000	-0.00381815	
0.460000	0.01515102	
0.480000	0.02706146	
0.500000	0.02904356	
0.520000	0.01822579	
0.540000	-0.00118268	
0.560000	-0.01814038	
0.580000	-0.02598196	
0.600000	-0.02492857	
0.620000	-0.01595688	
0.640000	-0.00048029	
0.660000	0.02082455	
0.680000	0.03493667	
0.700000	0.03957933	
0.720000	0.03106356	
0.740000	0.00874293	
0.760000	-0.01156253	
0.780000	-0.02479076	
0.800000	-0.02490216	
0.820000	-0.01811028	
0.840000	-0.00307089	
0.860000	0.01740551	
0.880000	0.03118032	
0.900000	0.03388339	
0.920000	0.02343845	
0.940000	0.00212801	
0.960000	-0.01858461	
0.980000	-0.02893567	
1.000000	-0.02564472	
1.020000	-0.01136184	
1.040000	0.00718200	
1.060000	0.02721614	
1.080000	0.03866947	
1.100000	0.04099238	
1.120000	0.03097373	
1.140000	0.00779462	
1.160000	-0.01302302	
1.180000	-0.02571231	
1.200000	-0.02547377	
1.220000	-0.01761156	
1.240000	-0.00172007	
1.260000	0.02007604	
1.280000	0.03478438	
1.300000	0.03900427	
1.320000	0.03044593	
1.340000	0.00829226	
1.360000	-0.01155144	
1.380000	-0.02440757	
1.400000	-0.02433312	
1.420000	-0.01622528	
1.440000	-0.00169086	
1.460000	0.01740468	
1.480000	0.02852350	
1.500000	0.03058392	
1.520000	0.02048063	
1.540000	0.00028014	
1.560000	-0.01901686	
1.580000	-0.02883327	
1.600000	-0.02831244	
1.620000	-0.01942062	
1.640000	-0.00449365	
1.660000	0.01605958	
1.680000	0.03178132	
1.700000	0.03794336	
1.720000	0.03258669	
1.740000	0.01401389	
1.760000	-0.00755316	
1.780000	-0.02335209	
1.800000	-0.02786255	
1.820000	-0.02272290	
1.840000	-0.00972301	
1.860000	0.00989050	
1.880000	0.02757579	
1.900000	0.03726363	
1.920000	0.03576565	
1.940000	0.02090538	
1.960000	-0.00192130	
1.980000	-0.02008677	
2.000000	-0.02798581	
2.020000	-0.02412206	
2.040000	-0.01249677	
2.060000	0.00595766	
2.080000	0.02207154	
2.100000	0.02929032	
2.120000	0.02406216	
2.140000	0.00505000	
2.160000	-0.01314443	
2.180000	-0.02567488	
2.200000	-0.02580643	
2.220000	-0.02032161	
2.240000	-0.00787210	
2.260000	0.01086622	
2.280000	0.02828705	
2.300000	0.03925663	
2.320000	0.04037172	
2.340000	0.02675050	
2.360000	0.00328511	
2.380000	-0.01691222	
2.400000	-0.02648282	
2.420000	-0.02377480	
2.440000	-0.01354438	
2.460000	0.00434071	
2.480000	0.02236652	
2.500000	0.03369963	
2.520000	0.03412116	
2.540000	0.02138811	
2.560000	-0.00005525	
2.580000	-0.01850486	
2.600000	-0.02693480	
2.620000	-0.02386105	
2.640000	-0.01277000	
2.660000	0.00664401	
2.680000	0.02669263	
2.700000	0.04040080	
2.720000	0.04133081	
2.740000	0.02614570	
2.760000	0.00196654	
2.780000	-0.01830339	
2.800000	-0.02646732	
2.820000	-0.02248549	
2.840000	-0.00926512	
2.860000	0.01265901	
2.880000	0.03364694	
2.900000	0.04455209	
2.920000	0.04123116	
2.940000	0.02283776	
2.960000	-0.00164825	
2.980000	-0.02067745	
3.000000	-0.02796268	
3.020000	-0.02197176	
3.040000	-0.00650114	
3.060000	0.01605457	
3.080000	0.03595835	
3.100000	0.04529476	
3.120000	0.04042441	
3.140000	0.01941764	
3.160000	-0.00520086	
3.180000	-0.02273595	
3.200000	-0.02568692	
3.220000	-0.01410395	
3.240000	0.00674498	
3.260000	0.03272241	
3.280000	0.04896510	
3.300000	0.05194038	
3.320000	0.03826559	
3.340000	0.01078391	
3.360000	-0.01270860	
3.380000	-0.02563053	
3.400000	-0.02334064	
3.420000	-0.01371127	
3.440000	0.00339401	
3.460000	0.02467346	
3.480000	0.03929675	
3.500000	0.04350221	
3.520000	0.03436148	
3.540000	0.01107442	
3.560000	-0.01056308	
3.580000	-0.02417082	
3.600000	-0.02451336	
3.620000	-0.01843876	
3.640000	-0.00432152	
3.660000	0.01564771	
3.680000	0.03198707	
3.700000	0.03863043	
3.720000	0.03419483	
3.740000	0.01515079	
3.760000	-0.00669485	
3.780000	-0.02350765	
3.800000	-0.02747333	
3.820000	-0.02191037	
3.840000	-0.00795352	
3.860000	0.01287520	
3.880000	0.03107858	
3.900000	0.04061157	
3.920000	0.03650719	
3.940000	0.01578122	
3.960000	-0.00752902	
3.980000	-0.02458256	
4.000000	-0.02776003	
4.020000	-0.02534509	
4.040000	-0.01568121	
4.060000	0.00114822	
4.080000	0.01918185	
4.100000	0.03097755	
4.120000	0.03239799	
4.140000	0.02066535	
4.160000	-0.00157529	
4.180000	-0.02020627	
4.200000	-0.02937967	
4.220000	-0.02298880	
4.240000	-0.00655299	
4.260000	0.01763326	
4.280000	0.03781295	
4.300000	0.04485077	
4.320000	0.03564870	
4.340000	0.00943875	
4.360000	-0.01428461	
4.380000	-0.02922243	
4.400000	-0.02884322	
4.420000	-0.02207667	
4.440000	-0.00711173	
4.460000	0.01513666	
4.480000	0.03519994	
4.500000	0.04646254	
4.520000	0.04509825	
4.540000	0.02667117	
4.560000	0.00062889	
4.580000	-0.02013421	
4.600000	-0.02775854	
4.620000	-0.02067661	
4.640000	-0.00406581	
4.660000	0.01859498	
4.680000	0.03576469	
4.700000	0.04034376	
4.720000	0.02927673	
4.740000	0.00504839	
4.760000	-0.01869112	
4.780000	-0.03034478	
4.800000	-0.02802426	
4.820000	-0.01603395	
4.840000	0.00041026	
4.860000	0.02037543	
4.880000	0.03344047	
4.900000	0.03637594	
4.920000	0.02387363	
4.940000	0.00168896	
4.960000	-0.01741457	
4.980000	-0.02612585	
5.000000	-0.02187991	
5.020000	-0.00847495	
5.040000	0.01038867	
5.060000	0.02782065	
5.080000	0.03485370	
5.100000	0.02717799	
5.120000	0.00547791	
5.140000	-0.01492262	
5.160000	-0.02675349	
5.180000	-0.02522182	
5.200000	-0.01870531	
5.220000	-0.00430495	
5.240000	0.01477128	
5.260000	0.03349495	
5.280000	0.04443872	
5.300000	0.04328960	
5.320000	0.02698797	
5.340000	0.00091064	
5.360000	-0.01931244	
5.380000	-0.02884048	
5.400000	-0.02457517	
5.420000	-0.00930679	
5.440000	0.01410538	
5.460000	0.03764147	
5.480000	0.05018997	
5.500000	0.04795671	
5.520000	0.02833182	
5.540000	-0.00008446	
5.560000	-0.02205592	
5.580000	-0.02992851	
5.600000	-0.02470994	
5.620000	-0.00907737	
5.640000	0.01205391	
5.660000	0.03111970	
5.680000	0.03739315	
5.700000	0.02750492	
5.720000	0.00190347	
5.740000	-0.02107722	
5.760000	-0.03429645	
5.780000	-0.02972651	
5.800000	-0.01714534	
5.820000	0.00452834	
5.840000	0.02590370	
5.860000	0.03909606	
5.880000	0.03575742	
5.900000	0.01342845	
5.920000	-0.00982195	
5.940000	-0.02537000	
5.960000	-0.02559578	
5.980000	-0.01789784	
6.000000	-0.00277895	
6.020000	0.01761377	
6.040000	0.03093028	
6.060000	0.03054875	
6.080000	0.01273996	
6.100000	-0.00991303	
6.120000	-0.02656674	
6.140000	-0.03021008	
6.160000	-0.02569920	
6.180000	-0.01372886	
6.200000	0.00366575	
6.220000	0.02349532	
6.240000	0.03605366	
6.260000	0.03691703	
6.280000	0.02141744	
6.300000	-0.00207496	
6.320000	-0.02029324	
6.340000	-0.02793854	
6.360000	-0.02422041	
6.380000	-0.01168686	
6.400000	0.00854510	
6.420000	0.03037506	
6.440000	0.04336560	
6.460000	0.04127473	
6.480000	0.02061594	
6.500000	-0.00605667	
6.520000	-0.02434450	
6.540000	-0.02920288	
6.560000	-0.02433312	
6.580000	-0.01111686	
6.600000	0.00957572	
6.620000	0.03230917	
6.640000	0.04623818	
6.660000	0.04784644	
6.680000	0.03291947	
6.700000	0.00453359	
6.720000	-0.01941961	
6.740000	-0.03189331	
6.760000	-0.02983439	
6.780000	-0.01793694	
6.800000	0.00314373	
6.820000	0.02923656	
6.840000	0.04650158	
6.860000	0.04907703	
6.880000	0.03415275	
6.900000	0.00499028	
6.920000	-0.01932329	
6.940000	-0.03202385	
6.960000	-0.02819896	
6.980000	-0.01444727	
7.000000	0.00700980	
7.020000	0.02909034	
7.040000	0.04070383	
7.060000	0.03504062	
7.080000	0.01068795	
7.100000	-0.01483071	
7.120000	-0.03147578	
7.140000	-0.03214818	
7.160000	-0.02681404	
7.180000	-0.01241702	
7.200000	0.00824672	
7.220000	0.02875388	
7.240000	0.04000354	
7.260000	0.03541672	
7.280000	0.01358879	
7.300000	-0.01090556	
7.320000	-0.02644205	
7.340000	-0.02850950	
7.360000	-0.02115881	
7.380000	-0.00504839	
7.400000	0.01737207	
7.420000	0.03580552	
7.440000	0.04363662	
7.460000	0.03580135	
7.480000	0.01082790	
7.500000	-0.01347882	
7.520000	-0.02902383	
7.540000	-0.02685559	
7.560000	-0.01544136	
7.580000	0.00526619	
7.600000	0.02761322	
7.620000	0.04233962	
7.640000	0.04407990	
7.660000	0.02976352	
7.680000	0.00458276	
7.700000	-0.01708406	
7.720000	-0.02747893	
7.740000	-0.02238905	
7.760000	-0.00739986	
7.780000	0.01596767	
7.800000	0.03740811	
7.820000	0.04778624	
7.840000	0.04223341	
7.860000	0.01828825	
7.880000	-0.00776511	
7.900000	-0.02565593	
7.920000	-0.02806824	
7.940000	-0.02056444	
7.960000	-0.00522894	
7.980000	0.01667219	
8.000000	0.03355747	
8.020000	0.03972995	
8.040000	0.02949375	
8.059999	0.00517845	
8.080000	-0.01631814	
8.099999	-0.02833438	
8.120000	-0.02754325	
8.139999	-0.02120048	
8.160000	-0.00760752	
8.179999	0.01408434	
8.200000	0.03235263	
8.220000	0.04109114	
8.240000	0.03219330	
8.260000	0.00614965	
8.280000	-0.01764774	
8.300000	-0.03088880	
8.320000	-0.02885818	
8.340000	-0.02062470	
8.360000	-0.00467980	
8.380000	0.01810759	
8.400000	0.03808963	
8.420000	0.04730672	
8.440000	0.04074812	
8.460000	0.01532906	
8.480000	-0.01119667	
8.500000	-0.02857405	
8.520000	-0.03009278	
8.540000	-0.02171457	
8.559999	-0.00483203	
8.580000	0.01867598	
8.599999	0.03817993	
8.620000	0.04527980	
8.639999	0.03584749	
8.660000	0.00834978	
8.679999	-0.01662248	
8.700000	-0.03120327	
8.720000	-0.02843493	
8.740000	-0.01447225	
8.760000	0.00668943	
8.780000	0.02976298	
8.800000	0.04199982	
8.820000	0.03819358	
8.840000	0.01737237	
8.860000	-0.00822639	
8.880000	-0.02589232	
8.900000	-0.02947730	
8.920000	-0.02198941	
8.940000	-0.00528759	
8.960000	0.01626992	
8.980000	0.03345752	
9.000000	0.03608716	
9.020000	0.02014929	
9.040000	-0.00417459	
9.059999	-0.02284461	
9.080000	-0.02893335	
9.099999	-0.02630949	
9.120000	-0.01900041	
9.139999	-0.00262630	
9.160000	0.01719570	
9.179999	0.03462893	
9.200000	0.03918546	
9.220000	0.02559292	
9.240000	-0.00087774	
9.260000	-0.02313286	
9.280000	-0.03293878	
9.300000	-0.02939135	
9.320000	-0.01991946	
9.340000	-0.00194305	
9.360000	0.01806515	
9.380000	0.03213483	
9.400000	0.03281975	
9.420000	0.01480561	
9.440000	-0.00912338	
9.460000	-0.02773845	
9.480000	-0.03297567	
9.500000	-0.02977753	
9.520000	-0.02010447	
9.540000	-0.00226706	
9.559999	0.01731020	
9.580000	0.02994007	
9.599999	0.02783203	
9.620000	0.00776190	
9.639999	-0.01460636	
9.660000	-0.02913058	
9.679999	-0.03040540	
9.700000	-0.02355009	
9.719999	-0.01009154	
9.740000	0.01036292	
9.760000	0.02907455	
9.780000	0.04003668	
9.800000	0.03777361	
9.820000	0.01753646	
9.840000	-0.00713962	
9.860000	-0.02506816	
9.880000	-0.02907276	
9.900000	-0.02515781	
9.920000	-0.01541799	
9.940000	0.00204003	
9.960000	0.02083564	
9.980000	0.03344458	
10.000000	0.03237903	
10.020000	0.01458490	
10.040000	-0.00826919	
10.059999	-0.02470553	
10.080000	-0.02908534	
