Time	Left_Heel_y_baseline X
0.000000	0.01525067	
0.020000	0.02506212	
0.040000	0.03160281	
0.060000	0.03722113	
0.080000	0.03937226	
0.100000	0.03823660	
0.120000	0.03026640	
0.140000	0.01691626	
0.160000	0.00052117	
0.180000	-0.01530579	
0.200000	-0.02763903	
0.220000	-0.03429665	
0.240000	-0.03645578	
0.260000	-0.03415692	
0.280000	-0.02920640	
0.300000	-0.02156107	
0.320000	-0.01276076	
0.340000	-0.00113085	
0.360000	0.01125006	
0.380000	0.02405448	
0.400000	0.03423105	
0.420000	0.04205494	
0.440000	0.04593679	
0.460000	0.04586364	
0.480000	0.04005115	
0.500000	0.02895404	
0.520000	0.01409487	
0.540000	-0.00293349	
0.560000	-0.01825190	
0.580000	-0.02990235	
0.600000	-0.03537211	
0.620000	-0.03678742	
0.640000	-0.03504293	
0.660000	-0.03072917	
0.680000	-0.02405617	
0.700000	-0.01401252	
0.720000	-0.00159934	
0.740000	0.01264052	
0.760000	0.02630258	
0.780000	0.03960239	
0.800000	0.04901419	
0.820000	0.05468264	
0.840000	0.05355191	
0.860000	0.04601754	
0.880000	0.03218493	
0.900000	0.01326352	
0.920000	-0.00533530	
0.940000	-0.02279536	
0.960000	-0.03277017	
0.980000	-0.03796315	
1.000000	-0.03723001	
1.020000	-0.03402418	
1.040000	-0.02801876	
1.060000	-0.01895420	
1.080000	-0.00786428	
1.100000	0.00602667	
1.120000	0.02009229	
1.140000	0.03420845	
1.160000	0.04524721	
1.180000	0.05219536	
1.200000	0.05314548	
1.220000	0.04676136	
1.240000	0.03457790	
1.260000	0.01687907	
1.280000	-0.00129770	
1.300000	-0.01785615	
1.320000	-0.02838264	
1.340000	-0.03389350	
1.360000	-0.03470637	
1.380000	-0.03226799	
1.400000	-0.02683337	
1.420000	-0.01838627	
1.440000	-0.00784847	
1.460000	0.00515094	
1.480000	0.01776446	
1.500000	0.02889033	
1.520000	0.03534083	
1.540000	0.03661231	
1.560000	0.03127755	
1.580000	0.01988415	
1.600000	0.00366639	
1.620000	-0.01428828	
1.640000	-0.02672529	
1.660000	-0.03409569	
1.680000	-0.03481753	
1.700000	-0.03235531	
1.720000	-0.02614872	
1.740000	-0.01723273	
1.760000	-0.00727211	
1.780000	0.00636037	
1.800000	0.01957182	
1.820000	0.03355093	
1.840000	0.04452311	
1.860000	0.05325603	
1.880000	0.05753443	
1.900000	0.05697574	
1.920000	0.05070238	
1.940000	0.03960650	
1.960000	0.02454926	
1.980000	0.00755253	
2.000000	-0.00914297	
2.020000	-0.02352048	
2.040000	-0.03157163	
2.060000	-0.03598791	
2.080000	-0.03567949	
2.100000	-0.03257620	
2.120000	-0.02604885	
2.140000	-0.01631323	
2.160000	-0.00476387	
2.180000	0.00988899	
2.200000	0.02513610	
2.220000	0.04085106	
