Time	Left_paced_y_baseline X
0.000000	-0.02524069	
0.020000	-0.02728117	
0.040000	-0.02798146	
0.060000	-0.02735440	
0.080000	-0.02732128	
0.100000	-0.02731828	
0.120000	-0.02730331	
0.140000	-0.02762423	
0.160000	-0.02793036	
0.180000	-0.02789757	
0.200000	-0.02754401	
0.220000	-0.02736573	
0.240000	-0.02752936	
0.260000	-0.02739935	
0.280000	-0.02709389	
0.300000	-0.02699602	
0.320000	-0.02717662	
0.340000	-0.02737255	
0.360000	-0.02735724	
0.380000	-0.02751954	
0.400000	-0.02766652	
0.420000	-0.02781799	
0.440000	-0.02779585	
0.460000	-0.02777389	
0.480000	-0.02776240	
0.500000	-0.02757163	
0.520000	-0.02738103	
0.540000	-0.02738103	
0.560000	-0.02757163	
0.580000	-0.02757163	
0.600000	-0.02738103	
0.620000	-0.02738103	
0.640000	-0.02757163	
0.660000	-0.02757163	
0.680000	-0.02738103	
0.700000	-0.02738103	
0.720000	-0.02757163	
0.740000	-0.02762224	
0.760000	-0.02748208	
0.780000	-0.02729131	
0.800000	-0.02724105	
0.820000	-0.02719045	
0.840000	-0.02719045	
0.860000	-0.02722307	
0.880000	-0.02725586	
0.900000	-0.02744646	
0.920000	-0.02760459	
0.940000	-0.02776240	
0.960000	-0.02776240	
0.980000	-0.02744164	
1.000000	-0.02712086	
1.020000	-0.02694708	
1.040000	-0.02707724	
1.060000	-0.02720726	
1.080000	-0.02719045	
1.100000	-0.02738103	
1.120000	-0.02757163	
1.140000	-0.02757163	
1.160000	-0.02738103	
1.180000	-0.02719045	
1.200000	-0.02719045	
1.220000	-0.02738103	
1.240000	-0.02757163	
1.260000	-0.02792519	
1.280000	-0.02808817	
1.300000	-0.02825113	
1.320000	-0.02825113	
1.340000	-0.02789757	
1.360000	-0.02754401	
1.380000	-0.02719045	
1.400000	-0.02719045	
1.420000	-0.02724105	
1.440000	-0.02729131	
1.460000	-0.02729131	
1.480000	-0.02724105	
1.500000	-0.02689031	
1.520000	-0.02676031	
1.540000	-0.02676031	
1.560000	-0.02706027	
1.580000	-0.02719045	
1.600000	-0.02719045	
1.620000	-0.02724105	
1.640000	-0.02729131	
1.660000	-0.02729131	
1.680000	-0.02724105	
1.700000	-0.02735424	
1.720000	-0.02751787	
1.740000	-0.02768166	
1.760000	-0.02768166	
1.780000	-0.02787159	
1.800000	-0.02806136	
1.820000	-0.02808817	
1.840000	-0.02792519	
1.860000	-0.02757163	
1.880000	-0.02738103	
1.900000	-0.02719045	
1.920000	-0.02719045	
1.940000	-0.02719045	
1.960000	-0.02719045	
1.980000	-0.02719045	
2.000000	-0.02719045	
2.020000	-0.02719045	
2.040000	-0.02719045	
2.060000	-0.02691345	
2.080000	-0.02661049	
2.100000	-0.02444151	
2.120000	-0.01957005	
2.140000	-0.01234785	
2.160000	-0.00699133	
2.180000	-0.00371689	
2.200000	-0.00281900	
2.220000	-0.00145535	
2.240000	-0.00103088	
2.260000	-0.00173268	
2.280000	-0.00490275	
2.300000	-0.01392555	
2.320000	-0.02181044	
2.340000	-0.02808499	
2.360000	-0.02846536	
2.380000	-0.02885720	
2.400000	-0.02885720	
2.420000	-0.02880810	
2.440000	-0.02875750	
2.460000	-0.02870873	
2.480000	-0.02870722	
2.500000	-0.02875766	
2.520000	-0.02880660	
2.540000	-0.02852446	
2.560000	-0.02818155	
2.580000	-0.02781217	
2.600000	-0.02777556	
2.620000	-0.02757962	
2.640000	-0.02739486	
2.660000	-0.02722557	
2.680000	-0.02722557	
2.700000	-0.02724087	
2.720000	-0.02722540	
2.740000	-0.02722557	
2.760000	-0.02722557	
2.780000	-0.02724087	
2.800000	-0.02722540	
2.820000	-0.02722557	
2.840000	-0.02721009	
2.860000	-0.02690879	
2.880000	-0.02656588	
2.900000	-0.02241836	
2.920000	-0.01257390	
2.940000	0.00135949	
2.960000	0.01351209	
2.980000	0.02200389	
3.000000	0.02638113	
3.020000	0.02649665	
3.040000	0.01846628	
3.060000	-0.00003995	
3.080000	-0.01669696	
3.100000	-0.02781117	
3.120000	-0.02844921	
3.140000	-0.02856624	
3.160000	-0.02841176	
3.180000	-0.02831239	
3.200000	-0.02835666	
3.220000	-0.02855875	
3.240000	-0.02870557	
3.260000	-0.02866128	
3.280000	-0.02845921	
3.300000	-0.02826327	
3.320000	-0.02825728	
3.340000	-0.02812661	
3.360000	-0.02797963	
3.380000	-0.02781217	
3.400000	-0.02776472	
3.420000	-0.02750705	
3.440000	-0.02724804	
3.460000	-0.02571444	
3.480000	-0.02343194	
3.500000	-0.01861641	
3.520000	-0.01480830	
3.540000	-0.00941448	
3.560000	-0.00559223	
3.580000	0.00113976	
3.600000	0.00574006	
3.620000	0.01188976	
3.640000	0.01485159	
3.660000	0.01871963	
3.680000	0.02004930	
3.700000	0.02110950	
3.720000	0.02075677	
3.740000	0.01717837	
3.760000	0.01300621	
3.780000	0.00667556	
3.800000	0.00202051	
3.820000	-0.00776936	
3.840000	-0.01672558	
3.860000	-0.02509038	
3.880000	-0.02745761	
3.900000	-0.02797963	
3.920000	-0.02754284	
3.940000	-0.02737555	
3.960000	-0.02764487	
3.980000	-0.02789590	
4.000000	-0.02787758	
4.020000	-0.02785894	
4.040000	-0.02785894	
4.060000	-0.02785894	
4.080000	-0.02785894	
4.100000	-0.02770197	
4.120000	-0.02754484	
4.140000	-0.02706960	
4.160000	-0.02675115	
4.180000	-0.02176683	
4.200000	-0.01045370	
4.220000	0.00568345	
4.240000	0.01921168	
4.260000	0.03013381	
4.280000	0.03811657	
4.300000	0.04680762	
4.320000	0.05170089	
4.340000	0.05534088	
4.360000	0.05621579	
4.380000	0.05684734	
4.400000	0.05684734	
4.420000	0.05590551	
4.440000	0.05495902	
4.460000	0.05193677	
4.480000	0.04648236	
4.500000	0.03259791	
4.520000	0.01028442	
4.540000	-0.01218122	
4.560000	-0.02622165	
4.580000	-0.02916017	
4.600000	-0.02856325	
4.620000	-0.02845038	
4.640000	-0.02894011	
4.660000	-0.02924323	
4.680000	-0.02905314	
4.700000	-0.02904731	
4.720000	-0.02924323	
4.740000	-0.02943332	
