Time	Left_paced_y_velocity X
0.000000	-0.07842115	
0.020000	-0.04487745	
0.040000	-0.01133376	
0.060000	-0.01170747	
0.080000	0.00416643	
0.100000	-0.00077734	
0.120000	-0.00683131	
0.140000	-0.00414681	
0.160000	-0.00127939	
0.180000	-0.00006494	
0.200000	0.00303332	
0.220000	0.00725072	
0.240000	0.00728431	
0.260000	0.00349941	
0.280000	0.00152619	
0.300000	0.00135687	
0.320000	-0.00180912	
0.340000	-0.00589502	
0.360000	-0.00694555	
0.380000	-0.00530388	
0.400000	-0.00416270	
0.420000	-0.00357423	
0.440000	-0.00088016	
0.460000	0.00295943	
0.480000	0.00472106	
0.500000	0.00307647	
0.520000	0.00178808	
0.540000	0.00205630	
0.560000	0.00111200	
0.580000	-0.00127119	
0.600000	-0.00127113	
0.620000	0.00127101	
0.640000	0.00127094	
0.660000	-0.00122910	
0.680000	-0.00148155	
0.700000	0.00031181	
0.720000	0.00097106	
0.740000	0.00094740	
0.760000	0.00260572	
0.780000	0.00441006	
0.800000	0.00368158	
0.820000	0.00152917	
0.840000	-0.00086154	
0.860000	-0.00316749	
0.880000	-0.00513159	
0.900000	-0.00598201	
0.920000	-0.00402468	
0.940000	0.00071687	
0.960000	0.00531860	
0.980000	0.00709754	
1.000000	0.00647840	
1.020000	0.00435027	
1.040000	0.00000559	
1.060000	-0.00495879	
1.080000	-0.00616597	
1.100000	-0.00337704	
1.120000	-0.00076027	
1.140000	0.00109809	
1.160000	0.00222307	
1.180000	0.00140648	
1.200000	-0.00258448	
1.220000	-0.00752744	
1.240000	-0.01024548	
1.260000	-0.01024361	
1.280000	-0.00641085	
1.300000	0.00030013	
1.320000	0.00684795	
1.340000	0.01026392	
1.360000	0.01082668	
1.380000	0.00833422	
1.400000	0.00421051	
1.420000	0.00042388	
1.440000	0.00084427	
1.460000	0.00415488	
1.480000	0.00545941	
1.500000	0.00400264	
1.520000	0.00145032	
1.540000	-0.00124754	
1.560000	-0.00415426	
1.580000	-0.00545929	
1.600000	-0.00400301	
1.620000	-0.00106357	
1.640000	-0.00082745	
1.660000	-0.00220283	
1.680000	-0.00343025	
1.700000	-0.00379843	
1.720000	-0.00503994	
1.740000	-0.00700261	
1.760000	-0.00672321	
1.780000	-0.00424888	
1.800000	-0.00071234	
1.820000	0.00298011	
1.840000	0.00710220	
1.860000	0.00929578	
1.880000	0.00847944	
1.900000	0.00560265	
1.920000	0.00272275	
1.940000	0.00079405	
1.960000	-0.00015864	
1.980000	-0.00023109	
2.000000	0.00113292	
2.020000	0.00270804	
2.040000	0.01283641	
2.060000	0.04763521	
2.080000	0.11214144	
2.100000	0.17736566	
2.120000	0.21937127	
2.140000	0.22798042	
2.160000	0.20329137	
2.180000	0.14928387	
2.200000	0.08258307	
2.220000	0.02358275	
2.240000	-0.05912499	
2.260000	-0.15999284	
2.280000	-0.24502082	
2.300000	-0.27683079	
2.320000	-0.26068732	
2.340000	-0.19872727	
2.360000	-0.10739840	
2.380000	-0.03209721	
2.400000	0.00036315	
2.420000	-0.00006755	
2.440000	0.00165769	
2.460000	0.00027095	
2.480000	0.00084589	
2.500000	0.00368723	
2.520000	0.00728406	
2.540000	0.00948812	
2.560000	0.01119921	
2.580000	0.01213215	
2.600000	0.01065383	
2.620000	0.00761145	
2.640000	0.00544973	
2.660000	0.00455510	
2.680000	0.00260801	
2.700000	0.00070545	
2.720000	-0.00024320	
2.740000	0.00000081	
2.760000	0.00008879	
2.780000	-0.00018763	
2.800000	0.00137575	
2.820000	0.00176666	
2.840000	0.01950536	
2.860000	0.08913858	
2.880000	0.21443295	
2.900000	0.34975949	
2.920000	0.45463783	
2.940000	0.50174409	
2.960000	0.45784456	
2.980000	0.29832870	
3.000000	0.02042806	
3.020000	-0.27390429	
3.040000	-0.48479494	
3.060000	-0.56519437	
3.080000	-0.52607036	
3.100000	-0.38439101	
3.120000	-0.19361040	
3.140000	-0.04720419	
3.160000	0.00597443	
3.180000	-0.00078889	
3.200000	-0.00205481	
3.220000	-0.00227379	
3.240000	-0.00035434	
3.260000	0.00194323	
3.280000	0.00448953	
3.300000	0.00656352	
3.320000	0.00685236	
3.340000	0.00548959	
3.360000	0.00601311	
3.380000	0.00719807	
3.400000	0.01406315	
3.420000	0.03040910	
3.440000	0.06644605	
3.460000	0.10892931	
3.480000	0.15371349	
3.500000	0.19035022	
3.520000	0.22555600	
3.540000	0.24639732	
3.560000	0.25711980	
3.580000	0.25673369	
3.600000	0.24536459	
3.620000	0.21909478	
3.640000	0.17231168	
3.660000	0.12368213	
3.680000	0.05725061	
3.700000	-0.01600005	
3.720000	-0.09737346	
3.740000	-0.16083308	
3.760000	-0.23835689	
3.780000	-0.31652045	
3.800000	-0.36778665	
3.820000	-0.36808673	
3.840000	-0.32588595	
3.860000	-0.25302646	
3.880000	-0.15034074	
3.900000	-0.06018260	
3.920000	-0.00866837	
3.940000	0.00043040	
3.960000	-0.00048050	
3.980000	-0.00457037	
4.000000	-0.00383574	
4.020000	-0.00077635	
4.040000	0.00115633	
4.060000	0.00216799	
4.080000	0.00536702	
4.100000	0.00572763	
4.120000	0.02696836	
4.140000	0.10753903	
4.160000	0.25080165	
4.180000	0.40202793	
4.200000	0.52420962	
4.220000	0.59486318	
4.240000	0.59759229	
4.260000	0.52244842	
4.280000	0.40973595	
4.300000	0.30894202	
4.320000	0.22293340	
4.340000	0.14258875	
4.360000	0.06780118	
4.380000	0.01749886	
4.400000	-0.02205501	
4.420000	-0.06489695	
4.440000	-0.16033360	
4.460000	-0.34299043	
4.480000	-0.57243472	
4.500000	-0.74652153	
4.520000	-0.79025406	
4.540000	-0.70061082	
4.560000	-0.50572520	
4.580000	-0.27022710	
4.600000	-0.08319601	
4.620000	-0.00263341	
4.640000	0.00097969	
4.660000	-0.00712629	
4.680000	-0.00693537	
4.700000	-0.00304120	
4.720000	-0.00262248	
4.740000	-0.00418114	
4.760000	-0.00307175	
4.780000	-0.00082043	
4.800000	0.00016329	
4.820000	0.00000012	
4.840000	-0.00000012	
4.860000	-0.00011753	
4.880000	0.00058475	
4.900000	0.00193429	
4.920000	0.00470274	
4.940000	0.00707308	
4.960000	0.01328860	
4.980000	0.03848124	
5.000000	0.11967149	
5.020000	0.25563490	
5.040000	0.41566724	
5.060000	0.56163794	
5.080000	0.67105204	
5.100000	0.71256948	
5.120000	0.67856884	
5.140000	0.60087389	
5.160000	0.52045339	
5.180000	0.44256455	
5.200000	0.35796893	
5.220000	0.27743992	
5.240000	0.20334707	
5.260000	0.13741842	
5.280000	0.07664295	
5.300000	0.03103901	
5.320000	-0.00406176	
5.340000	-0.02444792	
5.360000	-0.04655149	
5.380000	-0.07110387	
5.400000	-0.10748952	
5.420000	-0.15303344	
5.440000	-0.21891038	
5.460000	-0.33475807	
5.480000	-0.55514812	
5.500000	-0.81299740	
5.520000	-0.97944832	
5.540000	-0.98761362	
5.560000	-0.84999865	
5.580000	-0.59732258	
5.600000	-0.29337195	
5.620000	-0.07064749	
5.640000	0.01064197	
5.660000	0.00424925	
5.680000	0.00003806	
5.700000	-0.00353437	
5.720000	-0.00336598	
5.740000	-0.00084123	
5.760000	0.00016807	
5.780000	0.00000019	
5.800000	0.00000019	
5.820000	0.00000019	
5.840000	0.00000019	
5.860000	0.00000019	
5.880000	0.00000019	
5.900000	0.00000019	
5.920000	0.00000019	
5.940000	-0.00304251	
5.960000	0.00852439	
5.980000	0.08243828	
6.000000	0.23860289	
6.020000	0.44456092	
6.040000	0.64890164	
6.060000	0.80068576	
6.080000	0.85383731	
6.100000	0.78822291	
6.120000	0.65136844	
6.140000	0.50393200	
6.160000	0.37931380	
6.180000	0.27678430	
6.200000	0.19706467	
6.220000	0.13280164	
6.240000	0.07711082	
6.260000	0.03688126	
6.280000	0.00775787	
6.300000	-0.00941723	
6.320000	-0.02227069	
6.340000	-0.02684351	
6.360000	-0.03536966	
6.380000	-0.04424955	
6.400000	-0.05861832	
6.420000	-0.07275933	
6.440000	-0.09245707	
6.460000	-0.12162472	
6.480000	-0.16313966	
6.500000	-0.22604597	
6.520000	-0.34319514	
6.540000	-0.56392807	
6.560000	-0.80878007	
6.580000	-0.95772541	
6.600000	-0.94043756	
6.620000	-0.78660429	
6.640000	-0.53231311	
6.660000	-0.25101370	
6.680000	-0.05418439	
6.700000	0.01016575	
6.720000	-0.00352114	
6.740000	-0.01227389	
6.760000	-0.01050550	
6.780000	-0.00239443	
6.800000	0.00091369	
6.820000	-0.00043890	
6.840000	0.00081025	
6.860000	0.00330632	
6.880000	0.00818191	
6.900000	0.01727547	
6.920000	0.03882695	
6.940000	0.07359358	
6.960000	0.14643534	
6.980000	0.26356438	
7.000000	0.41091424	
7.020000	0.55703664	
7.040000	0.67148590	
7.060000	0.72066730	
7.080000	0.69231409	
7.100000	0.60516506	
7.120000	0.49158195	
7.140000	0.37646315	
7.160000	0.27087456	
7.180000	0.18844222	
7.200000	0.11935537	
7.220000	0.06235503	
7.240000	0.01732515	
7.260000	-0.01107935	
7.280000	-0.03427877	
7.300000	-0.04704288	
7.320000	-0.05131561	
7.340000	-0.04443481	
7.360000	-0.03800720	
7.380000	-0.04662000	
7.400000	-0.07641464	
7.420000	-0.13109854	
7.440000	-0.22978252	
7.460000	-0.40596575	
7.480000	-0.65050632	
7.500000	-0.86230445	
7.520000	-0.94372010	
7.540000	-0.87304080	
7.560000	-0.67869681	
