Time	Right_Forefoot_y_baseline X
0.000000	-0.00796762	
0.020000	-0.01777907	
0.040000	-0.02184400	
0.060000	-0.02190790	
0.080000	-0.02197139	
0.100000	-0.02229913	
0.120000	-0.02172215	
0.140000	-0.02027519	
0.160000	-0.01924534	
0.180000	-0.01486954	
0.200000	-0.00692996	
0.220000	0.00499500	
0.240000	0.01607034	
0.260000	0.02467564	
0.280000	0.02858441	
0.300000	0.02947864	
0.320000	0.02673677	
0.340000	0.01858351	
0.360000	0.00354455	
0.380000	-0.00996998	
0.400000	-0.01771456	
0.420000	-0.01846413	
0.440000	-0.01911919	
0.460000	-0.01949890	
0.480000	-0.01947671	
0.500000	-0.01820379	
0.520000	-0.01703176	
0.540000	-0.01240939	
0.560000	-0.00646107	
0.580000	0.00325051	
0.600000	0.01100332	
0.620000	0.01677470	
0.640000	0.01759496	
0.660000	0.01255609	
0.680000	0.00214916	
0.700000	-0.00968786	
0.720000	-0.01784071	
0.740000	-0.02061217	
0.760000	-0.02074532	
0.780000	-0.02060354	
0.800000	-0.02101634	
0.820000	-0.01895480	
0.840000	-0.01647800	
0.860000	-0.01107565	
0.880000	-0.00566074	
0.900000	0.00400235	
0.920000	0.01191562	
0.940000	0.01881467	
0.960000	0.02112113	
0.980000	0.01833570	
1.000000	0.00912526	
1.020000	-0.00336190	
1.040000	-0.01241288	
1.060000	-0.01611473	
1.080000	-0.01626267	
1.100000	-0.01648787	
1.120000	-0.01711230	
1.140000	-0.01569042	
1.160000	-0.01350477	
1.180000	-0.00799638	
1.200000	-0.00230266	
1.220000	0.00664003	
1.240000	0.01345176	
1.260000	0.01832995	
1.280000	0.01956815	
1.300000	0.01532055	
1.320000	0.00550540	
1.340000	-0.00656505	
1.360000	-0.01483954	
1.380000	-0.01778688	
1.400000	-0.01823646	
1.420000	-0.01830755	
1.440000	-0.01841831	
1.460000	-0.01679321	
1.480000	-0.01491064	
1.500000	-0.00923355	
1.520000	-0.00264335	
1.540000	0.00779194	
1.560000	0.01511446	
1.580000	0.01963061	
1.600000	0.01978184	
1.620000	0.01406223	
1.640000	0.00291251	
1.660000	-0.00870097	
1.680000	-0.01524925	
1.700000	-0.01626842	
1.720000	-0.01680923	
1.740000	-0.01738703	
1.760000	-0.01800817	
1.780000	-0.01601322	
1.800000	-0.01341149	
1.820000	-0.00687963	
1.840000	-0.00014886	
1.860000	0.00920171	
1.880000	0.01466489	
1.900000	0.01812817	
1.920000	0.01754133	
1.940000	0.01125482	
1.960000	-0.00082612	
1.980000	-0.01158480	
2.000000	-0.01702909	
2.020000	-0.01717745	
2.040000	-0.01753394	
2.060000	-0.01767141	
2.080000	-0.01775585	
2.100000	-0.01579048	
2.120000	-0.01298697	
2.140000	-0.00610787	
2.160000	0.00118898	
2.180000	0.00857356	
2.200000	0.01179172	
2.220000	0.00892287	
2.240000	0.00097713	
2.260000	-0.00907657	
2.280000	-0.01595569	
2.300000	-0.01776838	
2.320000	-0.01790154	
2.340000	-0.01794921	
2.360000	-0.01874460	
2.380000	-0.01665759	
2.400000	-0.01387627	
2.420000	-0.00740010	
2.440000	-0.00030380	
2.460000	0.00971128	
2.480000	0.01603191	
2.500000	0.01924965	
2.520000	0.01888698	
2.540000	0.01259020	
2.560000	0.00051153	
2.580000	-0.01067682	
2.600000	-0.01632883	
2.620000	-0.01638512	
2.640000	-0.01765703	
2.660000	-0.01856934	
2.680000	-0.01911199	
2.700000	-0.01688053	
2.720000	-0.01445489	
2.740000	-0.00857830	
2.760000	-0.00343196	
2.780000	0.00538911	
2.800000	0.01137419	
2.820000	0.01477009	
2.840000	0.01176295	
2.860000	0.00090933	
2.880000	-0.00868185	
2.900000	-0.01618129	
2.920000	-0.01655073	
2.940000	-0.01782900	
2.960000	-0.01863344	
2.980000	-0.01700053	
3.000000	-0.01460654	
3.020000	-0.00781742	
3.040000	-0.00043592	
3.060000	0.00977702	
3.080000	0.01621519	
3.100000	0.01992013	
3.120000	0.02059716	
3.140000	0.01768310	
3.160000	0.00972217	
3.180000	-0.00326224	
3.200000	-0.01342505	
3.220000	-0.01879987	
3.240000	-0.01915617	
3.260000	-0.01937151	
3.280000	-0.01958643	
3.300000	-0.01773427	
3.320000	-0.01483625	
3.340000	-0.00787146	
3.360000	0.00057399	
3.380000	0.01103023	
3.400000	0.01852535	
3.420000	0.02404463	
3.440000	0.02545728	
3.460000	0.02215487	
3.480000	0.01446003	
3.500000	0.00107536	
3.520000	-0.00865884	
3.540000	-0.01651068	
3.560000	-0.01757175	
3.580000	-0.01887384	
3.600000	-0.01896508	
3.620000	-0.01754935	
3.640000	-0.01593226	
3.660000	-0.01186508	
3.680000	-0.00753284	
3.700000	0.00115508	
3.720000	0.00963669	
3.740000	0.01781584	
3.760000	0.02208152	
3.780000	0.02224919	
3.800000	0.01797961	
3.820000	0.00749379	
3.840000	-0.00447619	
3.860000	-0.01439674	
3.880000	-0.01854406	
3.900000	-0.01908055	
3.920000	-0.01873556	
3.940000	-0.01733832	
3.960000	-0.01633149	
3.980000	-0.01287355	
4.000000	-0.00909609	
4.020000	-0.00159912	
4.040000	0.00644504	
4.060000	0.01716819	
4.080000	0.02446605	
4.100000	0.02953143	
4.120000	0.03032766	
4.140000	0.02976014	
4.160000	0.02756402	
4.180000	0.02129988	
4.200000	0.01123282	
4.220000	-0.00167555	
4.240000	-0.01153488	
4.260000	-0.01710182	
4.280000	-0.01896816	
4.300000	-0.01946726	
4.320000	-0.01927884	
4.340000	-0.01641472	
4.360000	-0.01321423	
4.380000	-0.00693223	
4.400000	-0.00144583	
4.420000	0.00617155	
4.440000	0.01089625	
4.460000	0.01623964	
4.480000	0.01981677	
4.500000	0.02259541	
4.520000	0.02048579	
4.540000	0.01216199	
4.560000	0.00024934	
4.580000	-0.00893603	
4.600000	-0.01258218	
4.620000	-0.01298821	
4.640000	-0.01373367	
4.660000	-0.01332766	
4.680000	-0.01199083	
4.700000	-0.00712229	
4.720000	-0.00123379	
4.740000	0.00754619	
4.760000	0.01280184	
4.780000	0.01696374	
4.800000	0.01819742	
4.820000	0.01567581	
4.840000	0.00752400	
4.860000	-0.00368921	
4.880000	-0.01114036	
4.900000	-0.01394573	
4.920000	-0.01346450	
4.940000	-0.01320231	
4.960000	-0.01318999	
4.980000	-0.01050688	
5.000000	-0.00590383	
5.020000	0.00212595	
5.040000	0.00740913	
5.060000	0.01283862	
5.080000	0.01561603	
5.100000	0.01836076	
5.120000	0.01925191	
5.140000	0.01861905	
5.160000	0.01603663	
5.180000	0.00882342	
5.200000	-0.00017887	
5.220000	-0.00852035	
5.240000	-0.01243055	
5.260000	-0.01359560	
5.280000	-0.01358141	
5.300000	-0.01185276	
5.320000	-0.00831077	
5.340000	-0.00131699	
5.360000	0.00431056	
5.380000	0.00923026	
5.400000	0.01103434	
5.420000	0.01165774	
