Time	Right_Hand_y_baseline X
0.000000	-0.00558996	
0.020000	0.00614524	
0.040000	0.01390564	
0.060000	0.01012659	
0.080000	-0.00257117	
0.100000	-0.01552516	
0.120000	-0.02092695	
0.140000	-0.02084166	
0.160000	-0.02036995	
0.180000	-0.01486105	
0.200000	-0.00408232	
0.220000	0.01088095	
0.240000	0.02105689	
0.260000	0.02353698	
0.280000	0.01376218	
0.300000	-0.00173700	
0.320000	-0.01510537	
0.340000	-0.02059025	
0.360000	-0.02060062	
0.380000	-0.01933885	
0.400000	-0.01429754	
0.420000	-0.00459474	
0.440000	0.00600958	
0.460000	0.01078165	
0.480000	0.00371242	
0.500000	-0.00840455	
0.520000	-0.01839328	
0.540000	-0.02107060	
0.560000	-0.02090740	
0.580000	-0.01931190	
0.600000	-0.01304591	
0.620000	-0.00092530	
0.640000	0.01145244	
0.660000	0.01705915	
0.680000	0.00935191	
0.700000	-0.00457644	
0.720000	-0.01653570	
0.740000	-0.02081764	
0.760000	-0.02059960	
0.780000	-0.01931971	
0.800000	-0.01504302	
0.820000	-0.00535578	
0.840000	0.00621539	
0.860000	0.01544660	
0.880000	0.01720095	
0.900000	0.00773364	
0.920000	-0.00582433	
0.940000	-0.01730400	
0.960000	-0.02050805	
0.980000	-0.01980656	
1.000000	-0.01827830	
1.020000	-0.01054329	
1.040000	0.00088573	
1.060000	0.01467562	
1.080000	0.02225894	
1.100000	0.01856083	
1.120000	0.00342757	
1.140000	-0.01236022	
1.160000	-0.02124423	
1.180000	-0.02138776	
1.200000	-0.02085698	
1.220000	-0.01754165	
1.240000	-0.00964165	
1.260000	0.00381970	
1.280000	0.01587975	
1.300000	0.02127087	
1.320000	0.01448405	
1.340000	-0.00022477	
1.360000	-0.01370955	
1.380000	-0.02059853	
1.400000	-0.02094066	
1.420000	-0.01971161	
1.440000	-0.01697946	
1.460000	-0.00884169	
1.480000	-0.00057161	
1.500000	0.00398761	
1.520000	-0.00266111	
1.540000	-0.01182306	
1.560000	-0.01912767	
1.580000	-0.02021128	
1.600000	-0.02029246	
1.620000	-0.01831943	
1.640000	-0.01293743	
1.660000	-0.00220412	
1.680000	0.00759870	
1.700000	0.01159716	
1.720000	0.00312543	
1.740000	-0.00873357	
1.760000	-0.01864094	
1.780000	-0.02118641	
1.800000	-0.02111685	
1.820000	-0.02007246	
1.840000	-0.01847905	
1.860000	-0.01098329	
1.880000	-0.00096017	
1.900000	0.00957555	
1.920000	0.01189601	
1.940000	0.00173414	
1.960000	-0.00989395	
1.980000	-0.01932222	
2.000000	-0.01994824	
2.020000	-0.01931220	
2.040000	-0.01831436	
2.060000	-0.01306552	
2.080000	-0.00523871	
2.100000	0.00376153	
2.120000	0.00664026	
2.140000	-0.00209939	
2.160000	-0.01230037	
2.180000	-0.02040488	
2.200000	-0.02038604	
2.220000	-0.01979280	
2.240000	-0.01742280	
2.260000	-0.00995708	
2.280000	-0.00134188	
2.300000	0.00573862	
2.320000	0.00284952	
2.340000	-0.00608933	
2.360000	-0.01554316	
2.380000	-0.02042079	
2.400000	-0.02092010	
2.420000	-0.01988143	
2.440000	-0.01557368	
2.460000	-0.00486290	
2.480000	0.00875849	
2.500000	0.02052152	
2.520000	0.02265739	
2.540000	0.00968468	
2.560000	-0.00602514	
2.580000	-0.01846927	
2.600000	-0.02036107	
2.620000	-0.01979113	
2.640000	-0.01687777	
2.660000	-0.00602853	
2.680000	0.00897217	
2.700000	0.02497482	
2.720000	0.03286880	
2.740000	0.02708906	
2.760000	0.00803697	
2.780000	-0.01070631	
2.800000	-0.02076018	
2.820000	-0.02021134	
2.840000	-0.01942134	
2.860000	-0.01323223	
2.880000	-0.00134349	
2.900000	0.01616144	
2.920000	0.02878857	
2.940000	0.03057098	
2.960000	0.01642495	
2.980000	-0.00239110	
3.000000	-0.01679206	
3.020000	-0.02091408	
3.040000	-0.02091408	
3.060000	-0.01891071	
3.080000	-0.01098883	
3.100000	0.00504112	
3.120000	0.02527088	
3.140000	0.04131866	
3.160000	0.04555857	
3.180000	0.03224432	
3.200000	0.00870502	
3.220000	-0.01205343	
3.240000	-0.02146059	
3.260000	-0.02045077	
3.280000	-0.01422882	
3.300000	0.00011557	
3.320000	0.01807380	
3.340000	0.03661078	
3.360000	0.04720604	
3.380000	0.04520565	
3.400000	0.02585018	
3.420000	0.00123680	
3.440000	-0.01634264	
3.460000	-0.02048051	
3.480000	-0.01950753	
3.500000	-0.01485813	
3.520000	-0.00553173	
3.540000	0.01024461	
3.560000	0.02452934	
3.580000	0.03075689	
3.600000	0.02135956	
3.620000	0.00302821	
3.640000	-0.01310247	
3.660000	-0.01923823	
3.680000	-0.01806486	
3.700000	-0.01155651	
3.720000	-0.00029075	
3.740000	0.01659048	
3.760000	0.03002399	
3.780000	0.03418523	
3.800000	0.02196968	
3.820000	0.00186777	
3.840000	-0.01433140	
3.860000	-0.02022684	
3.880000	-0.01990247	
3.900000	-0.01493078	
3.920000	-0.00372320	
3.940000	0.01368088	
3.960000	0.02847725	
3.980000	0.03417468	
4.000000	0.02356464	
4.020000	0.00338233	
4.040000	-0.01377636	
4.060000	-0.02075440	
4.080000	-0.02016115	
4.100000	-0.01666445	
4.120000	-0.00714272	
4.140000	0.00979447	
4.160000	0.02716285	
4.180000	0.03727227	
4.200000	0.03268492	
4.220000	0.01139885	
4.240000	-0.00864118	
4.260000	-0.02147877	
4.280000	-0.02119619	
4.300000	-0.01916558	
4.320000	-0.01297408	
4.340000	0.00083023	
4.360000	0.01750243	
4.380000	0.03175831	
4.400000	0.03490037	
4.420000	0.02317858	
4.440000	0.00300133	
4.460000	-0.01387739	
4.480000	-0.02049094	
4.500000	-0.01960301	
4.520000	-0.01451093	
4.540000	-0.00291729	
4.560000	0.01257277	
4.580000	0.02604550	
4.600000	0.02919084	
4.620000	0.01594013	
4.640000	-0.00233668	
4.660000	-0.01679355	
4.680000	-0.01992100	
4.700000	-0.01973605	
4.720000	-0.01964384	
4.740000	-0.01239294	
4.760000	0.00129098	
4.780000	0.02081370	
4.800000	0.03339058	
4.820000	0.03313673	
4.840000	0.01621437	
4.860000	-0.00471509	
4.880000	-0.01943964	
4.900000	-0.02320433	
4.920000	-0.02299857	
4.940000	-0.02001154	
4.960000	-0.01158857	
4.980000	0.00338209	
5.000000	0.01858479	
5.020000	0.02774131	
5.040000	0.02587020	
5.060000	0.00894779	
5.080000	-0.00755042	
5.100000	-0.01985788	
5.120000	-0.02016693	
5.140000	-0.01954317	
5.160000	-0.01594001	
5.180000	-0.00546193	
5.200000	0.00816816	
5.220000	0.02152038	
5.240000	0.02766532	
5.260000	0.02313411	
5.280000	0.00602674	
5.300000	-0.01077378	
5.320000	-0.02092677	
5.340000	-0.02091181	
5.360000	-0.02090961	
5.380000	-0.01853275	
5.400000	-0.00994831	
5.420000	0.00498587	
5.440000	0.02075928	
5.460000	0.02948886	
5.480000	0.02655226	
5.500000	0.00846720	
5.520000	-0.00882334	
5.540000	-0.02083695	
5.560000	-0.02089071	
5.580000	-0.02016091	
5.600000	-0.01859403	
5.620000	-0.01220989	
5.640000	-0.00184029	
5.660000	0.01026857	
5.680000	0.01756698	
5.700000	0.01373667	
5.720000	0.00025874	
5.740000	-0.01346248	
5.760000	-0.02078414	
5.780000	-0.02007616	
5.800000	-0.01870412	
5.820000	-0.01096594	
5.840000	0.00087166	
5.860000	0.01578850	
5.880000	0.02429324	
5.900000	0.01980692	
5.920000	0.00378823	
5.940000	-0.01224381	
5.960000	-0.02048695	
5.980000	-0.01999259	
6.000000	-0.01866502	
6.020000	-0.01129532	
6.040000	0.00028461	
6.060000	0.01685405	
6.080000	0.02788931	
6.100000	0.02979636	
6.120000	0.01528740	
6.140000	-0.00344199	
6.160000	-0.01787817	
6.180000	-0.02108514	
6.200000	-0.02043653	
6.220000	-0.01811892	
6.240000	-0.00884479	
6.260000	0.00848484	
6.280000	0.02716243	
6.300000	0.03524381	
6.320000	0.02713591	
6.340000	0.00645727	
6.360000	-0.01112026	
6.380000	-0.02048552	
6.400000	-0.02040946	
6.420000	-0.01829362	
6.440000	-0.01019698	
6.460000	0.00448281	
6.480000	0.02044803	
6.500000	0.02994716	
6.520000	0.02758443	
6.540000	0.00879306	
6.560000	-0.00917709	
6.580000	-0.02149409	
6.600000	-0.02074558	
6.620000	-0.01936316	
6.640000	-0.01598388	
6.660000	-0.00614697	
6.680000	0.00650537	
6.700000	0.01706731	
6.720000	0.01738280	
6.740000	0.00338966	
6.760000	-0.01073265	
6.780000	-0.02077991	
6.800000	-0.02034223	
6.820000	-0.01933193	
6.840000	-0.01694220	
6.860000	-0.00736350	
6.880000	0.00539023	
6.900000	0.01655591	
6.920000	0.01618707	
6.940000	0.00202209	
6.960000	-0.01203352	
6.980000	-0.02155644	
7.000000	-0.02104384	
7.020000	-0.01915807	
7.040000	-0.01423633	
7.060000	-0.00306511	
7.080000	0.00956017	
7.100000	0.01855338	
7.120000	0.01732469	
7.140000	0.00273693	
7.160000	-0.01154774	
7.180000	-0.02166718	
7.200000	-0.02144217	
7.220000	-0.02030766	
7.240000	-0.01950443	
7.260000	-0.01270980	
7.280000	-0.00072688	
7.300000	0.01701140	
7.320000	0.02607614	
7.340000	0.02646774	
7.360000	0.01079905	
7.380000	-0.00477141	
7.400000	-0.01792395	
7.420000	-0.02055013	
7.440000	-0.02059281	
7.460000	-0.01924872	
7.480000	-0.01427662	
7.500000	-0.00154024	
7.520000	0.01581627	
7.540000	0.03081590	
7.560000	0.03375494	
7.580000	0.01914287	
7.600000	-0.00082916	
7.620000	-0.01652324	
7.640000	-0.02081430	
7.660000	-0.02090514	
7.680000	-0.02095926	
7.700000	-0.01545465	
7.720000	-0.00094801	
7.740000	0.02078372	
7.760000	0.03974807	
7.780000	0.04557461	
7.800000	0.03361213	
7.820000	0.00950807	
7.840000	-0.01100051	
7.860000	-0.02144539	
7.880000	-0.02213466	
7.900000	-0.02156264	
7.920000	-0.01592976	
7.940000	-0.00012958	
7.960000	0.02165759	
7.980000	0.04315358	
8.000000	0.05116767	
8.020000	0.04198188	
8.040000	0.01545048	
8.059999	-0.00744903	
8.080000	-0.02037913	
8.099999	-0.01985383	
8.120000	-0.01947975	
8.139999	-0.01209718	
8.160000	0.00214034	
8.179999	0.02250177	
8.200000	0.03638935	
8.220000	0.03878134	
8.240000	0.02519113	
8.260000	0.00356644	
8.280000	-0.01392287	
8.300000	-0.02198309	
8.320000	-0.02235377	
8.340000	-0.02210462	
8.360000	-0.01967221	
8.380000	-0.00840420	
8.400000	0.00973201	
8.420000	0.03074682	
8.440000	0.04276675	
8.460000	0.03880042	
8.480000	0.01755387	
8.500000	-0.00627458	
8.520000	-0.02149701	
8.540000	-0.02457088	
8.559999	-0.02471954	
8.580000	-0.02217340	
8.599999	-0.01167202	
8.620000	0.00861937	
8.639999	0.03098387	
8.660000	0.04497278	
8.679999	0.04435271	
8.700000	0.02776617	
8.720000	0.00439864	
8.740000	-0.01545674	
8.760000	-0.02371502	
8.780000	-0.02449036	
8.800000	-0.02148598	
8.820000	-0.01025760	
8.840000	0.00880080	
8.860000	0.03184682	
8.880000	0.04972583	
8.900000	0.05852878	
8.920000	0.05572933	
8.940000	0.03854322	
8.960000	0.01138318	
8.980000	-0.01141071	
9.000000	-0.02310038	
9.020000	-0.02205950	
9.040000	-0.01437116	
9.059999	0.00152045	
9.080000	0.02215070	
9.099999	0.03893906	
9.120000	0.04405618	
9.139999	0.03284007	
9.160000	0.00937659	
9.179999	-0.01082122	
9.200000	-0.02088422	
9.220000	-0.02034205	
9.240000	-0.01975739	
9.260000	-0.01226467	
9.280000	0.00183874	
9.300000	0.02435297	
9.320000	0.04633987	
9.340000	0.06422377	
9.360000	0.07000887	
9.380000	0.05728966	
9.400000	0.02582937	
9.420000	-0.00449532	
9.440000	-0.02233744	
9.460000	-0.02425998	
9.480000	-0.02112520	
9.500000	-0.01107234	
9.520000	0.00603855	
9.540000	0.02895421	
9.559999	0.05117959	
9.580000	0.06890285	
9.599999	0.07638901	
9.620000	0.06682038	
9.639999	0.04087150	
9.660000	0.00820798	
9.679999	-0.01378483	
9.700000	-0.02166247	
9.719999	-0.02091110	
9.740000	-0.01553708	
9.760000	-0.00472945	
9.780000	0.01308626	
9.800000	0.03157049	
9.820000	0.04493278	
9.840000	0.04624045	
9.860000	0.02953595	
9.880000	0.00546235	
9.900000	-0.01374012	
9.920000	-0.02055609	
9.940000	-0.01933992	
9.960000	-0.01298547	
9.980000	0.00121927	
10.000000	0.02018976	
10.020000	0.03856784	
10.040000	0.04921335	
10.059999	0.04443651	
10.080000	0.02122968	
10.099999	-0.00436372	
10.120000	-0.02080971	
10.139999	-0.02209824	
10.160000	-0.02052611	
10.179999	-0.01255399	
10.200000	0.00162959	
10.219999	0.02258831	
10.240000	0.04129058	
10.260000	0.05052119	
10.280000	0.04367936	
10.300000	0.01756197	
10.320000	-0.00656891	
10.340000	-0.02179712	
10.360000	-0.02176929	
10.380000	-0.02018631	
10.400000	-0.01387256	
10.420000	0.00067294	
10.440000	0.02097547	
10.460000	0.04116005	
10.480000	0.05133319	
10.500000	0.04342216	
10.520000	0.01723337	
10.540000	-0.00758672	
10.559999	-0.02149630	
10.580000	-0.02118266	
10.599999	-0.01915556	
10.620000	-0.01047593	
10.639999	0.00390238	
10.660000	0.02197838	
10.679999	0.03348142	
10.700000	0.03206778	
10.719999	0.01234221	
10.740000	-0.00717181	
10.760000	-0.02016824	
10.780000	-0.02025104	
10.800000	-0.02046567	
10.820000	-0.01895636	
10.840000	-0.01269943	
10.860000	0.00223708	
10.880000	0.02134317	
10.900000	0.03840446	
10.920000	0.04292721	
10.940000	0.03149879	
10.960000	0.00820851	
10.980000	-0.01269227	
11.000000	-0.02360183	
11.020000	-0.02478707	
11.040000	-0.02462500	
11.059999	-0.01763695	
11.080000	-0.00427181	
11.099999	0.01751149	
11.120000	0.03598338	
11.139999	0.04672217	
11.160000	0.04222131	
11.179999	0.02131587	
11.200000	-0.00456268	
11.219999	-0.02392328	
11.240000	-0.03025043	
11.259999	-0.02931648	
11.280000	-0.02602196	
11.300000	-0.01485133	
11.320000	0.00189960	
11.340000	0.02318758	
11.360000	0.04020268	
11.380000	0.04823786	
11.400000	0.04285860	
11.420000	0.02014601	
11.440000	-0.00252509	
11.460000	-0.01851487	
11.480000	-0.02077460	
11.500000	-0.02091408	
11.520000	-0.02091408	
11.540000	-0.01877892	
11.559999	-0.01290923	
11.580000	-0.00122958	
11.599999	0.01175773	
11.620000	0.02042699	
11.639999	0.01763904	
11.660000	0.00275981	
11.679999	-0.01163232	
11.700000	-0.02047390	
11.719999	-0.02084970	
11.740000	-0.02045429	
11.759999	-0.01601660	
11.780000	-0.00143051	
11.800000	0.01909542	
11.820000	0.03728265	
11.840000	0.04290396	
11.860000	0.03234172	
11.880000	0.00927424	
11.900000	-0.01347190	
11.920000	-0.02664870	
11.940000	-0.02769721	
11.960000	-0.02640432	
11.980000	-0.02229500	
12.000000	-0.01483727	
12.020000	0.00083095	
12.040000	0.01847512	
12.059999	0.03484881	
12.080000	0.04135841	
12.099999	0.03415418	
12.120000	0.01180404	
12.139999	-0.00980610	
12.160000	-0.02249509	
12.179999	-0.02266484	
12.200000	-0.02197117	
12.219999	-0.01690948	
12.240000	-0.00668460	
12.259999	0.01111948	
12.280000	0.02816790	
12.300000	0.03764391	
12.320000	0.03226674	
12.340000	0.01075035	
12.360000	-0.00900608	
12.380000	-0.02146858	
12.400000	-0.02140427	
12.420000	-0.02028412	
12.440000	-0.01816261	
12.460000	-0.00893790	
12.480000	0.00613546	
12.500000	0.02438110	
12.520000	0.03552359	
12.540000	0.03003651	
12.559999	0.01065081	
12.580000	-0.00986820	
12.599999	-0.02068710	
12.620000	-0.02164847	
12.639999	-0.02166808	
12.660000	-0.02047902	
12.679999	-0.01655596	
12.700000	-0.00448388	
12.719999	0.01112837	
12.740000	0.02451789	
12.759999	0.02596527	
12.780000	0.01267725	
12.799999	-0.00448811	
12.820000	-0.01790023	
12.840000	-0.02140713	
12.860000	-0.02097571	
12.880000	-0.02031285	
12.900000	-0.01524282	
12.920000	-0.00795186	
12.940000	0.00172848	
12.960000	0.00707525	
12.980000	0.00372320	
13.000000	-0.00611705	
13.020000	-0.01600003	
13.040000	-0.02032185	
13.059999	-0.02063465	
13.080000	-0.02090508	
13.099999	-0.01901317	
13.120000	-0.01040971	
13.139999	0.00637764	
13.160000	0.02612829	
13.179999	0.04003710	
13.200000	0.04216844	
13.219999	0.02962500	
13.240000	0.00661463	
13.259999	-0.01415068	
13.280000	-0.02478123	
13.299999	-0.02519810	
13.320000	-0.02426600	
13.340000	-0.02114606	
13.360000	-0.01246125	
13.380000	0.00365955	
13.400000	0.02221709	
13.420000	0.03517252	
13.440000	0.03661489	
13.460000	0.02286512	
13.480000	0.00229412	
13.500000	-0.01412451	
13.520000	-0.02038115	
13.540000	-0.02032769	
13.559999	-0.02020609	
13.580000	-0.01579630	
13.599999	-0.00416517	
13.620000	0.01236457	
13.639999	0.02460617	
13.660000	0.02551472	
13.679999	0.01226288	
13.700000	-0.00445753	
13.719999	-0.01725018	
13.740000	-0.02125365	
13.759999	-0.02178860	
13.780000	-0.02113187	
13.799999	-0.01958394	
13.820000	-0.00946593	
13.840000	0.00663382	
13.860000	0.02545971	
13.880000	0.03565377	
13.900000	0.03308630	
13.920000	0.01873749	
13.940000	-0.00137007	
13.960000	-0.01549977	
13.980000	-0.02094293	
14.000000	-0.02056509	
14.020000	-0.01998478	
14.040000	-0.01766527	
14.059999	-0.00775743	
14.080000	0.00657821	
14.099999	0.02099723	
14.120000	0.02730209	
14.139999	0.02141768	
14.160000	0.00442970	
14.179999	-0.01226830	
14.200000	-0.02158457	
14.219999	-0.02170926	
14.240000	-0.02158821	
14.259999	-0.01731795	
14.280000	-0.00671166	
14.299999	0.00882155	
14.320000	0.02041155	
14.340000	0.02437598	
14.360000	0.01854873	
14.380000	0.00312507	
14.400000	-0.01100922	
14.420000	-0.02042341	
14.440000	-0.02040946	
14.460000	-0.02043152	
14.480000	-0.02025372	
14.500000	-0.01590693	
14.520000	-0.00426346	
14.540000	0.01495022	
14.559999	0.03429925	
14.580000	0.04575264	
14.599999	0.04421788	
14.620000	0.02786028	
14.639999	0.00426084	
14.660000	-0.01508248	
14.679999	-0.02369606	
14.700000	-0.02445161	
14.719999	-0.02372402	
14.740000	-0.01806593	
14.759999	-0.00471926	
14.780000	0.01634640	
