Time	Right_Heel_y_baseline X
0.000000	-0.03758554	
0.020000	-0.02292411	
0.040000	-0.00534463	
0.060000	0.01598808	
0.080000	0.03922924	
0.100000	0.05867172	
0.120000	0.07025094	
0.140000	0.07395484	
0.160000	0.07012935	
0.180000	0.05667259	
0.200000	0.03520805	
0.220000	0.00683233	
0.240000	-0.01907344	
0.260000	-0.03907476	
0.280000	-0.04895598	
0.300000	-0.05026588	
0.320000	-0.04490593	
0.340000	-0.03402168	
0.360000	-0.01957066	
0.380000	-0.00168352	
0.400000	0.01807217	
0.420000	0.03874184	
0.440000	0.05717616	
0.460000	0.07212582	
0.480000	0.08061588	
0.500000	0.08260334	
0.520000	0.07633124	
0.540000	0.06113347	
0.560000	0.03910252	
0.580000	0.01112106	
0.600000	-0.01506372	
0.620000	-0.03572010	
0.640000	-0.04573497	
0.660000	-0.04797812	
0.680000	-0.04258870	
0.700000	-0.03276233	
0.720000	-0.01700450	
0.740000	0.00144497	
0.760000	0.02147801	
0.780000	0.04055735	
0.800000	0.05336950	
0.820000	0.05791678	
0.840000	0.05157467	
0.860000	0.03397164	
0.880000	0.00921876	
0.900000	-0.02005130	
0.920000	-0.03999060	
0.940000	-0.05128776	
0.960000	-0.05013487	
0.980000	-0.04467584	
1.000000	-0.03465073	
1.020000	-0.02159026	
1.040000	-0.00591452	
1.060000	0.01246719	
1.080000	0.03082761	
1.100000	0.04756413	
1.120000	0.06007721	
1.140000	0.06611349	
1.160000	0.06398683	
1.180000	0.05258242	
1.200000	0.03456958	
1.220000	0.01128790	
1.240000	-0.01108614	
1.260000	-0.03242356	
1.280000	-0.04510573	
1.300000	-0.05088735	
1.320000	-0.04924400	
1.340000	-0.04271357	
1.360000	-0.03277625	
1.380000	-0.01687656	
1.400000	0.00063208	
1.420000	0.02022277	
1.440000	0.03711609	
1.460000	0.04970348	
1.480000	0.05495615	
1.500000	0.05099413	
1.520000	0.03736582	
1.540000	0.01471892	
1.560000	-0.00951894	
1.580000	-0.03208354	
1.600000	-0.04481360	
1.620000	-0.05085234	
1.640000	-0.04854085	
1.660000	-0.04250067	
1.680000	-0.03346673	
1.700000	-0.02179292	
1.720000	-0.00925528	
1.740000	0.00557546	
1.760000	0.01774669	
1.780000	0.02740867	
1.800000	0.03107613	
1.820000	0.02880924	
1.840000	0.01914706	
1.860000	0.00173318	
1.880000	-0.01807675	
1.900000	-0.03665477	
1.920000	-0.04744384	
1.940000	-0.05029166	
1.960000	-0.04780740	
1.980000	-0.04073429	
2.000000	-0.03160965	
2.020000	-0.01670380	
2.040000	-0.00106347	
2.060000	0.01740360	
2.080000	0.03032691	
2.100000	0.03818627	
2.120000	0.03616136	
2.140000	0.02523472	
2.160000	0.00653408	
2.180000	-0.01659265	
2.200000	-0.03576185	
2.220000	-0.04678346	
2.240000	-0.05013487	
2.260000	-0.04568666	
2.280000	-0.03903300	
2.300000	-0.02626362	
2.320000	-0.01181816	
2.340000	0.00649069	
2.360000	0.02353814	
2.380000	0.04105683	
2.400000	0.05328824	
2.420000	0.05795383	
2.440000	0.05182686	
2.460000	0.03532084	
2.480000	0.01398547	
2.500000	-0.01172543	
2.520000	-0.03241290	
2.540000	-0.04583979	
2.560000	-0.05046751	
2.580000	-0.04774803	
2.600000	-0.04197478	
2.620000	-0.03133433	
2.640000	-0.01957394	
2.660000	-0.00482284	
2.680000	0.00950965	
2.700000	0.02210891	
2.720000	0.02879409	
2.740000	0.02738000	
2.760000	0.01678008	
2.780000	-0.00210090	
2.800000	-0.02276690	
2.820000	-0.03997852	
2.840000	-0.04852447	
2.860000	-0.05038910	
2.880000	-0.04757485	
2.900000	-0.03956400	
2.920000	-0.02886745	
2.940000	-0.01369487	
2.960000	0.00075266	
2.980000	0.01756839	
3.000000	0.03075802	
3.020000	0.04033402	
3.040000	0.04253457	
3.060000	0.03498881	
3.080000	0.01881851	
3.100000	-0.00408264	
3.120000	-0.02456214	
3.140000	-0.04000248	
3.160000	-0.04765877	
3.180000	-0.04846939	
3.200000	-0.04341835	
3.220000	-0.03389496	
3.240000	-0.02187541	
