Time	Right_paced_y_baseline X
0.000000	-0.01874967	
0.020000	-0.01844586	
0.040000	-0.01814190	
0.060000	-0.01783793	
0.080000	-0.01783793	
0.100000	-0.01783793	
0.120000	-0.01783793	
0.140000	-0.01783793	
0.160000	-0.01783793	
0.180000	-0.01783793	
0.200000	-0.01783793	
0.220000	-0.01783793	
0.240000	-0.01783793	
0.260000	-0.01783793	
0.280000	-0.01783793	
0.300000	-0.01783793	
0.320000	-0.01783793	
0.340000	-0.01804368	
0.360000	-0.01824929	
0.380000	-0.01824945	
0.400000	-0.01804368	
0.420000	-0.01804368	
0.440000	-0.01824929	
0.460000	-0.01824945	
0.480000	-0.01804368	
0.500000	-0.01783793	
0.520000	-0.01767391	
0.540000	-0.01767391	
0.560000	-0.01767391	
0.580000	-0.01783793	
0.600000	-0.01783793	
0.620000	-0.01804368	
0.640000	-0.01824929	
0.660000	-0.01824945	
0.680000	-0.01804368	
0.700000	-0.01783793	
0.720000	-0.01783793	
0.740000	-0.01783793	
0.760000	-0.01783793	
0.780000	-0.01783793	
0.800000	-0.01783793	
0.820000	-0.01783793	
0.840000	-0.01783793	
0.860000	-0.01804368	
0.880000	-0.01824929	
0.900000	-0.01824945	
0.920000	-0.01804368	
0.940000	-0.01783793	
0.960000	-0.01783793	
0.980000	-0.01783793	
1.000000	-0.01783793	
1.020000	-0.01783793	
1.040000	-0.01783793	
1.060000	-0.01783793	
1.080000	-0.01783793	
1.100000	-0.01783793	
1.120000	-0.01783793	
1.140000	-0.01783793	
1.160000	-0.01783793	
1.180000	-0.01783793	
1.200000	-0.01783793	
1.220000	-0.01783793	
1.240000	-0.01783793	
1.260000	-0.01783793	
1.280000	-0.01783793	
1.300000	-0.01783793	
1.320000	-0.01783793	
1.340000	-0.01783793	
1.360000	-0.01783793	
1.380000	-0.01783793	
1.400000	-0.01783793	
1.420000	-0.01783793	
1.440000	-0.01783793	
1.460000	-0.01783793	
1.480000	-0.01783793	
1.500000	-0.01804368	
1.520000	-0.01824929	
1.540000	-0.01824945	
1.560000	-0.01804368	
1.580000	-0.01783793	
1.600000	-0.01783793	
1.620000	-0.01783793	
1.640000	-0.01783793	
1.660000	-0.01783793	
1.680000	-0.01783793	
1.700000	-0.01783793	
1.720000	-0.01783793	
1.740000	-0.01783793	
1.760000	-0.01783793	
1.780000	-0.01783793	
1.800000	-0.01783793	
1.820000	-0.01783793	
1.840000	-0.01783793	
1.860000	-0.01783793	
1.880000	-0.01783793	
1.900000	-0.01783793	
1.920000	-0.01783793	
1.940000	-0.01804368	
1.960000	-0.01824929	
1.980000	-0.01609926	
2.000000	-0.00976226	
2.020000	0.00137950	
2.040000	0.01299828	
2.060000	0.02562335	
2.080000	0.03686050	
2.100000	0.04871276	
2.120000	0.05676670	
2.140000	0.06158050	
2.160000	0.06282362	
2.180000	0.06012110	
2.200000	0.05131123	
2.220000	0.03009075	
2.240000	0.00502886	
2.260000	-0.01398180	
2.280000	-0.02045894	
2.300000	-0.02007663	
2.320000	-0.01981507	
2.340000	-0.01968430	
2.360000	-0.01981507	
2.380000	-0.01976280	
2.400000	-0.01957975	
2.420000	-0.01939653	
2.440000	-0.01939653	
2.460000	-0.01866433	
2.480000	-0.01735657	
2.500000	-0.01287064	
2.520000	-0.00434603	
2.540000	0.01042955	
2.560000	0.02619271	
2.580000	0.04062040	
2.600000	0.04906984	
2.620000	0.05528592	
2.640000	0.05854044	
2.660000	0.06256825	
2.680000	0.06505481	
2.700000	0.06737436	
2.720000	0.06808919	
2.740000	0.06814331	
2.760000	0.06788994	
2.780000	0.06720199	
2.800000	0.06678445	
2.820000	0.06562969	
2.840000	0.06489247	
2.860000	0.06206702	
2.880000	0.05457342	
2.900000	0.03458954	
2.920000	0.00823894	
2.940000	-0.01251137	
2.960000	-0.02056149	
2.980000	-0.02015613	
3.000000	-0.01989174	
3.020000	-0.01996540	
3.040000	-0.02001616	
3.060000	-0.02007028	
3.080000	-0.01999646	
3.100000	-0.01767558	
3.120000	-0.01054625	
3.140000	0.00360319	
3.160000	0.02093197	
3.180000	0.03792356	
3.200000	0.04906551	
3.220000	0.05679510	
3.240000	0.06084913	
3.260000	0.06649050	
3.280000	0.07078303	
3.300000	0.07454278	
3.320000	0.07554454	
3.340000	0.07570138	
3.360000	0.07554438	
3.380000	0.07538755	
3.400000	0.07538755	
3.420000	0.07490637	
3.440000	0.07441384	
3.460000	0.07316003	
3.480000	0.07238757	
3.500000	0.07110137	
3.520000	0.07057676	
3.540000	0.07005216	
3.560000	0.07005216	
3.580000	0.06984957	
3.600000	0.06964681	
3.620000	0.06975487	
3.640000	0.07006568	
3.660000	0.07016373	
3.680000	0.06995095	
3.700000	0.06973816	
3.720000	0.06973816	
3.740000	0.06942434	
3.760000	0.06912371	
3.780000	0.06588038	
3.800000	0.05552309	
3.820000	0.03119959	
3.840000	0.00395326	
3.860000	-0.01574552	
3.880000	-0.02149093	
3.900000	-0.02102730	
3.920000	-0.02068274	
3.940000	-0.02002418	
3.960000	-0.01971053	
3.980000	-0.01939653	
4.000000	-0.01939653	
4.020000	-0.01835184	
4.040000	-0.01325260	
4.060000	-0.00127390	
4.080000	0.01663311	
4.100000	0.03729608	
4.120000	0.05418294	
4.140000	0.06678929	
4.160000	0.07321765	
4.180000	0.07817141	
4.200000	0.08087610	
4.220000	0.08481438	
4.240000	0.08712357	
4.260000	0.08949907	
4.280000	0.09000831	
4.300000	0.08996589	
4.320000	0.08941422	
4.340000	0.08876486	
4.360000	0.08866733	
4.380000	0.08769427	
4.400000	0.08681893	
4.420000	0.08556195	
4.440000	0.08518016	
4.460000	0.08358213	
4.480000	0.08232832	
4.500000	0.07957502	
4.520000	0.07638264	
4.540000	0.06635053	
4.560000	0.04455569	
4.580000	0.01392658	
4.600000	-0.00989287	
4.620000	-0.02007629	
4.640000	-0.01977032	
4.660000	-0.01957959	
4.680000	-0.01976280	
4.700000	-0.01994586	
4.720000	-0.01994586	
4.740000	-0.01994586	
4.760000	-0.01994586	
4.780000	-0.01994586	
4.800000	-0.01994586	
4.820000	-0.01994586	
4.840000	-0.01994586	
4.860000	-0.01994586	
4.880000	-0.01994586	
4.900000	-0.01934442	
4.920000	-0.01874283	
4.940000	-0.01442724	
4.960000	-0.00654249	
4.980000	0.00826100	
5.000000	0.02583697	
5.020000	0.04436829	
5.040000	0.05756472	
5.060000	0.06746789	
5.080000	0.07421391	
5.100000	0.08149757	
5.120000	0.08624873	
5.140000	0.09038945	
5.160000	0.09250690	
5.180000	0.09386576	
5.200000	0.09386576	
5.220000	0.09397048	
5.240000	0.09417307	
5.260000	0.09437583	
5.280000	0.09437583	
5.300000	0.09318666	
5.320000	0.09205161	
5.340000	0.08961916	
5.360000	0.08819282	
5.380000	0.08435141	
5.400000	0.07616502	
5.420000	0.05644436	
5.440000	0.02339783	
5.460000	-0.00439464	
5.480000	-0.02047013	
5.500000	-0.02039163	
5.520000	-0.01989692	
5.540000	-0.01979554	
5.560000	-0.02014093	
5.580000	-0.02051489	
5.600000	-0.02049518	
5.620000	-0.02049518	
5.640000	-0.02049518	
5.660000	-0.02051489	
5.680000	-0.02051489	
5.700000	-0.02035622	
5.720000	-0.02015346	
5.740000	-0.02017300	
5.760000	-0.02033150	
5.780000	-0.02053443	
5.800000	-0.02051489	
5.820000	-0.02053443	
5.840000	-0.02051489	
5.860000	-0.02017967	
5.880000	-0.01979370	
5.900000	-0.01885222	
5.920000	-0.01631038	
5.940000	-0.00855923	
5.960000	0.00558051	
5.980000	0.02584048	
6.000000	0.04623155	
