Time	Right_paced_y_velocity X
0.000000	0.01671191	
0.020000	0.01367517	
0.040000	0.01063843	
0.060000	0.00759872	
0.080000	0.00455888	
0.100000	0.00126573	
0.120000	-0.00025320	
0.140000	0.00000012	
0.160000	0.00000012	
0.180000	0.00000012	
0.200000	0.00000012	
0.220000	0.00000012	
0.240000	0.00000012	
0.260000	0.00017155	
0.280000	-0.00085713	
0.300000	-0.00325596	
0.320000	-0.00445687	
0.340000	-0.00308690	
0.360000	-0.00188587	
0.380000	-0.00222791	
0.400000	-0.00120091	
0.420000	0.00119961	
0.440000	0.00209299	
0.460000	0.00270580	
0.480000	0.00486219	
0.500000	0.00623396	
0.520000	0.00407826	
0.540000	0.00102917	
0.560000	-0.00184905	
0.580000	-0.00503417	
0.600000	-0.00623408	
0.620000	-0.00407789	
0.640000	-0.00089214	
0.660000	0.00102905	
0.680000	0.00325708	
0.700000	0.00445706	
0.720000	0.00325752	
0.740000	0.00085694	
0.760000	-0.00017124	
0.780000	0.00017155	
0.800000	-0.00085713	
0.820000	-0.00325596	
0.840000	-0.00445687	
0.860000	-0.00325832	
0.880000	-0.00102874	
0.900000	0.00102905	
0.920000	0.00325708	
0.940000	0.00445706	
0.960000	0.00325752	
0.980000	0.00085694	
1.000000	-0.00017124	
1.020000	0.00000012	
1.040000	0.00000012	
1.060000	0.00000012	
1.080000	0.00000012	
1.100000	0.00000012	
1.120000	0.00000012	
1.140000	0.00000012	
1.160000	0.00000012	
1.180000	0.00000012	
1.200000	0.00000012	
1.220000	0.00000012	
1.240000	0.00000012	
1.260000	0.00000012	
1.280000	0.00000012	
1.300000	0.00000012	
1.320000	0.00000012	
1.340000	0.00000012	
1.360000	0.00000012	
1.380000	0.00000012	
1.400000	0.00000012	
1.420000	0.00017155	
1.440000	-0.00085713	
1.460000	-0.00325596	
1.480000	-0.00445687	
1.500000	-0.00325832	
1.520000	-0.00102874	
1.540000	0.00102905	
1.560000	0.00325708	
1.580000	0.00445706	
1.600000	0.00325752	
1.620000	0.00085694	
1.640000	-0.00017124	
1.660000	0.00000012	
1.680000	0.00000012	
1.700000	0.00000012	
1.720000	0.00000012	
1.740000	0.00000012	
1.760000	0.00000012	
1.780000	0.00000012	
1.800000	0.00000012	
1.820000	0.00000012	
1.840000	0.00000012	
1.860000	0.00017155	
1.880000	-0.00085713	
1.900000	-0.00504777	
1.920000	0.00118452	
1.940000	0.04157832	
1.960000	0.13189286	
1.980000	0.24988960	
2.000000	0.37685400	
2.020000	0.49025831	
2.040000	0.56731957	
2.060000	0.57957751	
2.080000	0.52675825	
2.100000	0.43485823	
2.120000	0.31003776	
2.140000	0.14207383	
2.160000	-0.11270969	
2.180000	-0.42365450	
2.200000	-0.68853581	
2.220000	-0.81146508	
2.240000	-0.78088617	
2.260000	-0.61980224	
2.280000	-0.37092689	
2.300000	-0.13717934	
2.320000	-0.00978621	
2.340000	0.01147122	
2.360000	0.00451989	
2.380000	0.00274728	
2.400000	0.00603801	
2.420000	0.01491811	
2.440000	0.03967116	
2.460000	0.10007057	
2.480000	0.21880811	
2.500000	0.37479523	
2.520000	0.52339315	
2.540000	0.61244404	
2.560000	0.62076527	
2.580000	0.54656959	
2.600000	0.42278245	
2.620000	0.29937857	
2.640000	0.20832790	
2.660000	0.15309756	
2.680000	0.11101355	
2.700000	0.07460111	
2.720000	0.03605788	
2.740000	0.00669931	
2.760000	-0.01686860	
2.780000	-0.02796636	
2.800000	-0.04035680	
2.820000	-0.07809565	
2.840000	-0.20879236	
2.860000	-0.44755602	
2.880000	-0.69061512	
2.900000	-0.82342178	
2.920000	-0.80801755	
2.940000	-0.66136819	
2.960000	-0.41380447	
2.980000	-0.16331157	
3.000000	-0.01754201	
3.020000	0.00820420	
3.040000	0.00560066	
3.060000	0.04805616	
3.080000	0.15670918	
3.100000	0.32084411	
3.120000	0.50174612	
3.140000	0.63690305	
3.160000	0.68617588	
3.180000	0.63317567	
3.200000	0.51619166	
3.220000	0.38850179	
3.240000	0.28670761	
3.260000	0.21822935	
3.280000	0.16723396	
3.300000	0.11999077	
3.320000	0.06659283	
3.340000	0.02477457	
3.360000	-0.00155894	
3.380000	-0.00995040	
3.400000	-0.01838734	
3.420000	-0.02676403	
3.440000	-0.03690780	
3.460000	-0.04412384	
3.480000	-0.04453751	
3.500000	-0.03784962	
3.520000	-0.02808747	
3.540000	-0.02001480	
3.560000	-0.01117552	
3.580000	-0.00359636	
3.600000	0.00132990	
3.620000	0.00115468	
3.640000	0.00104541	
3.660000	0.00088544	
3.680000	-0.00304778	
3.700000	-0.00640163	
3.720000	-0.01743150	
3.740000	-0.07368407	
3.760000	-0.24977839	
3.780000	-0.52415270	
3.800000	-0.77205956	
3.820000	-0.88638532	
3.840000	-0.84225017	
3.860000	-0.65639889	
3.880000	-0.37541911	
3.900000	-0.12150831	
3.920000	0.00771054	
3.940000	0.02309220	
3.960000	0.01572171	
3.980000	0.03637490	
4.000000	0.11508100	
4.020000	0.26483288	
4.040000	0.46507010	
4.060000	0.65710032	
4.080000	0.78070974	
4.100000	0.78971744	
4.120000	0.69048911	
4.140000	0.52558750	
4.160000	0.36467296	
4.180000	0.24741544	
4.200000	0.17820130	
4.220000	0.13950343	
4.240000	0.10467109	
4.260000	0.06862438	
4.280000	0.02952496	
4.300000	0.00281756	
4.320000	-0.01709588	
4.340000	-0.02795261	
4.360000	-0.03591284	
4.380000	-0.03652230	
4.400000	-0.04289248	
4.420000	-0.05194108	
4.440000	-0.06167061	
4.460000	-0.07563929	
4.480000	-0.12482676	
4.500000	-0.27284259	
4.520000	-0.53641665	
4.540000	-0.80800170	
4.560000	-0.95580369	
4.580000	-0.93704528	
4.600000	-0.76803666	
4.620000	-0.49049860	
4.640000	-0.20182690	
4.660000	-0.02966112	
4.680000	0.00841952	
4.700000	-0.00311695	
4.720000	-0.00305784	
4.740000	-0.00076207	
4.760000	0.00015236	
4.780000	-0.00000012	
4.800000	-0.00000012	
4.820000	-0.00050130	
4.840000	0.00250557	
4.860000	0.00592700	
4.880000	0.02753914	
4.900000	0.08586952	
4.920000	0.20047636	
4.940000	0.36433655	
4.960000	0.54820663	
4.980000	0.68877423	
5.000000	0.74412709	
5.020000	0.71007520	
5.040000	0.61283636	
5.060000	0.48667431	
5.080000	0.36853051	
5.100000	0.28626183	
5.120000	0.22303577	
5.140000	0.15948287	
5.160000	0.09766164	
5.180000	0.05525035	
5.200000	0.02611322	
5.220000	0.01129045	
5.240000	-0.00094408	
5.260000	-0.01178508	
5.280000	-0.03203966	
5.300000	-0.05267928	
