Time	Step_Length_2 X
0.000000	-0.22608691	
0.020000	-0.22480667	
0.040000	-0.22354239	
0.060000	-0.22198069	
0.080000	-0.21983886	
0.100000	-0.21671736	
0.120000	-0.21230465	
0.140000	-0.20601308	
0.160000	-0.19767159	
0.180000	-0.18727046	
0.200000	-0.17470956	
0.220000	-0.15996903	
0.240000	-0.14279419	
0.260000	-0.12284720	
0.280000	-0.09984064	
0.300000	-0.07352740	
0.320000	-0.04379219	
0.340000	-0.01046360	
0.360000	0.02557135	
0.380000	0.06274146	
0.400000	0.09945714	
0.420000	0.13396651	
0.440000	0.16369307	
0.460000	0.18630284	
0.480000	0.20160419	
0.500000	0.21024889	
0.520000	0.21348578	
0.540000	0.21226168	
0.560000	0.20843202	
0.580000	0.20230699	
0.600000	0.19385737	
0.620000	0.18254846	
0.640000	0.16869563	
0.660000	0.15189654	
0.680000	0.13217694	
0.700000	0.10924470	
0.720000	0.08337671	
0.740000	0.05503494	
0.760000	0.02488893	
0.780000	-0.00624943	
0.800000	-0.03852850	
0.820000	-0.07181144	
0.840000	-0.10605937	
0.860000	-0.14014751	
0.880000	-0.17286330	
0.900000	-0.20210856	
0.920000	-0.22547686	
0.940000	-0.24170512	
0.960000	-0.25127679	
0.980000	-0.25598055	
1.000000	-0.25703049	
1.020000	-0.25623280	
1.040000	-0.25463653	
1.060000	-0.25232196	
1.080000	-0.24832869	
1.100000	-0.24212724	
1.120000	-0.23409122	
1.140000	-0.22407287	
1.160000	-0.21219182	
1.180000	-0.19783163	
1.200000	-0.18088859	
1.220000	-0.16043317	
1.240000	-0.13652718	
1.260000	-0.10884726	
1.280000	-0.07848173	
1.300000	-0.04593360	
1.320000	-0.01231307	
1.340000	0.02237487	
1.360000	0.05694467	
1.380000	0.09027827	
1.400000	0.12028050	
1.420000	0.14493394	
1.440000	0.16261125	
1.460000	0.17320102	
1.480000	0.17811483	
1.500000	0.17936409	
1.520000	0.17881995	
1.540000	0.17742908	
1.560000	0.17549419	
1.580000	0.17260098	
1.600000	0.16819680	
1.620000	0.16178346	
1.640000	0.15313762	
1.660000	0.14221698	
1.680000	0.12869567	
1.700000	0.11232418	
1.720000	0.09328371	
1.740000	0.07186234	
1.760000	0.04820281	
1.780000	0.02260357	
1.800000	-0.00439525	
1.820000	-0.03170502	
1.840000	-0.05996662	
1.860000	-0.08881944	
1.880000	-0.11809891	
1.900000	-0.14587951	
1.920000	-0.17124748	
1.940000	-0.19145757	
1.960000	-0.20551229	
1.980000	-0.21309012	
2.000000	-0.21639895	
2.020000	-0.21666300	
2.040000	-0.21544623	
2.060000	-0.21341783	
2.080000	-0.21060079	
2.100000	-0.20612115	
2.120000	-0.19985741	
2.140000	-0.19153440	
2.160000	-0.18144161	
2.180000	-0.16944975	
2.200000	-0.15570927	
2.220000	-0.13985389	
2.240000	-0.12169194	
2.260000	-0.10070372	
2.280000	-0.07667166	
2.300000	-0.04739320	
2.320000	-0.01308393	
2.340000	0.02438575	
2.360000	0.06076097	
2.380000	0.09434831	
2.400000	0.12206560	
2.420000	0.14217651	
2.440000	0.15445131	
2.460000	0.16198999	
2.480000	0.16621017	
2.500000	0.16732508	
2.520000	0.16620439	
2.540000	0.16397184	
2.560000	0.16073221	
2.580000	0.15560848	
2.600000	0.14811629	
2.620000	0.13788497	
2.640000	0.12477434	
2.660000	0.10873431	
2.680000	0.09015328	
2.700000	0.06970787	
2.720000	0.04805022	
2.740000	0.02510929	
2.760000	0.00077796	
2.780000	-0.02464312	
2.800000	-0.05158472	
2.820000	-0.08012307	
2.840000	-0.11003780	
2.860000	-0.13992321	
2.880000	-0.16896874	
2.900000	-0.19569743	
2.920000	-0.21852773	
2.940000	-0.23570794	
2.960000	-0.24721879	
2.980000	-0.25389415	
3.000000	-0.25687718	
3.020000	-0.25743723	
3.040000	-0.25677514	
3.060000	-0.25542903	
3.080000	-0.25334269	
3.100000	-0.24982870	
3.120000	-0.24485970	
3.140000	-0.23830229	
3.160000	-0.23020267	
3.180000	-0.22025430	
3.200000	-0.20826685	
3.220000	-0.19374013	
3.240000	-0.17619991	
3.260000	-0.15519172	
3.280000	-0.13042146	
3.300000	-0.10187769	
3.320000	-0.06985587	
3.340000	-0.03479594	
3.360000	0.00255775	
3.380000	0.04114205	
3.400000	0.07917041	
3.420000	0.11508387	
3.440000	0.14678103	
3.460000	0.17250228	
3.480000	0.19099593	
3.500000	0.20273018	
3.520000	0.20885640	
3.540000	0.21088564	
3.560000	0.21024662	
3.580000	0.20798546	
3.600000	0.20423889	
3.620000	0.19830811	
3.640000	0.19009268	
3.660000	0.17974019	
3.680000	0.16737425	
3.700000	0.15236574	
3.720000	0.13430142	
3.740000	0.11268193	
3.760000	0.08768463	
3.780000	0.05996758	
3.800000	0.03062028	
3.820000	0.00051165	
3.840000	-0.03007972	
3.860000	-0.06120944	
3.880000	-0.09276623	
3.900000	-0.12409550	
3.920000	-0.15376514	
3.940000	-0.18012160	
3.960000	-0.20111024	
3.980000	-0.21588361	
4.000000	-0.22463530	
4.020000	-0.22900677	
4.040000	-0.23020321	
4.060000	-0.22981209	
4.080000	-0.22876930	
4.100000	-0.22706813	
4.120000	-0.22388911	
4.140000	-0.21876770	
4.160000	-0.21175307	
4.180000	-0.20245975	
4.200000	-0.19088566	
4.220000	-0.17692697	
4.240000	-0.16067803	
4.260000	-0.14155614	
4.280000	-0.11948103	
4.300000	-0.09428549	
4.320000	-0.06611806	
4.340000	-0.03476894	
4.360000	-0.00081199	
4.380000	0.03515720	
4.400000	0.07182729	
4.420000	0.10807246	
4.440000	0.14171034	
4.460000	0.17034340	
4.480000	0.19191861	
4.500000	0.20628148	
4.520000	0.21416676	
4.540000	0.21703935	
4.560000	0.21658015	
4.580000	0.21417814	
4.600000	0.21014476	
4.620000	0.20379996	
4.640000	0.19502383	
4.660000	0.18384039	
4.680000	0.17023808	
4.700000	0.15366918	
4.720000	0.13386595	
4.740000	0.11053956	
4.760000	0.08392024	
4.780000	0.05476046	
4.800000	0.02420759	
4.820000	-0.00680912	
4.840000	-0.03856432	
4.860000	-0.07119191	
4.880000	-0.10480636	
4.900000	-0.13858998	
4.920000	-0.17153382	
4.940000	-0.20172137	
4.960000	-0.22728336	
4.980000	-0.24651188	
5.000000	-0.25936681	
5.020000	-0.26666570	
5.040000	-0.26985294	
5.060000	-0.27023166	
5.080000	-0.26933420	
5.100000	-0.26756126	
5.120000	-0.26494491	
5.140000	-0.26038325	
5.160000	-0.25385666	
5.180000	-0.24491465	
5.200000	-0.23380172	
5.220000	-0.22021419	
5.240000	-0.20449311	
5.260000	-0.18614191	
5.280000	-0.16507238	
5.300000	-0.14056140	
5.320000	-0.11259651	
5.340000	-0.08161378	
5.360000	-0.04824561	
5.380000	-0.01270097	
5.400000	0.02454680	
5.420000	0.06240702	
5.440000	0.09996241	
5.460000	0.13554662	
5.480000	0.16662872	
5.500000	0.19055843	
5.520000	0.20683163	
5.540000	0.21636236	
5.560000	0.22055030	
5.580000	0.22113287	
5.600000	0.21970677	
5.620000	0.21701670	
5.640000	0.21250087	
5.660000	0.20568073	
5.680000	0.19673204	
5.700000	0.18595821	
5.720000	0.17333263	
5.740000	0.15814644	
5.760000	0.14012301	
5.780000	0.11879802	
5.800000	0.09446245	
5.820000	0.06770897	
5.840000	0.03964347	
5.860000	0.01067346	
5.880000	-0.01850259	
5.900000	-0.04862618	
5.920000	-0.07952136	
5.940000	-0.11129582	
5.960000	-0.14200187	
5.980000	-0.17086136	
6.000000	-0.19521248	
6.020000	-0.21370178	
6.040000	-0.22530133	
6.060000	-0.23163331	
6.080000	-0.23385698	
6.100000	-0.23333007	
6.120000	-0.23152363	
6.140000	-0.22869611	
6.160000	-0.22440255	
6.180000	-0.21778655	
6.200000	-0.20911020	
6.220000	-0.19801778	
6.240000	-0.18434525	
6.260000	-0.16749513	
6.280000	-0.14724022	
6.300000	-0.12310928	
6.320000	-0.09519249	
6.340000	-0.06361789	
6.360000	-0.02891958	
6.380000	0.00831789	
6.400000	0.04708797	
6.420000	0.08626384	
6.440000	0.12407678	
6.460000	0.15850848	
6.480000	0.18690586	
6.500000	0.20787632	
6.520000	0.22127557	
6.540000	0.22848928	
6.560000	0.23105419	
6.580000	0.23081630	
6.600000	0.22887945	
6.620000	0.22533774	
6.640000	0.21936494	
6.660000	0.21038115	
6.680000	0.19889879	
6.700000	0.18497920	
6.720000	0.16824961	
6.740000	0.14786655	
6.760000	0.12383622	
6.780000	0.09647912	
6.800000	0.06638068	
6.820000	0.03441566	
6.840000	0.00153816	
6.860000	-0.03204846	
6.880000	-0.06682295	
6.900000	-0.10272276	
6.920000	-0.13901347	
6.940000	-0.17438841	
6.960000	-0.20703524	
6.980000	-0.23483676	
7.000000	-0.25585186	
7.020000	-0.26990753	
7.040000	-0.27778453	
7.060000	-0.28110749	
7.080000	-0.28135419	
7.100000	-0.28027850	
7.120000	-0.27829462	
7.140000	-0.27499884	
7.160000	-0.26960135	
7.180000	-0.26199198	
7.200000	-0.25205618	
7.220000	-0.23963302	
7.240000	-0.22475177	
7.260000	-0.20731187	
7.280000	-0.18736935	
7.300000	-0.16468817	
7.320000	-0.13915467	
7.340000	-0.11040884	
7.360000	-0.07871604	
7.380000	-0.04429269	
7.400000	-0.00784147	
7.420000	0.02996403	
7.440000	0.06768203	
7.460000	0.10368896	
7.480000	0.13591415	
7.500000	0.16248351	
7.520000	0.18202144	
7.540000	0.19445330	
7.560000	0.20087761	
7.580000	0.20307320	
7.600000	0.20262599	
7.620000	0.20063031	
7.640000	0.19742352	
7.660000	0.19260991	
7.680000	0.18587184	
7.700000	0.17720062	
7.720000	0.16673499	
7.740000	0.15394479	
7.760000	0.13845646	
7.780000	0.11961794	
7.800000	0.09723634	
7.820000	0.07134569	
7.840000	0.04324466	
7.860000	0.01364964	
7.880000	-0.01623935	
7.900000	-0.04708791	
