Time	Knöchel li X	Knöchel li Y	Knöchel li Weg	Knöchel li v(X)	Knöchel li v(Y)	Knöchel li v(Bahn)	Knöchel li a(X)	Knöchel li a(Y)	Knöchel li a(Bahn)
0.000000	-0.49965733	-0.53351152	0.00000000	0.34789181	0.00303886	0.34790507	-1.98627388	1.08032751	-1.91124308	
0.020000	-0.49208564	-0.53410798	0.00759515	0.30906200	0.02341717	0.30994788	-1.49923420	0.50709844	-1.46696651	
0.040000	-0.48630580	-0.53329873	0.01343136	0.27023220	0.04379549	0.27375808	-1.01219451	-0.06613068	-1.02268994	
0.060000	-0.48136172	-0.53101403	0.01887782	0.26635692	0.02339183	0.26738209	-0.86760116	-0.15228437	-0.86826128	
0.080000	-0.47706375	-0.53094190	0.02317640	0.24606912	0.02297063	0.24713895	-0.39033559	-0.45539635	-0.41396186	
0.100000	-0.47170886	-0.53105462	0.02853246	0.24341311	0.00212043	0.24342234	-0.17446955	-0.37815142	-0.19936921	
0.120000	-0.46701354	-0.53156435	0.03325538	0.24660791	-0.00884980	0.24676666	-0.04917729	-0.17949802	-0.05838683	
0.140000	-0.46172959	-0.53168827	0.03854078	0.24852122	-0.00528917	0.24857751	0.09472205	0.05039133	0.09572130	
0.160000	-0.45705566	-0.53195697	0.04322243	0.25008312	0.00132471	0.25008664	0.06392732	0.43832666	0.09236754	
0.180000	-0.45205659	-0.53135699	0.04825738	0.25199342	0.01095707	0.25223151	-0.03149297	0.70966733	0.04512728	
0.200000	-0.44702175	-0.53155422	0.05329607	0.25168982	0.02803801	0.25324672	-0.19356513	0.87874871	-0.04207472	
0.220000	-0.44168526	-0.53067935	0.05870381	0.24862280	0.05007583	0.25361562	-0.43355343	1.01240253	-0.17878374	
0.240000	-0.43672773	-0.53016061	0.06368840	0.23792575	0.07463467	0.24935716	-0.72320598	1.11432624	-0.31281760	
0.260000	-0.43182623	-0.52771586	0.06916576	0.21953437	0.09575234	0.23950751	-1.02495003	1.20061576	-0.36923832	
0.280000	-0.42779684	-0.52550900	0.07375991	0.19424748	0.11799281	0.22727601	-1.27875376	1.31609416	-0.26242703	
0.300000	-0.42394593	-0.52254796	0.07861761	0.16448615	0.14347404	0.21826702	-1.43588746	1.52033091	0.07314381	
0.320000	-0.42107639	-0.52050209	0.08214179	0.13237217	0.17575863	0.22003065	-1.48818481	1.78693330	0.57617104	
0.340000	-0.41863605	-0.51662773	0.08672065	0.10143191	0.21469137	0.23744646	-1.49177086	1.94409978	1.03931642	
0.360000	-0.41709492	-0.51234245	0.09127462	0.07203119	0.26117924	0.27093005	-1.52935481	1.82517123	1.23651850	
0.380000	-0.41602743	-0.50551212	0.09818787	0.04558499	0.30629721	0.30967075	-1.68441319	1.35461116	1.06596601	
0.400000	-0.41537967	-0.49939936	0.10433485	0.01364387	0.33521566	0.33549321	-2.03746104	0.53518534	0.59636235	
0.420000	-0.41517735	-0.49148792	0.11224888	-0.02653238	0.33773369	0.33877426	-2.63033080	-0.61868936	0.10435565	
