Time	Knöchel re X	Knöchel re Y	Knöchel re Weg	Knöchel re v(X)	Knöchel re v(Y)	Knöchel re v(Bahn)	Knöchel re a(X)	Knöchel re a(Y)	Knöchel re a(Bahn)
0.000000	-0.81360155	-0.49713570	0.00000000	0.79414940	-0.35523710	0.86998081	-5.45495415	2.00852823	-5.89925385	
0.020000	-0.79821795	-0.50439554	0.01701060	0.67830682	-0.31432211	0.74759519	-6.17294645	1.81970680	-6.30096197	
0.040000	-0.78386062	-0.51077509	0.03272147	0.56246424	-0.27340713	0.62539387	-6.89093876	1.63088524	-6.70267010	
0.060000	-0.77199364	-0.51593727	0.04566263	0.44208872	-0.25414839	0.50993514	-7.36394310	1.67771137	-6.39737463	
0.080000	-0.76467252	-0.52029955	0.05418485	0.25914872	-0.21512946	0.33680668	-7.41987753	1.50251627	-5.03673601	
0.100000	-0.76187623	-0.52427381	0.05904427	0.07914575	-0.18308502	0.19945972	-7.00260258	1.50076675	-3.50026822	
0.120000	-0.76312780	-0.52767128	0.06266493	-0.06600740	-0.15533014	0.16877331	-5.78856277	1.52302134	-1.87255538	
0.140000	-0.76711434	-0.53066349	0.06764949	-0.16064861	-0.12801979	0.20541920	-3.94556451	1.42464554	-0.21177603	
0.160000	-0.77184165	-0.53279334	0.07283444	-0.21104258	-0.09866576	0.23296760	-2.26301527	1.34016442	0.59788990	
0.180000	-0.77644920	-0.53453058	0.07775863	-0.22711943	-0.06895311	0.23735578	-1.06913686	1.22326827	0.46694526	
0.200000	-0.78078759	-0.53559864	0.08222654	-0.22725926	-0.04448541	0.23157229	-0.39050993	1.04874873	0.09699441	
0.220000	-0.78531867	-0.53608435	0.08678359	-0.22690834	-0.02695619	0.22850390	-0.10551198	0.80005622	-0.04107541	
0.240000	-0.78980213	-0.53619945	0.09126852	-0.22990322	-0.01357942	0.23030391	-0.06332327	0.53841960	-0.00189394	
0.260000	-0.79453474	-0.53636706	0.09600410	-0.23276250	-0.00548760	0.23282719	-0.06825095	0.33828503	0.04267107	
0.280000	-0.79921252	-0.53650010	0.10068376	-0.23442820	-0.00249619	0.23444149	-0.00804749	0.19324575	0.00004886	
0.300000	-0.80400598	-0.53651571	0.10547725	-0.23459062	-0.00154798	0.23459573	0.09674339	0.08455490	-0.09811579	
0.320000	-0.80861622	-0.53642207	0.11008845	-0.23168044	-0.00047758	0.23168093	0.20104489	0.02915017	-0.20117323	
0.340000	-0.81333637	-0.53643274	0.11480861	-0.22541623	-0.00006631	0.22541624	0.30215681	0.02659400	-0.30227062	
0.360000	-0.81782240	-0.53645188	0.11929467	-0.21776995	-0.00037799	0.21777028	0.37668699	0.05958141	-0.37627614	
0.380000	-0.82215834	-0.53653055	0.12363133	-0.20939177	-0.00008171	0.20939179	0.38516238	0.13284850	-0.38093421	
0.400000	-0.82609302	-0.53651637	0.12756604	-0.20012897	0.00262732	0.20014621	0.34038553	0.25513747	-0.32418463	
0.420000	-0.83005619	-0.53647441	0.13152944	-0.19277476	0.00862851	0.19296777	0.28910992	0.42531556	-0.24307328	
0.440000	-0.83375615	-0.53631997	0.13523261	-0.18890542	0.01899127	0.18985765	0.24997054	0.64084160	-0.13835450	
0.460000	-0.83748680	-0.53592992	0.13898361	-0.18651229	0.03317419	0.18943959	0.25235552	0.89476663	-0.01149686	
0.480000	-0.84114915	-0.53518695	0.14272055	-0.18238094	0.05291549	0.18990223	0.34694019	1.16985893	0.11733487	
0.500000	-0.84492642	-0.53392607	0.14670271	-0.17569134	0.07903647	0.19265048	0.54379785	1.45973551	0.27411819	
0.520000	-0.84847558	-0.53224790	0.15062861	-0.16385758	0.11191066	0.19842707	0.80136061	1.74931455	0.51155806	
0.540000	-0.85172188	-0.52975386	0.15472235	-0.14525969	0.15011275	0.20888804	1.08913767	1.97441876	0.80471528	
0.560000	-0.85449153	-0.52647102	0.15901746	-0.11933789	0.19375898	0.22756115	1.41209531	2.04206133	1.04750979	
0.580000	-0.85669631	-0.52208251	0.16392867	-0.08811501	0.23989394	0.25556478	1.78506660	1.85782826	1.13371038	
0.600000	-0.85819709	-0.51684129	0.16938053	-0.05088794	0.28167903	0.28623882	2.23390174	1.34206390	1.00322485	
0.620000	-0.85888410	-0.51051795	0.17574108	-0.00451207	0.30936983	0.30940273	2.80195689	0.44646767	0.72816503	
0.640000	-0.85872388	-0.50366455	0.18259636	0.05500190	0.31337166	0.31816190	3.51358700	-0.78309554	0.63223839	
0.660000	-0.85735762	-0.49669367	0.18969987	0.13102759	0.28674790	0.31526589	4.30242538	-2.17857933	1.07986915	
0.680000	-0.85429752	-0.49076158	0.19637474	0.22624573	0.22569264	0.31956893	5.01362896	-3.48507214	2.08160019	
0.700000	-0.84905124	-0.48648903	0.20314071	0.33958468	0.13417260	0.36513016	5.44838810	-4.45035028	3.32398200	
0.720000	-0.84120589	-0.48462871	0.21120359	0.46264982	0.02414049	0.46327922	5.37074089	-4.86481333	4.33581877	
0.740000	-0.83058590	-0.48538899	0.22185077	0.58117038	-0.08728203	0.58768797	4.54049587	-4.61285353	4.50561333	
0.760000	-0.81728590	-0.48872551	0.23556289	0.67751086	-0.18483791	0.70227206	2.85945439	-3.74474001	3.39033675	
0.780000	-0.80201107	-0.49395370	0.25170767	0.72957742	-0.25433168	0.77263695	0.47233284	-2.47311783	1.11887193	
0.800000	-0.78586268	-0.50030077	0.26905861	0.71722859	-0.28866643	0.77313983	-2.28757644	-1.07617331	-1.74947965	
0.820000	-0.77035373	-0.50688547	0.28590754	0.63440007	-0.28889093	0.69708061	-4.94073915	0.17836982	-4.48529196	
0.840000	-0.75759810	-0.51287025	0.29999739	0.49225172	-0.26466066	0.55888909	-6.90660143	1.07708442	-6.09198713	
0.860000	-0.74908853	-0.51788324	0.30987376	0.31288752	-0.22712590	0.38663262	-7.76128864	1.53437424	-5.84022427	
