Time	Hip_Knee-Angle_left X
0.000000	87.18957520	
0.020000	87.43370056	
0.040000	87.63425446	
0.060000	88.21420288	
0.080000	88.86627197	
0.100000	89.46311951	
0.120000	89.86548615	
0.140000	90.40439606	
0.160000	91.21041107	
0.180000	91.74810791	
0.200000	92.14658356	
0.220000	92.41459656	
0.240000	92.40943146	
0.260000	92.47890472	
0.280000	92.41940308	
0.300000	92.46817017	
0.320000	92.12175751	
0.340000	91.48747253	
0.360000	90.65380859	
0.380000	89.57450104	
0.400000	88.33358765	
0.420000	86.96032715	
0.440000	85.61936188	
0.460000	84.34107208	
0.480000	83.27923584	
0.500000	82.37919617	
0.520000	81.72286224	
0.540000	81.19850922	
0.560000	80.87742615	
0.580000	80.66452789	
0.600000	80.58773804	
0.620000	80.63037109	
0.640000	80.75569916	
0.660000	81.03024292	
0.680000	81.23844910	
0.700000	81.53698730	
0.720000	81.74748230	
0.740000	82.11616516	
0.760000	82.46537781	
0.780000	83.01717377	
0.800000	83.55557251	
0.820000	84.09130859	
0.840000	84.42163849	
0.860000	84.75188446	
0.880000	85.10668182	
0.900000	85.62629700	
0.920000	86.13070679	
0.940000	86.67563629	
0.960000	87.12108612	
0.980000	87.61037445	
1.000000	87.95034790	
1.020000	88.32212830	
1.040000	88.55709839	
1.060000	88.93707275	
1.080000	89.29286194	
1.100000	89.76348877	
1.120000	90.19195557	
1.140000	90.71684265	
1.160000	91.23246765	
1.180000	91.80857086	
1.200000	92.24993134	
1.220000	92.66928864	
1.240000	92.95419312	
1.260000	93.13831329	
1.280000	93.19976044	
1.300000	93.11754608	
1.320000	92.99378204	
1.340000	92.58992767	
1.360000	91.96978760	
1.380000	90.96939087	
1.400000	89.82073212	
1.420000	88.47732544	
1.440000	87.17861938	
1.460000	85.87514496	
1.480000	84.71390533	
1.500000	83.60546112	
1.520000	82.71240234	
1.540000	81.95498657	
1.560000	81.43538666	
1.580000	81.06340790	
1.600000	80.89276886	
1.620000	80.90717316	
1.640000	81.02814484	
1.660000	81.30419922	
1.680000	81.55609894	
1.700000	81.84174347	
1.720000	81.97781372	
1.740000	82.17355347	
1.760000	82.48998260	
1.780000	83.02154541	
1.800000	83.46667480	
1.820000	83.85845184	
1.840000	84.19344330	
1.860000	84.72222900	
1.880000	85.28820801	
1.900000	85.92813110	
1.920000	86.51572418	
1.940000	87.13623047	
1.960000	87.62214661	
1.980000	88.09149933	
2.000000	88.48418427	
2.020000	88.96430206	
2.040000	89.43756866	
2.060000	89.95874023	
2.080000	90.47496796	
2.100000	91.06912231	
2.120000	91.55742645	
2.140000	92.03721619	
2.160000	92.33707428	
2.180000	92.71496582	
2.200000	92.95531464	
2.220000	93.15778351	
2.240000	93.20603180	
2.260000	93.11109924	
2.280000	92.91204834	
2.300000	92.51335144	
2.320000	92.02981567	
2.340000	91.32717133	
2.360000	90.49018097	
2.380000	89.47280884	
2.400000	88.36981201	
2.420000	87.15337372	
2.440000	85.94324493	
2.460000	84.76462555	
2.480000	83.72954559	
2.500000	82.82203674	
2.520000	82.17794037	
2.540000	81.70674896	
2.560000	81.45358276	
2.580000	81.29906464	
2.600000	81.29339600	
2.620000	81.41470337	
2.640000	81.63854218	
2.660000	82.02090454	
2.680000	82.38463593	
2.700000	82.70781708	
2.720000	82.89785004	
2.740000	83.24540710	
2.760000	83.67890167	
2.780000	84.24368286	
2.800000	84.64867401	
2.820000	85.03749847	
2.840000	85.43227386	
2.860000	85.99945068	
2.880000	86.63365173	
2.900000	87.31301117	
2.920000	87.95019531	
2.940000	88.58891296	
2.960000	89.13324738	
2.980000	89.61164093	
3.000000	89.96850586	
3.020000	90.31194305	
3.040000	90.64673615	
3.060000	91.07866669	
3.080000	91.47008514	
3.100000	91.87977600	
3.120000	92.17182159	
3.140000	92.47874451	
3.160000	92.63842010	
3.180000	92.71737671	
3.200000	92.66336823	
3.220000	92.50572968	
3.240000	92.22678375	
3.260000	91.72528839	
3.280000	91.04484558	
3.300000	90.11914063	
3.320000	89.05107117	
3.340000	87.82266998	
3.360000	86.56902313	
3.380000	85.30158997	
3.400000	84.12745667	
3.420000	83.01878357	
3.440000	82.10115814	
3.460000	81.31745911	
3.480000	80.81979370	
3.500000	80.43404388	
3.520000	80.24781799	
3.540000	80.16836548	
3.560000	80.26373291	
3.580000	80.53366089	
3.600000	80.89133453	
3.620000	81.28920746	
3.640000	81.64661407	
3.660000	82.04387665	
3.680000	82.57872772	
3.700000	83.27062225	
3.720000	83.94865417	
3.740000	84.57110596	
3.760000	85.07906342	
3.780000	85.66114807	
3.800000	86.28955078	
3.820000	86.96281433	
3.840000	87.61117554	
3.860000	88.25646973	
3.880000	88.86029816	
3.900000	89.42857361	
3.920000	89.92227936	
3.940000	90.45288849	
3.960000	91.04205322	
3.980000	91.70005035	
4.000000	92.34613037	
4.020000	92.97360992	
4.040000	93.56783295	
4.060000	94.20432281	
4.080000	94.77788544	
4.100000	95.32263947	
4.120000	95.69786072	
4.140000	95.99687958	
4.160000	96.15982056	
4.180000	96.18811798	
4.200000	96.10256958	
4.220000	95.83084869	
4.240000	95.41162872	
4.260000	94.72804260	
4.280000	93.82217407	
4.300000	92.63645935	
4.320000	91.27919769	
4.340000	89.78203583	
4.360000	88.30213165	
4.380000	86.83360291	
4.400000	85.46408081	
4.420000	84.22946930	
4.440000	83.24253845	
4.460000	82.50901794	
4.480000	82.04941559	
4.500000	81.77057648	
4.520000	81.69216156	
4.540000	81.76770782	
4.560000	81.94950867	
4.580000	82.23287964	
4.600000	82.51023865	
4.620000	82.80178070	
4.640000	83.16227722	
4.660000	83.77991486	
4.680000	84.53618622	
4.700000	85.22106934	
4.720000	85.66762543	
4.740000	86.16107941	
4.760000	86.83278656	
4.780000	87.64452362	
4.800000	88.33975220	
4.820000	88.95234680	
4.840000	89.47486115	
4.860000	90.05056000	
4.880000	90.55886078	
4.900000	91.14243317	
4.920000	91.62172699	
4.940000	92.07166290	
4.960000	92.41477966	
4.980000	92.73590088	
5.000000	92.97834778	
5.020000	93.11305237	
5.040000	93.20180511	
5.060000	93.19909668	
5.080000	93.11270142	
5.100000	92.82734680	
5.120000	92.37203979	
5.140000	91.60987854	
5.160000	90.62711334	
5.180000	89.39943695	
5.200000	88.18436432	
5.220000	86.96939087	
5.240000	85.89192963	
5.260000	84.90486145	
5.280000	84.10829926	
5.300000	83.43109131	
5.320000	82.91050720	
5.340000	82.50203705	
5.360000	82.27080536	
5.380000	82.14430237	
5.400000	82.10837555	
5.420000	82.14621735	
5.440000	82.22876740	
5.460000	82.42264557	
5.480000	82.59323120	
5.500000	82.81866455	
5.520000	83.04383850	
5.540000	83.44985199	
5.560000	83.92967987	
5.580000	84.34914398	
5.600000	84.61426544	
5.620000	84.88166809	
5.640000	85.28074646	
5.660000	85.89810944	
5.680000	86.49983978	
5.700000	87.11341095	
5.720000	87.58193970	
5.740000	88.08698273	
5.760000	88.52867889	
5.780000	89.04659271	
5.800000	89.48695374	
5.820000	89.94324493	
5.840000	90.30326080	
5.860000	90.75210571	
5.880000	91.07450104	
5.900000	91.38962555	
5.920000	91.55548096	
5.940000	91.67219543	
5.960000	91.61395264	
5.980000	91.35601807	
6.000000	90.87718964	
6.020000	90.13678741	
6.040000	89.16735077	
6.060000	88.03528595	
6.080000	86.85882568	
6.100000	85.70291901	
6.120000	84.63040161	
6.140000	83.72534180	
6.160000	83.04675293	
6.180000	82.56655121	
6.200000	82.27063751	
6.220000	82.04445648	
6.240000	81.93119812	
6.260000	81.92014313	
6.280000	82.01236725	
6.300000	82.23950958	
6.320000	82.45913696	
6.340000	82.70642090	
6.360000	82.87702942	
6.380000	83.19548035	
6.400000	83.72316742	
6.420000	84.44344330	
6.440000	85.03376007	
6.460000	85.56779480	
6.480000	86.04441071	
6.500000	86.71582794	
6.520000	87.35298157	
6.540000	87.99997711	
6.560000	88.51387787	
6.580000	89.05955505	
6.600000	89.52860260	
6.620000	90.03176117	
6.640000	90.41517639	
6.660000	90.85253143	
6.680000	91.20343018	
6.700000	91.60641479	
6.720000	91.86746979	
6.740000	92.15615845	
6.760000	92.30398560	
6.780000	92.39162445	
6.800000	92.29062653	
6.820000	91.96442413	
6.840000	91.42304230	
6.860000	90.62541962	
6.880000	89.67916870	
6.900000	88.58024597	
6.920000	87.45952606	
6.940000	86.38517761	
6.960000	85.47657013	
6.980000	84.68207550	
7.000000	84.09510040	
7.020000	83.57275391	
7.040000	83.23791504	
7.060000	82.94618988	
7.080000	82.80833435	
7.100000	82.72204590	
7.120000	82.69822693	
7.140000	82.77379608	
7.160000	82.89636993	
7.180000	83.09144592	
7.200000	83.21518707	
7.220000	83.46300507	
7.240000	83.87862396	
7.260000	84.48082733	
7.280000	84.97439575	
7.300000	85.35319519	
7.320000	85.65491486	
7.340000	86.14946747	
7.360000	86.70099640	
7.380000	87.33300018	
7.400000	87.83733368	
7.420000	88.35890198	
7.440000	88.78407288	
7.460000	89.22574615	
7.480000	89.57836151	
7.500000	89.95952606	
7.520000	90.32968140	
7.540000	90.76061249	
7.560000	91.15441132	
7.580000	91.53192902	
7.600000	91.80073547	
7.620000	92.10990906	
7.640000	92.31044769	
7.660000	92.51433563	
7.680000	92.58975220	
7.700000	92.65489197	
7.720000	92.65546417	
7.740000	92.59745789	
7.760000	92.53652954	
7.780000	92.36190033	
7.800000	92.11315918	
7.820000	91.60887909	
7.840000	90.95350647	
7.860000	90.04113770	
7.880000	89.00265503	
7.900000	87.79540253	
7.920000	86.58265686	
7.940000	85.35588837	
7.960000	84.23112488	
7.980000	83.19467926	
8.000000	82.34893036	
8.020000	81.69234467	
8.040000	81.23475647	
8.059999	80.89541626	
8.080000	80.70114136	
8.099999	80.63522339	
8.120000	80.67089081	
8.139999	80.84561157	
8.160000	81.04467010	
8.179999	81.38114166	
8.200000	81.63988495	
8.220000	81.95392609	
8.240000	82.15708923	
8.260000	82.47287750	
8.280000	82.85320282	
8.300000	83.37131500	
8.320000	83.82486725	
8.340000	84.17269897	
8.360000	84.43470001	
8.380000	84.73880768	
8.400000	85.09406281	
8.420000	85.52559662	
8.440000	85.94985199	
8.460000	86.44470215	
8.480000	86.90866089	
8.500000	87.42868042	
8.520000	87.90017700	
8.540000	88.41938782	
8.559999	88.84391022	
8.580000	89.27292633	
8.599999	89.63887024	
8.620000	90.06909180	
8.639999	90.46669006	
8.660000	90.88063049	
8.679999	91.24038696	
8.700000	91.63366699	
8.720000	92.01134491	
8.740000	92.39989471	
8.760000	92.66690063	
8.780000	92.87654114	
8.800000	92.99437714	
8.820000	93.10071564	
8.840000	93.13368225	
