Time	Hip_Knee_Angle_right X
0.000000	111.08644867	
0.020000	110.73683929	
0.040000	110.34861755	
0.060000	109.88832855	
0.080000	109.35135651	
0.100000	108.68233490	
0.120000	107.86284637	
0.140000	106.91009521	
0.160000	105.89711761	
0.180000	104.82608795	
0.200000	103.73046112	
0.220000	102.62098694	
0.240000	101.57692719	
0.260000	100.57173157	
0.280000	99.65275574	
0.300000	98.84622192	
0.320000	98.22229767	
0.340000	97.70133972	
0.360000	97.26527405	
0.380000	96.85295105	
0.400000	96.47301483	
0.420000	96.06998444	
0.440000	95.67499542	
0.460000	95.32133484	
0.480000	95.09118652	
0.500000	95.04557037	
0.520000	95.23460388	
0.540000	95.72605896	
0.560000	96.54856110	
0.580000	97.77090454	
0.600000	99.34571838	
0.620000	101.24841309	
0.640000	103.30670166	
0.660000	105.39408875	
0.680000	107.29457092	
0.700000	108.90507507	
0.720000	110.11293030	
0.740000	110.93817139	
0.760000	111.40158844	
0.780000	111.57957458	
0.800000	111.52152252	
0.820000	111.28946686	
0.840000	110.93118286	
0.860000	110.48989868	
0.880000	109.98097229	
0.900000	109.35816956	
0.920000	108.61609650	
0.940000	107.75465393	
0.960000	106.84660339	
0.980000	105.88096619	
1.000000	104.94892120	
1.020000	104.07370758	
1.040000	103.29421997	
1.060000	102.52566528	
1.080000	101.80310822	
1.100000	101.12597656	
1.120000	100.53438568	
1.140000	99.98690033	
1.160000	99.50497437	
1.180000	99.08221436	
1.200000	98.72779083	
1.220000	98.40209198	
1.240000	98.11419678	
1.260000	97.84667969	
1.280000	97.64036560	
1.300000	97.51657104	
1.320000	97.54517365	
1.340000	97.78156281	
1.360000	98.27748871	
1.380000	99.06927490	
1.400000	100.15604401	
1.420000	101.52812195	
1.440000	103.10308075	
1.460000	104.81841278	
1.480000	106.49581146	
1.500000	107.99817657	
1.520000	109.16329193	
1.540000	109.96879578	
1.560000	110.40174103	
1.580000	110.54042816	
1.600000	110.45668793	
1.620000	110.24430084	
