Time	Knee_Angle_left X
0.000000	159.37947083	
0.020000	159.31776428	
0.040000	159.29814148	
0.060000	159.94239807	
0.080000	160.80212402	
0.100000	161.45552063	
0.120000	161.89117432	
0.140000	162.53967285	
0.160000	163.73211670	
0.180000	164.34162903	
0.200000	164.64111328	
0.220000	164.63822937	
0.240000	164.06881714	
0.260000	163.65084839	
0.280000	163.02749634	
0.300000	162.59780884	
0.320000	161.42520142	
0.340000	159.64396667	
0.360000	157.55955505	
0.380000	154.96444702	
0.400000	152.18395996	
0.420000	149.14630127	
0.440000	146.36111450	
0.460000	143.86775208	
0.480000	142.06123352	
0.500000	140.88806152	
0.520000	140.50953674	
0.540000	140.78892517	
0.560000	141.68763733	
0.580000	143.02406311	
0.600000	144.75488281	
0.620000	146.73112488	
0.640000	148.81355286	
0.660000	150.89299011	
0.680000	152.52854919	
0.700000	153.77709961	
0.720000	154.35183716	
0.740000	154.73840332	
0.760000	154.85250854	
0.780000	155.32489014	
0.800000	155.79808044	
0.820000	156.29158020	
0.840000	156.39607239	
0.860000	156.57304382	
0.880000	156.92605591	
0.900000	157.57249451	
0.920000	158.18084717	
0.940000	158.73104858	
0.960000	159.15806580	
0.980000	159.59359741	
1.000000	159.81991577	
1.020000	160.03109741	
1.040000	160.02690125	
1.060000	160.24966431	
1.080000	160.44747925	
1.100000	160.85496521	
1.120000	161.21754456	
1.140000	161.71870422	
1.160000	162.26142883	
1.180000	162.80133057	
1.200000	163.14984131	
1.220000	163.35430908	
1.240000	163.35119629	
1.260000	162.99330139	
1.280000	162.41609192	
1.300000	161.56471252	
1.320000	160.71754456	
1.340000	159.34034729	
1.360000	157.58766174	
1.380000	155.13700867	
1.400000	152.51948547	
1.420000	149.60739136	
1.440000	146.94522095	
1.460000	144.32551575	
1.480000	142.18351746	
1.500000	140.44071960	
1.520000	139.55944824	
1.540000	139.39784241	
1.560000	140.03733826	
1.580000	141.32730103	
1.600000	143.16712952	
1.620000	145.56632996	
1.640000	148.09794617	
1.660000	150.72195435	
1.680000	152.78085327	
1.700000	154.13984680	
1.720000	154.42085266	
1.740000	154.26631165	
1.760000	154.31488037	
1.780000	154.81115723	
1.800000	155.21290588	
1.820000	155.43611145	
1.840000	155.65875244	
1.860000	156.30236816	
1.880000	157.05441284	
1.900000	157.89227295	
1.920000	158.62466431	
1.940000	159.33158875	
1.960000	159.77380371	
1.980000	160.15768433	
2.000000	160.50599670	
2.020000	160.98083496	
2.040000	161.52040100	
2.060000	162.05744934	
2.080000	162.69444275	
2.100000	163.38121033	
2.120000	163.91165161	
2.140000	164.27998352	
2.160000	164.33489990	
2.180000	164.43803406	
2.200000	164.39375305	
2.220000	164.16142273	
2.240000	163.71379089	
2.260000	162.86561584	
2.280000	161.98478699	
2.300000	160.65681458	
2.320000	159.27735901	
2.340000	157.37266541	
2.360000	155.30708313	
2.380000	152.92980957	
2.400000	150.52204895	
2.420000	147.93276978	
2.440000	145.50715637	
2.460000	143.20120239	
2.480000	141.37599182	
2.500000	140.09959412	
2.520000	139.70034790	
2.540000	140.13737488	
2.560000	141.12438965	
2.580000	142.68962097	
2.600000	144.60047913	
2.620000	146.96295166	
2.640000	149.38586426	
2.660000	151.86865234	
2.680000	153.69319153	
2.700000	154.62437439	
2.720000	154.60356140	
2.740000	154.71032715	
2.760000	155.07594299	
2.780000	155.77941895	
2.800000	156.15113831	
2.820000	156.45031738	
2.840000	156.86390686	
2.860000	157.56796265	
2.880000	158.43298340	
2.900000	159.29777527	
2.920000	160.14788818	
2.940000	160.94607544	
2.960000	161.64210510	
2.980000	162.15751648	
3.000000	162.49325562	
3.020000	162.77033997	
3.040000	163.08334351	
3.060000	163.53201294	
3.080000	163.90847778	
3.100000	164.18853760	
3.120000	164.31161499	
3.140000	164.37634277	
3.160000	164.22935486	
3.180000	163.75950623	
3.200000	163.05326843	
3.220000	162.13870239	
3.240000	161.10865784	
3.260000	159.59605408	
3.280000	157.78225708	
3.300000	155.50544739	
3.320000	153.09437561	
3.340000	150.40553284	
3.360000	147.74815369	
3.380000	145.04052734	
3.400000	142.68055725	
3.420000	140.56578064	
3.440000	139.24961853	
3.460000	138.57966614	
3.480000	138.83557129	
3.500000	139.63301086	
3.520000	140.96194458	
3.540000	142.76419067	
3.560000	144.88760376	
3.580000	147.24354553	
3.600000	149.44624329	
3.620000	151.01400757	
3.640000	151.74931335	
3.660000	151.99903870	
3.680000	152.53228760	
3.700000	153.36190796	
3.720000	154.25805664	
3.740000	154.96353149	
3.760000	155.58349609	
3.780000	156.29594421	
3.800000	157.17674255	
3.820000	158.11808777	
3.840000	159.07313538	
3.860000	159.91970825	
3.880000	160.75637817	
3.900000	161.44483948	
3.920000	162.10502625	
3.940000	162.77149963	
3.960000	163.58639526	
3.980000	164.44651794	
4.000000	165.27923584	
4.020000	165.99310303	
4.040000	166.67420959	
4.060000	167.33511353	
4.080000	167.89363098	
4.100000	168.30705261	
4.120000	168.39491272	
4.140000	168.34808350	
4.160000	168.06570435	
4.180000	167.50158691	
4.200000	166.76324463	
4.220000	165.63537598	
4.240000	164.32722473	
4.260000	162.40986633	
4.280000	160.13499451	
4.300000	157.26345825	
4.320000	154.20317078	
4.340000	150.89042664	
4.360000	147.79565430	
4.380000	144.80551147	
4.400000	142.31867981	
4.420000	140.51071167	
4.440000	139.69184875	
4.460000	139.96905518	
4.480000	141.06727600	
4.500000	142.87904358	
4.520000	145.07205200	
4.540000	147.72639465	
4.560000	150.44984436	
4.580000	153.00906372	
4.600000	154.52673340	
4.620000	154.85697937	
4.640000	154.78486633	
4.660000	155.19723511	
4.680000	156.11946106	
4.700000	156.82341003	
4.720000	157.05859375	
4.740000	157.42289734	
4.760000	158.16906738	
4.780000	159.17732239	
4.800000	160.05741882	
4.820000	160.71488953	
4.840000	161.26849365	
4.860000	161.81930542	
4.880000	162.27679443	
4.900000	162.85424805	
4.920000	163.30505371	
4.940000	163.70108032	
4.960000	163.92454529	
4.980000	164.00622559	
5.000000	163.97789001	
5.020000	163.65328979	
5.040000	163.31588745	
5.060000	162.68048096	
5.080000	161.95777893	
5.100000	160.79183960	
5.120000	159.42361450	
5.140000	157.44967651	
5.160000	155.13537598	
5.180000	152.33287048	
5.200000	149.64497375	
5.220000	147.05081177	
5.240000	144.91244507	
5.260000	143.24502563	
5.280000	142.28771973	
5.300000	142.14682007	
5.320000	142.65605164	
5.340000	143.72636414	
5.360000	145.23292542	
5.380000	147.19686890	
5.400000	149.32952881	
5.420000	151.52796936	
5.440000	153.47207642	
5.460000	155.22145081	
5.480000	156.19975281	
5.500000	156.51464844	
5.520000	156.38609314	
5.540000	156.52227783	
5.560000	156.86544800	
5.580000	157.13098145	
5.600000	157.15219116	
5.620000	157.25697327	
5.640000	157.62089539	
5.660000	158.37617493	
5.680000	159.15261841	
5.700000	159.89729309	
5.720000	160.41860962	
5.740000	160.87084961	
5.760000	161.28433228	
5.780000	161.77200317	
5.800000	162.21537781	
5.820000	162.64849854	
5.840000	162.90963745	
5.860000	163.28807068	
5.880000	163.42514038	
