Time	Knee_Angle_right X
0.000000	135.71890259	
0.020000	138.08132935	
0.040000	140.40760803	
0.060000	142.60136414	
0.080000	144.41809082	
0.100000	145.97834778	
0.120000	147.34823608	
0.140000	148.64093018	
0.160000	149.92681885	
0.180000	151.28837585	
0.200000	152.67274475	
0.220000	154.02427673	
0.240000	155.26524353	
0.260000	156.45793152	
0.280000	157.57421875	
0.300000	158.55924988	
0.320000	159.29609680	
0.340000	159.86866760	
0.360000	160.30598450	
0.380000	160.67344666	
0.400000	160.94837952	
0.420000	161.18139648	
0.440000	161.36352539	
0.460000	161.42131042	
0.480000	161.25825500	
0.500000	160.76258850	
0.520000	159.90998840	
0.540000	158.56695557	
0.560000	156.70945740	
0.580000	154.21665955	
0.600000	151.20141602	
0.620000	147.71533203	
0.640000	144.08477783	
0.660000	140.57644653	
0.680000	137.64074707	
0.700000	135.50477600	
0.720000	134.39918518	
0.740000	134.30871582	
0.760000	135.17156982	
0.780000	136.75944519	
0.800000	138.84136963	
0.820000	141.11909485	
0.840000	143.25451660	
0.860000	145.00743103	
0.880000	146.32202148	
0.900000	147.38172913	
0.920000	148.32147217	
0.940000	149.28952026	
0.960000	150.31657410	
0.980000	151.42584229	
1.000000	152.48109436	
1.020000	153.44314575	
1.040000	154.33122253	
1.060000	155.26205444	
1.080000	156.17977905	
1.100000	157.02397156	
1.120000	157.71278381	
1.140000	158.29133606	
1.160000	158.73045349	
1.180000	159.05052185	
1.200000	159.24826050	
1.220000	159.40582275	
1.240000	159.50247192	
1.260000	159.54907227	
1.280000	159.48481750	
1.300000	159.26283264	
1.320000	158.75511169	
1.340000	157.86032104	
1.360000	156.50199890	
1.380000	154.62200928	
1.400000	152.25897217	
1.420000	149.46578979	
1.440000	146.45222473	
1.460000	143.34397888	
1.480000	140.51489258	
1.500000	138.24702454	
1.520000	136.86119080	
1.540000	136.40580750	
1.560000	136.91297913	
1.580000	138.20785522	
1.600000	140.01574707	
1.620000	141.97724915	
1.640000	143.77201843	
1.660000	145.24760437	
1.680000	146.38015747	
1.700000	147.33480835	
1.720000	148.22973633	
1.740000	149.17356873	
1.760000	150.19729614	
1.780000	151.28369141	
1.800000	152.29785156	
1.820000	153.16346741	
1.840000	153.89631653	
1.860000	154.53933716	
1.880000	155.04269409	
1.900000	155.40107727	
1.920000	155.64540100	
1.940000	155.87532043	
1.960000	156.12622070	
1.980000	156.44129944	
2.000000	156.81576538	
2.020000	157.26356506	
2.040000	157.75921631	
2.060000	158.29629517	
2.080000	158.82211304	
2.100000	159.30993652	
2.120000	159.72383118	
2.140000	160.03404236	
2.160000	160.25090027	
2.180000	160.38542175	
2.200000	160.45036316	
2.220000	160.38938904	
2.240000	160.17636108	
2.260000	159.71966553	
2.280000	159.02177429	
2.300000	157.96473694	
2.320000	156.60343933	
2.340000	154.80052185	
2.360000	152.64335632	
2.380000	150.03390503	
2.400000	147.17396545	
2.420000	144.05513000	
2.440000	140.98474121	
2.460000	138.18769836	
2.480000	136.11441040	
2.500000	135.05101013	
2.520000	135.18525696	
2.540000	136.47169495	
2.560000	138.51092529	
2.580000	140.74208069	
2.600000	142.69018555	
2.620000	144.23403931	
2.640000	145.39723206	
2.660000	146.23490906	
2.680000	146.88435364	
2.700000	147.49642944	
2.720000	148.16320801	
2.740000	148.80636597	
2.760000	149.48252869	
2.780000	150.28265381	
2.800000	151.19660950	
2.820000	152.10731506	
2.840000	152.93261719	
2.860000	153.76159668	
2.880000	154.56338501	
2.900000	155.33874512	
2.920000	156.00775146	
2.940000	156.57621765	
2.960000	156.92959595	
2.980000	157.02117920	
3.000000	156.78863525	
3.020000	156.17820740	
3.040000	155.12591553	
3.060000	153.49263000	
3.080000	151.25740051	
3.100000	148.36642456	
3.120000	144.99713135	
3.140000	141.32934570	
3.160000	137.79612732	
3.180000	134.73887634	
3.200000	132.54302979	
3.220000	131.36880493	
3.240000	131.32031250	
3.260000	132.26396179	
3.280000	133.97921753	
3.300000	136.17523193	
3.320000	138.55699158	
3.340000	140.79335022	
3.360000	142.67340088	
3.380000	144.19975281	
3.400000	145.52432251	
3.420000	146.83558655	
3.440000	148.24551392	
3.460000	149.85952759	
3.480000	151.57801819	
3.500000	153.26397705	
3.520000	154.71597290	
3.540000	155.97972107	
3.560000	157.04145813	
3.580000	157.97077942	
3.600000	158.65994263	
3.620000	159.12150574	
3.640000	159.32986450	
3.660000	159.34550476	
3.680000	159.21023560	
3.700000	158.97451782	
3.720000	158.70494080	
3.740000	158.37049866	
3.760000	157.92610168	
3.780000	157.20262146	
3.800000	156.15750122	
3.820000	154.64335632	
3.840000	152.62405396	
3.860000	150.02577209	
3.880000	146.95339966	
3.900000	143.45930481	
3.920000	139.75741577	
3.940000	136.12290955	
3.960000	132.98294067	
3.980000	130.66452026	
4.000000	129.40463257	
4.020000	129.32733154	
4.040000	130.37243652	
4.060000	132.33677673	
4.080000	134.86015320	
4.100000	137.55517578	
4.120000	140.00753784	
4.140000	142.11004639	
4.160000	143.86074829	
4.180000	145.37849426	
4.200000	146.66082764	
4.220000	147.87580872	
4.240000	149.08645630	
4.260000	150.31207275	
4.280000	151.45494080	
4.300000	152.65310669	
4.320000	153.96426392	
4.340000	155.37019348	
4.360000	156.65762329	
