Time	Knee_Ankle_Angle_left X
0.000000	107.81008911	
0.020000	108.11593628	
0.040000	108.33611298	
0.060000	108.27178955	
0.080000	108.06413269	
0.100000	108.00759125	
0.120000	107.97430420	
0.140000	107.86472321	
0.160000	107.47830200	
0.180000	107.40647125	
0.200000	107.50548553	
0.220000	107.77637482	
0.240000	108.34062195	
0.260000	108.82807159	
0.280000	109.39189911	
0.300000	109.87035370	
0.320000	110.69654846	
0.340000	111.84351349	
0.360000	113.09426117	
0.380000	114.61004639	
0.400000	116.14963531	
0.420000	117.81404114	
0.440000	119.25824738	
0.460000	120.47331238	
0.480000	121.21800232	
0.500000	121.49111938	
0.520000	121.21332550	
0.540000	120.40959167	
0.560000	119.18978882	
0.580000	117.64048004	
0.600000	115.83285522	
0.620000	113.89923859	
0.640000	111.94215393	
0.660000	110.13726044	
0.680000	108.70990753	
0.700000	107.75989532	
0.720000	107.39565277	
0.740000	107.37776947	
0.760000	107.61286926	
0.780000	107.69229126	
0.800000	107.75747681	
0.820000	107.79970551	
0.840000	108.02556610	
0.860000	108.17882538	
0.880000	108.18063354	
0.900000	108.05379486	
0.920000	107.94985962	
0.940000	107.94459534	
0.960000	107.96302032	
0.980000	108.01677704	
1.000000	108.13042450	
1.020000	108.29104614	
1.040000	108.53019714	
1.060000	108.68741608	
1.080000	108.84537506	
1.100000	108.90849304	
1.120000	108.97442627	
1.140000	108.99813843	
1.160000	108.97100830	
1.180000	109.00724030	
1.200000	109.10010529	
1.220000	109.31499481	
1.240000	109.60300446	
1.260000	110.14500427	
1.280000	110.78367615	
1.300000	111.55284882	
1.320000	112.27622986	
1.340000	113.24958801	
1.360000	114.38212585	
1.380000	115.83239746	
1.400000	117.30123138	
1.420000	118.86993408	
1.440000	120.23339844	
1.460000	121.54962921	
1.480000	122.53039551	
1.500000	123.16473389	
1.520000	123.15294647	
1.540000	122.55715942	
1.560000	121.39804840	
1.580000	119.73611450	
1.600000	117.72563934	
1.620000	115.34083557	
1.640000	112.93019867	
1.660000	110.58224487	
1.680000	108.77523041	
1.700000	107.70189667	
1.720000	107.55696869	
1.740000	107.90723419	
1.760000	108.17508698	
1.780000	108.21037292	
1.800000	108.25376129	
1.820000	108.42234039	
1.840000	108.53468323	
1.860000	108.41986084	
1.880000	108.23378754	
1.900000	108.03586578	
1.920000	107.89106750	
1.940000	107.80463409	
1.960000	107.84834290	
1.980000	107.93379974	
2.000000	107.97817993	
2.020000	107.98346710	
2.040000	107.91716003	
2.060000	107.90129089	
2.080000	107.78051758	
2.100000	107.68793488	
2.120000	107.64575958	
2.140000	107.75721741	
2.160000	108.00216675	
2.180000	108.27690887	
2.200000	108.56156921	
2.220000	108.99636841	
2.240000	109.49224854	
2.260000	110.24550629	
2.280000	110.92727661	
2.300000	111.85653687	
2.320000	112.75248718	
2.340000	113.95450592	
2.360000	115.18309784	
2.380000	116.54298401	
2.400000	117.84776306	
2.420000	119.22059631	
2.440000	120.43609619	
2.460000	121.56341553	
2.480000	122.35354614	
2.500000	122.72243500	
2.520000	122.47759247	
2.540000	121.56936646	
2.560000	120.32918549	
2.580000	118.60943604	
2.600000	116.69291687	
2.620000	114.45174408	
2.640000	112.25266266	
2.660000	110.15227509	
2.680000	108.69145203	
2.700000	108.08344269	
2.720000	108.29427338	
2.740000	108.53505707	
2.760000	108.60296631	
2.780000	108.46425629	
2.800000	108.49753571	
2.820000	108.58716583	
2.840000	108.56837463	
2.860000	108.43151855	
2.880000	108.20067596	
2.900000	108.01523590	
2.920000	107.80229187	
2.940000	107.64281464	
