Time	Knee_Ankle_Angle_right X
0.000000	66.80535126	
0.020000	68.81817627	
0.040000	70.75623322	
0.060000	72.48969269	
0.080000	73.76946259	
0.100000	74.66068268	
0.120000	75.21109009	
0.140000	75.55102539	
0.160000	75.82394409	
0.180000	76.11445618	
0.200000	76.40320587	
0.220000	76.64523315	
0.240000	76.84217072	
0.260000	77.02967072	
0.280000	77.22696686	
0.300000	77.40547180	
0.320000	77.51840210	
0.340000	77.57000732	
0.360000	77.57123566	
0.380000	77.52640533	
0.400000	77.42138672	
0.420000	77.25138855	
0.440000	77.03852081	
0.460000	76.74263000	
0.480000	76.34945679	
0.500000	75.80815125	
0.520000	75.14459991	
0.540000	74.29302979	
0.560000	73.25801086	
0.580000	71.98754883	
0.600000	70.54713440	
0.620000	68.96376801	
0.640000	67.39148712	
0.660000	65.97052765	
0.680000	64.93532562	
0.700000	64.40983582	
0.720000	64.51212311	
0.740000	65.24689484	
0.760000	66.57317352	
0.780000	68.33901978	
0.800000	70.36289978	
0.820000	72.40855408	
0.840000	74.18570709	
0.860000	75.49732971	
0.880000	76.30299377	
0.900000	76.73989105	
0.920000	76.93755341	
0.940000	77.04418182	
0.960000	77.16317749	
0.980000	77.30680084	
1.000000	77.43002319	
1.020000	77.51684570	
1.040000	77.62545013	
1.060000	77.78772736	
1.080000	77.98288727	
1.100000	78.14996338	
1.120000	78.24714661	
1.140000	78.27822876	
1.160000	78.23542786	
1.180000	78.13275146	
1.200000	77.97605896	
1.220000	77.80791473	
1.240000	77.61669159	
1.260000	77.39574432	
1.280000	77.12518311	
1.300000	76.77940369	
1.320000	76.30029297	
1.340000	75.64189148	
1.360000	74.77947998	
1.380000	73.69128418	
1.400000	72.41500854	
1.420000	70.99391937	
1.440000	69.55531311	
1.460000	68.16242218	
1.480000	67.01071930	
1.500000	66.24521637	
1.520000	66.02448273	
1.540000	66.37459564	
1.560000	67.31472778	
1.580000	68.74829865	
1.600000	70.47243500	
1.620000	72.22156525	
1.640000	73.71392059	
1.660000	74.82013702	
1.680000	75.51031494	
1.700000	75.92036438	
1.720000	76.17109680	
1.740000	76.40691376	
1.760000	76.70619202	
1.780000	77.07276154	
1.800000	77.42484283	
1.820000	77.71643066	
1.840000	77.97018433	
1.860000	78.20812225	
1.880000	78.39447784	
1.900000	78.50658417	
1.920000	78.54401398	
1.940000	78.54392242	
1.960000	78.50346375	
1.980000	78.44953156	
2.000000	78.39773560	
2.020000	78.38849640	
2.040000	78.41658020	
2.060000	78.48998260	
2.080000	78.57980347	
2.100000	78.67174530	
2.120000	78.73107910	
2.140000	78.74871063	
2.160000	78.72548676	
2.180000	78.67751312	
2.200000	78.60458374	
2.220000	78.48868561	
2.240000	78.29672241	
2.260000	77.98493195	
2.280000	77.53758240	
2.300000	76.91307068	
2.320000	76.13684845	
2.340000	75.15288544	
2.360000	74.00843048	
2.380000	72.68394470	
2.400000	71.30229950	
2.420000	69.89463043	
2.440000	68.61354065	
2.460000	67.58374023	
2.480000	67.02372742	
2.500000	67.08776855	
2.520000	67.83775330	
2.540000	69.26097870	
2.560000	71.06507874	
2.580000	72.85716248	
2.600000	74.27783203	
2.620000	75.27563477	
2.640000	75.88033295	
2.660000	76.16793060	
2.680000	76.26619720	
2.700000	76.30271149	
2.720000	76.33740997	
2.740000	76.29821014	
2.760000	76.25460052	
2.780000	76.27156830	
2.800000	76.38520813	
2.820000	76.49571228	
2.840000	76.56799316	
2.860000	76.59947968	
2.880000	76.59722900	
2.900000	76.52056885	
2.920000	76.37662506	
2.940000	76.15881348	
2.960000	75.86708832	
2.980000	75.46205902	
3.000000	74.96588898	
3.020000	74.31784058	
3.040000	73.51244354	
3.060000	72.46119690	
3.080000	71.20122528	
3.100000	69.69781494	
3.120000	68.06478119	
3.140000	66.38117981	
3.160000	64.87506866	
3.180000	63.70813370	
3.200000	63.08518600	
3.220000	63.09131241	
3.240000	63.79286957	
3.260000	65.11708832	
3.280000	66.91646576	
3.300000	68.97408295	
3.320000	71.04421234	
3.340000	72.84133911	
3.360000	74.18905640	
3.380000	75.07345581	
3.400000	75.61904144	
3.420000	75.97464752	
3.440000	76.28648376	
3.460000	76.64939117	
3.480000	77.04692078	
3.500000	77.40268707	
3.520000	77.65650940	
3.540000	77.84009552	
3.560000	77.97132111	
3.580000	78.07017517	
3.600000	78.09378815	
3.620000	78.02114868	
3.640000	77.84607697	
3.660000	77.57838440	
3.680000	77.24899292	
3.700000	76.86406708	
3.720000	76.47061157	
3.740000	76.03366089	
3.760000	75.55944061	
3.780000	74.95178223	
3.800000	74.20453644	
3.820000	73.23596191	
3.840000	72.05906677	
3.860000	70.64417267	
3.880000	69.06738281	
3.900000	67.36116028	
3.920000	65.65490723	
3.940000	64.10723877	
3.960000	62.93637466	
3.980000	62.31724548	
4.000000	62.36220932	
4.020000	63.13625336	
4.040000	64.57690430	
4.060000	66.54788971	
4.080000	68.80186462	
4.100000	71.03218842	
4.120000	72.90042114	
4.140000	74.28884888	
4.160000	75.20803833	
4.180000	75.76231384	
4.200000	76.04589844	
4.220000	76.24511719	
4.240000	76.45130157	
4.260000	76.66091156	
4.280000	76.81714630	
4.300000	76.98769379	
4.320000	77.21613312	
4.340000	77.48282623	
4.360000	77.72119904	
4.380000	77.89527893	
4.400000	78.00556946	
4.420000	78.01688385	
4.440000	77.91521454	
4.460000	77.67345428	
4.480000	77.35794067	
4.500000	76.94231415	
4.520000	76.43711853	
4.540000	75.75653839	
4.560000	74.91593170	
4.580000	73.81399536	
4.600000	72.45363617	
4.620000	70.79322052	
4.640000	68.96294403	
4.660000	67.02851868	
4.680000	65.19889832	
4.700000	63.68234253	
4.720000	62.72510529	
4.740000	62.43334579	
4.760000	62.86405945	
4.780000	63.99323273	
4.800000	65.72151184	
4.820000	67.88035583	
4.840000	70.20314026	
4.860000	72.36426544	
4.880000	74.09919739	
4.900000	75.32582855	
4.920000	76.11790466	
4.940000	76.59029388	
