Time	Left_Forefoot_y_baseline X
0.000000	0.00613745	
0.020000	0.01697516	
0.040000	0.02271639	
0.060000	0.02144505	
0.080000	0.01510033	
0.100000	0.00327797	
0.120000	-0.00613827	
0.140000	-0.01159568	
0.160000	-0.01142862	
0.180000	-0.01190259	
0.200000	-0.01202345	
0.220000	-0.01068859	
0.240000	-0.00756821	
0.260000	-0.00012994	
0.280000	0.00904807	
0.300000	0.01983093	
0.320000	0.02613501	
0.340000	0.02763715	
0.360000	0.02239938	
0.380000	0.01031034	
0.400000	-0.00189154	
0.420000	-0.01090288	
0.440000	-0.01312794	
0.460000	-0.01352827	
0.480000	-0.01330593	
0.500000	-0.01122649	
0.520000	-0.00653860	
0.540000	0.00201900	
0.560000	0.01203460	
0.580000	0.02059117	
0.600000	0.02493876	
0.620000	0.02035274	
0.640000	0.00802960	
0.660000	-0.00397673	
0.680000	-0.01076511	
0.700000	-0.01139541	
0.720000	-0.01214597	
0.740000	-0.01205109	
0.760000	-0.01149215	
0.780000	-0.00748736	
0.800000	-0.00098608	
0.820000	0.00881748	
0.840000	0.01570588	
0.860000	0.01776057	
0.880000	0.01272678	
0.900000	0.00202334	
0.920000	-0.00618033	
0.940000	-0.01110975	
0.960000	-0.01081213	
0.980000	-0.01163487	
1.000000	-0.01205975	
1.020000	-0.01024783	
1.040000	-0.00540173	
1.060000	0.00394540	
1.080000	0.01351260	
1.100000	0.02153787	
1.120000	0.02475065	
1.140000	0.02000418	
1.160000	0.00878985	
1.180000	-0.00286339	
1.200000	-0.00980830	
1.220000	-0.01195911	
1.240000	-0.01335914	
1.260000	-0.01376216	
1.280000	-0.01324281	
1.300000	-0.01086968	
1.320000	-0.00683375	
1.340000	0.00016852	
1.360000	0.00628719	
1.380000	0.01142760	
1.400000	0.01134366	
1.420000	0.00543165	
1.440000	-0.00296363	
1.460000	-0.01000218	
1.480000	-0.01219381	
1.500000	-0.01327211	
1.520000	-0.01376256	
1.540000	-0.01248091	
1.560000	-0.01070963	
1.580000	-0.00459982	
1.600000	0.00246039	
1.620000	0.01171388	
1.640000	0.01662701	
1.660000	0.01635146	
1.680000	0.00948574	
1.700000	-0.00036691	
1.720000	-0.00774413	
1.740000	-0.01090185	
1.760000	-0.01116420	
1.780000	-0.01174852	
1.800000	-0.01225033	
1.820000	-0.00991432	
1.840000	-0.00585383	
1.860000	0.00227311	
1.880000	0.00958969	
1.900000	0.01627514	
1.920000	0.01695742	
1.940000	0.01112214	
1.960000	0.00098899	
1.980000	-0.00712043	
2.000000	-0.01048461	
2.020000	-0.01088165	
2.040000	-0.01142594	
2.060000	-0.01132838	
2.080000	-0.01068735	
2.100000	-0.00622179	
2.120000	-0.00018170	
2.140000	0.00929682	
2.160000	0.01477239	
2.180000	0.01467627	
2.200000	0.00742880	
2.220000	-0.00270478	
2.240000	-0.00986771	
2.260000	-0.01292972	
2.280000	-0.01283732	
2.300000	-0.01233654	
2.320000	-0.01220660	
2.340000	-0.01016946	
2.360000	-0.00596851	
2.380000	0.00176346	
2.400000	0.00909798	
2.420000	0.01456285	
2.440000	0.01550829	
2.460000	0.00981286	
2.480000	0.00026216	
2.500000	-0.00824821	
2.520000	-0.01189558	
2.540000	-0.01235758	
2.560000	-0.01287115	
2.580000	-0.01279978	
2.600000	-0.01245308	
2.620000	-0.00943664	
2.640000	-0.00323629	
2.660000	0.00672032	
