Time	Left_Hand_y_baseline X
0.000000	-0.00429940	
0.020000	-0.00485116	
0.040000	-0.00508487	
0.060000	-0.00427812	
0.080000	-0.00154215	
0.100000	0.00552499	
0.120000	0.01203752	
0.140000	0.01612747	
0.160000	0.01391995	
0.180000	0.00642449	
0.200000	-0.00033861	
0.220000	-0.00533128	
0.240000	-0.00524598	
0.260000	-0.00419009	
0.280000	0.00085723	
0.300000	0.01149392	
0.320000	0.02144718	
0.340000	0.02658981	
0.360000	0.02250534	
0.380000	0.01115799	
0.400000	0.00096822	
0.420000	-0.00558406	
0.440000	-0.00539970	
0.460000	-0.00513750	
0.480000	-0.00462204	
0.500000	0.00002474	
0.520000	0.00666273	
0.540000	0.01353025	
0.560000	0.01626623	
0.580000	0.01209134	
0.600000	0.00516921	
0.620000	-0.00221378	
0.640000	-0.00493890	
0.660000	-0.00524598	
0.680000	-0.00495470	
0.700000	-0.00238794	
0.720000	0.00256038	
0.740000	0.00778854	
0.760000	0.00997537	
0.780000	0.00458962	
0.800000	-0.00111443	
0.820000	-0.00571448	
0.840000	-0.00527704	
0.860000	-0.00463170	
0.880000	-0.00186741	
0.900000	0.00453120	
0.920000	0.01066077	
0.940000	0.01288396	
0.960000	0.00752032	
0.980000	0.00082767	
1.000000	-0.00438094	
1.020000	-0.00547880	
1.040000	-0.00528562	
1.060000	-0.00355273	
1.080000	-0.00057411	
1.100000	0.00470996	
1.120000	0.00837010	
1.140000	0.00837350	
1.160000	0.00291318	
1.180000	-0.00259668	
1.200000	-0.00585401	
1.220000	-0.00561512	
1.240000	-0.00512838	
1.260000	-0.00106239	
1.280000	0.00305080	
1.300000	0.00679260	
1.320000	0.00607002	
1.340000	0.00180316	
1.360000	-0.00215000	
1.380000	-0.00521791	
1.400000	-0.00512713	
1.420000	-0.00470901	
1.440000	-0.00324702	
1.460000	0.00156897	
1.480000	0.00611651	
1.500000	0.00917810	
1.520000	0.00696570	
1.540000	0.00198776	
1.560000	-0.00238436	
1.580000	-0.00492525	
1.600000	-0.00491285	
1.620000	-0.00229579	
1.640000	0.00341696	
1.660000	0.01081467	
1.680000	0.01542908	
1.700000	0.01377523	
1.720000	0.00620127	
1.740000	-0.00138980	
1.760000	-0.00571972	
1.780000	-0.00527298	
1.800000	-0.00432503	
1.820000	0.00167137	
1.840000	0.00900990	
1.860000	0.01581365	
1.880000	0.01615208	
1.900000	0.00854295	
1.920000	0.00104177	
1.940000	-0.00508487	
1.960000	-0.00508487	
1.980000	-0.00376445	
2.000000	0.00097370	
2.020000	0.01021183	
2.040000	0.01822829	
2.060000	0.02174717	
2.080000	0.01798040	
2.100000	0.00823128	
2.120000	-0.00039554	
2.140000	-0.00586683	
2.160000	-0.00534552	
2.180000	-0.00242168	
2.200000	0.00487852	
2.220000	0.01645434	
2.240000	0.02573663	
2.260000	0.02699679	
2.280000	0.01847875	
2.300000	0.00629556	
2.320000	-0.00258178	
2.340000	-0.00580335	
2.360000	-0.00530505	
2.380000	-0.00149560	
2.400000	0.00655049	
2.420000	0.01659739	
2.440000	0.02293932	
2.460000	0.01954609	
2.480000	0.00920933	
2.500000	-0.00088918	
2.520000	-0.00579399	
2.540000	-0.00551152	
2.560000	-0.00458497	
2.580000	0.00281978	
2.600000	0.01220691	
2.620000	0.02140391	
2.640000	0.02102160	
2.660000	0.01112086	
2.680000	0.00092143	
2.700000	-0.00610119	
2.720000	-0.00599539	
2.740000	-0.00501263	
2.760000	-0.00157046	
2.780000	0.00778061	
2.800000	0.01651692	
2.820000	0.02088249	
2.840000	0.01521581	
2.860000	0.00489599	
2.880000	-0.00357687	
2.900000	-0.00792623	
2.920000	-0.00787169	
2.940000	-0.00625551	
2.960000	-0.00222611	
2.980000	0.00774664	
3.000000	0.01756144	
3.020000	0.02422279	
3.040000	0.02311128	
3.060000	0.01395023	
3.080000	0.00403023	
3.100000	-0.00439423	
3.120000	-0.00618398	
3.140000	-0.00555909	
3.160000	-0.00404525	
3.180000	0.00214666	
3.200000	0.00907069	
3.220000	0.01574707	
3.240000	0.01687008	
3.260000	0.01061016	
3.280000	0.00288051	
3.300000	-0.00416130	
3.320000	-0.00553608	
3.340000	-0.00578451	
3.360000	-0.00326145	
3.380000	0.00424409	
3.400000	0.01332349	
3.420000	0.01795340	
3.440000	0.01399952	
3.460000	0.00481695	
3.480000	-0.00249988	
3.500000	-0.00590515	
3.520000	-0.00549865	
3.540000	-0.00364214	
3.560000	0.00097573	
3.580000	0.00946933	
3.600000	0.01685202	
3.620000	0.01963675	
3.640000	0.01497453	
3.660000	0.00542849	
3.680000	-0.00252283	
3.700000	-0.00686997	
3.720000	-0.00637972	
3.740000	-0.00492626	
3.760000	-0.00133502	
3.780000	0.00618058	
3.800000	0.01271880	
3.820000	0.01617134	
3.840000	0.01298493	
3.860000	0.00504959	
3.880000	-0.00213534	
3.900000	-0.00675702	
3.920000	-0.00661576	
3.940000	-0.00510949	
3.960000	-0.00198501	
3.980000	0.00374830	
4.000000	0.00811648	
4.020000	0.00727355	
4.040000	0.00183284	
4.060000	-0.00411278	
4.080000	-0.00660676	
4.100000	-0.00631422	
4.120000	-0.00551683	
4.140000	-0.00025821	
4.160000	0.00616407	
4.180000	0.01357174	
4.200000	0.01425868	
4.220000	0.00703901	
4.240000	-0.00157136	
4.260000	-0.00730455	
4.280000	-0.00709224	
4.300000	-0.00528562	
4.320000	-0.00326526	
4.340000	0.00297636	
4.360000	0.01025075	
4.380000	0.01657254	
4.400000	0.01669830	
4.420000	0.00841981	
4.440000	-0.00053996	
4.460000	-0.00752491	
4.480000	-0.00967020	
4.500000	-0.00855047	
4.520000	-0.00727767	
4.540000	-0.00101078	
4.560000	0.00422043	
4.580000	0.00856423	
4.600000	0.00734890	
4.620000	0.00155711	
4.640000	-0.00350034	
4.660000	-0.00659156	
4.680000	-0.00639188	
4.700000	-0.00398546	
4.720000	0.00098348	
4.740000	0.00625849	
4.760000	0.00900966	
4.780000	0.00404084	
4.800000	-0.00199306	
4.820000	-0.00770992	
4.840000	-0.00738215	
4.860000	-0.00610936	
4.880000	-0.00467265	
4.900000	-0.00039327	
4.920000	0.00579637	
4.940000	0.01183677	
4.960000	0.01359707	
4.980000	0.00725430	
5.000000	0.00053602	
5.020000	-0.00583136	
5.040000	-0.00633335	
5.060000	-0.00597262	
5.080000	-0.00531733	
5.100000	-0.00052720	
5.120000	0.00447816	
5.140000	0.00830036	
5.160000	0.00499666	
5.180000	-0.00070840	
5.200000	-0.00538355	
5.220000	-0.00654238	
5.240000	-0.00586450	
5.260000	-0.00080723	
5.280000	0.00606108	
5.300000	0.01300681	
5.320000	0.01398611	
5.340000	0.00651735	
5.360000	-0.00118178	
5.380000	-0.00702053	
5.400000	-0.00674754	
5.420000	-0.00521880	
5.440000	-0.00339574	
5.460000	0.00267643	
5.480000	0.00836724	
5.500000	0.01365137	
5.520000	0.01336360	
5.540000	0.00672412	
5.560000	-0.00007582	
5.580000	-0.00618792	
5.600000	-0.00682271	
5.620000	-0.00677884	
5.640000	-0.00593549	
5.660000	-0.00176090	
5.680000	0.00318462	
5.700000	0.00682062	
5.720000	0.00563556	
5.740000	-0.00019753	
5.760000	-0.00488585	
5.780000	-0.00808436	
5.800000	-0.00808436	
5.820000	-0.00689256	
5.840000	-0.00553685	
5.860000	-0.00008613	
5.880000	0.00455517	
5.900000	0.00777489	
5.920000	0.00449860	
5.940000	-0.00133437	
5.960000	-0.00590968	
5.980000	-0.00789881	
6.000000	-0.00771320	
6.020000	-0.00684905	
6.040000	-0.00601786	
6.060000	-0.00117451	
6.080000	0.00364983	
6.100000	0.00754744	
6.120000	0.00556505	
6.140000	-0.00024217	
6.160000	-0.00527501	
6.180000	-0.00832158	
6.200000	-0.00820309	
6.220000	-0.00696278	
6.240000	-0.00513899	
6.260000	0.00101787	
6.280000	0.00698507	
6.300000	0.01209682	
6.320000	0.01155454	
6.340000	0.00430018	
6.360000	-0.00263518	
6.380000	-0.00822890	
6.400000	-0.00787789	
6.420000	-0.00748247	
6.440000	-0.00696677	
6.460000	-0.00459969	
6.480000	0.00018275	
6.500000	0.00802207	
6.520000	0.01437008	
6.540000	0.01810825	
6.560000	0.01796782	
6.580000	0.01237792	
6.600000	0.00358903	
6.620000	-0.00443751	
6.640000	-0.00753933	
6.660000	-0.00766641	
6.680000	-0.00787544	
6.700000	-0.00690430	
6.720000	-0.00500262	
6.740000	0.00077587	
6.760000	0.00601906	
6.780000	0.01038736	
6.800000	0.01087874	
6.820000	0.00648874	
6.840000	0.00034606	
6.860000	-0.00571483	
6.880000	-0.00753933	
6.900000	-0.00693202	
6.920000	-0.00640672	
6.940000	-0.00325805	
6.960000	0.00232869	
6.980000	0.00966620	
7.000000	0.01421630	
7.020000	0.01218826	
7.040000	0.00446802	
7.060000	-0.00355840	
7.080000	-0.00796998	
7.100000	-0.00832158	
7.120000	-0.00820309	
7.140000	-0.00754780	
7.160000	-0.00701112	
7.180000	-0.00216097	
7.200000	0.00391114	
7.220000	0.01219267	
7.240000	0.01616043	
7.260000	0.01731056	
7.280000	0.01365095	
7.300000	0.00501847	
7.320000	-0.00274044	
7.340000	-0.00789881	
7.360000	-0.00808436	
7.380000	-0.00787544	
7.400000	-0.00766641	
7.420000	-0.00478971	
7.440000	0.00070810	
7.460000	0.00922602	
7.480000	0.01525015	
7.500000	0.01841152	
7.520000	0.01719534	
7.540000	0.00970680	
7.560000	0.00137520	
7.580000	-0.00592673	
7.600000	-0.00712979	
7.620000	-0.00707132	
7.640000	-0.00654602	
7.660000	-0.00323468	
7.680000	0.00282222	
7.700000	0.01198506	
7.720000	0.01834971	
7.740000	0.02073956	
7.760000	0.01635194	
7.780000	0.00646698	
7.800000	-0.00208956	
7.820000	-0.00724721	
7.840000	-0.00689560	
7.860000	-0.00634247	
7.880000	-0.00565547	
7.900000	-0.00132257	
7.920000	0.00519574	
7.940000	0.01324248	
7.960000	0.01764309	
7.980000	0.01619762	
8.000000	0.00853342	
8.020000	-0.00022006	
8.040000	-0.00597984	
8.059999	-0.00706905	
8.080000	-0.00704920	
8.099999	-0.00640357	
8.120000	-0.00554359	
8.139999	-0.00091594	
8.160000	0.00484800	
8.179999	0.01137680	
8.200000	0.01398700	
8.220000	0.01163918	
8.240000	0.00453973	
8.260000	-0.00251299	
8.280000	-0.00638980	
8.300000	-0.00650108	
8.320000	-0.00636888	
8.340000	-0.00533152	
8.360000	-0.00202888	
8.380000	0.00535077	
8.400000	0.01300418	
8.420000	0.01894224	
8.440000	0.02048951	
8.460000	0.01609868	
8.480000	0.00717694	
8.500000	-0.00172859	
8.520000	-0.00584346	
8.540000	-0.00561494	
8.559999	-0.00537217	
8.580000	-0.00410396	
8.599999	-0.00280213	
8.620000	0.00258940	
8.639999	0.00706804	
8.660000	0.01149559	
8.679999	0.01188380	
8.700000	0.00862050	
8.720000	0.00231528	
8.740000	-0.00425696	
8.760000	-0.00730771	
8.780000	-0.00745785	
8.800000	-0.00724655	
8.820000	-0.00625002	
8.840000	-0.00527734	
8.860000	-0.00099725	
8.880000	0.00293863	
8.900000	0.00744337	
8.920000	0.00862068	
8.940000	0.00570863	
8.960000	0.00038147	
8.980000	-0.00528741	
9.000000	-0.00730771	
9.020000	-0.00754559	
9.040000	-0.00768584	
9.059999	-0.00752211	
9.080000	-0.00742733	
9.099999	-0.00454277	
9.120000	0.00004381	
9.139999	0.00520700	
9.160000	0.00769877	
9.179999	0.00496864	
9.200000	0.00014454	
9.220000	-0.00490004	
9.240000	-0.00672311	
9.260000	-0.00720775	
9.280000	-0.00733054	
9.300000	-0.00668496	
9.320000	-0.00583941	
9.340000	-0.00166482	
9.360000	0.00310719	
9.380000	0.00833839	
9.400000	0.01017511	
9.420000	0.00739944	
9.440000	0.00175089	
9.460000	-0.00411761	
9.480000	-0.00675970	
9.500000	-0.00687087	
9.520000	-0.00668597	
9.540000	-0.00590026	
9.559999	-0.00511134	
9.580000	-0.00086725	
9.599999	0.00337183	
9.620000	0.00692296	
9.639999	0.00648153	
9.660000	0.00098652	
9.679999	-0.00398231	
9.700000	-0.00796998	
9.719999	-0.00749958	
9.740000	-0.00664681	
9.760000	-0.00626415	
9.780000	-0.00474817	
9.800000	-0.00254738	
9.820000	0.00105238	
9.840000	0.00356066	
9.860000	0.00280011	
9.880000	-0.00105196	
9.900000	-0.00528741	
9.920000	-0.00730771	
9.940000	-0.00779915	
9.960000	-0.00793934	
9.980000	-0.00809383	
10.000000	-0.00808436	
10.020000	-0.00647283	
10.040000	-0.00362796	
10.059999	0.00254554	
10.080000	0.00710744	
10.099999	0.01114088	
10.120000	0.01138616	
10.139999	0.00610775	
10.160000	0.00014824	
10.179999	-0.00607741	
10.200000	-0.00676340	
10.219999	-0.00728697	
10.240000	-0.00708467	
10.260000	-0.00655925	
10.280000	-0.00622034	
10.300000	-0.00325805	
10.320000	0.00186795	
10.340000	0.00873452	
10.360000	0.01297754	
10.380000	0.01375115	
10.400000	0.01044333	
10.420000	0.00310594	
10.440000	-0.00334233	
