Time	Left_Heel_y_baseline X
0.000000	-0.00085744	
0.020000	-0.00489460	
0.040000	-0.00774488	
0.060000	-0.00967011	
0.080000	-0.01066394	
0.100000	-0.01108237	
0.120000	-0.01075095	
0.140000	-0.00840239	
0.160000	-0.00586714	
0.180000	-0.00111906	
0.200000	0.00280817	
0.220000	0.00790322	
0.240000	0.01099464	
0.260000	0.01405987	
0.280000	0.01556157	
0.300000	0.01454563	
0.320000	0.01007390	
0.340000	0.00309291	
0.360000	-0.00317857	
0.380000	-0.00815265	
0.400000	-0.01051308	
0.420000	-0.01139617	
0.440000	-0.01070714	
0.460000	-0.00772585	
0.480000	-0.00375092	
0.500000	0.00301820	
0.520000	0.00850996	
0.540000	0.01634948	
0.560000	0.02114137	
0.580000	0.02582374	
0.600000	0.02688041	
0.620000	0.02417548	
0.640000	0.01698261	
0.660000	0.00599949	
0.680000	-0.00333066	
0.700000	-0.01083897	
0.720000	-0.01427266	
0.740000	-0.01480161	
0.760000	-0.01303501	
0.780000	-0.00883943	
0.800000	-0.00466676	
0.820000	0.00157176	
0.840000	0.00739475	
0.860000	0.01566987	
0.880000	0.02200501	
0.900000	0.02765378	
0.920000	0.02974544	
0.940000	0.02942815	
0.960000	0.02440719	
0.980000	0.01593433	
1.000000	0.00567871	
1.020000	-0.00377262	
1.040000	-0.01000562	
1.060000	-0.01233739	
1.080000	-0.01242828	
1.100000	-0.00952499	
1.120000	-0.00599180	
1.140000	0.00030793	
1.160000	0.00520688	
1.180000	0.01049088	
1.200000	0.01341976	
1.220000	0.01438576	
1.240000	0.01080447	
1.260000	0.00358665	
1.280000	-0.00484547	
1.300000	-0.01052311	
1.320000	-0.01255970	
1.340000	-0.01242173	
1.360000	-0.01218346	
1.380000	-0.01148194	
1.400000	-0.01078698	
1.420000	-0.00775369	
1.440000	-0.00526777	
1.460000	-0.00219108	
1.480000	-0.00124986	
1.500000	-0.00021508	
1.520000	-0.00036903	
1.540000	-0.00237368	
1.560000	-0.00495908	
1.580000	-0.00846626	
1.600000	-0.01012272	
1.620000	-0.01129135	
1.640000	-0.01129135	
1.660000	-0.01184365	
1.680000	-0.01184386	
1.700000	-0.00963552	
1.720000	-0.00499143	
1.740000	0.00220142	
1.760000	0.00849482	
1.780000	0.01573189	
1.800000	0.01989596	
1.820000	0.02250040	
1.840000	0.02099869	
1.860000	0.01570895	
1.880000	0.00867659	
1.900000	-0.00088549	
1.920000	-0.00721757	
1.940000	-0.01316869	
1.960000	-0.01518726	
1.980000	-0.01551868	
2.000000	-0.01413837	
2.020000	-0.01083897	
2.040000	-0.00688902	
2.060000	-0.00053422	
2.080000	0.00551926	
2.100000	0.01228325	
2.120000	0.01655233	
2.140000	0.01833837	
2.160000	0.01652122	
2.180000	0.01070049	
2.200000	0.00319219	
2.220000	-0.00487474	
2.240000	-0.00894690	
2.260000	-0.01137611	
2.280000	-0.01127867	
2.300000	-0.00863063	
2.320000	-0.00410363	
2.340000	0.00374877	
2.360000	0.01216432	
2.380000	0.02299598	
2.400000	0.02961893	
2.420000	0.03173719	
2.440000	0.02603090	
2.460000	0.01619308	
2.480000	0.00332955	
2.500000	-0.00688902	
2.520000	-0.01313512	
2.540000	-0.01428330	
2.560000	-0.01392262	
2.580000	-0.01239656	
2.600000	-0.01121582	
2.620000	-0.00747734	
2.640000	-0.00424795	
2.660000	0.00024672	
2.680000	0.00267594	
2.700000	0.00427671	
2.720000	0.00306815	
2.740000	-0.00090678	
2.760000	-0.00554413	
2.780000	-0.00941464	
2.800000	-0.01084982	
2.820000	-0.01029794	
2.840000	-0.00857536	
2.860000	-0.00519674	
2.880000	-0.00281174	
2.900000	-0.00217430	
2.920000	-0.00440229	
2.940000	-0.00778091	
2.960000	-0.01025127	
2.980000	-0.01250607	
3.000000	-0.01302929	
3.020000	-0.01093149	
3.040000	-0.00673549	
3.060000	-0.00045930	
3.080000	0.00477086	
3.100000	0.01199503	
3.120000	0.01677546	
3.140000	0.01984580	
3.160000	0.01915370	
3.180000	0.01458248	
3.200000	0.00837977	
3.220000	-0.00101015	
3.240000	-0.00720631	
3.260000	-0.01129135	
3.280000	-0.01140845	
3.300000	-0.01067786	
3.320000	-0.00980829	
3.340000	-0.00710109	
3.360000	-0.00445981	
3.380000	0.00019166	
3.400000	0.00288801	
3.420000	0.00710346	
3.440000	0.00893657	
3.460000	0.00959899	
3.480000	0.00809729	
3.500000	0.00436780	
3.520000	-0.00037988	
3.540000	-0.00654593	
3.560000	-0.01061174	
3.580000	-0.01236074	
3.600000	-0.01226799	
3.620000	-0.01132944	
3.640000	-0.01016386	
3.660000	-0.00628187	
3.680000	-0.00175180	
3.700000	0.00523594	
3.720000	0.01174611	
3.740000	0.02041058	
3.760000	0.02707939	
3.780000	0.03280820	
3.800000	0.03501654	
3.820000	0.03442004	
3.840000	0.03088686	
3.860000	0.02282648	
3.880000	0.01362140	
3.900000	0.00224872	
3.920000	-0.00549151	
3.940000	-0.01008156	
3.960000	-0.01118553	
3.980000	-0.00986540	
4.000000	-0.00825992	
4.020000	-0.00501148	
4.040000	-0.00214237	
4.060000	0.00342269	
4.080000	0.00966981	
4.100000	0.01688743	
4.120000	0.02132621	
4.140000	0.02500124	
4.160000	0.02655534	
4.180000	0.02407107	
4.200000	0.01781003	
4.220000	0.00725985	
4.240000	-0.00166827	
4.260000	-0.00901915	
4.280000	-0.01208192	
4.300000	-0.01277423	
4.320000	-0.01252040	
4.340000	-0.01053293	
4.360000	-0.00816678	
4.380000	-0.00389381	
4.400000	0.00098385	
4.420000	0.00856113	
4.440000	0.01601438	
4.460000	0.02420945	
4.480000	0.02928936	
4.500000	0.03219205	
4.520000	0.03203729	
4.540000	0.02827199	
4.560000	0.02264839	
4.580000	0.01310596	
4.600000	0.00421469	
4.620000	-0.00425859	
4.640000	-0.00869778	
