Time	Paced_left_y_baseline X
0.000000	-0.01366100	
0.020000	-0.01158947	
0.040000	-0.01057975	
0.060000	-0.01063187	
0.080000	-0.01063187	
0.100000	-0.01063187	
0.120000	-0.01063187	
0.140000	-0.01057975	
0.160000	-0.01052763	
0.180000	-0.01047550	
0.200000	-0.01047550	
0.220000	-0.01052763	
0.240000	-0.01052763	
0.260000	-0.01052763	
0.280000	-0.01047550	
0.300000	-0.01047550	
0.320000	-0.01047550	
0.340000	-0.01047550	
0.360000	-0.01047550	
0.380000	-0.01098499	
0.400000	-0.01149446	
0.420000	-0.01238629	
0.440000	-0.01276831	
0.460000	-0.01321912	
0.480000	-0.01328772	
0.500000	-0.01316430	
0.520000	-0.01297228	
0.540000	-0.01249222	
0.560000	-0.01220402	
0.580000	-0.01143594	
0.600000	-0.01095572	
0.620000	-0.00932305	
0.640000	-0.00817075	
0.660000	-0.00687033	
0.680000	-0.00672220	
0.700000	-0.00835471	
0.720000	-0.01013535	
0.740000	-0.01194543	
0.760000	-0.01197468	
0.780000	-0.01238629	
0.800000	-0.01276831	
0.820000	-0.01321912	
0.840000	-0.01328772	
0.860000	-0.01352093	
0.880000	-0.01368572	
0.900000	-0.01400585	
0.920000	-0.01416123	
0.940000	-0.01416123	
0.960000	-0.01400585	
0.980000	-0.01385033	
1.000000	-0.01385033	
1.020000	-0.01377903	
1.040000	-0.01370774	
1.060000	-0.01378962	
1.080000	-0.01394297	
1.100000	-0.01401427	
1.120000	-0.01393221	
1.140000	-0.01393221	
1.160000	-0.01401427	
1.180000	-0.01409616	
1.200000	-0.01409616	
1.220000	-0.01416963	
1.240000	-0.01424327	
1.260000	-0.01431675	
1.280000	-0.01431675	
1.300000	-0.01424327	
1.320000	-0.01416963	
1.340000	-0.01317741	
1.360000	-0.01225868	
1.380000	-0.01009147	
1.400000	-0.00880820	
1.420000	-0.00652109	
1.440000	-0.00548230	
1.460000	-0.00489716	
1.480000	-0.00531584	
1.500000	-0.00696264	
1.520000	-0.00819077	
1.540000	-0.00903031	
1.560000	-0.00864156	
1.580000	-0.00812955	
1.600000	-0.00800614	
1.620000	-0.00800614	
1.640000	-0.00812955	
1.660000	-0.00741343	
1.680000	-0.00657389	
1.700000	-0.00597328	
1.720000	-0.00621204	
1.740000	-0.00542547	
1.760000	-0.00408065	
1.780000	-0.00029808	
1.800000	0.00245897	
1.820000	0.00381641	
1.840000	0.00042948	
1.860000	-0.00590149	
1.880000	-0.01115212	
1.900000	-0.01378088	
1.920000	-0.01334237	
1.940000	-0.01309569	
1.960000	-0.01316430	
1.980000	-0.01335631	
2.000000	-0.01335631	
2.020000	-0.01352093	
2.040000	-0.01368572	
2.060000	-0.01320550	
2.080000	-0.01256083	
2.100000	-0.01157987	
2.120000	-0.01124376	
2.140000	-0.01026297	
2.160000	-0.00961831	
2.180000	-0.00717232	
2.200000	-0.00515845	
2.220000	-0.00095351	
2.240000	0.00136167	
2.260000	0.00451538	
2.280000	0.00547834	
2.300000	0.00855942	
2.320000	0.01048854	
2.340000	0.01424690	
2.360000	0.01597491	
2.380000	0.01895140	
2.400000	0.02009848	
2.420000	0.02124572	
2.440000	0.02124572	
2.460000	0.02124572	
2.480000	0.02124572	
2.500000	0.02176765	
2.520000	0.02228956	
2.540000	0.02272455	
2.560000	0.02263778	
2.580000	0.02211587	
2.600000	0.02168088	
2.620000	0.02109119	
2.640000	0.02093685	
2.660000	0.02093685	
2.680000	0.02109119	
2.700000	0.02093685	
2.720000	0.02048168	
2.740000	0.01805989	
2.760000	0.01594682	
2.780000	0.01258495	
2.800000	0.00918794	
2.820000	0.00362876	
2.840000	-0.00245251	
2.860000	-0.00735021	
2.880000	-0.01008558	
2.900000	-0.01095270	
2.920000	-0.01100214	
