Time	Paced_left_y_velocity X
0.000000	0.08709370	
0.020000	0.05605519	
0.040000	0.02501668	
0.060000	0.02106986	
0.080000	0.00297446	
0.100000	-0.00032037	
0.120000	0.00139015	
0.140000	0.00165043	
0.160000	0.00134675	
0.180000	0.00078200	
0.200000	0.00021669	
0.220000	-0.00004303	
0.240000	-0.00004334	
0.260000	0.00026096	
0.280000	0.00056525	
0.300000	0.00098882	
0.320000	-0.00186252	
0.340000	-0.00736657	
0.360000	-0.01475525	
0.380000	-0.02138577	
0.400000	-0.02586735	
0.420000	-0.02613483	
0.440000	-0.02039881	
0.460000	-0.01147010	
0.480000	-0.00126231	
0.500000	0.00647641	
0.520000	0.01465299	
0.540000	0.01979867	
0.560000	0.02902584	
0.580000	0.04021046	
0.600000	0.04935262	
0.620000	0.05284111	
0.640000	0.03890145	
0.660000	0.00965185	
0.680000	-0.02467060	
0.700000	-0.04639710	
0.720000	-0.05599252	
0.740000	-0.05196343	
0.760000	-0.03789625	
0.780000	-0.02085168	
0.800000	-0.01319746	
0.820000	-0.01444996	
0.840000	-0.01272559	
0.860000	-0.01090448	
0.880000	-0.00915527	
0.900000	-0.00700143	
0.920000	-0.00319121	
0.940000	0.00003278	
0.960000	0.00289641	
0.980000	0.00456491	
1.000000	0.00366556	
1.020000	0.00048031	
1.040000	-0.00154984	
1.060000	-0.00158530	
1.080000	-0.00187835	
1.100000	-0.00236500	
1.120000	-0.00195019	
1.140000	-0.00098584	
1.160000	-0.00147521	
1.180000	-0.00287971	
1.200000	-0.00319661	
1.220000	-0.00266861	
1.240000	-0.00189332	
1.260000	-0.00156251	
1.280000	0.00462501	
1.300000	0.01470117	
1.320000	0.03123618	
1.340000	0.04826422	
1.360000	0.06638738	
1.380000	0.07884046	
1.400000	0.07747694	
1.420000	0.06284928	
1.440000	0.03388014	
1.460000	0.00000261	
1.480000	-0.02885441	
1.500000	-0.03880261	
1.520000	-0.03442980	
1.540000	-0.01953355	
1.560000	-0.00341503	
1.580000	0.00617765	
1.600000	0.01096737	
1.620000	0.01379381	
1.640000	0.01841466	
1.660000	0.01877440	
1.680000	0.02176835	
1.700000	0.02848971	
1.720000	0.04676945	
1.740000	0.07466304	
1.760000	0.09757754	
1.780000	0.08714313	
1.800000	0.02422102	
1.820000	-0.06528227	
1.840000	-0.14223152	
1.860000	-0.17450911	
1.880000	-0.15940443	
1.900000	-0.10512697	
1.920000	-0.04430598	
1.940000	-0.00418089	
1.960000	0.00376341	
1.980000	-0.00480277	
2.000000	-0.00419604	
2.020000	0.00341125	
2.040000	0.01313953	
2.060000	0.02013090	
2.080000	0.02877991	
2.100000	0.03450325	
2.120000	0.04415455	
2.140000	0.05732661	
2.160000	0.08330677	
2.180000	0.11070782	
2.200000	0.13113967	
2.220000	0.13512281	
2.240000	0.13250344	
2.260000	0.12548660	
2.280000	0.12092741	
2.300000	0.12124822	
2.320000	0.12508656	
2.340000	0.12739059	
2.360000	0.11300099	
2.380000	0.08956792	
2.400000	0.06069675	
2.420000	0.03690737	
2.440000	0.01785866	
2.460000	0.01268101	
2.480000	0.01216363	
2.500000	0.01515236	
2.520000	0.01203684	
2.540000	0.00440820	
2.560000	-0.00673228	
2.580000	-0.01592896	
2.600000	-0.01849730	
2.620000	-0.01378990	
2.640000	-0.00839246	
2.660000	-0.00464388	
2.680000	-0.01555960	
2.700000	-0.03829417	
2.720000	-0.06654017	
2.740000	-0.09995279	
2.760000	-0.14266087	
2.780000	-0.18876013	
2.800000	-0.22261916	
2.820000	-0.23426566	
2.840000	-0.21812546	
2.860000	-0.17646475	
2.880000	-0.11721715	
2.900000	-0.06399531	
2.920000	-0.03045281	
2.940000	-0.01873100	
2.960000	-0.01653656	
2.980000	-0.01196724	
3.000000	0.00235084	
3.020000	0.01961315	
3.040000	0.04258775	
3.060000	0.06298631	
3.080000	0.08076842	
3.100000	0.08921632	
3.120000	0.09044467	
3.140000	0.08287004	
3.160000	0.07153461	
3.180000	0.06186451	
3.200000	0.05409237	
3.220000	0.05086124	
3.240000	0.04367597	
3.260000	0.03576364	
3.280000	0.00671999	
3.300000	-0.05054124	
3.320000	-0.12035371	
3.340000	-0.16780819	
3.360000	-0.17999882	
3.380000	-0.15857977	
3.400000	-0.11045314	
3.420000	-0.05238570	
3.440000	-0.01014558	
3.460000	0.00120370	
3.480000	0.00025015	
3.500000	0.00049788	
3.520000	0.00792388	
3.540000	0.01729049	
3.560000	0.03690935	
3.580000	0.06276876	
3.600000	0.09545146	
3.620000	0.12013727	
3.640000	0.14023416	
3.660000	0.15611947	
3.680000	0.17868106	
3.700000	0.20773272	
3.720000	0.24324900	
3.740000	0.27202767	
3.760000	0.27702451	
3.780000	0.25548223	
3.800000	0.20669325	
3.820000	0.15022221	
3.840000	0.09069476	
3.860000	0.04301119	
3.880000	0.00001776	
3.900000	-0.02945940	
3.920000	-0.04956254	
3.940000	-0.05262908	
3.960000	-0.04839746	
3.980000	-0.03867812	
4.000000	-0.03381569	
4.020000	-0.03673420	
4.040000	-0.04417410	
4.060000	-0.05094692	
4.080000	-0.05565097	
4.100000	-0.05707080	
4.120000	-0.05998740	
4.140000	-0.06495047	
4.160000	-0.07655034	
4.180000	-0.08900144	
4.200000	-0.09243634	
4.220000	-0.08387910	
4.240000	-0.07417286	
4.260000	-0.08493510	
4.280000	-0.13133518	
4.300000	-0.19620283	
4.320000	-0.24558428	
4.340000	-0.26138997	
4.360000	-0.23405264	
4.380000	-0.17056769	
4.400000	-0.09162037	
4.420000	-0.03433164	
4.440000	-0.00353412	
4.460000	0.00987450	
4.480000	0.03253015	
4.500000	0.05547079	
4.520000	0.08522405	
4.540000	0.11009433	
4.560000	0.12918159	
4.580000	0.13370545	
4.600000	0.14033753	
4.620000	0.15463302	
4.640000	0.17631309	
4.660000	0.19449106	
4.680000	0.20321147	
4.700000	0.19923700	
4.720000	0.17386185	
4.740000	0.13884766	
4.760000	0.10033283	
4.780000	0.07129750	
4.800000	0.03603671	
4.820000	0.00212118	
4.840000	-0.02886708	
4.860000	-0.04186362	
4.880000	-0.04738034	
4.900000	-0.04436012	
4.920000	-0.04662137	
4.940000	-0.05418935	
4.960000	-0.08077488	
4.980000	-0.11526925	
5.000000	-0.15189779	
5.020000	-0.17930293	
5.040000	-0.20748661	
5.060000	-0.23031834	
5.080000	-0.23822631	
5.100000	-0.22640455	
5.120000	-0.19112122	
5.140000	-0.14462508	
5.160000	-0.08811717	
5.180000	-0.04510505	
5.200000	-0.01589723	
5.220000	-0.00639241	
5.240000	-0.00263241	
5.260000	-0.00475018	
5.280000	-0.00248719	
5.300000	0.00243516	
5.320000	0.00499983	
5.340000	0.00405609	
5.360000	0.00561016	
5.380000	0.00927553	
5.400000	0.01230761	
5.420000	0.01254876	
5.440000	0.02228070	
5.460000	0.04077024	
5.480000	0.07566049	
5.500000	0.11557100	
5.520000	0.15343639	
5.540000	0.17211628	
5.560000	0.17206375	
5.580000	0.15304281	
5.600000	0.13243538	
5.620000	0.12081131	
5.640000	0.12924051	
