Time	Right_Forefoot_y_baseline X
0.000000	-0.00295772	
0.020000	0.00140166	
0.040000	0.00404583	
0.060000	0.00199814	
0.080000	-0.00115877	
0.100000	-0.00457950	
0.120000	-0.00482967	
0.140000	-0.00529787	
0.160000	-0.00548267	
0.180000	-0.00592324	
0.200000	-0.00619343	
0.220000	-0.00511843	
0.240000	-0.00390773	
0.260000	-0.00107647	
0.280000	0.00067668	
0.300000	0.00148004	
0.320000	-0.00039028	
0.340000	-0.00283644	
0.360000	-0.00410181	
0.380000	-0.00454237	
0.400000	-0.00461930	
0.420000	-0.00480720	
0.440000	-0.00468695	
0.460000	-0.00360866	
0.480000	-0.00264752	
0.500000	-0.00028633	
0.520000	0.00127502	
0.540000	0.00319730	
0.560000	0.00246841	
0.580000	-0.00042163	
0.600000	-0.00357957	
0.620000	-0.00571698	
0.640000	-0.00590715	
0.660000	-0.00590715	
0.680000	-0.00567615	
0.700000	-0.00510503	
0.720000	-0.00471996	
0.740000	-0.00260296	
0.760000	-0.00073142	
0.780000	0.00180118	
0.800000	0.00261134	
0.820000	0.00079446	
0.840000	-0.00178413	
0.860000	-0.00486474	
0.880000	-0.00538388	
0.900000	-0.00622520	
0.920000	-0.00657293	
0.940000	-0.00611918	
0.960000	-0.00521290	
0.980000	-0.00300948	
1.000000	-0.00100698	
1.020000	0.00278768	
1.040000	0.00524561	
1.060000	0.00612673	
1.080000	0.00183108	
1.100000	-0.00192377	
1.120000	-0.00461930	
1.140000	-0.00464942	
1.160000	-0.00518011	
1.180000	-0.00574772	
1.200000	-0.00562149	
1.220000	-0.00538120	
1.240000	-0.00504459	
1.260000	-0.00288801	
1.280000	-0.00000417	
1.300000	0.00323072	
1.320000	0.00430612	
1.340000	0.00187954	
1.360000	-0.00112413	
1.380000	-0.00436911	
1.400000	-0.00498644	
1.420000	-0.00544885	
1.440000	-0.00543585	
1.460000	-0.00511554	
1.480000	-0.00471129	
1.500000	-0.00303321	
1.520000	-0.00115094	
1.540000	0.00256678	
1.560000	0.00497109	
1.580000	0.00620346	
1.600000	0.00373748	
1.620000	0.00005956	
1.640000	-0.00286697	
1.660000	-0.00486968	
1.680000	-0.00552805	
1.700000	-0.00599006	
1.720000	-0.00564356	
1.740000	-0.00531891	
1.760000	-0.00524837	
1.780000	-0.00309178	
1.800000	-0.00096571	
1.820000	0.00287266	
1.840000	0.00454125	
1.860000	0.00379668	
1.880000	0.00065792	
1.900000	-0.00309673	
1.920000	-0.00447802	
1.940000	-0.00537460	
1.960000	-0.00562479	
1.980000	-0.00562479	
2.000000	-0.00546473	
2.020000	-0.00420101	
2.040000	-0.00304228	
2.060000	0.00025572	
2.080000	0.00250389	
2.100000	0.00551043	
2.120000	0.00590831	
2.140000	0.00273076	
2.160000	-0.00135142	
2.180000	-0.00526117	
2.200000	-0.00559488	
2.220000	-0.00625077	
2.240000	-0.00657293	
2.260000	-0.00649910	
2.280000	-0.00610268	
2.300000	-0.00501758	
2.320000	-0.00432868	
2.340000	-0.00176206	
2.360000	0.00042753	
2.380000	0.00364591	
2.400000	0.00503585	
2.420000	0.00263464	
2.440000	-0.00084569	
2.460000	-0.00454299	
2.480000	-0.00476037	
2.500000	-0.00499880	
2.520000	-0.00507037	
2.540000	-0.00499344	
2.560000	-0.00470407	
2.580000	-0.00333475	
2.600000	-0.00210260	
2.620000	0.00060016	
2.640000	0.00245439	
2.660000	0.00414896	
2.680000	0.00166896	
2.700000	-0.00109793	
2.720000	-0.00379387	
2.740000	-0.00438830	
2.760000	-0.00492744	
2.780000	-0.00511554	
