Time	Right_Hand_y_baseline X
0.000000	0.00501513	
0.020000	-0.00214219	
0.040000	-0.00586063	
0.060000	-0.00622517	
0.080000	-0.00612104	
0.100000	-0.00499243	
0.120000	-0.00386703	
0.140000	-0.00141346	
0.160000	-0.00008851	
0.180000	0.00351626	
0.200000	0.00538790	
0.220000	0.00663996	
0.240000	0.00545096	
0.260000	0.00097573	
0.280000	-0.00287974	
0.300000	-0.00661498	
0.320000	-0.00646502	
0.340000	-0.00612921	
0.360000	-0.00576848	
0.380000	-0.00362402	
0.400000	-0.00134605	
0.420000	0.00324100	
0.440000	0.00604612	
0.460000	0.00845212	
0.480000	0.00757593	
0.500000	0.00272638	
0.520000	-0.00217277	
0.540000	-0.00622088	
0.560000	-0.00635016	
0.580000	-0.00580853	
0.600000	-0.00519603	
0.620000	-0.00260991	
0.640000	-0.00005013	
0.660000	0.00492650	
0.680000	0.00848562	
0.700000	0.01276016	
0.720000	0.01466906	
0.740000	0.01281071	
0.760000	0.00616366	
0.780000	-0.00169224	
0.800000	-0.00622159	
0.820000	-0.00705040	
0.840000	-0.00657058	
0.860000	-0.00485259	
0.880000	-0.00310707	
0.900000	0.00164664	
0.920000	0.00459868	
0.940000	0.00772852	
0.960000	0.00777692	
0.980000	0.00514430	
1.000000	0.00115424	
1.020000	-0.00391138	
1.040000	-0.00585169	
1.060000	-0.00695753	
1.080000	-0.00683993	
1.100000	-0.00624418	
1.120000	-0.00548029	
1.140000	-0.00327241	
1.160000	-0.00139403	
1.180000	0.00213999	
1.200000	0.00405526	
1.220000	0.00323057	
1.240000	0.00003213	
1.260000	-0.00409091	
1.280000	-0.00581092	
1.300000	-0.00668973	
1.320000	-0.00652480	
1.340000	-0.00562948	
1.360000	-0.00485075	
1.380000	-0.00220048	
1.400000	-0.00011152	
1.420000	0.00396013	
1.440000	0.00609273	
1.460000	0.00735223	
1.480000	0.00632149	
1.500000	0.00149143	
1.520000	-0.00256383	
1.540000	-0.00647503	
1.560000	-0.00630176	
1.580000	-0.00606614	
1.600000	-0.00554568	
1.620000	-0.00366271	
1.640000	-0.00169206	
1.660000	0.00224727	
1.680000	0.00448740	
1.700000	0.00682151	
1.720000	0.00706542	
1.740000	0.00435191	
1.760000	0.00094271	
1.780000	-0.00312632	
1.800000	-0.00435233	
1.820000	-0.00529480	
1.840000	-0.00559282	
1.860000	-0.00514597	
1.880000	-0.00437766	
1.900000	-0.00219476	
1.920000	-0.00064254	
1.940000	0.00219983	
1.960000	0.00369453	
1.980000	0.00438619	
2.000000	0.00201529	
2.020000	-0.00147837	
2.040000	-0.00416905	
2.060000	-0.00515670	
2.080000	-0.00507295	
2.100000	-0.00487757	
2.120000	-0.00476623	
2.140000	-0.00434554	
2.160000	-0.00403643	
2.180000	-0.00048023	
2.200000	0.00334609	
2.220000	0.00813931	
2.240000	0.00957912	
2.260000	0.00704122	
2.280000	0.00192851	
2.300000	-0.00306749	
2.320000	-0.00466508	
2.340000	-0.00480014	
2.360000	-0.00494534	
2.380000	-0.00390714	
2.400000	-0.00212300	
2.420000	0.00147539	
2.440000	0.00389034	
2.460000	0.00580442	
2.480000	0.00589615	
2.500000	0.00385892	
2.520000	0.00051361	
2.540000	-0.00314265	
2.560000	-0.00466985	
2.580000	-0.00539172	
2.600000	-0.00588340	
2.620000	-0.00610244	
2.640000	-0.00576359	
2.660000	-0.00284123	
2.680000	-0.00006843	
2.700000	0.00425953	
2.720000	0.00611490	
2.740000	0.00712579	
2.760000	0.00472677	
2.780000	0.00035697	
2.800000	-0.00329143	
2.820000	-0.00513321	
2.840000	-0.00502586	
2.860000	-0.00502586	
2.880000	-0.00512296	
2.900000	-0.00400716	
2.920000	-0.00285786	
2.940000	0.00109959	
2.960000	0.00384402	
2.980000	0.00639790	
3.000000	0.00586587	
3.020000	0.00201261	
3.040000	-0.00162357	
3.060000	-0.00500041	
3.080000	-0.00511456	
3.100000	-0.00501519	
3.120000	-0.00495964	
3.140000	-0.00378519	
3.160000	-0.00277734	
3.180000	0.00035697	
3.200000	0.00243109	
3.220000	0.00630432	
3.240000	0.00814724	
3.260000	0.00838214	
3.280000	0.00445724	
3.300000	-0.00091493	
3.320000	-0.00466102	
3.340000	-0.00569177	
3.360000	-0.00532722	
3.380000	-0.00455999	
3.400000	-0.00414783	
3.420000	-0.00223249	
3.440000	-0.00057298	
3.460000	0.00219864	
3.480000	0.00343561	
3.500000	0.00287068	
3.520000	0.00059438	
3.540000	-0.00276315	
3.560000	-0.00447643	
3.580000	-0.00550312	
3.600000	-0.00551695	
3.620000	-0.00515616	
3.640000	-0.00488216	
3.660000	-0.00343955	
3.680000	-0.00237882	
3.700000	0.00012314	
3.720000	0.00161594	
3.740000	0.00344139	
3.760000	0.00380898	
3.780000	0.00149602	
3.800000	-0.00124002	
3.820000	-0.00460625	
3.840000	-0.00524330	
3.860000	-0.00539351	
3.880000	-0.00489694	
3.900000	-0.00439721	
3.920000	-0.00413942	
3.940000	-0.00161409	
3.960000	0.00098479	
3.980000	0.00552028	
4.000000	0.00783288	
4.020000	0.00842947	
4.040000	0.00384259	
4.060000	-0.00156111	
4.080000	-0.00551051	
4.100000	-0.00653517	
4.120000	-0.00659412	
4.140000	-0.00603420	
4.160000	-0.00530666	
4.180000	-0.00292969	
4.200000	-0.00108647	
4.220000	0.00308847	
4.240000	0.00545233	
4.260000	0.00763369	
4.280000	0.00607508	
4.300000	0.00182635	
4.320000	-0.00235409	
4.340000	-0.00531125	
4.360000	-0.00559407	
4.380000	-0.00524426	
4.400000	-0.00455487	
4.420000	-0.00228721	
4.440000	-0.00026089	
4.460000	0.00357461	
4.480000	0.00594842	
4.500000	0.00738043	
4.520000	0.00586420	
4.540000	0.00151813	
4.560000	-0.00222266	
4.580000	-0.00547266	
4.600000	-0.00589949	
4.620000	-0.00556362	
4.640000	-0.00473428	
4.660000	-0.00078613	
4.680000	0.00245917	
4.700000	0.00490648	
4.720000	0.00301474	
4.740000	-0.00068498	
