Time	Right_Heel_y_baseline X
0.000000	-0.01321137	
0.020000	-0.01290849	
0.040000	-0.01260562	
0.060000	-0.01254028	
0.080000	-0.01277760	
0.100000	-0.01451120	
0.120000	-0.01600768	
0.140000	-0.01738518	
0.160000	-0.01726621	
0.180000	-0.01422846	
0.200000	-0.01124640	
0.220000	-0.00649643	
0.240000	-0.00438043	
0.260000	0.00021666	
0.280000	0.00304586	
0.300000	0.00371078	
0.320000	0.00183150	
0.340000	-0.00346792	
0.360000	-0.00824378	
0.380000	-0.01483318	
0.400000	-0.01806305	
0.420000	-0.01943830	
0.440000	-0.01894946	
0.460000	-0.01581453	
0.480000	-0.01208146	
0.500000	-0.00487255	
0.520000	0.00120233	
0.540000	0.00890560	
0.560000	0.01299621	
0.580000	0.01481919	
0.600000	0.01314826	
0.620000	0.00800686	
0.640000	0.00257902	
0.660000	-0.00514050	
0.680000	-0.00973801	
0.700000	-0.01477256	
0.720000	-0.01671267	
0.740000	-0.01525871	
0.760000	-0.01192200	
0.780000	-0.00616930	
0.800000	-0.00155124	
0.820000	0.00640538	
0.840000	0.01222034	
0.860000	0.01725119	
0.880000	0.01860076	
0.900000	0.01877829	
0.920000	0.01776776	
0.940000	0.01266766	
0.960000	0.00663510	
0.980000	-0.00302307	
1.000000	-0.01127578	
1.020000	-0.01773778	
1.040000	-0.02036540	
1.060000	-0.01941590	
1.080000	-0.01846167	
1.100000	-0.01461969	
1.120000	-0.01127332	
1.140000	-0.00416079	
1.160000	0.00025035	
1.180000	0.00616394	
1.200000	0.00827725	
1.220000	0.01045817	
1.240000	0.01069571	
1.260000	0.00697763	
1.280000	0.00031467	
1.300000	-0.00953007	
1.320000	-0.01538467	
1.340000	-0.02000952	
1.360000	-0.02122408	
1.380000	-0.02122368	
1.400000	-0.01977302	
1.420000	-0.01541118	
1.440000	-0.01171756	
1.460000	-0.00586644	
1.480000	-0.00315909	
1.500000	-0.00076059	
1.520000	-0.00130652	
1.540000	-0.00542672	
1.560000	-0.01028888	
1.580000	-0.01687232	
1.600000	-0.01983446	
1.620000	-0.02164777	
1.640000	-0.02100402	
1.660000	-0.01990677	
1.680000	-0.01918165	
1.700000	-0.01540338	
1.720000	-0.01166248	
1.740000	-0.00661477	
1.760000	-0.00462003	
1.780000	-0.00297396	
1.800000	-0.00374983	
1.820000	-0.00823845	
1.840000	-0.01323459	
1.860000	-0.01925480	
1.880000	-0.02156229	
1.900000	-0.02220215	
1.920000	-0.02097505	
1.940000	-0.01772073	
1.960000	-0.01439244	
1.980000	-0.00700682	
2.000000	-0.00100468	
