Time	Paced_right_y_baseline X
0.000000	0.00061418	
0.020000	-0.00073302	
0.040000	-0.00059420	
0.060000	-0.00054663	
0.080000	0.00084847	
0.100000	0.00070728	
0.120000	0.00065717	
0.140000	0.00050160	
0.160000	0.00039613	
0.180000	0.00029084	
0.200000	0.00029084	
0.220000	0.00044625	
0.240000	0.00060181	
0.260000	0.00060181	
0.280000	0.00044625	
0.300000	0.00013544	
0.320000	-0.00001998	
0.340000	-0.00017555	
0.360000	-0.00017555	
0.380000	-0.00024834	
0.400000	-0.00032113	
0.420000	-0.00001016	
0.440000	0.00037362	
0.460000	0.00060181	
0.480000	0.00044625	
0.500000	0.00006264	
0.520000	-0.00016573	
0.540000	-0.00001828	
0.560000	0.00035754	
0.580000	0.00114810	
0.600000	0.00156286	
0.620000	0.00091331	
0.640000	-0.00124697	
0.660000	-0.00457366	
0.680000	-0.00683585	
0.700000	-0.00784412	
0.720000	-0.00768600	
0.740000	-0.00788949	
0.760000	-0.00825076	
0.780000	-0.00829239	
0.800000	-0.00788425	
0.820000	-0.00747085	
0.840000	-0.00737706	
0.860000	-0.00612298	
0.880000	-0.00487396	
0.900000	-0.00069949	
0.920000	0.00276294	
0.940000	0.00837061	
0.960000	0.01105298	
0.980000	0.01431008	
1.000000	0.01547021	
1.020000	0.01619002	
1.040000	0.01581758	
1.060000	0.01323120	
1.080000	0.00925311	
1.100000	0.00145571	
1.120000	-0.00417617	
1.140000	-0.00792742	
1.160000	-0.00787900	
1.180000	-0.00807232	
1.200000	-0.00831407	
1.220000	-0.00873864	
1.240000	-0.00892164	
1.260000	-0.00866635	
1.280000	-0.00822824	
1.300000	-0.00694571	
1.320000	-0.00521880	
1.340000	-0.00090636	
1.360000	0.00293106	
1.380000	0.00824872	
1.400000	0.01112559	
1.420000	0.01571195	
1.440000	0.01793571	
1.460000	0.02001441	
1.480000	0.02001441	
1.500000	0.01919250	
1.520000	0.01837079	
1.540000	0.01754889	
1.560000	0.01754889	
1.580000	0.01746002	
1.600000	0.01737131	
1.620000	0.01737131	
1.640000	0.01746002	
1.660000	0.01772648	
1.680000	0.01804610	
1.700000	0.01774341	
1.720000	0.01726313	
1.740000	0.01459533	
1.760000	0.01255000	
1.780000	0.00921942	
1.800000	0.00793418	
1.820000	0.00699498	
1.840000	0.00734118	
1.860000	0.00800681	
