Time	Paced_right_y_velocity X
0.000000	-0.04228956	
0.020000	-0.01741089	
0.040000	0.00746778	
0.060000	0.00709208	
0.080000	0.01363772	
0.100000	0.01119822	
0.120000	0.00168066	
0.140000	-0.00629195	
0.160000	-0.00327856	
0.180000	-0.00047019	
0.200000	0.00183067	
0.220000	0.00215191	
0.240000	0.00021731	
0.260000	-0.00310751	
0.280000	-0.00647710	
0.300000	-0.00810163	
0.320000	-0.00755824	
0.340000	-0.00607582	
0.360000	-0.00248483	
0.380000	0.00299377	
0.400000	0.00715100	
0.420000	0.00780870	
0.440000	0.00577271	
0.460000	0.00107909	
0.480000	-0.00330986	
0.500000	-0.00416643	
0.520000	0.00174536	
0.540000	0.01214972	
0.560000	0.01548472	
0.580000	0.00198639	
0.600000	-0.03017832	
0.620000	-0.06647591	
0.640000	-0.09017161	
0.660000	-0.09284773	
0.680000	-0.07800712	
0.700000	-0.05181746	
0.720000	-0.02437730	
0.740000	-0.00584622	
0.760000	0.00180763	
0.780000	0.00250457	
0.800000	0.01237355	
0.820000	0.02593856	
0.840000	0.05155042	
0.860000	0.08563676	
0.880000	0.13125788	
0.900000	0.16753946	
0.920000	0.18550219	
0.940000	0.18072742	
0.960000	0.15045530	
0.980000	0.10647478	
1.000000	0.04917195	
1.020000	-0.01131954	
1.040000	-0.09609376	
1.060000	-0.17655286	
1.080000	-0.22804430	
1.100000	-0.23024508	
1.120000	-0.19627889	
1.140000	-0.13666160	
1.160000	-0.06833825	
1.180000	-0.02361647	
1.200000	-0.00646046	
1.220000	-0.00581412	
1.240000	0.00479538	
1.260000	0.02196480	
1.280000	0.05648320	
1.300000	0.09774313	
1.320000	0.14202856	
1.340000	0.17442466	
1.360000	0.19807944	
1.380000	0.20271209	
1.400000	0.18231812	
1.420000	0.14586245	
1.440000	0.09923784	
1.460000	0.05308443	
1.480000	0.00858586	
1.500000	-0.01672543	
1.520000	-0.02744315	
1.540000	-0.02263666	
1.560000	-0.01425072	
1.580000	-0.00497866	
1.600000	0.00086141	
1.620000	0.00421901	
1.640000	0.00553156	
1.660000	0.00343807	
1.680000	-0.01333833	
1.700000	-0.03946118	
1.720000	-0.07112309	
1.740000	-0.09583908	
1.760000	-0.10371713	
1.780000	-0.09025282	
1.800000	-0.05951658	
1.820000	-0.02644967	
1.840000	0.00230508	
1.860000	0.01661870	
1.880000	0.02326617	
1.900000	0.02120037	
1.920000	0.01830514	
1.940000	0.01392575	
1.960000	0.00642854	
1.980000	-0.00059511	
2.000000	-0.01327035	
2.020000	-0.04347493	
2.040000	-0.09759226	
2.060000	-0.15381935	
2.080000	-0.18514785	
2.100000	-0.18225354	
2.120000	-0.14948963	
2.140000	-0.09489316	
2.160000	-0.03841853	
2.180000	-0.00753260	
2.200000	-0.00507142	
2.220000	-0.01131078	
2.240000	-0.01080837	
2.260000	-0.00577159	
2.280000	0.00027176	
2.300000	0.00510247	
2.320000	0.00895826	
2.340000	0.00994100	
2.360000	0.01627541	
2.380000	0.03609147	
2.400000	0.08144636	
2.420000	0.13682365	
2.440000	0.19229592	
2.460000	0.22905777	
2.480000	0.24981830	
2.500000	0.24863552	
2.520000	0.22984511	
2.540000	0.20074035	
2.560000	0.16762379	
2.580000	0.13324681	
2.600000	0.08830915	
2.620000	0.04793521	
2.640000	0.00760096	
2.660000	-0.02065511	
2.680000	-0.05090998	
2.700000	-0.07322390	
2.720000	-0.09267314	
2.740000	-0.10287739	
2.760000	-0.09835029	
2.780000	-0.07995612	
2.800000	-0.04603948	
2.820000	-0.00701509	
2.840000	0.03112379	
2.860000	0.05190457	
2.880000	0.04319789	
2.900000	-0.00000888	
2.920000	-0.08788516	
2.940000	-0.19817823	
2.960000	-0.28832734	
2.980000	-0.32117155	
3.000000	-0.29500228	
3.020000	-0.22088343	
3.040000	-0.12122469	
3.060000	-0.03742177	
3.080000	0.00622272	
3.100000	0.00861461	
3.120000	0.00234780	
3.140000	-0.00391813	
3.160000	-0.00514549	
3.180000	-0.00191474	
3.200000	0.00198427	
3.220000	0.00480587	
3.240000	0.00574024	
3.260000	0.00384350	
3.280000	0.00762827	
3.300000	0.01669861	
3.320000	0.03816248	
3.340000	0.06562438	
3.360000	0.10890310	
3.380000	0.15282147	
3.400000	0.19129407	
3.420000	0.21437088	
3.440000	0.22972843	
3.460000	0.23155762	
3.480000	0.21496357	
3.500000	0.18864962	
3.520000	0.15567896	
3.540000	0.12280948	
3.560000	0.08769652	
3.580000	0.06607917	
3.600000	0.05195412	
3.620000	0.04542847	
3.640000	0.03392428	
3.660000	0.02000542	
3.680000	0.00310292	
3.700000	-0.00830988	
3.720000	-0.01329866	
3.740000	-0.01069195	
3.760000	-0.00651528	
3.780000	-0.00137084	
3.800000	-0.01264624	
3.820000	-0.04590729	
3.840000	-0.10039268	
3.860000	-0.15442204	
3.880000	-0.19992308	
3.900000	-0.24067631	
3.920000	-0.27843639	
3.940000	-0.29501083	
3.960000	-0.27909204	
3.980000	-0.24185675	
4.000000	-0.18666695	
4.020000	-0.12012852	
4.040000	-0.05290047	
4.060000	-0.01407650	
4.080000	-0.00373293	
4.100000	-0.00456789	
4.120000	-0.00058524	
4.140000	0.00468728	
4.160000	0.00682734	
4.180000	0.00542980	
4.200000	0.00427645	
4.220000	0.00334568	
4.240000	-0.00008413	
4.260000	-0.00426906	
4.280000	-0.00682858	
4.300000	-0.00750689	
4.320000	-0.00631405	
4.340000	-0.00297117	
4.360000	0.00317531	
4.380000	0.00927628	
4.400000	0.01513256	
4.420000	0.01718594	
4.440000	0.02723894	
4.460000	0.04372508	
4.480000	0.07467627	
4.500000	0.10911272	
4.520000	0.14349253	
4.540000	0.16200554	
4.560000	0.17123383	
4.580000	0.17129785	
4.600000	0.16621481	
4.620000	0.15633708	
4.640000	0.14486158	
4.660000	0.13531403	
4.680000	0.12002818	
4.700000	0.10641145	
4.720000	0.09416450	
4.740000	0.08672851	
4.760000	0.07289086	
4.780000	0.05800461	
4.800000	0.03810952	
4.820000	0.02198231	
4.840000	0.00451741	
4.860000	-0.00793691	
4.880000	-0.02971706	
4.900000	-0.07175608	
4.920000	-0.14274512	
4.940000	-0.22865011	
4.960000	-0.30971152	
4.980000	-0.35618815	
5.000000	-0.34419420	
5.020000	-0.27794728	
5.040000	-0.18531381	
5.060000	-0.10050165	
5.080000	-0.03829802	
5.100000	-0.00733000	
5.120000	-0.00176163	
5.140000	-0.00539111	
5.160000	-0.00442794	
5.180000	-0.00114962	
5.200000	0.00113187	
5.220000	0.00237046	
5.240000	0.00371157	
5.260000	0.00290585	
5.280000	-0.00104265	
