Time	Step_Length_1 X
0.000000	-0.05748254	
0.020000	-0.04264405	
0.040000	-0.02662992	
0.060000	-0.00730267	
0.080000	0.01190946	
0.100000	0.03096563	
0.120000	0.04595461	
0.140000	0.06028035	
0.160000	0.07203689	
0.180000	0.08325544	
0.200000	0.09214154	
0.220000	0.10053313	
0.240000	0.10726807	
0.260000	0.11336899	
0.280000	0.11744145	
0.300000	0.12030497	
0.320000	0.12136251	
0.340000	0.12196186	
0.360000	0.12124860	
0.380000	0.12021631	
0.400000	0.11771753	
0.420000	0.11393318	
0.440000	0.10867769	
0.460000	0.10143393	
0.480000	0.09261277	
0.500000	0.08107927	
0.520000	0.06657898	
0.540000	0.04925337	
0.560000	0.02902651	
0.580000	0.01019377	
0.600000	-0.01115891	
0.620000	-0.03171292	
0.640000	-0.05400622	
0.660000	-0.07248464	
0.680000	-0.08770239	
0.700000	-0.09854123	
0.720000	-0.10438576	
0.740000	-0.10698467	
0.760000	-0.10722926	
0.780000	-0.10689625	
0.800000	-0.10631445	
0.820000	-0.10498980	
0.840000	-0.10313353	
0.860000	-0.09962481	
0.880000	-0.09564900	
0.900000	-0.08999953	
0.920000	-0.08324942	
0.940000	-0.07437062	
0.960000	-0.06498411	
0.980000	-0.05412868	
1.000000	-0.04261211	
1.020000	-0.02818009	
1.040000	-0.01242298	
1.060000	0.00658038	
1.080000	0.02823728	
1.100000	0.05434588	
1.120000	0.08200401	
1.140000	0.10972992	
1.160000	0.13266799	
1.180000	0.14961725	
1.200000	0.15593755	
1.220000	0.15526021	
1.240000	0.14896685	
1.260000	0.14258927	
1.280000	0.13548198	
1.300000	0.12908006	
1.320000	0.12280250	
1.340000	0.11671415	
1.360000	0.11038220	
1.380000	0.10379672	
1.400000	0.09758162	
1.420000	0.09126240	
1.440000	0.08462042	
1.460000	0.07774299	
1.480000	0.07048753	
1.500000	0.06205392	
1.520000	0.05135915	
1.540000	0.03819004	
1.560000	0.02360108	
1.580000	0.00733024	
1.600000	-0.00733629	
1.620000	-0.02219191	
1.640000	-0.03606758	
1.660000	-0.05455515	
1.680000	-0.07018113	
1.700000	-0.08377644	
1.720000	-0.08864531	
1.740000	-0.09130949	
1.760000	-0.09199998	
1.780000	-0.09153733	
1.800000	-0.09091604	
1.820000	-0.08765978	
1.840000	-0.08473122	
1.860000	-0.07920045	
1.880000	-0.07279983	
1.900000	-0.06483689	
1.920000	-0.05639192	
1.940000	-0.04600322	
1.960000	-0.03353882	
1.980000	-0.01732630	
2.000000	0.00120291	
2.020000	0.02247551	
2.040000	0.04266360	
2.060000	0.06279519	
2.080000	0.08011237	
2.100000	0.09663871	
2.120000	0.11035383	
2.140000	0.12283933	
2.160000	0.13344651	
2.180000	0.14347661	
2.200000	0.15181464	
2.220000	0.15964839	
2.240000	0.16545555	
2.260000	0.17067003	
2.280000	0.17381206	
2.300000	0.17602798	
2.320000	0.17670429	
2.340000	0.17610979	
2.360000	0.17470455	
2.380000	0.17163172	
2.400000	0.16710228	
2.420000	0.16078258	
2.440000	0.15315694	
2.460000	0.14443842	
2.480000	0.13393617	
2.500000	0.12093699	
2.520000	0.10435823	
2.540000	0.08345941	
2.560000	0.06007177	
2.580000	0.03471929	
2.600000	0.00745386	
2.620000	-0.02007359	
2.640000	-0.04418105	
2.660000	-0.06319609	
2.680000	-0.07612753	
2.700000	-0.08345488	
2.720000	-0.08476359	
2.740000	-0.08389476	
2.760000	-0.08326635	
2.780000	-0.08275864	
2.800000	-0.08164415	
2.820000	-0.07914087	
2.840000	-0.07598561	
2.860000	-0.07080653	
2.880000	-0.06527141	
2.900000	-0.05823657	
2.920000	-0.05115196	
2.940000	-0.04195416	
2.960000	-0.03189790	
2.980000	-0.01857507	
3.000000	-0.00290704	
3.020000	0.01636139	
3.040000	0.03593376	
3.060000	0.05551243	
3.080000	0.07241344	
3.100000	0.08812755	
3.120000	0.10104069	
3.140000	0.11268082	
3.160000	0.12174287	
3.180000	0.13004363	
3.200000	0.13594347	
3.220000	0.14063671	
3.240000	0.14281127	
3.260000	0.14438266	
3.280000	0.14408851	
3.300000	0.14244595	
3.320000	0.13895133	
3.340000	0.13412833	
3.360000	0.12848312	
3.380000	0.12193838	
3.400000	0.11461347	
3.420000	0.10549781	
3.440000	0.09397078	
3.460000	0.07928392	
3.480000	0.06147954	
3.500000	0.04107213	
3.520000	0.01975712	
3.540000	-0.00294107	
3.560000	-0.02404767	
3.580000	-0.04578468	
3.600000	-0.06140500	
3.620000	-0.07241622	
3.640000	-0.07572216	
3.660000	-0.07717305	
3.680000	-0.07693109	
3.700000	-0.07523924	
3.720000	-0.07321677	
3.740000	-0.07065073	
3.760000	-0.06848291	
3.780000	-0.06585619	
3.800000	-0.05917928	
3.820000	-0.05142906	
3.840000	-0.04288945	
3.860000	-0.03471327	
3.880000	-0.02732190	
3.900000	-0.01328394	
3.920000	0.00118741	
3.940000	0.01893461	
3.960000	0.03187659	
3.980000	0.04558629	
4.000000	0.05840650	
4.020000	0.07188469	
4.040000	0.08142793	
4.060000	0.09156334	
4.080000	0.09935591	
4.100000	0.10923991	
4.120000	0.11385968	
4.140000	0.12207079	
4.160000	0.12651762	
4.180000	0.13310796	
4.200000	0.13595968	
4.220000	0.14098108	
4.240000	0.14523759	
4.260000	0.14726841	
4.280000	0.14561242	
4.300000	0.14470422	
4.320000	0.14308363	
4.340000	0.13928854	
4.360000	0.13038519	
4.380000	0.12228170	
4.400000	0.11351728	
4.420000	0.09968305	
4.440000	0.08079198	
4.460000	0.05685771	
4.480000	0.02936658	
4.500000	-0.00242734	
4.520000	-0.03161201	
4.540000	-0.05733740	
4.560000	-0.08008030	
4.580000	-0.10221040	
4.600000	-0.11658916	
4.620000	-0.12060466	
4.640000	-0.11846226	
4.660000	-0.11546335	
4.680000	-0.11612451	
4.700000	-0.11451992	
4.720000	-0.11049795	
4.740000	-0.10370088	
4.760000	-0.09644353	
4.780000	-0.08655187	
4.800000	-0.07600576	
4.820000	-0.06294709	
4.840000	-0.04851115	
4.860000	-0.02980831	
4.880000	-0.00855562	
4.900000	0.01547191	
4.920000	0.03905150	
4.940000	0.06042340	
4.960000	0.07638496	
4.980000	0.09141162	
5.000000	0.10141125	
5.020000	0.11380664	
5.040000	0.12146622	
5.060000	0.13172027	
5.080000	0.13596314	
5.100000	0.14023620	
5.120000	0.14321086	
5.140000	0.14355883	
5.160000	0.14437315	
5.180000	0.13990363	
5.200000	0.13766566	
5.220000	0.13190886	
5.240000	0.12572679	
5.260000	0.11484286	
5.280000	0.10235068	
5.300000	0.08544761	
5.320000	0.06575343	
5.340000	0.04193956	
5.360000	0.01857322	
5.380000	-0.00567451	
5.400000	-0.02948651	
5.420000	-0.05491492	
5.440000	-0.07531402	
5.460000	-0.09143567	
5.480000	-0.10066199	
5.500000	-0.10485759	
5.520000	-0.10783410	
5.540000	-0.10864624	
5.560000	-0.10852307	
5.580000	-0.10624871	
5.600000	-0.10600865	
5.620000	-0.10341451	
5.640000	-0.10034525	
5.660000	-0.09092960	
5.680000	-0.08224931	
5.700000	-0.07146588	
5.720000	-0.06207684	
5.740000	-0.04953629	
5.760000	-0.03514200	
5.780000	-0.01620325	
5.800000	0.00361362	
5.820000	0.02717283	
5.840000	0.04791516	
5.860000	0.06732342	
5.880000	0.08239388	
5.900000	0.09627524	
5.920000	0.10769451	
5.940000	0.11537823	
5.960000	0.12100181	
5.980000	0.12467343	
6.000000	0.12677875	
6.020000	0.12890020	
6.040000	0.12690946	
6.060000	0.12377042	
6.080000	0.11682865	
6.100000	0.10923263	
6.120000	0.10118333	
6.140000	0.09140778	
6.160000	0.08010718	
6.180000	0.06453383	
6.200000	0.04636368	
6.220000	0.02579650	
6.240000	0.00450745	
6.260000	-0.01579928	
6.280000	-0.03527308	
6.300000	-0.05322441	
6.320000	-0.06625384	
6.340000	-0.07373074	
6.360000	-0.07445407	
6.380000	-0.07411909	
6.400000	-0.07325825	
6.420000	-0.07273245	
6.440000	-0.07145986	
6.460000	-0.06776685	
6.480000	-0.06394443	
6.500000	-0.05590972	
6.520000	-0.04859266	
6.540000	-0.03990760	
6.560000	-0.03120431	
6.580000	-0.01851672	
6.600000	-0.00102487	
6.620000	0.01714849	
6.640000	0.03292161	
6.660000	0.04812363	
6.680000	0.05993122	
6.700000	0.07291490	
6.720000	0.07981488	
6.740000	0.08811119	
6.760000	0.09456727	
6.780000	0.10287982	
6.800000	0.10864159	
6.820000	0.11226097	
6.840000	0.11424026	
6.860000	0.11477029	
6.880000	0.11394706	
6.900000	0.11201569	
6.920000	0.10890076	
6.940000	0.10479960	
6.960000	0.09994209	
6.980000	0.09276602	
7.000000	0.08303273	
7.020000	0.06894451	
7.040000	0.05204582	
7.060000	0.03185183	
7.080000	0.01242158	
7.100000	-0.01174882	
7.120000	-0.03265747	
7.140000	-0.05388585	
7.160000	-0.06666788	
7.180000	-0.07681257	
7.200000	-0.08065748	
7.220000	-0.08177355	
7.240000	-0.08120474	
7.260000	-0.08037224	
7.280000	-0.07864934	
7.300000	-0.07571730	
7.320000	-0.07196665	
7.340000	-0.06640142	
7.360000	-0.05959857	
7.380000	-0.05141911	
7.400000	-0.04277462	
7.420000	-0.03211758	
7.440000	-0.01977521	
7.460000	-0.00390694	
7.480000	0.01303878	
7.500000	0.03291607	
7.520000	0.05420440	
7.540000	0.07861185	
7.560000	0.10285041	
7.580000	0.12611294	
7.600000	0.14532128	
7.620000	0.16011083	
7.640000	0.17069948	
7.660000	0.17525694	
7.680000	0.17679611	
7.700000	0.17552906	
7.720000	0.17532870	
7.740000	0.17553821	
7.760000	0.17693534	
7.780000	0.17735404	
7.800000	0.17730820	
7.820000	0.17598084	
7.840000	0.17550415	
7.860000	0.17357895	
7.880000	0.17053923	
7.900000	0.16569898	
7.920000	0.16021097	
7.940000	0.15325195	
7.960000	0.14569160	
7.980000	0.13648060	
8.000000	0.12544110	
8.020000	0.11133879	
8.040000	0.09477228	
8.059999	0.07566476	
8.080000	0.05528137	
8.099999	0.03376198	
8.120000	0.01292026	
8.139999	-0.00875586	
8.160000	-0.02677345	
8.179999	-0.04441556	
8.200000	-0.05944645	
8.220000	-0.07127225	
8.240000	-0.07721922	
8.260000	-0.07761636	
8.280000	-0.07781175	
8.300000	-0.07697162	
8.320000	-0.07615831	
8.340000	-0.07459912	
8.360000	-0.07400182	
8.380000	-0.07232386	
8.400000	-0.07077646	
8.420000	-0.06743905	
8.440000	-0.06426504	
8.460000	-0.05924645	
8.480000	-0.05417711	
8.500000	-0.04750919	
8.520000	-0.04007846	
8.540000	-0.03097811	
8.559999	-0.02058455	
8.580000	-0.00697258	
8.599999	0.00966409	
8.620000	0.03068388	
8.639999	0.05423912	
8.660000	0.08048820	
8.679999	0.10615069	
8.700000	0.12944686	
8.720000	0.14686430	
8.740000	0.15834272	
8.760000	0.16620636	
8.780000	0.17420471	
8.800000	0.17865604	
8.820000	0.18075943	
8.840000	0.17899948	
8.860000	0.17928609	
8.880000	0.17846075	
8.900000	0.17881116	
8.920000	0.18008199	
8.940000	0.18170443	
8.960000	0.18179879	
8.980000	0.17940000	
9.000000	0.17636862	
9.020000	0.17230043	
9.040000	0.16750151	
9.059999	0.16182426	
9.080000	0.15525079	
9.099999	0.14712161	
9.120000	0.13712347	
9.139999	0.12446183	
9.160000	0.10875747	
9.179999	0.08942166	
9.200000	0.06773469	
9.220000	0.04445630	
9.240000	0.02061465	
9.260000	-0.00611782	
9.280000	-0.02963027	
9.300000	-0.05176246	
9.320000	-0.06791157	
9.340000	-0.08178642	
9.360000	-0.08924168	
9.380000	-0.09161580	
9.400000	-0.09164000	
9.420000	-0.09118578	
9.440000	-0.09129387	
9.460000	-0.09012312	
9.480000	-0.08892924	
9.500000	-0.08690679	
9.520000	-0.08467644	
9.540000	-0.08181822	
9.559999	-0.07784003	
9.580000	-0.07271856	
9.599999	-0.06677690	
9.620000	-0.05983397	
9.639999	-0.05260098	
9.660000	-0.04322514	
9.679999	-0.03260767	
9.700000	-0.01852250	
9.719999	-0.00311449	
9.740000	0.01341495	
9.760000	0.02788723	
9.780000	0.04160133	
9.800000	0.05359554	
9.820000	0.06518298	
9.840000	0.07461834	
9.860000	0.08311027	
9.880000	0.08962563	
9.900000	0.09534016	
9.920000	0.09930336	
9.940000	0.10183236	
9.960000	0.10345963	
9.980000	0.10493779	
10.000000	0.10575551	
10.020000	0.10550129	
10.040000	0.10395092	
10.059999	0.10217664	
10.080000	0.09956288	
10.099999	0.09665075	
10.120000	0.09314245	
10.139999	0.08971152	
10.160000	0.08604231	
10.179999	0.08180529	
10.200000	0.07669821	
10.219999	0.07009050	
10.240000	0.06149042	
10.260000	0.04992360	
10.280000	0.03502071	
10.300000	0.01812688	
10.320000	-0.00418359	
10.340000	-0.02380738	
10.360000	-0.04567704	
10.380000	-0.06379488	
10.400000	-0.08314130	
10.420000	-0.09876603	
10.440000	-0.10866001	
10.460000	-0.11488712	
10.480000	-0.11604697	
10.500000	-0.11648545	
10.520000	-0.11611110	
10.540000	-0.11553556	
10.559999	-0.11444238	
10.580000	-0.11215624	
10.599999	-0.11014698	
10.620000	-0.10587241	
10.639999	-0.10084522	
10.660000	-0.09335569	
10.679999	-0.08521006	
10.700000	-0.07544529	
10.719999	-0.06534320	
10.740000	-0.05259126	
10.760000	-0.03793195	
10.780000	-0.01946869	
10.800000	0.00025049	
10.820000	0.02461812	
10.840000	0.05194119	
10.860000	0.08313760	
10.880000	0.11238658	
10.900000	0.13747329	
10.920000	0.15305007	
10.940000	0.16088015	
10.960000	0.16207102	
10.980000	0.16138971	
11.000000	0.15948623	
11.020000	0.15724432	
11.040000	0.15448821	
11.059999	0.15086603	
11.080000	0.14642152	
11.099999	0.14054261	
11.120000	0.13422871	
11.139999	0.12713505	
11.160000	0.11912395	
11.179999	0.10931471	
11.200000	0.09671926	
11.219999	0.08120683	
11.240000	0.06276768	
11.259999	0.04201597	
11.280000	0.01936519	
11.300000	-0.00517747	
11.320000	-0.02820233	
11.340000	-0.05274150	
11.360000	-0.07581013	
11.380000	-0.09874427	
11.400000	-0.11383396	
11.420000	-0.12194753	
11.440000	-0.12399590	
11.460000	-0.12400067	
11.480000	-0.12348974	
11.500000	-0.12157145	
11.520000	-0.11885771	
11.540000	-0.11343253	
11.559999	-0.10658568	
11.580000	-0.09711030	
11.599999	-0.08741799	
11.620000	-0.07536867	
11.639999	-0.06126496	
11.660000	-0.04314250	
11.679999	-0.02266860	
11.700000	0.00102234	
11.719999	0.02524990	
11.740000	0.04916379	
11.759999	0.06948000	
11.780000	0.08785367	
11.800000	0.10265133	
11.820000	0.11617649	
11.840000	0.12674958	
11.860000	0.13609383	
11.880000	0.14255744	
11.900000	0.14729941	
11.920000	0.15013018	
11.940000	0.15142697	
11.960000	0.15117672	
11.980000	0.14851311	
12.000000	0.14465895	
12.020000	0.13937974	
12.040000	0.13301501	
12.059999	0.12451681	
12.080000	0.11301351	
12.099999	0.09800971	
12.120000	0.07974207	
12.139999	0.05862853	
12.160000	0.03609028	
12.179999	0.01496792	
12.200000	-0.00740874	
12.219999	-0.02787265	
12.240000	-0.04829028	
12.259999	-0.06437954	
12.280000	-0.07553059	
12.300000	-0.08141935	
12.320000	-0.08240917	
12.340000	-0.08270064	
12.360000	-0.08264217	
12.380000	-0.08215091	
12.400000	-0.08089429	
12.420000	-0.07848406	
12.440000	-0.07506168	
12.460000	-0.07022756	
12.480000	-0.06404766	
12.500000	-0.05681905	
12.520000	-0.04893434	
12.540000	-0.04037735	
12.559999	-0.03140432	
12.580000	-0.01944968	
12.599999	-0.00507677	
12.620000	0.01225349	
12.639999	0.02882510	
12.660000	0.04513925	
12.679999	0.05942166	
12.700000	0.07297117	
12.719999	0.08389023	
12.740000	0.09426877	
12.759999	0.10295022	
12.780000	0.11158153	
12.799999	0.11892137	
12.820000	0.12573883	
12.840000	0.13110462	
12.860000	0.13570386	
12.880000	0.13906467	
12.900000	0.14161205	
12.920000	0.14305967	
12.940000	0.14405993	
12.960000	0.14426193	
12.980000	0.14399070	
13.000000	0.14237523	
13.020000	0.14012611	
13.040000	0.13677692	
13.059999	0.13273266	
13.080000	0.12798679	
13.099999	0.12217546	
13.120000	0.11558095	
13.139999	0.10609093	
13.160000	0.09363857	
13.179999	0.07698342	
13.200000	0.05737051	
13.219999	0.03453732	
13.240000	0.00783399	
13.259999	-0.01676652	
13.280000	-0.04164997	
13.299999	-0.06350663	
13.320000	-0.08652711	
13.340000	-0.10655293	
13.360000	-0.12205830	
13.380000	-0.13265133	
13.400000	-0.13666159	
13.420000	-0.13703099	
13.440000	-0.13575700	
13.460000	-0.13566288	
13.480000	-0.13583755	
13.500000	-0.13552016	
13.520000	-0.13409266	
13.540000	-0.13176891	
13.559999	-0.12957537	
13.580000	-0.12619746	
13.599999	-0.12196824	
13.620000	-0.11530221	
13.639999	-0.10742047	
13.660000	-0.09767562	
13.679999	-0.08783376	
13.700000	-0.07784855	
13.719999	-0.06821367	
13.740000	-0.05546936	
13.759999	-0.04141635	
13.780000	-0.02397683	
13.799999	-0.00713623	
13.820000	0.01106122	
13.840000	0.02677372	
13.860000	0.04171824	
13.880000	0.05432802	
13.900000	0.06606343	
13.920000	0.07541010	
13.940000	0.08382958	
13.960000	0.09009954	
13.980000	0.09629539	
14.000000	0.10113296	
14.020000	0.10591593	
14.040000	0.10931447	
14.059999	0.11203006	
14.080000	0.11300379	
14.099999	0.11378050	
14.120000	0.11388606	
14.139999	0.11416921	
14.160000	0.11331609	
14.179999	0.11128810	
14.200000	0.10869795	
14.219999	0.10505426	
14.240000	0.10103807	
14.259999	0.09545940	
14.280000	0.08945221	
14.299999	0.08314106	
14.320000	0.07717836	
14.340000	0.06993863	
14.360000	0.06077302	
14.380000	0.04792777	
14.400000	0.03027666	
14.420000	0.01097861	
14.440000	-0.00970829	
14.460000	-0.02999559	
14.480000	-0.05160689	
14.500000	-0.07308924	
14.520000	-0.09393749	
14.540000	-0.11313957	
14.559999	-0.12919095	
14.580000	-0.13973129	
14.599999	-0.14503747	
14.620000	-0.14611652	
14.639999	-0.14542976	
14.660000	-0.14472723	
14.679999	-0.14399102	
14.700000	-0.14325231	
14.719999	-0.14208320	
14.740000	-0.14050928	
14.759999	-0.13890561	
14.780000	-0.13596246	
14.799999	-0.13240671	
14.820000	-0.12720981	
14.839999	-0.12091953	
14.860000	-0.11268708	
14.880000	-0.10350454	
14.900000	-0.09330589	
14.920000	-0.08376175	
14.940000	-0.07250118	
14.960000	-0.06118321	
14.980000	-0.04723233	
15.000000	-0.03299686	
15.020000	-0.01602894	
15.040000	0.00221208	
15.059999	0.02081653	
15.080000	0.03766593	
15.099999	0.05534738	
15.120000	0.07512096	
15.139999	0.09798816	
15.160000	0.11948359	
15.179999	0.13814151	
15.200000	0.14963338	
15.219999	0.15713957	
15.240000	0.16131213	
15.259999	0.16614211	
15.280000	0.16923597	
15.299999	0.17197692	
15.320000	0.17339733	
15.339999	0.17500481	
15.360000	0.17547593	
15.380000	0.17472652	
15.400000	0.17265952	
15.420000	0.16933006	
15.440000	0.16489440	
15.460000	0.15911534	
15.480000	0.15214187	
15.500000	0.14397773	
15.520000	0.13483617	
15.540000	0.12411177	
15.559999	0.11125219	
15.580000	0.09528229	
15.599999	0.07645258	
15.620000	0.05597106	
15.639999	0.03342214	
15.660000	0.01041579	
15.679999	-0.01085749	
15.700000	-0.03219607	
15.719999	-0.05206087	
15.740000	-0.07276070	
15.759999	-0.08994347	
15.780000	-0.10442850	
15.799999	-0.11427417	
15.820000	-0.11958241	
15.839999	-0.12023762	
15.860000	-0.11932686	
15.880000	-0.11830810	
15.900000	-0.11874008	
15.920000	-0.11859354	
