Time	Knöchel li X	Knöchel li Y	Knöchel li Weg	Knöchel li v(X)	Knöchel li v(Y)	Knöchel li v(Bahn)	Knöchel li a(X)	Knöchel li a(Y)	Knöchel li a(Bahn)
0.000000	-0.68395519	-0.54536796	0.00000000	1.43644869	0.10723574	1.44044590	1.92860472	-0.94352376	1.86586642	
0.020000	-0.65541172	-0.54305214	0.02863726	1.47506893	0.08889139	1.47774494	1.66820884	-0.71568400	1.62287354	
0.040000	-0.62592411	-0.54130596	0.05817653	1.51368916	0.07054704	1.51533222	1.40781295	-0.48784420	1.37988067	
0.060000	-0.59541166	-0.54022950	0.08870796	1.52957523	0.06818297	1.53109419	1.35215366	-0.38641900	1.32955408	
0.080000	-0.56405956	-0.53910613	0.12008018	1.56110311	0.05818479	1.56218708	1.02030051	-0.09936462	1.01431811	
0.100000	-0.53247213	-0.53802109	0.15168624	1.58183336	0.05843463	1.58291233	0.81889844	0.10392755	0.82302606	
0.120000	-0.50068849	-0.53687149	0.18349066	1.59406996	0.06451356	1.59537494	0.61881417	0.29613468	0.63250983	
0.140000	-0.46869352	-0.53558308	0.21551156	1.60126543	0.07341253	1.60294735	0.32564488	0.50749981	0.35142088	
0.160000	-0.43654245	-0.53407317	0.24769807	1.60587287	0.08563520	1.60815454	0.12447681	0.62729776	0.16034190	
0.180000	-0.40428680	-0.53225213	0.28000507	1.60653853	0.10007367	1.60965240	-0.02106676	0.70793891	0.02486456	
0.200000	-0.37209362	-0.53008687	0.31227100	1.60380530	0.11559521	1.60796571	-0.12527500	0.76023561	-0.06941654	
0.220000	-0.34001702	-0.52760488	0.34444347	1.59885025	0.13140757	1.60424125	-0.18291317	0.79207718	-0.11703070	
0.240000	-0.30816659	-0.52479684	0.37641743	1.59372449	0.14714842	1.60050321	-0.19872180	0.83440304	-0.12011126	
0.260000	-0.27637887	-0.52172816	0.40835294	1.58985758	0.16335714	1.59822798	-0.21532963	0.91405207	-0.11756962	
0.280000	-0.24468909	-0.51831353	0.44022617	1.58719242	0.18110168	1.59749103	-0.28666395	1.04170251	-0.15969370	
