Time	Knöchel re X	Knöchel re Y	Knöchel re Weg	Knöchel re v(X)	Knöchel re v(Y)	Knöchel re v(Bahn)	Knöchel re a(X)	Knöchel re a(Y)	Knöchel re a(Bahn)
0.000000	-0.71605510	-0.58416647	0.00000000	-1.65893960	0.00465761	1.65894616	1.08841777	0.38919848	-1.08590448	
0.020000	-0.74943262	-0.58397722	0.03337806	-1.63779712	0.01292378	1.63784814	0.87490678	0.29709902	-0.87256134	
0.040000	-0.78209847	-0.58397335	0.06604391	-1.61665463	0.02118994	1.61679351	0.66139573	0.20499957	-0.65921819	
0.060000	-0.81419772	-0.58305657	0.09815625	-1.60987270	0.01931314	1.60998857	0.53821927	0.27044135	-0.53462064	
0.080000	-0.84605074	-0.58307409	0.13000928	-1.59645283	0.02462341	1.59664273	0.24567932	0.26191142	-0.24066260	
0.100000	-0.87787640	-0.58210951	0.16184956	-1.59414339	0.03137711	1.59445214	0.03949104	0.35153648	-0.03131527	
0.120000	-0.90950054	-0.58201301	0.19347385	-1.59873223	0.03925287	1.59921408	-0.14044836	0.53259629	0.15612586	
0.140000	-0.94161600	-0.58095121	0.22560686	-1.60475957	0.04991142	1.60553551	-0.28308520	0.73675275	0.31212160	
0.160000	-0.97372663	-0.57975644	0.25773972	-1.61277139	0.06365376	1.61402702	-0.25125483	0.98539984	0.30216512	
0.180000	-1.00633872	-0.57843250	0.29037866	-1.61993790	0.08788502	1.62232018	-0.09546176	1.24138272	0.17653847	
0.200000	-1.03859484	-0.57664251	0.32268441	-1.62217999	0.11675552	1.62637627	0.15903258	1.49394345	-0.03764777	
0.220000	-1.07130206	-0.57444948	0.35546505	-1.61677682	0.15128870	1.62383974	0.52789676	1.73280227	-0.35092419	
0.240000	-1.10364366	-0.57076287	0.38801610	-1.60233808	0.18606924	1.61310542	1.02092481	1.96988738	-0.76434880	
0.260000	-1.13588715	-0.56642431	0.42055017	-1.57954884	0.22597106	1.59563076	1.69552600	2.30938435	-1.30281103	
0.280000	-1.16723931	-0.56145942	0.45229301	-1.54322767	0.27244180	1.56709158	2.62997699	2.79539275	-1.99990594	
0.300000	-1.19785917	-0.55623889	0.48335472	-1.48854041	0.32935280	1.52454114	3.89524770	3.41991711	-2.85440278	
0.320000	-1.22749078	-0.54942894	0.51375878	-1.40266073	0.40518576	1.46001112	5.58127880	4.14994574	-3.81354165	
0.340000	-1.25545740	-0.54093260	0.54298753	-1.27939034	0.49570978	1.37206697	7.73420811	4.94147348	-4.63127804	
0.360000	-1.28076446	-0.52980196	0.57063419	-1.10971880	0.60366368	1.26328373	10.19692421	5.56503344	-4.82884216	
0.380000	-1.30163813	-0.51653504	0.59536719	-0.88219756	0.72597599	1.14250326	12.69206429	5.77559137	-3.95927072	
0.400000	-1.31778550	-0.50146419	0.61745495	-0.59300089	0.85836118	1.04328036	15.01252937	5.36359453	-2.01418471	
0.420000	-1.32762206	-0.48301104	0.63836610	-0.25755802	0.97552001	1.00894773	16.87260056	4.04594469	0.60041475	
0.440000	-1.32979763	-0.46190757	0.65958142	0.10776118	1.05953503	1.06500089	17.90366745	1.66124558	3.27956247	
0.460000	-1.32349706	-0.43764696	0.68464684	0.49004039	1.08306062	1.18876398	17.96395493	-1.61301279	5.45771170	
0.480000	-1.30941391	-0.41472596	0.71154863	0.86602980	1.02187896	1.33949399	17.22560310	-5.30922508	6.90010118	
0.500000	-1.28793526	-0.39336392	0.74184167	1.20862579	0.86650097	1.48714495	15.87485123	-8.95358849	7.73699903	
0.520000	-1.25968528	-0.37724426	0.77436709	1.50725484	0.63092870	1.63397920	14.10882092	-12.04499912	8.32847118	
0.540000	-1.22556531	-0.36632150	0.81019276	1.76785612	0.34408829	1.80103087	12.35109425	-14.17715740	9.09939384	
0.560000	-1.18739176	-0.36253247	0.84855390	1.99203610	0.02572511	1.99220216	11.03050995	-15.10735226	10.19842434	
0.580000	-1.14534044	-0.36539051	0.89070225	2.18602276	-0.29869291	2.20633483	10.22959995	-14.81128979	11.29174232	
0.600000	-1.09962451	-0.37491399	0.93739963	2.37186193	-0.60939938	2.44889712	9.86106491	-13.38722134	12.00652409	
0.620000	-1.05052793	-0.39076734	0.98899227	2.56653666	-0.87444824	2.71141481	9.88001251	-10.97666550	12.23305607	
0.640000	-0.99781227	-0.41203827	1.04583764	2.76886988	-1.07545054	2.97039294	10.08897495	-7.69556332	11.85889816	
0.660000	-0.94055891	-0.43722886	1.10838771	2.97535586	-1.19923067	3.20794272	10.02814674	-3.64864659	10.66402340	
0.680000	-0.87863052	-0.46348125	1.17565072	3.18379474	-1.24010265	3.41678262	9.17768383	0.89245850	8.51741886	
0.700000	-0.81242561	-0.48937047	1.24673760	3.38246059	-1.18241715	3.58317590	6.98736858	5.44534731	5.27716780	
0.720000	-0.74264604	-0.51336032	1.32052588	3.53502417	-1.01581025	3.67807913	2.79835439	9.32723045	0.55086589	
0.740000	-0.66938043	-0.53421539	1.39670193	3.59091878	-0.75631958	3.66970253	-3.87979007	11.61527157	-6.09307289	
0.760000	-0.59411746	-0.54803979	1.47322404	3.48528409	-0.45277509	3.51457119	-12.84403515	11.33005524	-14.60250664	
0.780000	-0.52135730	-0.55290395	1.54614663	3.15430427	-0.17405891	3.15910292	-22.77934456	8.36414528	-24.02112007	
0.800000	-0.45688087	-0.54985595	1.61069512	2.56545854	-0.00673383	2.56546736	-31.43813133	3.91985416	-31.51799583	
0.820000	-0.40846619	-0.54432410	1.65942478	1.75539553	-0.00850533	1.75541615	-36.65291977	-0.33783564	-29.65589142	
0.840000	-0.38092542	-0.54160517	1.68709946	0.85684353	-0.13751754	0.86780870	-37.24260330	-3.04600596	-20.09747887	
0.860000	-0.37638515	-0.54715496	1.69426978	0.04158317	-0.28268808	0.28573012	-33.18168640	-3.33106232	-10.10785770	
0.880000	-0.39077663	-0.55939740	1.71316397	-0.58472961	-0.36296779	0.68822551	-25.78746414	-1.39929521	-0.04836667	
0.900000	-0.41361955	-0.57152188	1.73902512	-0.99609178	-0.35188633	1.05641985	-17.53323364	1.25583375	8.60202217	
0.920000	-0.43751675	-0.57730210	1.76361144	-1.21384788	-0.26181230	1.24176180	-10.66149616	3.02743053	9.63706398	
0.940000	-0.46193141	-0.57839382	1.78805053	-1.30164230	-0.14054918	1.30920839	-6.00989342	3.44417405	5.35265779	
0.960000	-0.48836750	-0.57829446	1.81448686	-1.34600306	-0.05275059	1.34703636	-3.38745689	2.86902094	2.96812534	
0.980000	-0.51733428	-0.57965249	1.84348547	-1.39810169	-0.02832089	1.39838850	-2.36491919	1.78738236	2.21078062	
1.000000	-0.54577428	-0.58031899	1.87193334	-1.45051575	-0.02968260	1.45081937	-2.27580142	0.73391855	2.24984884	
1.020000	-0.57454914	-0.58086586	1.90071344	-1.48895872	-0.02680619	1.48920000	-2.28806400	0.21318445	2.28735805	
1.040000	-0.60448194	-0.58136320	1.93065035	-1.53006208	-0.01755381	1.53016281	-2.06174755	0.16680758	2.05969977	
1.060000	-0.63557178	-0.58124560	1.96174037	-1.57839048	-0.01380319	1.57845080	-1.75293112	0.19579658	1.75034273	
1.080000	-0.66796374	-0.58191687	1.99413931	-1.61767662	-0.01043006	1.61771023	-1.36436069	0.17949867	1.36272860	
1.100000	-0.70130903	-0.58168906	2.02748537	-1.64015412	-0.01063197	1.64018857	-0.81296879	0.17658895	0.81225699	
1.120000	-0.73442054	-0.58229148	2.06060243	-1.64696503	-0.00733261	1.64698136	-0.25438356	0.21527091	0.25423855	
1.140000	-0.76762849	-0.58210629	2.09381080	-1.64047968	-0.00073115	1.64047980	0.12668912	0.26435655	-0.12625699	
1.160000	-0.79994875	-0.58253974	2.12613392	-1.63048959	0.00582138	1.63049996	0.29118049	0.29704261	-0.29017815	
1.180000	-0.83256704	-0.58199424	2.15875673	-1.62172651	0.01332014	1.62178123	0.28807461	0.24827138	-0.28681892	
1.200000	-0.86466634	-0.58174533	2.19085693	-1.61752164	0.01784364	1.61762011	0.18190238	0.17564860	-0.18068644	
1.220000	-0.89719152	-0.58105528	2.22338939	-1.61681664	0.02139558	1.61695814	0.05667704	0.15205546	-0.05508013	
1.240000	-0.92933381	-0.58075702	2.25553298	-1.61636853	0.01949394	1.61648607	-0.03323057	0.18384553	0.03603844	
1.260000	-0.96185553	-0.58037090	2.28805709	-1.61898959	0.02209295	1.61914027	-0.06569870	0.27618647	0.07128315	
1.280000	-0.99405396	-0.58001208	2.32025743	-1.62088609	0.02929021	1.62115073	-0.05951422	0.48828432	0.07284728	
1.300000	-1.02653265	-0.57971352	2.35273743	-1.62326825	0.04084332	1.62378204	0.00549704	0.80252749	0.02394814	
1.320000	-1.05911517	-0.57852042	2.38534188	-1.62278104	0.05729743	1.62379229	0.14613612	1.13714814	-0.08908407	
1.340000	-1.09158885	-0.57728368	2.41783905	-1.62034619	0.08441082	1.62254333	0.36637321	1.54131222	-0.25981951	
1.360000	-1.12417150	-0.57549387	2.45047092	-1.61142480	0.11888291	1.61580420	0.70489323	2.07405877	-0.50563097	
1.380000	-1.15621006	-0.57310718	2.48259830	-1.59639800	0.16230313	1.60462737	1.25144577	2.69980717	-0.88977033	
1.400000	-1.18824518	-0.56947279	2.51483893	-1.57028270	0.21996836	1.58561468	2.14312696	3.34227610	-1.52256680	
1.420000	-1.21946311	-0.56466997	2.54642415	-1.52767837	0.29589769	1.55607092	3.41524649	3.99762225	-2.38654828	
1.440000	-1.25014198	-0.55820632	2.57777643	-1.45408404	0.38660350	1.50460052	5.06916332	4.65169811	-3.37314677	
1.460000	-1.27908683	-0.55000234	2.60786152	-1.33659196	0.48553851	1.42204988	7.09848261	5.24474907	-4.27883959	
1.480000	-1.30580699	-0.53893894	2.63678145	-1.17559481	0.59490776	1.31755018	9.36760712	5.67805338	-4.71477461	
