Time	Hip_Knee_Angle_left_4.84 X
0.000000	77.00730896	
0.020000	78.27326202	
0.040000	79.79503632	
0.060000	81.68426514	
0.080000	83.54457855	
0.100000	85.50669861	
0.120000	87.52126312	
0.140000	89.60454559	
0.160000	91.72926331	
0.180000	93.78254700	
0.200000	95.71564484	
0.220000	97.51903534	
0.240000	99.26860046	
0.260000	101.03507233	
0.280000	102.89938354	
0.300000	104.84475708	
0.320000	106.79364777	
0.340000	108.70558929	
0.360000	110.52718353	
0.380000	112.23950195	
0.400000	113.78294373	
0.420000	115.13819122	
0.440000	116.24671936	
0.460000	117.06076813	
0.480000	117.44509125	
0.500000	117.20841217	
0.520000	116.15887451	
0.540000	114.23865509	
0.560000	111.56661224	
0.580000	108.31327820	
0.600000	104.73209381	
0.620000	101.03277588	
0.640000	97.39080811	
0.660000	93.84854889	
0.680000	90.51220703	
0.700000	87.43884277	
0.720000	84.63651276	
0.740000	82.07320404	
0.760000	79.78316498	
0.780000	77.81415558	
0.800000	76.20094299	
0.820000	75.01998138	
0.840000	74.36479950	
0.860000	74.26663971	
0.880000	74.66259766	
0.900000	75.42288208	
0.920000	76.30013275	
0.940000	77.07033539	
0.960000	77.67407990	
0.980000	78.07513428	
1.000000	78.18647766	
1.020000	78.12084961	
1.040000	78.14202118	
1.060000	78.52783966	
1.080000	79.31283569	
1.100000	80.57069397	
1.120000	82.28976440	
1.140000	84.37233734	
1.160000	86.56137848	
1.180000	88.76245117	
1.200000	90.96311951	
1.220000	93.14640045	
1.240000	95.22495270	
1.260000	97.16538239	
1.280000	99.02848816	
1.300000	100.90311432	
1.320000	102.81395721	
1.340000	104.76589203	
1.360000	106.71970367	
1.380000	108.62778473	
1.400000	110.39723969	
1.420000	112.01287842	
1.440000	113.43072510	
1.460000	114.65798950	
1.480000	115.66759491	
1.500000	116.44023132	
1.520000	116.87026978	
1.540000	116.77429199	
1.560000	115.96554565	
1.580000	114.32092285	
1.600000	111.88335419	
1.620000	108.77301025	
1.640000	105.19985199	
1.660000	101.35408020	
1.680000	97.42551422	
1.700000	93.57140350	
1.720000	89.90605164	
1.740000	86.48931122	
1.760000	83.38464355	
1.780000	80.63978577	
1.800000	78.25186920	
1.820000	76.25082397	
1.840000	74.71405029	
1.860000	73.71510315	
1.880000	73.23628998	
1.900000	73.25285339	
1.920000	73.71102905	
1.940000	74.53350067	
1.960000	75.48413086	
1.980000	76.38653564	
2.000000	77.09527588	
2.020000	77.50501251	
2.040000	77.52082062	
2.060000	77.24095154	
2.080000	76.96788025	
2.100000	77.03894806	
2.120000	77.61288452	
2.140000	78.74285889	
2.160000	80.39786530	
2.180000	82.45571136	
2.200000	84.73846436	
2.220000	87.08868408	
2.240000	89.46724701	
2.260000	91.85112000	
2.280000	94.21185303	
2.300000	96.47916412	
2.320000	98.66477966	
2.340000	100.80493164	
2.360000	102.88557434	
2.380000	104.85653687	
2.400000	106.67646790	
2.420000	108.37930298	
2.440000	109.95472717	
2.460000	111.45691681	
2.480000	112.87454987	
2.500000	114.24046326	
2.520000	115.50482178	
2.540000	116.63521576	
2.560000	117.44180298	
2.580000	117.71730804	
2.600000	117.19633484	
2.620000	115.74547577	
2.640000	113.35792542	
2.660000	110.21989441	
2.680000	106.58184814	
2.700000	102.68551636	
2.720000	98.75053406	
2.740000	94.95211029	
2.760000	91.39022827	
2.780000	88.15491486	
2.800000	85.31576538	
2.820000	82.84160614	
2.840000	80.66669464	
2.860000	78.76081848	
2.880000	77.18775940	
2.900000	75.97020721	
2.920000	75.18337250	
2.940000	74.86418915	
2.960000	75.05597687	
2.980000	75.59936523	
3.000000	76.25028992	
3.020000	76.74871063	
3.040000	77.02999115	
3.060000	77.06996918	
3.080000	76.86138153	
3.100000	76.55054474	
3.120000	76.45880127	
3.140000	76.80337524	
3.160000	77.59013367	
3.180000	78.80175781	
3.200000	80.42529297	
3.220000	82.37541199	
3.240000	84.46527863	
3.260000	86.61012268	
3.280000	88.79484558	
3.300000	91.03813171	
3.320000	93.26956940	
3.340000	95.44952393	
3.360000	97.60659027	
3.380000	99.80013275	
3.400000	102.00657654	
3.420000	104.17546844	
3.440000	106.27678680	
3.460000	108.28814697	
3.480000	110.16035461	
3.500000	111.87683868	
3.520000	113.44445038	
3.540000	114.86325073	
3.560000	116.11976624	
3.580000	117.18489075	
3.600000	117.97870636	
3.620000	118.30729675	
3.640000	117.94358826	
3.660000	116.69248962	
3.680000	114.56227875	
3.700000	111.65372467	
3.720000	108.20774078	
3.740000	104.44372559	
3.760000	100.57736969	
3.780000	96.71506500	
3.800000	92.96089172	
3.820000	89.35483551	
3.840000	85.97934723	
3.860000	82.88037872	
3.880000	80.15877533	
3.900000	77.85489655	
3.920000	76.08078003	
3.940000	74.88736725	
3.960000	74.30355072	
3.980000	74.25880432	
4.000000	74.67714691	
4.020000	75.35813904	
4.040000	76.00736237	
4.060000	76.43341064	
4.080000	76.63230133	
4.100000	76.61441803	
4.120000	76.35234833	
4.140000	76.02169037	
4.160000	75.92250824	
4.180000	76.26274109	
4.200000	77.06082153	
4.220000	78.38058472	
4.240000	80.21643829	
4.260000	82.43117523	
4.280000	84.79859161	
4.300000	87.17417145	
4.320000	89.51383209	
4.340000	91.85082245	
4.360000	94.15740967	
4.380000	96.39983368	
4.400000	98.55742645	
4.420000	100.68283081	
4.440000	102.70553589	
4.460000	104.56643677	
4.480000	106.25283051	
4.500000	107.86961365	
4.520000	109.43210602	
4.540000	110.96067810	
4.560000	112.46585846	
4.580000	113.91002655	
4.600000	115.24357605	
4.620000	116.40736389	
4.640000	117.31391144	
4.660000	117.82374573	
4.680000	117.73229218	
4.700000	116.85009766	
4.720000	115.08956146	
4.740000	112.53004456	
4.760000	109.37138367	
4.780000	105.82514191	
4.800000	102.09912872	
4.820000	98.33380890	
4.840000	94.63852692	
4.860000	91.07043457	
4.880000	87.72912598	
4.900000	84.67118073	
4.920000	81.94419861	
4.940000	79.53768158	
4.960000	77.49055481	
4.980000	75.85811615	
5.000000	74.70244598	
5.020000	74.04325104	
5.040000	73.87770081	
5.060000	74.13179016	
5.080000	74.58572388	
5.100000	74.99557495	
5.120000	75.23618317	
5.140000	75.25102997	
5.160000	74.98831940	
5.180000	74.55274963	
5.200000	74.24877930	
5.220000	74.36673737	
5.240000	74.99726105	
5.260000	76.16024780	
5.280000	77.84355927	
5.300000	79.96054077	
5.320000	82.28226471	
5.340000	84.68580627	
5.360000	87.12425995	
5.380000	89.59952545	
5.400000	92.01350403	
5.420000	94.31513214	
5.440000	96.52835846	
5.460000	98.72090149	
5.480000	100.91609192	
5.500000	103.07897186	
5.520000	105.16664124	
5.540000	107.12509155	
5.560000	108.91179657	
5.580000	110.52066803	
5.600000	111.99011230	
5.620000	113.36196136	
5.640000	114.63528442	
5.660000	115.77444458	
5.680000	116.64242554	
5.700000	117.04714203	
5.720000	116.75094604	
5.740000	115.58142853	
5.760000	113.51621246	
5.780000	110.67329407	
5.800000	107.29158020	
5.820000	103.60424805	
5.840000	99.80803680	
5.860000	96.04833221	
5.880000	92.41056824	
5.900000	88.96720886	
5.920000	85.78411102	
5.940000	82.92599487	
5.960000	80.38307190	
5.980000	78.14033508	
6.000000	76.24971008	
