Time	Hip_right_4.81 X
0.000000	96.85137177	
0.020000	94.38764954	
0.040000	91.94212341	
0.060000	89.78806305	
0.080000	87.71614075	
0.100000	85.92464447	
0.120000	84.22004700	
0.140000	82.41271973	
0.160000	80.64153290	
0.180000	78.77584839	
0.200000	77.07392120	
0.220000	75.34043884	
0.240000	73.62138367	
0.260000	71.95945740	
0.280000	70.46479797	
0.300000	69.20639801	
0.320000	68.16293335	
0.340000	67.25910187	
0.360000	66.45768738	
0.380000	65.83665466	
0.400000	65.67341614	
0.420000	66.27362823	
0.440000	67.77963257	
0.460000	70.32009888	
0.480000	73.53653717	
0.500000	77.04529572	
0.520000	80.46637726	
0.540000	83.87818146	
0.560000	87.24869537	
0.580000	90.42604828	
0.600000	93.34271240	
0.620000	95.98839569	
0.640000	98.45227051	
0.660000	100.69621277	
0.680000	102.65222168	
0.700000	104.40644836	
0.720000	105.68304443	
0.740000	106.43763733	
0.760000	106.47980499	
0.780000	106.06538391	
0.800000	105.37671661	
0.820000	104.78156281	
0.840000	104.68140411	
0.860000	105.17906952	
0.880000	106.08007813	
0.900000	106.90147400	
0.920000	107.37530518	
0.940000	107.88366699	
0.960000	108.31687164	
0.980000	108.34417725	
1.000000	107.43963623	
1.020000	105.82843781	
1.040000	104.15530396	
1.060000	102.46178436	
1.080000	100.67572021	
1.100000	98.45810699	
1.120000	96.02678680	
1.140000	93.29735565	
1.160000	91.09944153	
1.180000	89.29002380	
1.200000	88.04306793	
1.220000	86.43817902	
1.240000	84.69791412	
1.260000	82.78352356	
1.280000	81.01868439	
1.300000	79.19625092	
1.320000	77.38935852	
1.340000	75.65745544	
1.360000	73.99649811	
1.380000	72.52826691	
1.400000	71.20142365	
1.420000	70.11865234	
1.440000	69.21344757	
1.460000	68.42588043	
1.480000	67.57406616	
1.500000	67.06813049	
1.520000	66.87829590	
1.540000	67.54476166	
1.560000	69.06944275	
1.580000	71.50041199	
1.600000	74.44468689	
1.620000	77.41425323	
1.640000	80.35874939	
1.660000	83.27912140	
1.680000	86.20318604	
1.700000	89.03416443	
1.720000	92.02143860	
1.740000	94.67821503	
1.760000	96.92915344	
1.780000	98.54042053	
1.800000	100.45503235	
1.820000	102.52515411	
1.840000	104.46457672	
1.860000	105.73277283	
1.880000	106.46762848	
1.900000	106.53904724	
1.920000	106.20252228	
1.940000	105.64861298	
1.960000	105.42813873	
1.980000	105.41744232	
2.000000	105.63028717	
2.020000	105.98932648	
2.040000	106.28488922	
2.060000	106.73299408	
2.080000	107.24682617	
2.100000	107.52378845	
2.120000	107.02490234	
2.140000	105.56213379	
2.160000	103.75051117	
2.180000	102.00303650	
2.200000	100.36361694	
2.220000	98.58909607	
2.240000	96.42362213	
2.260000	93.89643860	
2.280000	91.72140503	
2.300000	89.93589783	
2.320000	88.68090057	
2.340000	86.98429871	
2.360000	85.04370880	
2.380000	82.91922760	
2.400000	80.97499847	
2.420000	79.24598694	
2.440000	77.68021393	
2.460000	76.04843140	
2.480000	74.38451385	
2.500000	72.70277405	
2.520000	71.38804626	
2.540000	70.26782227	
2.560000	69.43575287	
2.580000	68.80735016	
2.600000	68.40861511	
2.620000	68.28791809	
2.640000	68.54804993	
2.660000	69.93420410	
2.680000	72.20827484	
2.700000	75.18724823	
2.720000	78.03276062	
2.740000	80.84230804	
2.760000	83.73394012	
2.780000	86.76351929	
2.800000	89.72105408	
2.820000	92.65682983	
2.840000	95.27482605	
2.860000	97.80109406	
2.880000	99.92418671	
2.900000	101.89392090	
2.920000	103.58631134	
2.940000	105.07699585	
2.960000	106.21163940	
2.980000	106.87488556	
3.000000	106.91816711	
3.020000	106.49199677	
3.040000	105.82065582	
3.060000	105.22296143	
3.080000	104.96456909	
3.100000	105.28084564	
3.120000	105.97882843	
3.140000	106.67616272	
3.160000	107.02106476	
3.180000	107.34624481	
3.200000	107.47234344	
3.220000	107.11422729	
3.240000	105.79080963	
3.260000	104.03076935	
3.280000	102.32711029	
3.300000	100.87860107	
3.320000	99.27819061	
3.340000	97.33638763	
3.360000	95.06325531	
3.380000	92.84853363	
3.400000	91.00796509	
3.420000	89.39431763	
3.440000	87.90825653	
3.460000	86.03883362	
3.480000	84.17720032	
3.500000	82.30368042	
3.520000	80.67632294	
3.540000	79.16176605	
3.560000	77.70961761	
3.580000	76.35633087	
3.600000	74.87861633	
3.620000	73.41387177	
3.640000	72.03771973	
3.660000	70.84732056	
3.680000	69.85153198	
3.700000	69.00172424	
3.720000	68.33498383	
3.740000	67.87873840	
3.760000	67.87129974	
3.780000	68.93857574	
3.800000	70.98783112	
3.820000	73.84887695	
3.840000	76.78305817	
3.860000	79.77871704	
3.880000	82.74147797	
3.900000	85.89444733	
3.920000	89.10912323	
