Time	Knee_Angle_left_4.84 X
0.000000	167.00730896
0.020000	166.15077209
0.040000	165.73071289
0.060000	165.99671936
0.080000	166.18957520
0.100000	166.68548584
0.120000	167.32487488
0.140000	168.15390015
0.160000	169.17092896
0.180000	170.24101257
0.200000	171.23643494
0.220000	172.12498474
0.240000	172.99998474
0.260000	173.89697266
0.280000	174.84803772
0.300000	175.78471375
0.320000	176.61235046
0.340000	177.25958252
0.360000	177.63345337
0.380000	177.69171143
0.400000	177.31471252
0.420000	176.45423889
0.440000	175.03102112
0.460000	173.03193665
0.480000	170.32157898
0.500000	166.68733215
0.520000	161.92373657
0.540000	156.07998657
0.560000	149.52581787
0.580000	142.78187561
0.600000	136.47894287
0.620000	131.14761353
0.640000	127.12120819
0.660000	124.46666718
0.680000	123.15706635
0.700000	123.17849731
0.720000	124.39739990
0.740000	126.67478180
0.760000	129.86062622
0.780000	133.91622925
0.800000	138.78242493
0.820000	144.45693970
0.840000	150.90217590
0.860000	157.92143250
0.880000	165.09663391
0.900000	171.74476624
0.920000	176.95419312
0.940000	179.93751526
0.960000	178.88087463
0.980000	179.73446655
1.000000	177.78187561
1.020000	174.31112671
1.040000	170.87042236
1.060000	168.09976196
1.080000	166.15164185
1.100000	165.13981628
1.120000	165.12481689
1.140000	165.83303833
1.160000	166.78161621
1.180000	167.80073547
1.200000	168.90257263
1.220000	170.07752991
1.240000	171.18212891
1.260000	172.13571167
1.280000	173.00428772
1.300000	173.90011597
1.320000	174.78895569
1.340000	175.65568542
1.360000	176.40823364
1.380000	176.99034119
1.400000	177.22431946
1.420000	177.08155823
1.440000	176.43406677
1.460000	175.27722168
1.480000	173.57682800
1.500000	171.37385559
1.520000	168.56573486
1.540000	164.94252014
1.560000	160.30480957
1.580000	154.60339355
1.600000	148.09226990
1.620000	141.24061584
1.640000	134.66940308
1.660000	128.94845581
1.680000	124.47795868
1.700000	121.46982574
1.720000	119.92021942
1.740000	119.74861908
1.760000	120.83393097
1.780000	123.10230255
1.800000	126.38597870
1.820000	130.61938477
1.840000	135.80827332
1.860000	141.91781616
1.880000	148.75004578
1.900000	156.02337646
1.920000	163.31623840
1.940000	170.08583069
1.960000	175.50442505
1.980000	178.99742126
2.000000	179.60652161
2.020000	179.75582886
2.040000	177.27290344
2.060000	173.56227112
2.080000	169.65988159
2.100000	166.38099670
2.120000	164.08909607
2.140000	162.86958313
2.160000	162.73400879
2.180000	163.40524292
2.200000	164.52941895
2.220000	165.82995605
2.240000	167.29687500
2.260000	168.90036011
2.280000	170.59838867
2.300000	172.20800781
2.320000	173.73162842
2.340000	175.17131042
2.360000	176.44723511
2.380000	177.43615723
2.400000	178.08071899
2.420000	178.44619751
2.440000	178.48973083
2.460000	178.27839661
2.480000	177.76472473
2.500000	176.97215271
2.520000	175.81642151
2.540000	174.27479553
2.560000	172.14859009
2.580000	169.17407227
2.600000	165.06074524
2.620000	159.68847656
2.640000	153.23205566
2.660000	146.18908691
2.680000	139.25061035
2.700000	133.02767944
2.720000	127.98131561
2.740000	124.38121033
2.760000	122.27806091
2.780000	121.62901306
2.800000	122.36254120
2.820000	124.35327911
2.840000	127.41291046
2.860000	131.36868286
2.880000	136.21968079
2.900000	141.89111328
2.920000	148.35362244
2.940000	155.40312195
2.960000	162.80125427
2.980000	169.86125183
3.000000	175.60511780
3.020000	179.13182068
3.040000	179.70312500
3.060000	179.27980042
3.080000	176.52180481
3.100000	172.82736206
3.120000	169.33488464
3.140000	166.69255066
3.160000	164.94534302
3.180000	164.00498962
3.200000	163.86676025
3.220000	164.36741638
3.240000	165.14424133
3.260000	166.07188416
3.280000	167.15568542
3.300000	168.42706299
3.320000	169.73609924
3.340000	170.96882629
3.360000	172.16734314
3.380000	173.40625000
3.400000	174.63891602
3.420000	175.75515747
3.440000	176.70559692
3.460000	177.43067932
3.480000	177.84318542
3.500000	177.87649536
3.520000	177.53015137
3.540000	176.76374817
3.560000	175.55171204
3.580000	173.84135437
3.600000	171.59155273
3.620000	168.55529785
3.640000	164.48341370
3.660000	159.17701721
3.680000	152.83831787
3.700000	145.87518311
3.720000	138.96366882
3.740000	132.77485657
3.760000	127.83820343
3.780000	124.38156891
3.800000	122.42026520
3.820000	121.82768250
3.840000	122.46988678
3.860000	124.24776459
3.880000	127.14453888
3.900000	131.11264038
3.920000	136.17942810
3.940000	142.29075623
3.960000	149.31507874
3.980000	156.92698669
4.000000	164.66539001
4.020000	171.67379761
4.040000	176.86682129
4.060000	179.60418701
4.080000	179.96794128
4.100000	178.44433594
4.120000	175.31912231
4.140000	171.47700500
4.160000	167.96255493
4.180000	165.23318481
4.200000	163.38864136
4.220000	162.53564453
4.240000	162.75950623
4.260000	163.74523926
4.280000	165.06330872
4.300000	166.49018860
4.320000	167.98490906
4.340000	169.60269165
4.360000	171.23651123
4.380000	172.78750610
4.400000	174.17716980
4.420000	175.45355225
4.440000	176.47370911
4.460000	177.14825439
4.480000	177.48385620
4.500000	177.63131714
4.520000	177.59770203
4.540000	177.38237000
4.560000	176.98365784
4.580000	176.30239868
4.600000	175.26786804
4.620000	173.80610657
4.640000	171.85984802
4.660000	169.25172424
4.680000	165.75039673
4.700000	161.14236450
4.720000	155.45220947
4.740000	149.00483704
4.760000	142.38929749
4.780000	136.19874573
4.800000	130.95790100
4.820000	126.98727417
4.840000	124.38175964
4.860000	123.09056091
4.880000	123.08110046
4.900000	124.30952454
4.920000	126.69745636
4.940000	130.13763428
4.960000	134.54882813
4.980000	139.89530945
5.000000	146.11701965
5.020000	152.99714661
5.040000	160.19506836
5.060000	167.11434937
5.080000	172.87380981
5.100000	176.60414124
5.120000	178.00744629
5.140000	177.19218445
5.160000	174.47103882
5.180000	170.54995728
5.200000	166.53234863
5.220000	163.28611755
5.240000	161.06494141
5.260000	159.91212463
5.280000	159.81651306
5.300000	160.63790894
5.320000	161.94781494
5.340000	163.51629639
5.360000	165.27273560
5.380000	167.17785645
5.400000	169.05723572
5.420000	170.76828003
5.440000	172.31210327
5.460000	173.76142883
5.480000	175.14825439
5.500000	176.37782288
5.520000	177.37617493
5.540000	178.02357483
5.560000	178.27793884
5.580000	178.08714294
5.600000	177.50439453
5.620000	176.54646301
5.640000	175.25596619
5.660000	173.56901550
5.680000	171.36618042
5.700000	168.41221619
5.720000	164.47908020
5.740000	159.38253784
5.760000	153.25303650
5.780000	146.48381042
5.800000	139.72798157
5.820000	133.58663940
5.840000	128.56088257
5.860000	124.95973206
5.880000	122.84383392
5.900000	122.13925171
5.920000	122.72502136
5.940000	124.54017639
5.960000	127.41535187
5.980000	131.19897461
6.000000	135.81912231
6.020000	141.27755737
6.040000	147.48199463
6.060000	154.20652771
6.080000	161.17669678
6.100000	167.80931091
6.120000	173.31172180
6.140000	176.87542725
6.160000	178.27020264
6.180000	177.50614929
6.200000	174.92692566
6.220000	171.19485474
6.240000	167.40010071
6.260000	164.32496643
6.280000	162.27189636
6.300000	161.20989990
6.320000	161.12419128
6.340000	161.78430176
6.360000	162.88169861
6.380000	164.18461609
6.400000	165.67230225
6.420000	167.30125427
6.440000	169.00474548
6.460000	170.66613770
6.480000	172.28500366
6.500000	173.85864258
6.520000	175.31198120
6.540000	176.51213074
6.560000	177.39888000
6.580000	178.00875854
6.600000	178.33102417
6.620000	178.36933899
6.640000	178.08369446
6.660000	177.41465759
6.680000	176.29492188
6.700000	174.67645264
6.720000	172.49839783
6.740000	169.61769104
6.760000	165.84248352
6.780000	160.99928284
6.800000	155.18847656
6.820000	148.72521973
6.840000	142.22817993
6.860000	136.23376465
6.880000	131.27696228
6.900000	127.63713837
6.920000	125.44967651
6.940000	124.61824036
6.960000	125.05718994
6.980000	126.62329102
7.000000	129.21998596
7.020000	132.67971802
7.040000	136.96072388
7.060000	141.97883606
7.080000	147.73141479
7.100000	154.02363586
7.120000	160.65109253
7.140000	167.16352844
7.160000	172.91160583
7.180000	177.09881592
7.200000	179.25952148
7.220000	179.34428406
7.240000	177.51005554
7.260000	174.24583435
7.280000	170.49656677
7.300000	167.28643799
7.320000	165.05503845
7.340000	163.82131958
7.360000	163.57066345
7.380000	164.21522522
7.400000	165.41923523
7.420000	166.87188721
7.440000	168.51181030
7.460000	170.34800720
7.480000	172.23915100
7.500000	173.98959351
7.520000	175.50265503
7.540000	176.77879333
7.560000	177.76557922
7.580000	178.43148804
7.600000	178.81004333
7.620000	178.94085693
7.640000	178.86557007
7.660000	178.59419250
7.680000	178.10127258
7.700000	177.28491211
7.720000	176.11906433
7.740000	174.65638733
7.760000	172.89123535
7.780000	170.70303345
7.800000	167.85780334
7.820000	164.08413696
7.840000	159.20578003
7.860000	153.31800842
7.880000	146.86741638
7.900000	140.44584656
7.920000	134.67085266
7.940000	129.98004150
7.960000	126.62561035
7.980000	124.69371033
8.000000	124.15911102
8.020000	124.94107056
8.040000	126.90022278
8.059999	129.87480164
8.080000	133.69740295
8.099999	138.29121399
8.120000	143.66979980
8.139999	149.73664856
8.160000	156.31025696
8.179999	163.00300598
8.200000	169.27143860
8.220000	174.32357788
8.240000	177.52653503
8.260000	178.70005798
8.280000	177.88336182
8.300000	175.36552429
8.320000	171.79742432
8.340000	168.24649048
8.360000	165.43255615
8.380000	163.62322998
8.400000	162.79942322
8.420000	162.92861938
8.440000	163.72180176
8.460000	164.83578491
8.480000	166.15942383
8.500000	167.67193604
8.520000	169.30468750
8.540000	170.86761475
8.559999	172.25836182
8.580000	173.43734741
8.599999	174.48225403
8.620000	175.39215088
8.639999	176.16917419
8.660000	176.80155945
8.679999	177.30320740
8.700000	177.62736511
8.720000	177.71705627
8.740000	177.49124146
8.760000	176.87773132
8.780000	175.81312561
8.800000	174.31051636
8.820000	172.33767700
8.840000	169.77342224
8.860000	166.34391785
8.880000	161.86083984
8.900000	156.30049133
8.920000	149.97671509
8.940000	143.41058350
8.960000	137.26379395
8.980000	132.04560852
9.000000	128.06816101
9.020000	125.41712952
9.040000	124.07677460
9.059999	123.93689728
9.080000	124.90725708
9.099999	126.89635468
9.120000	129.79255676
9.139999	133.47233582
9.160000	137.92068481
9.179999	143.09440613
9.200000	148.95858765
9.220000	155.27153015
9.240000	161.75830078
9.260000	167.93789673
9.280000	173.17793274
9.300000	176.75012207
9.320000	178.31097412
9.340000	177.76011658
9.360000	175.33740234
9.380000	171.71427917
9.400000	167.97807312
9.420000	165.00727844
9.440000	163.12104797
9.460000	162.26010132
9.480000	162.29862976
9.500000	163.00888062
9.520000	164.08219910
9.540000	165.37942505
9.559999	166.90771484
9.580000	168.67434692
9.599999	170.50373840
9.620000	172.20823669
9.639999	173.69487000
9.660000	175.00044250
9.679999	176.03321838
9.700000	176.78466797
9.719999	177.26075745
9.740000	177.55242920
9.760000	177.63595581
9.780000	177.49835205
9.800000	177.11949158
9.820000	176.43473816
9.840000	175.42602539
9.860000	174.04808044
