Time	Knee_Angle_right_4.81 X
0.000000	165.12869263	
0.020000	167.22117615	
0.040000	169.05577087	
0.060000	170.46038818	
0.080000	171.87544250	
0.100000	173.07298279	
0.120000	174.09875488	
0.140000	175.08503723	
0.160000	175.94714355	
0.180000	176.80137634	
0.200000	177.39634705	
0.220000	177.86791992	
0.240000	178.13961792	
0.260000	177.99659729	
0.280000	177.35791016	
0.300000	176.22761536	
0.320000	174.63415527	
0.340000	172.81060791	
0.360000	170.76855469	
0.380000	168.53247070	
0.400000	165.63313293	
0.420000	161.56875610	
0.440000	156.24577332	
0.460000	149.56623840	
0.480000	142.54492188	
0.500000	135.97918701	
0.520000	130.85194397	
0.540000	126.94795990	
0.560000	124.26967621	
0.580000	122.86615753	
0.600000	122.81193542	
0.620000	124.15534210	
0.640000	126.53096008	
0.660000	129.95239258	
0.680000	134.26260376	
0.700000	139.39524841	
0.720000	145.58207703	
0.740000	152.81669617	
0.760000	161.28005981	
0.780000	170.20373535	
0.800000	178.65660095	
0.820000	175.01800537	
0.840000	172.16220093	
0.860000	173.33580017	
0.880000	177.58279419	
0.900000	177.43748474	
0.920000	173.29603577	
0.940000	169.13182068	
0.960000	164.94898987	
0.980000	161.32215881	
1.000000	159.84779358	
1.020000	159.98120117	
1.040000	160.24975586	
1.060000	160.51351929	
1.080000	161.05548096	
1.100000	162.66532898	
1.120000	164.92030334	
1.140000	167.45373535	
1.160000	169.25001526	
1.180000	170.49909973	
1.200000	171.32054138	
1.220000	172.57482910	
1.240000	173.92608643	
1.260000	175.38081360	
1.280000	176.52062988	
1.300000	177.63429260	
1.320000	178.55363464	
1.340000	179.26335144	
1.360000	179.63172913	
1.380000	179.43109131	
1.400000	178.68148804	
1.420000	177.39790344	
1.440000	175.69030762	
1.460000	173.81382751	
1.480000	171.80169678	
1.500000	169.34510803	
1.520000	166.39074707	
1.540000	162.23526001	
1.560000	156.95954895	
1.580000	150.53254700	
1.600000	143.88816833	
1.620000	137.82054138	
1.640000	132.87818909	
1.660000	129.16462708	
1.680000	126.64186096	
1.700000	125.17440033	
1.720000	124.61517334	
1.740000	125.33371735	
1.760000	127.36931610	
1.780000	130.70582581	
1.800000	134.41104126	
1.820000	138.43077087	
1.840000	143.15798950	
1.860000	149.03921509	
1.880000	156.00599670	
1.900000	163.84854126	
1.920000	171.83642578	
1.940000	178.93141174	
1.960000	176.43148804	
1.980000	174.57676697	
2.000000	175.57162476	
2.020000	178.75152588	
2.040000	177.66444397	
2.060000	173.49789429	
2.080000	169.29832458	
2.100000	165.25544739	
2.120000	162.93048096	
2.140000	162.72021484	
2.160000	163.34805298	
2.180000	163.83258057	
2.200000	164.07875061	
2.220000	164.66696167	
2.240000	166.15299988	
2.260000	168.23594666	
2.280000	169.92280579	
2.300000	171.10658264	
2.320000	171.71658325	
2.340000	172.88449097	
2.360000	174.36486816	
2.380000	175.98336792	
2.400000	177.33708191	
2.420000	178.03465271	
2.440000	178.39347839	
2.460000	178.62742615	
2.480000	178.80812073	
2.500000	178.73420715	
2.520000	177.90310669	
2.540000	176.60401917	
2.560000	174.70141602	
2.580000	172.38130188	
2.600000	169.57180786	
2.620000	166.21376038	
2.640000	162.21752930	
2.660000	156.72837830	
2.680000	150.41941833	
2.700000	143.65074158	
2.720000	137.83198547	
2.740000	133.08291626	
2.760000	129.49436951	
2.780000	127.04866791	
2.800000	125.65807343	
2.820000	125.22045135	
2.840000	126.08321381	
2.860000	127.93923187	
2.880000	130.95690918	
2.900000	134.65979004	
2.920000	139.13494873	
2.940000	144.32498169	
2.960000	150.46426392	
2.980000	157.61012268	
3.000000	165.67370605	
3.020000	173.91084290	
3.040000	178.51332092	
3.060000	172.89149475	
3.080000	170.38360596	
3.100000	171.70692444	
3.120000	175.94378662	
3.140000	179.34944153	
3.160000	175.31687927	
3.180000	171.48304749	
3.200000	167.77709961	
3.220000	164.87028503	
3.240000	164.20858765	
3.260000	164.55868530	
3.280000	165.06575012	
3.300000	164.96226501	
3.320000	165.26364136	
3.340000	166.28111267	
3.360000	168.10096741	
3.380000	169.88005066	
3.400000	171.14012146	
3.420000	172.15570068	
3.440000	173.14659119	
3.460000	174.59220886	
3.480000	175.99359131	
3.500000	177.20570374	
3.520000	178.09625244	
3.540000	178.61929321	
3.560000	178.88346863	
3.580000	178.90447998	
3.600000	178.89428711	
3.620000	178.59980774	
3.640000	177.74714661	
3.660000	176.43395996	
3.680000	174.71763611	
3.700000	172.71435547	
3.720000	170.42591858	
3.740000	167.71788025	
3.760000	164.30587769	
3.780000	159.35911560	
3.800000	153.29310608	
3.820000	146.38716125	
3.840000	139.98545837	
3.860000	134.37220764	
3.880000	129.96923828	
3.900000	126.67269897	
3.920000	124.51261902	
3.940000	123.54994202	
3.960000	123.98851776	
3.980000	125.66626740	
4.000000	128.51278687	
4.020000	132.27935791	
4.040000	136.71441650	
4.060000	141.98820496	
4.080000	148.10078430	
4.100000	155.21372986	
4.120000	163.06385803	
4.140000	170.98637390	
4.160000	178.42773438	
4.180000	175.53752136	
4.200000	171.77084351	
4.220000	171.37512207	
4.240000	174.08261108	
4.260000	178.10221863	
4.280000	178.16604614	
4.300000	174.18188477	
4.320000	170.19566345	
4.340000	166.79791260	
4.360000	165.50485229	
4.380000	165.77949524	
4.400000	166.39604187	
4.420000	166.88787842	
4.440000	167.36747742	
4.460000	168.56224060	
4.480000	170.29618835	
4.500000	172.39739990	
4.520000	174.16168213	
4.540000	175.83238220	
4.560000	177.14633179	
4.580000	178.63787842	
4.600000	179.64862061	
4.620000	179.78843689	
4.640000	179.86061096	
4.660000	179.94497681	
4.680000	179.63865662	
4.700000	179.45820618	
4.720000	179.06205750	
4.740000	178.48194885	
4.760000	177.50025940	
4.780000	176.32231140	
4.800000	174.80392456	
4.820000	172.79011536	
4.840000	170.31291199	
4.860000	167.03294373	
4.880000	163.24295044	
4.900000	158.17739868	
4.920000	152.55851746	
4.940000	146.43984985	
4.960000	141.08445740	
4.980000	136.35261536	
5.000000	132.50915527	
5.020000	129.51963806	
5.040000	127.65222931	
5.060000	126.93015289	
5.080000	127.53655243	
5.100000	129.32640076	
5.120000	132.17868042	
5.140000	135.66128540	
5.160000	139.61734009	
5.180000	144.17427063	
5.200000	149.56903076	
5.220000	155.69366455	
5.240000	162.64567566	
5.260000	169.98168945	
5.280000	177.28208923	
5.300000	176.54074097	
5.320000	172.64422607	
5.340000	171.85476685	
5.360000	174.34124756	
5.380000	178.59477234	
5.400000	176.51255798	
5.420000	171.10964966	
5.440000	166.23413086	
5.460000	163.08050537	
5.480000	162.67321777	
5.500000	163.32751465	
5.520000	163.70159912	
5.540000	163.72419739	
5.560000	164.20350647	
5.580000	165.69067383	
5.600000	167.64062500	
5.620000	169.38302612	
5.640000	170.42567444	
5.660000	171.32441711	
5.680000	172.06462097	
5.700000	173.14019775	
5.720000	173.98783875	
5.740000	174.89285278	
5.760000	175.54415894	
5.780000	176.24786377	
5.800000	176.89752197	
5.820000	177.34548950	
5.840000	177.07824707	
5.860000	176.38198853	
5.880000	175.04951477	
5.900000	173.50125122	
5.920000	171.40380859	
5.940000	168.96044922	
5.960000	166.09094238	
5.980000	162.70976257	
6.000000	158.68771362	
6.020000	153.65921021	
6.040000	148.13511658	
6.060000	142.33003235	
6.080000	137.19961548	
6.100000	132.47882080	
6.120000	129.05540466	
6.140000	126.73682404	
6.160000	125.88039398	
6.180000	125.92916870	
6.200000	127.13253021	
6.220000	129.47311401	
6.240000	133.01393127	
6.260000	137.43170166	
6.280000	142.72966003	
6.300000	148.94212341	
6.320000	156.21600342	
6.340000	164.44477844	
6.360000	172.76057434	
6.380000	179.64315796	
6.400000	174.28399658	
6.420000	171.72967529	
6.440000	172.49911499	
6.460000	176.03005981	
6.480000	179.96595764	
6.500000	175.85006714	
6.520000	171.73231506	
6.540000	167.23982239	
6.560000	163.81907654	
6.580000	162.75212097	
6.600000	163.38102722	
6.620000	164.31974792	
6.640000	164.49368286	
6.660000	164.57704163	
6.680000	165.25331116	
6.700000	166.73466492	
6.720000	168.30226135	
6.740000	169.99923706	
6.760000	171.51029968	
6.780000	172.76197815	
6.800000	173.53382874	
6.820000	174.68801880	
6.840000	175.96072388	
6.860000	177.26960754	
6.880000	177.98594666	
6.900000	178.55471802	
6.920000	178.66673279	
6.940000	178.53910828	
6.960000	177.63674927	
6.980000	176.42878723	
7.000000	174.71350098	
7.020000	172.74243164	
7.040000	170.38414001	
7.060000	167.68815613	
7.080000	164.48115540	
7.100000	160.47602844	
7.120000	155.50216675	
7.140000	149.88819885	
7.160000	144.08531189	
7.180000	138.59313965	
7.200000	133.98306274	
7.220000	130.16004944	
7.240000	127.33509827	
7.260000	125.35728455	
7.280000	124.96710205	
7.300000	126.05822754	
7.320000	128.55398560	
7.340000	131.93046570	
7.360000	135.69490051	
7.380000	139.92897034	
7.400000	144.91789246	
7.420000	150.89112854	
7.440000	157.75439453	
7.460000	165.04129028	
7.480000	172.63716125	
7.500000	179.96697998	
7.520000	173.97438049	
7.540000	170.62196350	
7.560000	171.15985107	
7.580000	174.69346619	
7.600000	179.04563904	
7.620000	176.43209839	
7.640000	171.16207886	
7.660000	165.64617920	
7.680000	161.85133362	
7.700000	161.01101685	
7.720000	161.56433105	
7.740000	162.17127991	
7.760000	162.33103943	
7.780000	162.89694214	
7.800000	164.28520203	
7.820000	166.30479431	
7.840000	168.25030518	
7.860000	169.78761292	
7.880000	171.08406067	
7.900000	172.46002197	
7.920000	173.83236694	
7.940000	175.01768494	
7.960000	175.73358154	
7.980000	176.43534851	
8.000000	176.93980408	
8.020000	177.45214844	
8.040000	177.58050537	
8.059999	177.23823547	
8.080000	176.30377197	
8.099999	174.93722534	
8.120000	173.17124939	
8.139999	171.02976990	
8.160000	168.45161438	
8.179999	165.43307495	
8.200000	161.94421387	
8.220000	157.27415466	
8.240000	151.70678711	
8.260000	145.45016479	
8.280000	139.67141724	
8.300000	134.73571777	
8.320000	131.07283020	
8.340000	128.21746826	
8.360000	126.22476959	
8.380000	125.06681061	
8.400000	125.35898590	
8.420000	126.98233795	
8.440000	129.83781433	
8.460000	133.54112244	
8.480000	137.82333374	
8.500000	142.61865234	
8.520000	148.04266357	
8.540000	154.31684875	
8.559999	161.49772644	
8.580000	169.07133484	
8.599999	176.37577820	
8.620000	177.42243958	
8.639999	173.25105286	
8.660000	171.82386780	
8.679999	173.51771545	
8.700000	177.19273376	
8.720000	178.45083618	
8.740000	173.15969849	
8.760000	167.51918030	
8.780000	162.86825562	
8.800000	161.03059387	
8.820000	161.33154297	
8.840000	161.98515320	
8.860000	162.38708496	
8.880000	162.73210144	
8.900000	163.84793091	
8.920000	165.48762512	
8.940000	167.29728699	
8.960000	168.80509949	
8.980000	170.13984680	
9.000000	171.42805481	
9.020000	172.66587830	
9.040000	174.28576660	
9.059999	175.84861755	
9.080000	177.42398071	
9.099999	178.48052979	
9.120000	179.34881592	
9.139999	179.86650085	
9.160000	179.87957764	
9.179999	179.36146545	
9.200000	177.97311401	
9.220000	176.24932861	
9.240000	174.23023987	
9.260000	172.16159058	
9.280000	169.82601929	
9.300000	166.83580017	
9.320000	163.03860474	
9.340000	158.05346680	
9.360000	152.10942078	
9.380000	145.83595276	
9.400000	140.10194397	
9.420000	135.36579895	
9.440000	131.57348633	
9.460000	128.49089050	
9.480000	126.43689728	
9.500000	125.60888672	
9.520000	126.17541504	
9.540000	127.80927277	
9.559999	130.46963501	
