Time	Knee_Ankle_Angle_left_4.84 X
0.000000	90.00000000	
0.020000	92.12249756	
0.040000	94.06433868	
0.060000	95.68755341	
0.080000	97.35498810	
0.100000	98.82120514	
0.120000	100.19638824	
0.140000	101.45064545	
0.160000	102.55833435	
0.180000	103.54156494	
0.200000	104.47920990	
0.220000	105.39407349	
0.240000	106.26864624	
0.260000	107.13806152	
0.280000	108.05131531	
0.300000	109.05998993	
0.320000	110.18123627	
0.340000	111.44608307	
0.360000	112.89373016	
0.380000	114.54766083	
0.400000	116.46826935	
0.420000	118.68395996	
0.440000	121.21569061	
0.460000	124.02882385	
0.480000	127.12351227	
0.500000	130.52107239	
0.520000	134.23513794	
0.540000	138.15866089	
0.560000	142.04081726	
0.580000	145.53140259	
0.600000	148.25314331	
0.620000	149.88516235	
0.640000	150.26960754	
0.660000	149.38188171	
0.680000	147.35514832	
0.700000	144.26034546	
0.720000	140.23910522	
0.740000	135.39842224	
0.760000	129.92254639	
0.780000	123.89791870	
0.800000	117.41851807	
0.820000	110.56303406	
0.840000	103.46261597	
0.860000	96.34520721	
0.880000	89.56595612	
0.900000	83.67807007	
0.920000	79.34587860	
0.940000	77.00489807	
0.960000	76.55510712	
0.980000	77.80878448	
1.000000	80.40466309	
1.020000	83.80971527	
1.040000	87.27163696	
1.060000	90.42805481	
1.080000	93.16120911	
1.100000	95.43087006	
1.120000	97.16493988	
1.140000	98.53929901	
1.160000	99.77973938	
1.180000	100.96172333	
1.200000	102.06056976	
1.220000	103.06887817	
1.240000	104.04283905	
1.260000	105.02965546	
1.280000	106.02420807	
1.300000	107.00298309	
1.320000	108.02503967	
1.340000	109.11019135	
1.360000	110.31156158	
1.380000	111.63752747	
1.400000	113.17286682	
1.420000	114.93128967	
1.440000	116.99674225	
1.460000	119.38079834	
1.480000	122.09082794	
1.500000	125.06636810	
1.520000	128.30451965	
1.540000	131.83175659	
1.560000	135.66076660	
1.580000	139.71752930	
1.600000	143.79109192	
1.620000	147.53239441	
1.640000	150.53045654	
1.660000	152.40562439	
1.680000	152.94755554	
1.700000	152.10159302	
1.720000	149.98583984	
1.740000	146.74069214	
1.760000	142.55072021	
1.780000	137.53747559	
1.800000	131.86587524	
1.820000	125.63142395	
1.840000	118.90577698	
1.860000	111.79727936	
1.880000	104.48624420	
1.900000	97.22946167	
1.920000	90.39479065	
1.940000	84.44771576	
1.960000	79.97976685	
1.980000	77.38893890	
2.000000	76.70198059	
2.020000	77.74858093	
2.040000	80.24791718	
2.060000	83.67873383	
2.080000	87.30802155	
2.100000	90.65795135	
2.120000	93.52376556	
2.140000	95.87326813	
2.160000	97.66384888	
2.180000	99.05046082	
2.200000	100.20903015	
2.220000	101.25873566	
2.240000	102.17037201	
2.260000	102.95076752	
2.280000	103.61346436	
2.300000	104.27109528	
2.320000	104.93318939	
2.340000	105.63358307	
2.360000	106.43842316	
2.380000	107.42036438	
2.400000	108.59579468	
2.420000	109.93306732	
2.440000	111.46501160	
2.460000	113.17860413	
2.480000	115.10988617	
2.500000	117.26823425	
2.520000	119.68840027	
2.540000	122.36042786	
2.560000	125.29321289	
2.580000	128.54327393	
2.600000	132.13558960	
2.620000	136.05700684	
2.640000	140.12585449	
2.660000	144.03080750	
2.680000	147.33123779	
2.700000	149.65783691	
2.720000	150.76922607	
2.740000	150.57089233	
2.760000	149.11215210	
2.780000	146.52590942	
2.800000	142.95321655	
2.820000	138.48832703	
2.840000	133.25378418	
2.860000	127.39212799	
2.880000	120.96806335	
2.900000	114.07908630	
2.920000	106.82971954	
2.940000	99.46107483	
2.960000	92.25469971	
2.980000	85.73807526	
3.000000	80.64524841	
3.020000	77.61703491	
3.040000	76.73285675	
3.060000	77.79049683	
3.080000	80.33957672	
3.100000	83.72315979	
3.120000	87.12390900	
3.140000	90.11083221	
3.160000	92.64477539	
3.180000	94.79677582	
3.200000	96.55854034	
3.220000	98.00801849	
3.240000	99.32104492	
3.260000	100.53822327	
3.280000	101.63913727	
3.300000	102.61105347	
3.320000	103.53350067	
3.340000	104.48072052	
3.360000	105.43922424	
3.380000	106.39387512	
3.400000	107.36766815	
3.420000	108.42025757	
3.440000	109.57122040	
3.460000	110.85747528	
3.480000	112.31711578	
3.500000	114.00038147	
3.520000	115.91426086	
3.540000	118.09948730	
3.560000	120.56809998	
3.580000	123.34352875	
3.600000	126.38714600	
3.620000	129.75201416	
3.640000	133.46017456	
3.660000	137.51547241	
3.680000	141.72395325	
3.700000	145.77854919	
3.720000	149.24407959	
3.740000	151.66886902	
3.760000	152.73916626	
3.780000	152.33349609	
3.800000	150.54061890	
3.820000	147.52716064	
3.840000	143.50946045	
3.860000	138.63261414	
3.880000	133.01422119	
3.900000	126.74224854	
3.920000	119.90135193	
3.940000	112.59661865	
3.960000	104.98847198	
3.980000	97.33182526	
4.000000	90.01173401	
4.020000	83.68436432	
4.040000	79.14057159	
4.060000	76.82889557	
4.080000	76.60272980	
4.100000	78.16998291	
4.120000	81.03321838	
4.140000	84.54465485	
4.160000	87.95995331	
4.180000	91.02955627	
4.200000	93.67218781	
4.220000	95.84493256	
4.240000	97.45692444	
4.260000	98.68595123	
4.280000	99.73528290	
4.300000	100.68395996	
4.320000	101.52891541	
4.340000	102.24815369	
4.360000	102.92089844	
4.380000	103.61233521	
4.400000	104.38027954	
4.420000	105.22932434	
4.440000	106.23184204	
4.460000	107.41832733	
4.480000	108.76888275	
4.500000	110.23814392	
4.520000	111.83439636	
4.540000	113.57840729	
4.560000	115.48221588	
4.580000	117.60765076	
4.600000	119.97569275	
4.620000	122.60129547	
4.640000	125.45405579	
4.660000	128.57205200	
4.680000	131.98190308	
4.700000	135.70773315	
4.720000	139.63734436	
4.740000	143.52520752	
4.760000	146.98208618	
4.780000	149.62640381	
4.800000	151.14123535	
4.820000	151.34654236	
4.840000	150.25677490	
4.860000	147.97987366	
4.880000	144.64802551	
4.900000	140.36166382	
4.920000	135.24673462	
4.940000	129.40005493	
4.960000	122.94172668	
4.980000	115.96279907	
5.000000	108.58542633	
5.020000	101.04611206	
5.040000	93.68263245	
5.060000	87.01744843	
5.080000	81.71195984	
5.100000	78.39135742	
5.120000	77.22858429	
5.140000	78.05884552	
5.160000	80.51729584	
5.180000	84.00279999	
5.200000	87.71644592	
5.220000	91.08059692	
5.240000	93.93231964	
5.260000	96.24812317	
5.280000	98.02703857	
5.300000	99.32263184	
5.320000	100.33446503	
5.340000	101.16950226	
5.360000	101.85153198	
5.380000	102.42166901	
5.400000	102.95626068	
5.420000	103.54687500	
5.440000	104.21630096	
5.460000	104.95948029	
5.480000	105.76786041	
5.500000	106.70124817	
5.520000	107.79055023	
5.540000	109.10155487	
