Time	Knee_Ankle_Angle_right_4.81 X
0.000000	81.98003387	
0.020000	81.60881805	
0.040000	80.99788666	
0.060000	80.24844360	
0.080000	79.59159088	
0.100000	78.99761200	
0.120000	78.31878662	
0.140000	77.49778748	
0.160000	76.58866119	
0.180000	75.57711029	
0.200000	74.47035217	
0.220000	73.20846558	
0.240000	71.76116943	
0.260000	69.95594788	
0.280000	67.82266998	
0.300000	65.43399811	
0.320000	62.79709625	
0.340000	60.06972504	
0.360000	57.22624588	
0.380000	54.36911392	
0.400000	51.30654907	
0.420000	47.84238434	
0.440000	44.02539444	
0.460000	39.88633728	
0.480000	36.08146667	
0.500000	33.02447891	
0.520000	31.31830978	
0.540000	30.82612991	
0.560000	31.51836586	
0.580000	33.29221344	
0.600000	36.15464401	
0.620000	40.14373016	
0.640000	44.98323441	
0.660000	50.64860153	
0.680000	56.91483688	
0.700000	63.80170441	
0.720000	71.26512146	
0.740000	79.25434113	
0.760000	87.75990295	
0.780000	96.26913452	
0.800000	104.03320313	
0.820000	109.76359558	
0.840000	112.51919556	
0.860000	111.84329224	
0.880000	108.49729156	
0.900000	104.33882141	
0.920000	100.67140198	
0.940000	97.01546478	
0.960000	93.26584625	
0.980000	89.66632080	
1.000000	87.28742981	
1.020000	85.80963898	
1.040000	84.40507507	
1.060000	82.97530365	
1.080000	81.73120880	
1.100000	81.12345886	
1.120000	80.94709778	
1.140000	80.75106049	
1.160000	80.34944153	
1.180000	79.78915405	
1.200000	79.36357880	
1.220000	79.01300049	
1.240000	78.62395477	
1.260000	78.16426086	
1.280000	77.53929901	
1.300000	76.83056641	
1.320000	75.94300079	
1.340000	74.92054749	
1.360000	73.62823486	
1.380000	71.95988464	
1.400000	69.88314819	
1.420000	67.51662445	
1.440000	64.90377045	
1.460000	62.23971558	
1.480000	59.37573624	
1.500000	56.41324615	
1.520000	53.26904678	
1.540000	49.78001022	
1.560000	46.02899551	
1.580000	42.03295135	
1.600000	38.33284760	
1.620000	35.23479080	
1.640000	33.23693848	
1.660000	32.44374847	
1.680000	32.84503937	
1.700000	34.20856476	
1.720000	36.63661957	
1.740000	40.01193619	
1.760000	44.29847336	
1.780000	49.24625015	
1.800000	54.86607742	
1.820000	60.95592117	
1.840000	67.62255859	
1.860000	74.77198029	
1.880000	82.47364044	
1.900000	90.38756561	
1.920000	98.03896332	
1.940000	104.58007050	
1.960000	108.99663544	
1.980000	110.84068298	
2.000000	110.05864716	
2.020000	107.23772430	
2.040000	103.94924164	
2.060000	100.23085022	
2.080000	96.54516602	
2.100000	92.77923584	
2.120000	89.95536041	
2.140000	88.28233337	
2.160000	87.09857178	
2.180000	85.83564758	
2.200000	84.44234467	
2.220000	83.25605774	
2.240000	82.57662201	
2.260000	82.13239288	
2.280000	81.64418793	
2.300000	81.04251099	
2.320000	80.39748383	
2.340000	79.86879730	
2.360000	79.40850830	
2.380000	78.90259552	
2.400000	78.31211853	
2.420000	77.28062439	
2.440000	76.07373047	
2.460000	74.67592621	
2.480000	73.19269562	
2.500000	71.43703461	
2.520000	69.29113770	
2.540000	66.87173462	
2.560000	64.13717651	
2.580000	61.18862534	
2.600000	57.98041916	
2.620000	54.50164413	
2.640000	50.76559448	
2.660000	46.66259384	
2.680000	42.62768936	
2.700000	38.83797836	
2.720000	35.86473465	
2.740000	33.92523193	
2.760000	33.22831726	
2.780000	33.81219101	
2.800000	35.37912750	
2.820000	37.87728119	
2.840000	41.35804367	
2.860000	45.74032593	
2.880000	50.88109207	
2.900000	56.55371475	
2.920000	62.72126007	
2.940000	69.40197754	
2.960000	76.67591858	
2.980000	84.48500824	
3.000000	92.59188080	
3.020000	100.40284729	
3.040000	107.30706024	
3.060000	112.33148956	
3.080000	114.58095551	
3.100000	113.57391357	
3.120000	110.03509521	
3.140000	106.02603912	
3.160000	102.33802795	
3.180000	98.82930756	
3.200000	95.24944305	
3.220000	91.98453522	
3.240000	89.99939728	
3.260000	88.58945465	
3.280000	87.39287567	
3.300000	85.84089661	
3.320000	84.54180145	
3.340000	83.61747742	
3.360000	83.16425323	
3.380000	82.72859955	
3.400000	82.14810944	
3.420000	81.55002594	
3.440000	81.05486298	
3.460000	80.63103485	
3.480000	80.17077637	
3.500000	79.50935364	
3.520000	78.77260590	
3.540000	77.78137970	
3.560000	76.59333801	
3.580000	75.26104736	
3.600000	73.77307129	
3.620000	72.01396179	
3.640000	69.78496552	
3.660000	67.28117371	
3.680000	64.56914520	
3.700000	61.71612167	
3.720000	58.76091766	
3.740000	55.59660721	
3.760000	52.17718887	
3.780000	48.29769135	
3.800000	44.28093338	
3.820000	40.23604202	
3.840000	36.76850891	
3.860000	34.15092468	
3.880000	32.71071625	
3.900000	32.56714630	
3.920000	33.62173843	
3.940000	35.78050995	
3.960000	38.95983505	
3.980000	43.05617523	
4.000000	48.05152893	
4.020000	53.77029037	
4.040000	60.03244400	
4.060000	66.90309906	
4.080000	74.21372986	
4.100000	81.91925812	
4.120000	89.82631683	
4.140000	97.48709869	
4.160000	104.45423126	
4.180000	109.97281647	
4.200000	113.29615021	
4.220000	113.64621735	
4.240000	111.26623535	
4.260000	107.69769287	
4.280000	104.22365570	
4.300000	100.58025360	
4.320000	96.86592102	
4.340000	93.33445740	
4.360000	91.06838226	
4.380000	89.62789917	
4.400000	88.44826508	
4.420000	87.12930298	
4.440000	85.89638519	
4.460000	85.06101227	
4.480000	84.59172821	
4.500000	84.27509308	
4.520000	83.91604614	
4.540000	83.61219025	
4.560000	83.29850769	
4.580000	82.98886108	
4.600000	82.36509705	
4.620000	81.39979553	
4.640000	80.10552216	
4.660000	78.71282196	
4.680000	77.23545074	
4.700000	75.81965637	
4.720000	74.25709534	
4.740000	72.55106354	
4.760000	70.48544312	
4.780000	68.21616364	
4.800000	65.68950653	
4.820000	62.95861435	
4.840000	60.04020309	
4.860000	56.80367279	
4.880000	53.45188904	
4.900000	49.53015900	
4.920000	45.48631287	
4.940000	41.36443710	
4.960000	38.07081985	
4.980000	35.77523422	
5.000000	34.59197617	
5.020000	34.56240082	
5.040000	35.48968124	
5.060000	37.49736404	
5.080000	40.47383881	
5.100000	44.36476898	
5.120000	48.96687698	
5.140000	54.09336853	
5.160000	59.70253372	
5.180000	65.81880951	
5.200000	72.51656342	
5.220000	79.59585571	
5.240000	87.04444122	
5.260000	94.44005585	
5.280000	101.45327759	
5.300000	107.12955475	
5.320000	110.69554138	
5.340000	111.49285126	
5.360000	109.59404755	
5.380000	106.18132782	
5.400000	102.20382690	
5.420000	97.79481506	
5.440000	93.61595917	
5.460000	90.25901794	
5.480000	88.43677521	
5.500000	87.21779633	
5.520000	85.87528992	
5.540000	84.36640930	
5.560000	83.10059357	
5.580000	82.45852661	
5.600000	82.15133667	
5.620000	81.70606995	
5.640000	80.97825623	
5.660000	80.25874329	
5.680000	79.61656189	
5.700000	78.97705078	
5.720000	78.21247101	
5.740000	77.39846802	
5.760000	76.52907562	
5.780000	75.58489227	
5.800000	74.60859680	
5.820000	73.50162506	
5.840000	72.04550934	
5.860000	70.28277588	
5.880000	68.03681183	
5.900000	65.51544189	
5.920000	62.66051102	
5.940000	59.68344879	
5.960000	56.63502502	
5.980000	53.47159576	
6.000000	50.15784073	
6.020000	46.42285538	
6.040000	42.61734009	
6.060000	38.86286163	
6.080000	36.03748703	
6.100000	34.11143494	
6.120000	33.68837357	
6.140000	34.43739319	
6.160000	36.43556213	
6.180000	39.45858383	
6.200000	43.42823792	
6.220000	48.37415695	
6.240000	54.01926804	
6.260000	60.34035110	
6.280000	67.31342316	
6.300000	74.88106537	
6.320000	83.02984619	
6.340000	91.40810394	
6.360000	99.49079895	
6.380000	106.63132477	
6.400000	111.73548126	
6.420000	114.24650574	
6.440000	113.84571838	
6.460000	110.98499298	
6.480000	107.56647491	
6.500000	103.98239899	
6.520000	100.39511871	
6.540000	96.37504578	
6.560000	92.84191895	
6.580000	90.62973785	
6.600000	89.35260773	
6.620000	88.31270599	
6.640000	86.86161041	
6.660000	85.37026215	
6.680000	84.19287109	
6.700000	83.45251465	
6.720000	82.80045319	
6.740000	82.10496521	
