Time	Step_Length_1_4.84 X
0.000000	-0.73619783
0.020000	-0.69853914
0.040000	-0.65723515
0.060000	-0.61012506
0.080000	-0.55881435
0.100000	-0.50245488
0.120000	-0.44189081
0.140000	-0.37749481
0.160000	-0.30949184
0.180000	-0.23796546
0.200000	-0.16228478
0.220000	-0.08191702
0.240000	0.00331706
0.260000	0.09309645
0.280000	0.18717912
0.300000	0.28438881
0.320000	0.38273060
0.340000	0.47908041
0.360000	0.56958425
0.380000	0.64945567
0.400000	0.71404010
0.420000	0.76127821
0.440000	0.79099500
0.460000	0.80473924
0.480000	0.80455345
0.500000	0.79341346
0.520000	0.77274030
0.540000	0.74347556
0.560000	0.70576739
0.580000	0.66065109
0.600000	0.60880697
0.620000	0.55115914
0.640000	0.48878518
0.660000	0.42272305
0.680000	0.35333234
0.700000	0.28076121
0.720000	0.20493318
0.740000	0.12538940
0.760000	0.04181278
0.780000	-0.04592302
0.800000	-0.13749559
0.820000	-0.23216394
0.840000	-0.32833624
0.860000	-0.42333901
0.880000	-0.51330310
0.900000	-0.59368539
0.920000	-0.65967584
0.940000	-0.70852315
0.960000	-0.73953551
0.980000	-0.75438672
1.000000	-0.75525290
1.020000	-0.74541140
1.040000	-0.72647548
1.060000	-0.69983369
1.080000	-0.66537756
1.100000	-0.62398130
1.120000	-0.57585436
1.140000	-0.52209550
1.160000	-0.46319672
1.180000	-0.40017653
1.200000	-0.33331555
1.220000	-0.26307827
1.240000	-0.18982774
1.260000	-0.11232798
1.280000	-0.03015050
1.300000	0.05748177
1.320000	0.14958496
1.340000	0.24620272
1.360000	0.34493548
1.380000	0.44306636
1.400000	0.53584588
1.420000	0.61913234
1.440000	0.68775910
1.460000	0.73874700
1.480000	0.77148384
1.500000	0.78753465
1.520000	0.78930390
1.540000	0.77945566
1.560000	0.76006383
1.580000	0.73169029
1.600000	0.69467264
1.620000	0.64943278
1.640000	0.59735614
1.660000	0.53930479
1.680000	0.47674870
1.700000	0.41052312
1.720000	0.34122968
1.740000	0.26865479
1.760000	0.19260618
1.780000	0.11258072
1.800000	0.02832191
1.820000	-0.06035328
1.840000	-0.15283325
1.860000	-0.24852468
1.880000	-0.34548444
1.900000	-0.44099736
1.920000	-0.53105611
1.940000	-0.61156744
1.960000	-0.67789674
1.980000	-0.72716624
2.000000	-0.75893700
2.020000	-0.77449477
2.040000	-0.77610493
2.060000	-0.76650351
2.080000	-0.74815607
2.100000	-0.72189766
2.120000	-0.68813086
2.140000	-0.64719915
2.160000	-0.59989238
2.180000	-0.54658544
2.200000	-0.48808876
2.220000	-0.42505687
2.240000	-0.35804036
2.260000	-0.28720203
2.280000	-0.21274354
2.300000	-0.13441053
2.320000	-0.05182225
2.340000	0.03549950
2.360000	0.12764001
2.380000	0.22409686
2.400000	0.32307982
2.420000	0.42164090
2.440000	0.51539850
2.460000	0.59950417
2.480000	0.66908461
2.500000	0.72156286
2.520000	0.75615734
2.540000	0.77460182
2.560000	0.77883559
2.580000	0.77182901
2.600000	0.75536537
2.620000	0.73078835
2.640000	0.69795972
2.660000	0.65748066
2.680000	0.60980392
2.700000	0.55583525
2.720000	0.49654257
2.740000	0.43299854
2.760000	0.36615363
2.780000	0.29620636
2.800000	0.22286560
2.820000	0.14556123
2.840000	0.06390183
2.860000	-0.02237794
2.880000	-0.11316244
2.900000	-0.20787297
2.920000	-0.30505657
2.940000	-0.40242684
2.960000	-0.49659213
2.980000	-0.58291513
3.000000	-0.65584677
3.020000	-0.71160364
3.040000	-0.74853820
3.060000	-0.76774293
3.080000	-0.77140319
3.100000	-0.76306510
3.120000	-0.74543393
3.140000	-0.72009718
3.160000	-0.68723798
3.180000	-0.64726859
3.200000	-0.60062587
3.220000	-0.54823029
3.240000	-0.49083760
3.260000	-0.42938304
3.280000	-0.36438957
3.300000	-0.29622573
3.320000	-0.22456877
3.340000	-0.14896247
3.360000	-0.06887615
3.380000	0.01593781
3.400000	0.10549943
3.420000	0.19936433
3.440000	0.29648989
3.460000	0.39490277
3.480000	0.49136791
3.500000	0.58134520
3.520000	0.65976417
3.540000	0.72207707
3.560000	0.76645070
3.580000	0.79275876
3.600000	0.80305946
3.620000	0.79963440
3.640000	0.78553057
3.660000	0.76205719
3.680000	0.72984570
3.700000	0.68910897
3.720000	0.64086711
3.740000	0.58598125
3.760000	0.52525270
3.780000	0.45976600
3.800000	0.39006451
3.820000	0.31653419
3.840000	0.23904052
3.860000	0.15756881
3.880000	0.07169797
3.900000	-0.01879603
3.920000	-0.11394817
3.940000	-0.21309116
3.960000	-0.31467888
3.980000	-0.41578388
4.000000	-0.51186186
4.020000	-0.59734094
4.040000	-0.66677755
4.060000	-0.71742636
4.080000	-0.74882525
4.100000	-0.76326990
4.120000	-0.76368982
4.140000	-0.75373739
4.160000	-0.73517501
4.180000	-0.70893067
4.200000	-0.67493886
4.220000	-0.63386881
4.240000	-0.58629769
4.260000	-0.53316659
4.280000	-0.47544304
4.300000	-0.41383764
4.320000	-0.34909040
4.340000	-0.28141800
4.360000	-0.21086666
4.380000	-0.13674484
4.400000	-0.05856079
4.420000	0.02418672
4.440000	0.11135060
4.460000	0.20274480
4.480000	0.29729331
4.500000	0.39297014
4.520000	0.48638272
4.540000	0.57334703
4.560000	0.64890009
4.580000	0.70879209
4.600000	0.75127661
4.620000	0.77688706
4.640000	0.78751493
4.660000	0.78541589
4.680000	0.77324188
4.700000	0.75234902
4.720000	0.72326791
4.740000	0.68601990
4.760000	0.64138460
4.780000	0.58994234
4.800000	0.53255856
4.820000	0.47010559
4.840000	0.40346164
4.860000	0.33271635
4.880000	0.25776637
4.900000	0.17838228
4.920000	0.09440815
4.940000	0.00562502
4.960000	-0.08766213
4.980000	-0.18490449
5.000000	-0.28497496
5.020000	-0.38585579
5.040000	-0.48393258
5.060000	-0.57449806
5.080000	-0.65205473
5.100000	-0.71226931
5.120000	-0.75320780
5.140000	-0.77554655
5.160000	-0.78147268
5.180000	-0.77369714
5.200000	-0.75517493
5.220000	-0.72749978
5.240000	-0.69148159
5.260000	-0.64761007
5.280000	-0.59714907
5.300000	-0.54091287
5.320000	-0.48006341
5.340000	-0.41541278
5.360000	-0.34778148
5.380000	-0.27725461
5.400000	-0.20403646
5.420000	-0.12750687
5.440000	-0.04694237
5.460000	0.03873774
5.480000	0.12939145
5.500000	0.22439554
5.520000	0.32179749
5.540000	0.41854575
5.560000	0.51028198
5.580000	0.59239715
5.600000	0.66038680
5.620000	0.71184707
5.640000	0.74638832
5.660000	0.76543999
5.680000	0.77085066
5.700000	0.76512468
5.720000	0.75023371
5.740000	0.72690052
5.760000	0.69520748
5.780000	0.65558946
5.800000	0.60900021
5.820000	0.55598247
5.840000	0.49738580
5.860000	0.43382367
5.880000	0.36610931
5.900000	0.29444045
5.920000	0.21902114
5.940000	0.13946967
5.960000	0.05578069
5.980000	-0.03219759
6.000000	-0.12407720
6.020000	-0.21961966
6.040000	-0.31727129
6.060000	-0.41466564
6.080000	-0.50804484
6.100000	-0.59317827
6.120000	-0.66517973
6.140000	-0.72035080
6.160000	-0.75738281
6.180000	-0.77725250
6.200000	-0.78249806
6.220000	-0.77577454
6.240000	-0.75989598
6.260000	-0.73609257
6.280000	-0.70502669
6.300000	-0.66652769
6.320000	-0.62140340
6.340000	-0.57003331
6.360000	-0.51339519
6.380000	-0.45199504
6.400000	-0.38678244
6.420000	-0.31820542
6.440000	-0.24654171
6.460000	-0.17166634
6.480000	-0.09323539
6.500000	-0.01047692
6.520000	0.07701153
6.540000	0.16927700
6.560000	0.26542470
6.580000	0.36350185
6.600000	0.45979863
6.620000	0.54973286
6.640000	0.62814736
6.660000	0.69072902
6.680000	0.73563302
6.700000	0.76301509
6.720000	0.77472448
6.740000	0.77299190
6.760000	0.76091516
6.780000	0.73998970
6.800000	0.71112096
6.820000	0.67399728
6.840000	0.62959069
