Time	Step_Length_2_4.81 X
0.000000	-0.40492529	
0.020000	-0.33513182	
0.040000	-0.26327252	
0.060000	-0.18746692	
0.080000	-0.10648197	
0.100000	-0.01941115	
0.120000	0.07193351	
0.140000	0.16845429	
0.160000	0.26864618	
0.180000	0.37386304	
0.200000	0.47981662	
0.220000	0.58289719	
0.240000	0.67640710	
0.260000	0.75515866	
0.280000	0.81165457	
0.300000	0.84565449	
0.320000	0.85990959	
0.340000	0.86646104	
0.360000	0.86603725	
0.380000	0.85970539	
0.400000	0.84247410	
0.420000	0.81732500	
0.440000	0.78456318	
0.460000	0.74429959	
0.480000	0.69784391	
0.500000	0.64543372	
0.520000	0.58823586	
0.540000	0.52576029	
0.560000	0.45956385	
0.580000	0.39124572	
0.600000	0.32053566	
0.620000	0.24692810	
0.640000	0.16835707	
0.660000	0.08514661	
0.680000	-0.00387686	
0.700000	-0.09844857	
0.720000	-0.19891894	
0.740000	-0.30390906	
0.760000	-0.40958863	
0.780000	-0.51267439	
0.800000	-0.60641700	
0.820000	-0.68519330	
0.840000	-0.74250996	
0.860000	-0.77622992	
0.880000	-0.78781843	
0.900000	-0.78920919	
0.920000	-0.78474736	
0.940000	-0.77620447	
0.960000	-0.75795680	
0.980000	-0.72994804	
1.000000	-0.69533110	
1.020000	-0.65353870	
1.040000	-0.60645932	
1.060000	-0.55360073	
1.080000	-0.49633068	
1.100000	-0.43539059	
1.120000	-0.37070358	
1.140000	-0.30395645	
1.160000	-0.23418409	
1.180000	-0.16087145	
1.200000	-0.08305311	
1.220000	0.00102699	
1.240000	0.08940172	
1.260000	0.18199170	
1.280000	0.27623445	
1.300000	0.37300855	
1.320000	0.47098917	
1.340000	0.56677711	
1.360000	0.65420747	
1.380000	0.72767377	
1.400000	0.78046954	
1.420000	0.81132424	
1.440000	0.82436991	
1.460000	0.83003908	
1.480000	0.83017498	
1.500000	0.82482636	
1.520000	0.81061965	
1.540000	0.78908795	
1.560000	0.76029050	
1.580000	0.72422266	
1.600000	0.68174458	
1.620000	0.63361090	
1.640000	0.58052170	
1.660000	0.52209693	
1.680000	0.45995480	
1.700000	0.39470601	
1.720000	0.32816529	
1.740000	0.26184797	
1.760000	0.18782151	
1.780000	0.10983521	
1.800000	0.02240825	
1.820000	-0.06646806	
1.840000	-0.16165507	
1.860000	-0.26075858	
1.880000	-0.36239994	
1.900000	-0.46409512	
1.920000	-0.56066030	
1.940000	-0.64717865	
1.960000	-0.71720976	
1.980000	-0.76675111	
2.000000	-0.79427588	
2.020000	-0.80301416	
2.040000	-0.80118656	
2.060000	-0.79209590	
2.080000	-0.77711165	
2.100000	-0.75171691	
2.120000	-0.71881235	
2.140000	-0.67767668	
2.160000	-0.63235867	
2.180000	-0.58147931	
2.200000	-0.52547020	
2.220000	-0.46416837	
2.240000	-0.39863968	
2.260000	-0.33089954	
2.280000	-0.25947809	
2.300000	-0.18451488	
2.320000	-0.10513878	
2.340000	-0.01969886	
2.360000	0.07094532	
2.380000	0.16614187	
2.400000	0.26442903	
2.420000	0.36597639	
2.440000	0.46895689	
2.460000	0.56899345	
2.480000	0.66128802	
2.500000	0.74034065	
2.520000	0.80043161	
2.540000	0.83747345	
2.560000	0.85502988	
2.580000	0.86122924	
2.600000	0.86021554	
2.620000	0.85166150	
2.640000	0.83291507	
2.660000	0.80462337	
2.680000	0.76783711	
2.700000	0.72290957	
2.720000	0.67236823	
2.740000	0.61679274	
2.760000	0.55612409	
2.780000	0.49130994	
2.800000	0.42388678	
2.820000	0.35471654	
2.840000	0.28476137	
2.860000	0.20680803	
2.880000	0.12788332	
2.900000	0.04126704	
2.920000	-0.04667002	
2.940000	-0.14290917	
2.960000	-0.24256814	
2.980000	-0.34531838	
3.000000	-0.44828701	
3.020000	-0.54751265	
3.040000	-0.63657933	
3.060000	-0.70924515	
3.080000	-0.76079905	
3.100000	-0.78995568	
3.120000	-0.79874790	
3.140000	-0.79940063	
3.160000	-0.79368365	
3.180000	-0.78444552	
3.200000	-0.76468086	
3.220000	-0.73627412	
3.240000	-0.70110017	
3.260000	-0.65934825	
3.280000	-0.61299318	
3.300000	-0.56080860	
3.320000	-0.50319761	
3.340000	-0.44049340	
3.360000	-0.37448448	
3.380000	-0.30554444	
3.400000	-0.23368871	
3.420000	-0.15741867	
3.440000	-0.07574260	
3.460000	0.01226568	
3.480000	0.10521930	
3.500000	0.20111370	
3.520000	0.29836094	
3.540000	0.39754850	
3.560000	0.49697769	
3.580000	0.59374231	
3.600000	0.68162900	
3.620000	0.75429857	
3.640000	0.80541205	
3.660000	0.83291358	
3.680000	0.84481609	
3.700000	0.84828192	
3.720000	0.84732050	
3.740000	0.83839363	
3.760000	0.82027626	
3.780000	0.79345316	
3.800000	0.75904423	
3.820000	0.71700990	
3.840000	0.66912329	
3.860000	0.61463696	
3.880000	0.55556893	
3.900000	0.49114472	
3.920000	0.42385852	
3.940000	0.35447162	
3.960000	0.28358608	
3.980000	0.20766413	
4.000000	0.12896156	
4.020000	0.04413331	
4.040000	-0.04410052	
4.060000	-0.13990742	
4.080000	-0.23950213	
4.100000	-0.34223384	
4.120000	-0.44513595	
4.140000	-0.54533124	
4.160000	-0.63642210	
4.180000	-0.71369582	
4.200000	-0.77168840	
4.220000	-0.80871671	
4.240000	-0.82353669	
4.260000	-0.82474738	
4.280000	-0.81786609	
4.300000	-0.80563289	
4.320000	-0.78526491	
4.340000	-0.75579298	
4.360000	-0.72018772	
4.380000	-0.67890590	
4.400000	-0.63300014	
4.420000	-0.58154017	
4.440000	-0.52491933	
4.460000	-0.46383363	
4.480000	-0.40068716	
4.500000	-0.33424121	
4.520000	-0.26458788	
4.540000	-0.19024998	
4.560000	-0.11152959	
4.580000	-0.02694917	
4.600000	0.06212902	
4.620000	0.15470290	
4.640000	0.24902952	
4.660000	0.34528816	
4.680000	0.44218093	
4.700000	0.53682959	
4.720000	0.62467712	
4.740000	0.70042831	
4.760000	0.75897932	
4.780000	0.79734093	
4.800000	0.81596839	
4.820000	0.82159859	
4.840000	0.81896466	
4.860000	0.80992669	
4.880000	0.79209679	
4.900000	0.76606214	
4.920000	0.73364204	
4.940000	0.69417214	
4.960000	0.64850789	
4.980000	0.59639347	
5.000000	0.53885996	
5.020000	0.47623903	
5.040000	0.40959203	
5.060000	0.34105843	
5.080000	0.27217555	
5.100000	0.19810116	
5.120000	0.12370777	
5.140000	0.04225957	
5.160000	-0.04099536	
5.180000	-0.13192153	
5.200000	-0.22551775	
5.220000	-0.32265180	
5.240000	-0.42157120	
5.260000	-0.51950699	
5.280000	-0.61084896	
5.300000	-0.69077981	
5.320000	-0.75230473	
5.340000	-0.79307050	
