Time	Left_Forefoot_y_baseline X
0.000000	0.00670211	
0.020000	-0.00329894	
0.040000	-0.01020467	
0.060000	-0.01499835	
0.080000	-0.01529396	
0.100000	-0.01552004	
0.120000	-0.01398379	
0.140000	-0.00724304	
0.160000	0.00046597	
0.180000	0.00761341	
0.200000	0.00755911	
0.220000	0.00212894	
0.240000	-0.00742324	
0.260000	-0.01410967	
0.280000	-0.01687855	
0.300000	-0.01650929	
0.320000	-0.01700875	
0.340000	-0.01560047	
0.360000	-0.01026186	
0.380000	-0.00025812	
0.400000	0.00791457	
0.420000	0.01129462	
0.440000	0.00709070	
0.460000	-0.00041611	
0.480000	-0.00888544	
0.500000	-0.01418558	
0.520000	-0.01625976	
0.540000	-0.01624990	
0.560000	-0.01648933	
0.580000	-0.01489466	
0.600000	-0.00935465	
0.620000	0.00087123	
0.640000	0.01019549	
0.660000	0.01530947	
0.680000	0.01308183	
0.700000	0.00792383	
0.720000	0.00098643	
0.740000	-0.00685549	
0.760000	-0.01260859	
0.780000	-0.01629928	
0.800000	-0.01645580	
0.820000	-0.01646116	
0.840000	-0.01632085	
0.860000	-0.01383424	
0.880000	-0.00715417	
0.900000	0.00514303	
0.920000	0.01671058	
0.940000	0.02656166	
0.960000	0.03074439	
0.980000	0.03114121	
1.000000	0.02458705	
1.020000	0.01365165	
1.040000	-0.00164111	
1.060000	-0.01029599	
1.080000	-0.01455134	
1.100000	-0.01272976	
1.120000	-0.01323828	
1.140000	-0.00784762	
1.160000	-0.00075820	
1.180000	0.00552976	
1.200000	0.00316758	
1.220000	-0.00527644	
1.240000	-0.01268780	
1.260000	-0.01716244	
1.280000	-0.01677817	
1.300000	-0.01615444	
1.320000	-0.01400086	
1.340000	-0.00656275	
1.360000	0.00441276	
1.380000	0.01558267	
1.400000	0.02146825	
1.420000	0.01972136	
1.440000	0.01590131	
1.460000	0.00943910	
1.480000	0.00454749	
1.500000	-0.00451140	
1.520000	-0.01091191	
1.540000	-0.01617748	
1.560000	-0.01708016	
1.580000	-0.01858902	
1.600000	-0.01912922	
1.620000	-0.01943925	
1.640000	-0.01894286	
1.660000	-0.01172179	
1.680000	0.00071551	
1.700000	0.01712796	
1.720000	0.02676676	
1.740000	0.03155571	
1.760000	0.03094125	
1.780000	0.02571331	
1.800000	0.01472834	
1.820000	-0.00028816	
1.840000	-0.01054263	
1.860000	-0.01618490	
1.880000	-0.01668435	
1.900000	-0.01690590	
1.920000	-0.01633301	
1.940000	-0.00984180	
1.960000	-0.00096536	
1.980000	0.00921714	
2.000000	0.01358150	
2.020000	0.01119855	
2.040000	0.00267984	
2.060000	-0.00717659	
2.080000	-0.01293075	
2.100000	-0.01485169	
2.120000	-0.01543096	
2.140000	-0.01248619	
2.160000	-0.00619720	
2.180000	0.00171836	
2.200000	0.00594880	
2.220000	0.00174016	
2.240000	-0.00509645	
2.260000	-0.01293734	
2.280000	-0.01493478	
2.300000	-0.01549926	
2.320000	-0.01326236	
2.340000	-0.00596455	
2.360000	0.00388347	
2.380000	0.01339039	
2.400000	0.01784569	
2.420000	0.01562381	
2.440000	0.00867344	
2.460000	-0.00172155	
2.480000	-0.00856617	
2.500000	-0.01463795	
2.520000	-0.01732761	
2.540000	-0.01941147	
2.560000	-0.01877213	
2.580000	-0.01427856	
2.600000	-0.00653951	
2.620000	0.00416261	
2.640000	0.01106340	
2.660000	0.01225857	
2.680000	0.00762802	
2.700000	-0.00143643	
2.720000	-0.00838372	
2.740000	-0.01360220	
2.760000	-0.01438698	
2.780000	-0.01520920	
2.800000	-0.01235065	
2.820000	-0.00414771	
2.840000	0.00679077	
2.860000	0.01655772	
2.880000	0.02098031	
2.900000	0.01921079	
2.920000	0.01419391	
2.940000	0.00327188	
2.960000	-0.00596289	
2.980000	-0.01519111	
3.000000	-0.01896301	
3.020000	-0.02079117	
3.040000	-0.02101335	
3.060000	-0.02071196	
3.080000	-0.02066773	
3.100000	-0.01573706	
3.120000	-0.00619474	
3.140000	0.00612654	
3.160000	0.01609118	
3.180000	0.02444984	
3.200000	0.03025171	
3.220000	0.03311603	
3.240000	0.03191961	
3.260000	0.02605520	
3.280000	0.01513401	
3.300000	-0.00053541	
3.320000	-0.01175860	
3.340000	-0.01785672	
3.360000	-0.01822656	
3.380000	-0.01594195	
3.400000	-0.00906256	
3.420000	0.00280985	
3.440000	0.01458043	
3.460000	0.02172437	
3.480000	0.02344185	
3.500000	0.01919988	
3.520000	0.01255521	
3.540000	0.00101770	
3.560000	-0.00736174	
3.580000	-0.01289412	
3.600000	-0.01314387	
3.620000	-0.00952706	
3.640000	-0.00206879	
3.660000	0.00788988	
3.680000	0.01412849	
3.700000	0.01377735	
3.720000	0.00753689	
3.740000	-0.00196305	
3.760000	-0.00903025	
3.780000	-0.01435509	
3.800000	-0.01631737	
3.820000	-0.01462746	
3.840000	-0.00719531	
3.860000	0.00459193	
3.880000	0.01434778	
3.900000	0.02018236	
3.920000	0.02099594	
3.940000	0.01683646	
3.960000	0.00955799	
3.980000	-0.00147243	
4.000000	-0.00892514	
4.020000	-0.01422241	
4.040000	-0.01510119	
4.060000	-0.01526743	
4.080000	-0.01081911	
4.100000	-0.00167795	
4.120000	0.00816040	
4.140000	0.01548144	
4.160000	0.01808411	
4.180000	0.01692718	
4.200000	0.01248115	
4.220000	0.00337350	
4.240000	-0.00430940	
4.260000	-0.01091355	
4.280000	-0.01285875	
4.300000	-0.01377416	
4.320000	-0.01382744	
4.340000	-0.00800602	
4.360000	-0.00059220	
4.380000	0.00742580	
4.400000	0.00640568	
4.420000	0.00116169	
4.440000	-0.00660019	
4.460000	-0.01113364	
4.480000	-0.01313728	
4.500000	-0.01206222	
4.520000	-0.00909504	
4.540000	-0.00202148	
4.560000	0.00397047	
4.580000	0.00659555	
4.600000	0.00373021	
4.620000	-0.00301054	
4.640000	-0.00834587	
4.660000	-0.01505038	
4.680000	-0.01787996	
4.700000	-0.02021414	
4.720000	-0.01971468	
4.740000	-0.01759607	
4.760000	-0.01136446	
4.780000	-0.00008245	
4.800000	0.01084575	
4.820000	0.01743077	
4.840000	0.01780866	
4.860000	0.01322213	
4.880000	0.00623761	
4.900000	-0.00512196	
4.920000	-0.01254606	
4.940000	-0.01654056	
4.960000	-0.01527977	
4.980000	-0.01498497	
5.000000	-0.01594317	
5.020000	-0.01122972	
5.040000	-0.00281757	
5.060000	0.00763892	
5.080000	0.01291171	
5.100000	0.01265498	
5.120000	0.00935146	
5.140000	0.00179118	
5.160000	-0.00499606	
5.180000	-0.01269129	
5.200000	-0.01634535	
5.220000	-0.01731032	
5.240000	-0.01588950	
5.260000	-0.01166686	
5.280000	-0.00559838	
5.300000	0.00067601	
5.320000	0.00355083	
5.340000	0.00073135	
5.360000	-0.00441554	
5.380000	-0.00933719	
5.400000	-0.01035854	
5.420000	-0.00587301	
5.440000	0.00118865	
5.460000	0.01104055	
5.480000	0.01906493	
5.500000	0.02471705	
5.520000	0.02653863	
5.540000	0.02448522	
5.560000	0.01945229	
5.580000	0.00773869	
5.600000	-0.00448425	
5.620000	-0.01399118	
5.640000	-0.01671708	
5.660000	-0.01376098	
5.680000	-0.01036572	
5.700000	-0.00288032	
5.720000	0.00146163	
5.740000	0.00484125	
5.760000	0.00273313	
5.780000	-0.00072344	
5.800000	-0.00310495	
5.820000	-0.00175899	
5.840000	0.00160809	
5.860000	0.00802751	
5.880000	0.01210265	
5.900000	0.01383926	
5.920000	0.00883451	
5.940000	-0.00073496	
5.960000	-0.00883421	
5.980000	-0.01493499	
6.000000	-0.01647124	
6.020000	-0.01716819	
6.040000	-0.01506191	
6.060000	-0.00738025	
6.080000	0.00130570	
6.100000	0.00933254	
6.120000	0.00958227	
6.140000	0.00405131	
6.160000	-0.00408435	
6.180000	-0.01195979	
6.200000	-0.01589853	
6.220000	-0.01620567	
6.240000	-0.01380357	
6.260000	-0.00659361	
6.280000	0.00106254	
6.300000	0.00987376	
6.320000	0.01328589	
6.340000	0.01253669	
6.360000	0.00695184	
6.380000	-0.00357212	
6.400000	-0.01201573	
6.420000	-0.01800749	
6.440000	-0.01835740	
6.460000	-0.01851106	
6.480000	-0.01815170	
6.500000	-0.01289949	
6.520000	-0.00377537	
6.540000	0.00877342	
6.560000	0.01767659	
6.580000	0.02295205	
6.600000	0.02424207	
6.620000	0.02059768	
6.640000	0.01618396	
6.660000	0.00759366	
