Time	Left_Hand_y_baseline X
0.000000	-0.03213608	
0.020000	-0.02900070	
0.040000	-0.02262801	
0.060000	-0.01040888	
0.080000	0.00432700	
0.100000	0.01809478	
0.120000	0.02545536	
0.140000	0.02353066	
0.160000	0.01144803	
0.180000	-0.00834382	
0.200000	-0.02314824	
0.220000	-0.02786124	
0.240000	-0.01854962	
0.260000	-0.00213838	
0.280000	0.01586467	
0.300000	0.02899200	
0.320000	0.03317600	
0.340000	0.02622366	
0.360000	0.00787634	
0.380000	-0.01215518	
0.400000	-0.02465576	
0.420000	-0.02131480	
0.440000	-0.00908273	
0.460000	0.00679505	
0.480000	0.01836616	
0.500000	0.02419144	
0.520000	0.02562129	
0.540000	0.01979601	
0.560000	0.00736111	
0.580000	-0.01119614	
0.600000	-0.02397949	
0.620000	-0.02719122	
0.640000	-0.01823926	
0.660000	-0.00167185	
0.680000	0.01701188	
0.700000	0.03231871	
0.720000	0.03971231	
0.740000	0.03672510	
0.760000	0.02173775	
0.780000	-0.00281662	
0.800000	-0.02060896	
0.820000	-0.02693701	
0.840000	-0.01780891	
0.860000	-0.00133669	
0.880000	0.01977879	
0.900000	0.04004288	
0.920000	0.05260885	
0.940000	0.05562103	
0.960000	0.04690385	
0.980000	0.02437437	
1.000000	-0.00265545	
1.020000	-0.02297574	
1.040000	-0.03043979	
1.060000	-0.02761763	
1.080000	-0.01797712	
1.100000	-0.00041997	
1.120000	0.01873314	
1.140000	0.03303564	
1.160000	0.03925514	
1.180000	0.03535873	
1.200000	0.02224290	
1.220000	-0.00149649	
1.240000	-0.01961678	
1.260000	-0.03002000	
1.280000	-0.02675515	
1.300000	-0.01746148	
1.320000	-0.00194913	
1.340000	0.01497406	
1.360000	0.02638650	
1.380000	0.02939725	
1.400000	0.02240181	
1.420000	0.00357348	
1.440000	-0.01476330	
1.460000	-0.02801728	
1.480000	-0.02987653	
1.500000	-0.02460223	
1.520000	-0.01146895	
1.540000	0.00855261	
1.560000	0.02596390	
1.580000	0.03525752	
1.600000	0.03279531	
1.620000	0.01729214	
1.640000	-0.00473499	
1.660000	-0.02160877	
1.680000	-0.02858192	
1.700000	-0.02440393	
1.720000	-0.01455861	
1.740000	0.00377500	
1.760000	0.02234292	
1.780000	0.03503084	
1.800000	0.03428233	
1.820000	0.01918828	
1.840000	-0.00376618	
1.860000	-0.02137268	
1.880000	-0.02860212	
1.900000	-0.02395600	
1.920000	-0.01267809	
