Time	Left_Heel_y_baseline X
0.000000	-0.00291184	
0.020000	0.00678436	
0.040000	0.01443778	
0.060000	0.01748197	
0.080000	0.01005287	
0.100000	-0.00086863	
0.120000	-0.00959496	
0.140000	-0.01187123	
0.160000	-0.00913410	
0.180000	-0.00299616	
0.200000	0.00427441	
0.220000	0.00981371	
0.240000	0.00762156	
0.260000	-0.00063556	
0.280000	-0.00890915	
0.300000	-0.01194438	
0.320000	-0.00931394	
0.340000	-0.00225407	
0.360000	0.00768618	
0.380000	0.01771504	
0.400000	0.02155149	
0.420000	0.01485029	
0.440000	0.00268415	
0.460000	-0.00743960	
0.480000	-0.01074387	
0.500000	-0.00648759	
0.520000	-0.00215410	
0.540000	0.00064278	
0.560000	-0.00402804	
0.580000	-0.00964536	
0.600000	-0.01372607	
0.620000	-0.01380491	
0.640000	-0.01073615	
0.660000	-0.00342900	
0.680000	0.00692864	
0.700000	0.01527762	
0.720000	0.01637654	
0.740000	0.00908788	
0.760000	-0.00141566	
0.780000	-0.00847247	
0.800000	-0.01019970	
0.820000	-0.00448523	
0.840000	0.00462067	
0.860000	0.01464301	
0.880000	0.01904723	
0.900000	0.01441848	
0.920000	0.00494519	
0.940000	-0.00455391	
0.960000	-0.00859968	
0.980000	-0.00543988	
1.000000	0.00077121	
1.020000	0.00644422	
1.040000	0.00490110	
1.060000	-0.00206591	
1.080000	-0.00874029	
1.100000	-0.01163553	
1.120000	-0.01136364	
1.140000	-0.00800450	
1.160000	-0.00299028	
1.180000	0.00496957	
1.200000	0.00979298	
1.220000	0.00871927	
1.240000	0.00234805	
1.260000	-0.00499120	
1.280000	-0.00832961	
1.300000	-0.00658453	
1.320000	-0.00150934	
1.340000	0.00779876	
1.360000	0.01470378	
1.380000	0.01760490	
1.400000	0.01186322	
1.420000	0.00161918	
1.440000	-0.00704721	
1.460000	-0.01088083	
1.480000	-0.00937387	
1.500000	-0.00401910	
1.520000	0.00341873	
1.540000	0.01053549	
1.560000	0.01044790	
1.580000	0.00191686	
1.600000	-0.00746541	
1.620000	-0.01227601	
1.640000	-0.01110394	
1.660000	-0.00649185	
1.680000	0.00005533	
1.700000	0.00804830	
1.720000	0.01220296	
1.740000	0.00784773	
1.760000	-0.00000219	
1.780000	-0.00755481	
1.800000	-0.00923510	
1.820000	-0.00441249	
1.840000	0.00468184	
1.860000	0.01520954	
1.880000	0.01908238	
1.900000	0.01309909	
1.920000	0.00232388	
1.940000	-0.00690903	
1.960000	-0.01039985	
1.980000	-0.00872485	
2.000000	-0.00417759	
2.020000	0.00393547	
2.040000	0.01067448	
2.060000	0.01384220	
2.080000	0.00843966	
2.100000	-0.00148028	
2.120000	-0.01003835	
2.140000	-0.01406582	
2.160000	-0.01418185	
2.180000	-0.01009768	
2.200000	-0.00312215	
2.220000	0.00487427	
2.240000	0.00808913	
2.260000	0.00415899	
2.280000	-0.00277142	
2.300000	-0.00876306	
2.320000	-0.01003632	
2.340000	-0.00543277	
2.360000	0.00227857	
2.380000	0.01246631	
2.400000	0.01835980	
2.420000	0.01503277	
2.440000	0.00481127	
2.460000	-0.00575851	
2.480000	-0.01082759	
2.500000	-0.00897336	
2.520000	-0.00424607	
2.540000	0.00520711	
2.560000	0.01461172	
2.580000	0.02156003	
2.600000	0.01937580	
2.620000	0.00850916	
2.640000	-0.00225468	
2.660000	-0.00932775	
2.680000	-0.01002088	
2.700000	-0.00817844	
