Time	Referenz_left_y_baseline X
0.000000	-0.02803008	
0.020000	-0.02809645	
0.040000	-0.02814075	
0.060000	-0.02811852	
0.080000	-0.02814075	
0.100000	-0.02811852	
0.120000	-0.02814075	
0.140000	-0.02809645	
0.160000	-0.02809645	
0.180000	-0.02805215	
0.200000	-0.02807438	
0.220000	-0.02807438	
0.240000	-0.02811852	
0.260000	-0.02811852	
0.280000	-0.02811852	
0.300000	-0.02809645	
0.320000	-0.02809645	
0.340000	-0.02809645	
0.360000	-0.02809645	
0.380000	-0.02807438	
0.400000	-0.02807438	
0.420000	-0.02807438	
0.440000	-0.02811852	
0.460000	-0.02811852	
0.480000	-0.02795495	
0.500000	-0.02793288	
0.520000	-0.02795513	
0.540000	-0.02811852	
0.560000	-0.02814075	
0.580000	-0.02811852	
0.600000	-0.02811852	
0.620000	-0.02809645	
0.640000	-0.02809645	
0.660000	-0.02807438	
0.680000	-0.02791065	
0.700000	-0.02791065	
0.720000	-0.02795513	
0.740000	-0.02811852	
0.760000	-0.02814075	
0.780000	-0.02811852	
0.800000	-0.02811852	
0.820000	-0.02809645	
0.840000	-0.02809645	
0.860000	-0.02809645	
0.880000	-0.02809645	
0.900000	-0.02809645	
0.920000	-0.02809645	
0.940000	-0.02809645	
0.960000	-0.02809645	
0.980000	-0.02809645	
1.000000	-0.02809645	
1.020000	-0.02809645	
1.040000	-0.02809645	
1.060000	-0.02809645	
1.080000	-0.02811852	
1.100000	-0.02811852	
1.120000	-0.02811852	
1.140000	-0.02826002	
1.160000	-0.02844161	
1.180000	-0.02844161	
1.200000	-0.02827820	
1.220000	-0.02826002	
1.240000	-0.02842341	
1.260000	-0.02842358	
1.280000	-0.02826002	
1.300000	-0.02809645	
1.320000	-0.02809645	
1.340000	-0.02809645	
1.360000	-0.02811852	
1.380000	-0.02811852	
1.400000	-0.02814075	
1.420000	-0.02781481	
1.440000	-0.02754225	
1.460000	-0.02606630	
1.480000	-0.02485162	
1.500000	-0.02396204	
1.520000	-0.02425362	
1.540000	-0.02513124	
1.560000	-0.02565242	
1.580000	-0.02529599	
1.600000	-0.02441837	
1.620000	-0.02354059	
1.640000	-0.02354059	
1.660000	-0.02178821	
1.680000	-0.01988912	
1.700000	-0.01643507	
1.720000	-0.01473323	
1.740000	-0.01093151	
1.760000	-0.00547831	
1.780000	0.00190851	
1.800000	0.00639582	
1.820000	0.00103965	
1.840000	-0.01146415	
1.860000	-0.02350235	
1.880000	-0.02890383	
1.900000	-0.02909620	
1.920000	-0.02911507	
1.940000	-0.02921647	
1.960000	-0.02932377	
1.980000	-0.02941726	
2.000000	-0.02942821	
2.020000	-0.02942821	
2.040000	-0.02942821	
2.060000	-0.02948396	
2.080000	-0.02953990	
2.100000	-0.02959564	
2.120000	-0.02959564	
2.140000	-0.02942736	
2.160000	-0.02925925	
2.180000	-0.02909097	
2.200000	-0.02909097	
2.220000	-0.02925925	
2.240000	-0.02942736	
2.260000	-0.02953990	
2.280000	-0.02948396	
2.300000	-0.02925690	
2.320000	-0.02908541	
2.340000	-0.02879636	
2.360000	-0.02870539	
2.380000	-0.02802402	
2.400000	-0.02747202	
2.420000	-0.02361049	
2.440000	-0.01688078	
2.460000	-0.00587787	
2.480000	0.00368093	
2.500000	0.01230030	
2.520000	0.01736538	
2.540000	0.02358906	
2.560000	0.02783246	
2.580000	0.03310929	
2.600000	0.03542884	
2.620000	0.03856704	
2.640000	0.04002278	
2.660000	0.04213749	
2.680000	0.04289381	
2.700000	0.04327013	
2.720000	0.04294805	
2.740000	0.03776909	
2.760000	0.02516221	
2.780000	0.00067681	
2.800000	-0.01895154	
2.820000	-0.02991889	
2.840000	-0.02902983	
2.860000	-0.02842240	
2.880000	-0.02874044	
2.900000	-0.02885447	
2.920000	-0.02871433	
2.940000	-0.02873302	
2.960000	-0.02894711	
2.980000	-0.02894729	
3.000000	-0.02879232	
3.020000	-0.02877833	
3.040000	-0.02896531	
3.060000	-0.02891999	
3.080000	-0.02873807	
3.100000	-0.02870557	
3.120000	-0.02888732	
3.140000	-0.02905054	
3.160000	-0.02908306	
3.180000	-0.02906874	
3.200000	-0.02906874	
3.220000	-0.02885447	
3.240000	-0.02870557	
3.260000	-0.02870557	
3.280000	-0.02888732	
3.300000	-0.02886879	
3.320000	-0.02870557	
3.340000	-0.02778499	
3.360000	-0.02696717	
3.380000	-0.02237678	
3.400000	-0.01462036	
3.420000	-0.00144699	
3.440000	0.01047228	
3.460000	0.02040723	
3.480000	0.02502358	
3.500000	0.02874883	
3.520000	0.03055392	
3.540000	0.03334378	
3.560000	0.03452493	
3.580000	0.03486925	
3.600000	0.03405160	
3.620000	0.03118965	
3.640000	0.02691913	
3.660000	0.01697020	
3.680000	0.00195231	
3.700000	-0.01472043	
3.720000	-0.02569571	
3.740000	-0.02957694	
3.760000	-0.02957694	
3.780000	-0.02959564	
3.800000	-0.02959564	
3.820000	-0.02959564	
3.840000	-0.02959564	
3.860000	-0.02959564	
3.880000	-0.02959564	
3.900000	-0.02959564	
3.920000	-0.02959564	
3.940000	-0.02942736	
3.960000	-0.02925925	
3.980000	-0.02909097	
4.000000	-0.02909097	
4.020000	-0.02909097	
4.040000	-0.02909097	
4.060000	-0.02925925	
4.080000	-0.02942736	
4.100000	-0.02942736	
4.120000	-0.02925925	
4.140000	-0.02909097	
4.160000	-0.02909097	
4.180000	-0.02909097	
4.200000	-0.02909097	
4.220000	-0.02893162	
4.240000	-0.02877226	
4.260000	-0.02698688	
4.280000	-0.02291311	
4.300000	-0.01299433	
4.320000	-0.00049980	
4.340000	0.01325709	
4.360000	0.02275138	
4.380000	0.03003965	
4.400000	0.03364210	
4.420000	0.03777128	
4.440000	0.03990503	
4.460000	0.04245147	
4.480000	0.04288927	
4.500000	0.04253267	
4.520000	0.04173842	
4.540000	0.03986073	
4.560000	0.03813177	
4.580000	0.03332390	
4.600000	0.02538592	
4.620000	0.00956014	
4.640000	-0.00878935	
4.660000	-0.02320302	
4.680000	-0.02909485	
4.700000	-0.02925420	
4.720000	-0.02915111	
4.740000	-0.02915111	
4.760000	-0.02929126	
4.780000	-0.02927694	
4.800000	-0.02916223	
4.820000	-0.02915111	
4.840000	-0.02929126	
4.860000	-0.02941726	
4.880000	-0.02946544	
4.900000	-0.02927829	
4.920000	-0.02910697	
4.940000	-0.02906992	
