Time	Referenz_left_y_velocity X
0.000000	-0.00305505	
0.020000	-0.00188053	
0.040000	-0.00070600	
0.060000	-0.00074444	
0.080000	0.00005526	
0.100000	0.00035049	
0.120000	0.00057152	
0.140000	0.00070048	
0.160000	0.00058922	
0.180000	0.00024003	
0.200000	-0.00025748	
0.220000	-0.00047901	
0.240000	-0.00047901	
0.260000	-0.00022035	
0.280000	0.00000081	
0.300000	0.00023873	
0.320000	0.00034788	
0.340000	0.00035049	
0.360000	0.00023860	
0.380000	-0.00000019	
0.400000	-0.00037489	
0.420000	0.00046721	
0.440000	0.00144225	
0.460000	0.00142188	
0.480000	0.00059592	
0.500000	-0.00009226	
0.520000	-0.00092896	
0.540000	-0.00190139	
0.560000	-0.00179025	
0.580000	-0.00059574	
0.600000	0.00046032	
0.620000	0.00140766	
0.640000	0.00225256	
0.660000	0.00188152	
0.680000	0.00057730	
0.700000	-0.00045995	
0.720000	-0.00140779	
0.740000	-0.00225206	
0.760000	-0.00188264	
0.780000	-0.00055910	
0.800000	0.00048758	
0.820000	0.00034937	
0.840000	0.00022023	
0.860000	0.00011145	
0.880000	-0.00001869	
0.900000	0.00000019	
0.920000	0.00000019	
0.940000	0.00000019	
0.960000	0.00000019	
0.980000	0.00000019	
1.000000	0.00001869	
1.020000	-0.00011108	
1.040000	-0.00023860	
1.060000	-0.00010232	
1.080000	-0.00077784	
1.100000	-0.00267910	
1.120000	-0.00362942	
1.140000	-0.00241082	
1.160000	-0.00135085	
1.180000	-0.00165980	
1.200000	-0.00088184	
1.220000	0.00114875	
1.240000	0.00196863	
1.260000	0.00159026	
1.280000	0.00245621	
1.300000	0.00343242	
1.320000	0.00236966	
1.340000	0.00007867	
1.360000	0.00080386	
1.380000	0.00320307	
1.400000	0.01224658	
1.420000	0.02708335	
1.440000	0.03875505	
1.460000	0.04041752	
1.480000	0.03101067	
1.500000	0.01388154	
1.520000	-0.00180614	
1.540000	-0.00619261	
1.560000	0.00054191	
1.580000	0.01059758	
1.600000	0.02672056	
1.620000	0.04610318	
1.640000	0.06754874	
1.660000	0.08293201	
1.680000	0.10468441	
1.700000	0.14318980	
1.720000	0.19276103	
1.740000	0.23359734	
1.760000	0.20746799	
1.780000	0.08489623	
1.800000	-0.09571441	
1.820000	-0.25485891	
1.840000	-0.34662607	
1.860000	-0.34246841	
1.880000	-0.24502981	
1.900000	-0.11195747	
1.920000	-0.02188235	
1.940000	0.00018043	
1.960000	-0.00315985	
1.980000	-0.00265079	
2.000000	-0.00180652	
2.020000	-0.00133415	
2.040000	-0.00141921	
2.060000	-0.00185153	
2.080000	-0.00101905	
2.100000	0.00108095	
2.120000	0.00350792	
2.140000	0.00509582	
2.160000	0.00453206	
2.180000	0.00177473	
2.200000	-0.00158927	
2.220000	-0.00379098	
2.240000	-0.00317146	
2.260000	-0.00015181	
2.280000	0.00413824	
2.300000	0.00718670	
2.320000	0.01137175	
2.340000	0.01367082	
2.360000	0.03120203	
2.380000	0.08093401	
2.400000	0.17168497	
2.420000	0.27503297	
2.440000	0.36378127	
2.460000	0.41088477	
2.480000	0.41386369	
2.500000	0.37404749	
2.520000	0.31531057	
2.540000	0.26082125	
2.560000	0.22037393	
2.580000	0.18834546	
2.600000	0.15348786	
2.620000	0.12029275	
2.640000	0.08724595	
2.660000	0.06502088	
2.680000	0.02002082	
2.700000	-0.08063878	
2.720000	-0.29155886	
2.740000	-0.53435665	
2.760000	-0.69716960	
2.780000	-0.71821195	
2.800000	-0.61700040	
2.820000	-0.42025927	
2.840000	-0.18571757	
2.860000	-0.02647327	
2.880000	0.01744696	
2.900000	-0.00216085	
2.920000	-0.00456658	
2.940000	-0.00035384	
2.960000	0.00035583	
2.980000	-0.00180316	
3.000000	-0.00131726	
3.020000	0.00149918	
3.040000	0.00179472	
3.060000	-0.00023295	
3.080000	-0.00106910	
3.100000	-0.00108114	
3.120000	-0.00250656	
3.140000	-0.00393850	
3.160000	-0.00193963	
3.180000	0.00219128	
3.200000	0.00403585	
3.220000	0.00280626	
3.240000	0.00178603	
3.260000	0.00111728	
3.280000	0.00462383	
3.300000	0.00995993	
3.320000	0.03547766	
3.340000	0.09693090	
3.360000	0.20481774	
3.380000	0.33082289	
3.400000	0.43730181	
3.420000	0.48482981	
3.440000	0.46334255	
3.460000	0.38109910	
3.480000	0.27218327	
3.500000	0.18089817	
3.520000	0.11630780	
3.540000	0.07607139	
3.560000	0.03179049	
3.580000	-0.02355835	
3.600000	-0.11297894	
3.620000	-0.24842109	
3.640000	-0.41448569	
3.660000	-0.54182309	
3.680000	-0.58195877	
3.700000	-0.52739143	
3.720000	-0.39607829	
3.740000	-0.22876205	
3.760000	-0.08321687	
3.780000	-0.01044739	
3.800000	0.00303220	
3.820000	-0.00009357	
3.840000	0.00001571	
3.860000	-0.00014044	
3.880000	0.00070135	
3.900000	0.00252289	
3.920000	0.00434487	
3.940000	0.00518796	
3.960000	0.00518728	
3.980000	0.00448543	
4.000000	0.00182229	
4.020000	-0.00196236	
4.040000	-0.00378458	
4.060000	-0.00266402	
4.080000	-0.00084179	
4.100000	0.00084179	
4.120000	0.00266402	
4.140000	0.00351158	
4.160000	0.00332755	
4.180000	0.00173549	
4.200000	0.00871184	
4.220000	0.03463258	
4.240000	0.10448790	
4.260000	0.21957617	
4.280000	0.35616115	
4.300000	0.46749064	
4.320000	0.52514279	
4.340000	0.50759554	
4.360000	0.42895973	
4.380000	0.32341430	
4.400000	0.22776274	
4.420000	0.16025758	
