Time	Right_Forefoot_y_baseline X
0.000000	-0.00027008	
0.020000	0.00354785	
0.040000	0.00547276	
0.060000	0.00288337	
0.080000	-0.00191987	
0.100000	-0.00600582	
0.120000	-0.00718316	
0.140000	-0.00210336	
0.160000	0.00225264	
0.180000	0.00381871	
0.200000	-0.00203834	
0.220000	-0.00852713	
0.240000	-0.01251352	
0.260000	-0.01152697	
0.280000	-0.00712220	
0.300000	-0.00003946	
0.320000	0.00541891	
0.340000	0.00512224	
0.360000	0.00136791	
0.380000	-0.00152567	
0.400000	0.00028688	
0.420000	0.00453134	
0.440000	0.00788537	
0.460000	0.00747368	
0.480000	0.00123502	
0.500000	-0.00535193	
0.520000	-0.00993226	
0.540000	-0.00871937	
0.560000	-0.00712830	
0.580000	-0.00289991	
0.600000	0.00084630	
0.620000	0.00538193	
0.640000	0.00636339	
0.660000	0.00157110	
0.680000	-0.00408436	
0.700000	-0.00890651	
0.720000	-0.00906968	
0.740000	-0.00730529	
0.760000	-0.00290215	
0.780000	0.00200839	
0.800000	0.00417797	
0.820000	0.00118910	
0.840000	-0.00308685	
0.860000	-0.00434242	
0.880000	-0.00279729	
0.900000	0.00184299	
0.920000	0.00423954	
0.940000	0.00245503	
0.960000	-0.00166668	
0.980000	-0.00619562	
1.000000	-0.00671439	
1.020000	-0.00576746	
1.040000	-0.00368243	
1.060000	0.00209719	
1.080000	0.00934637	
1.100000	0.01734556	
1.120000	0.02164996	
1.140000	0.02071096	
1.160000	0.01473241	
1.180000	0.00337918	
1.200000	-0.00566506	
1.220000	-0.01123275	
1.240000	-0.01142558	
1.260000	-0.01013526	
1.280000	-0.00447105	
1.300000	0.00418609	
1.320000	0.01173967	
1.340000	0.01345590	
1.360000	0.00723918	
1.380000	-0.00111561	
1.400000	-0.00781411	
1.420000	-0.00951469	
1.440000	-0.00796528	
1.460000	-0.00087522	
1.480000	0.00806865	
1.500000	0.01403502	
1.520000	0.01046742	
1.540000	0.00143334	
1.560000	-0.00611129	
1.580000	-0.00889412	
1.600000	-0.00744326	
1.620000	-0.00383280	
1.640000	-0.00065556	
1.660000	-0.00095467	
1.680000	-0.00435136	
1.700000	-0.00805958	
1.720000	-0.00881283	
1.740000	-0.00474355	
1.760000	0.00014810	
1.780000	0.00436898	
1.800000	0.00245382	
1.820000	-0.00289361	
1.840000	-0.00771677	
1.860000	-0.00941269	
1.880000	-0.00845276	
1.900000	-0.00577743	
1.920000	-0.00398195	
1.940000	-0.00483173	
1.960000	-0.00736077	
1.980000	-0.00936757	
2.000000	-0.00876813	
2.020000	-0.00489189	
2.040000	0.00105499	
2.060000	0.00928460	
2.080000	0.01436298	
2.100000	0.01532148	
2.120000	0.01151371	
2.140000	0.00352997	
2.160000	-0.00343311	
2.180000	-0.00831012	
2.200000	-0.00799130	
2.220000	-0.00306471	
2.240000	0.00242211	
2.260000	0.00413570	
2.280000	-0.00094207	
2.300000	-0.00549538	
2.320000	-0.00600380	
2.340000	0.00111045	
2.360000	0.00966336	
2.380000	0.01765037	
2.400000	0.01968481	
2.420000	0.01518412	
2.440000	0.00557253	
2.460000	-0.00398357	
2.480000	-0.00874335	
2.500000	-0.00563885	
2.520000	0.00120474	
2.540000	0.00786158	
2.560000	0.00773825	
2.580000	0.00072193	
2.600000	-0.00672394	
2.620000	-0.00995116	
2.640000	-0.00868705	
2.660000	-0.00247827	
2.680000	0.00330848	
2.700000	0.00827469	
2.720000	0.00702827	
2.740000	0.00246397	
2.760000	-0.00315127	
2.780000	-0.00537713	
2.800000	-0.00315025	
2.820000	0.00348322	
2.840000	0.00819300	
2.860000	0.00741597	
2.880000	0.00095622	
2.900000	-0.00615172	
2.920000	-0.00943401	
2.940000	-0.00933872	
2.960000	-0.00599404	
2.980000	0.00060713	
3.000000	0.00690736	
3.020000	0.00960748	
3.040000	0.00676431	
3.060000	0.00061485	
3.080000	-0.00475167	
3.100000	-0.00442959	
3.120000	0.00057422	
3.140000	0.00672610	
3.160000	0.00887597	
3.180000	0.00583039	
3.200000	-0.00074598	
3.220000	-0.00582904	
3.240000	-0.00711103	
3.260000	-0.00305739	
3.280000	0.00290126	
3.300000	0.00888348	
3.320000	0.01212941	
3.340000	0.00849171	
3.360000	0.00316522	
3.380000	-0.00058343	
3.400000	0.00138944	
3.420000	0.00486296	
3.440000	0.00485076	
3.460000	-0.00094086	
3.480000	-0.00685927	
3.500000	-0.01043519	
3.520000	-0.01000765	
3.540000	-0.00630087	
3.560000	-0.00247867	
3.580000	0.00202180	
3.600000	0.00309837	
3.620000	-0.00053933	
3.640000	-0.00506866	
3.660000	-0.00744326	
3.680000	-0.00393847	
3.700000	0.00311889	
3.720000	0.00817432	
3.740000	0.01118493	
3.760000	0.00958169	
3.780000	0.00378051	
3.800000	-0.00347456	
3.820000	-0.00892866	
3.840000	-0.00985587	
3.860000	-0.00635573	
3.880000	-0.00336747	
3.900000	-0.00390433	
3.920000	-0.00703463	
3.940000	-0.01002268	
3.960000	-0.00981462	
3.980000	-0.00802076	
4.000000	-0.00434670	
4.020000	0.00289130	
4.040000	0.00981475	
4.060000	0.01553525	
4.080000	0.01643990	
4.100000	0.01193474	
4.120000	0.00334871	
4.140000	-0.00423189	
4.160000	-0.00585444	
4.180000	-0.00260709	
4.200000	0.00044131	
4.220000	-0.00232708	
4.240000	-0.00665484	
4.260000	-0.01091088	
4.280000	-0.01122136	
4.300000	-0.00956671	
4.320000	-0.00524707	
4.340000	0.00193687	
4.360000	0.00780307	
4.380000	0.01001470	
4.400000	0.00695957	
4.420000	-0.00015813	
4.440000	-0.00622976	
4.460000	-0.00931840	
4.480000	-0.00786227	
4.500000	-0.00291780	
4.520000	0.00186859	
4.540000	0.00376426	
4.560000	0.00120088	
4.580000	-0.00253333	
4.600000	-0.00292592	
4.620000	0.00064167	
4.640000	0.00526774	
4.660000	0.00737818	
4.680000	0.00306261	
4.700000	-0.00283630	
4.720000	-0.00786389	
4.740000	-0.00845560	
4.760000	-0.00777489	
4.780000	-0.00472628	
4.800000	-0.00173008	
4.820000	0.00293906	
4.840000	0.00524092	
4.860000	0.00630365	
4.880000	0.00569405	
4.900000	0.00443502	
4.920000	0.00382501	
4.940000	0.00307012	
4.960000	0.00019361	
4.980000	-0.00417215	
5.000000	-0.00848792	
5.020000	-0.01017062	
5.040000	-0.01039557	
5.060000	-0.00911114	
5.080000	-0.00617449	
5.100000	0.00123136	
5.120000	0.00870101	
5.140000	0.01488805	
5.160000	0.01487993	
5.180000	0.00970116	
5.200000	0.00047749	
5.220000	-0.00728680	
5.240000	-0.01136015	
5.260000	-0.00874151	
5.280000	-0.00158581	
5.300000	0.00846773	
5.320000	0.01474500	
5.340000	0.01350792	
5.360000	0.00700164	
5.380000	-0.00118063	
5.400000	-0.00612612	
5.420000	-0.00585465	
5.440000	-0.00065008	
5.460000	0.00652757	
5.480000	0.01085919	
5.500000	0.00943518	
5.520000	0.00430578	
5.540000	-0.00222062	
5.560000	-0.00513674	
5.580000	-0.00415264	
5.600000	-0.00058566	
5.620000	0.00178184	
5.640000	-0.00101970	
5.660000	-0.00595178	
5.680000	-0.00989752	
5.700000	-0.00998734	
5.720000	-0.00865759	
5.740000	-0.00364545	
5.760000	0.00413002	
5.780000	0.01323318	
5.800000	0.01825264	
5.820000	0.01610929	
5.840000	0.00703964	
5.860000	-0.00213730	
5.880000	-0.00773770	
5.900000	-0.00870596	
5.920000	-0.00916640	
5.940000	-0.00589854	
5.960000	0.00034866	
5.980000	0.00725868	
6.000000	0.00963980	
6.020000	0.00570948	
6.040000	-0.00154191	
6.060000	-0.00783870	
6.080000	-0.01055060	
6.100000	-0.00843367	
6.120000	-0.00372185	
6.140000	0.00140733	
6.160000	0.00157192	
6.180000	-0.00368914	
6.200000	-0.00917555	
6.220000	-0.01158166	
6.240000	-0.01127115	
6.260000	-0.00845622	
6.280000	-0.00590463	
6.300000	-0.00350849	
6.320000	-0.00424123	
6.340000	-0.00691210	
6.360000	-0.00943971	
6.380000	-0.00876895	
6.400000	-0.00362736	
6.420000	0.00211182	
6.440000	0.00525595	
6.460000	0.00136994	
6.480000	-0.00481467	
6.500000	-0.01019643	
6.520000	-0.01110210	
6.540000	-0.00916010	
6.560000	-0.00588614	
6.580000	0.00107692	
6.600000	0.00683339	
6.620000	0.00859046	
6.640000	0.00400992	
6.660000	-0.00268838	
6.680000	-0.00743635	
6.700000	-0.00667273	
6.720000	-0.00149377	
6.740000	0.00474307	
6.760000	0.00808816	
6.780000	0.00610289	
6.800000	0.00182979	
6.820000	-0.00425179	
6.840000	-0.00730021	
6.860000	-0.00668025	
6.880000	-0.00133832	
6.900000	0.00517283	
6.920000	0.00892128	
6.940000	0.00454393	
6.960000	-0.00298546	
6.980000	-0.00975893	
7.000000	-0.01129188	
7.020000	-0.01041894	
7.040000	-0.00844586	
7.060000	-0.00285013	
7.080000	0.00265478	
7.100000	0.00542095	
7.120000	0.00219209	
7.140000	-0.00448406	
7.160000	-0.00997108	
7.180000	-0.01264927	
7.200000	-0.01214898	
7.220000	-0.00962320	
7.240000	-0.00515787	
7.260000	0.00013733	
7.280000	0.00330929	
7.300000	0.00086926	
7.320000	-0.00332317	
7.340000	-0.00865129	
7.360000	-0.01067111	
7.380000	-0.00961913	
7.400000	-0.00549458	
7.420000	-0.00084861	
7.440000	-0.00104184	
7.460000	-0.00533810	
7.480000	-0.01022834	
7.500000	-0.01154792	
7.520000	-0.01060303	
7.540000	-0.00642401	
7.560000	-0.00162320	
7.580000	0.00343120	
7.600000	0.00482170	
7.620000	0.00171457	
7.640000	-0.00300293	
7.660000	-0.00759932	
7.680000	-0.00926395	
7.700000	-0.00852430	
7.720000	-0.00767899	
7.740000	-0.00907069	
7.760000	-0.01151073	
7.780000	-0.01321924	
7.800000	-0.01269031	
7.820000	-0.01132724	
7.840000	-0.00771149	
7.860000	-0.00110281	
7.880000	0.00467154	
7.900000	0.00701952	
7.920000	0.00371528	
7.940000	-0.00307873	
7.960000	-0.00939196	
7.980000	-0.01300445	
8.000000	-0.01312760	
8.020000	-0.01005155	
8.040000	-0.00338495	
8.059999	0.00592469	
8.080000	0.01267073	
8.099999	0.01451193	
8.120000	0.01014657	
8.139999	0.00038442	
8.160000	-0.00778891	
8.179999	-0.01198480	
8.200000	-0.01125550	
8.220000	-0.01012835	
8.240000	-0.00509548	
8.260000	0.00286184	
8.280000	0.01024798	
8.300000	0.01010554	
8.320000	0.00398961	
8.340000	-0.00488050	
8.360000	-0.01054044	
8.380000	-0.01293212	
8.400000	-0.01240969	
8.420000	-0.00811586	
8.440000	-0.00164717	
8.460000	0.00432366	
8.480000	0.00455023	
8.500000	-0.00143605	
8.520000	-0.00722949	
8.540000	-0.01117525	
8.559999	-0.01143616	
8.580000	-0.01074934	
8.599999	-0.00864723	
8.620000	-0.00499755	
8.639999	-0.00275259	
8.660000	-0.00404270	
8.679999	-0.00715512	
8.700000	-0.00905220	
8.720000	-0.00833918	
8.740000	-0.00289239	
8.760000	0.00206631	
8.780000	0.00701688	
8.800000	0.00354256	
8.820000	-0.00256991	
8.840000	-0.00872709	
8.860000	-0.01110412	
8.880000	-0.01110981	
8.900000	-0.00951855	
8.920000	-0.00600237	
8.940000	0.00057177	
8.960000	0.00532503	
8.980000	0.00658204	
9.000000	0.00125514	
9.020000	-0.00498495	
9.040000	-0.00932449	
9.059999	-0.00998205	
9.080000	-0.00981462	
9.099999	-0.00652906	
9.120000	-0.00133385	
9.139999	0.00431310	
9.160000	0.00651254	
9.179999	0.00301078	
9.200000	-0.00310250	
9.220000	-0.00872546	
9.240000	-0.01074772	
9.260000	-0.00877483	
9.280000	-0.00635371	
9.300000	-0.00308137	
9.320000	-0.00164475	
9.340000	-0.00368568	
9.360000	-0.00674690	
9.380000	-0.00856188	
9.400000	-0.00699703	
9.420000	-0.00189468	
9.440000	0.00251010	
9.460000	0.00563532	
9.480000	0.00387967	
9.500000	-0.00175712	
9.520000	-0.00653313	
9.540000	-0.00851251	
9.559999	-0.00676498	
9.580000	-0.00226349	
9.599999	0.00149795	
9.620000	0.00604802	
9.639999	0.00534759	
9.660000	0.00079732	
9.679999	-0.00536819	
9.700000	-0.00889412	
9.719999	-0.00918043	
9.740000	-0.00738068	
9.760000	-0.00449950	
9.780000	-0.00113043	
9.800000	0.00039905	
9.820000	-0.00310412	
9.840000	-0.00698830	
9.860000	-0.00988615	
9.880000	-0.00858606	
9.900000	-0.00372897	
9.920000	0.00147541	
9.940000	0.00822735	
9.960000	0.01128836	
9.980000	0.01191320	
10.000000	0.00736415	
10.020000	-0.00054136	
10.040000	-0.00680196	
10.059999	-0.00903799	
10.080000	-0.00745973	
10.099999	-0.00354263	
10.120000	0.00185397	
10.139999	0.00759073	
10.160000	0.01027946	
10.179999	0.00792600	
10.200000	0.00409669	
10.219999	-0.00230066	
10.240000	-0.00602695	
10.260000	-0.00659104	
10.280000	-0.00251789	
10.300000	0.00479488	
10.320000	0.00982267	
10.340000	0.01134951	
10.360000	0.00700754	
10.380000	-0.00061208	
10.400000	-0.00649819	
10.420000	-0.00924607	
10.440000	-0.00847960	
10.460000	-0.00461756	
10.480000	0.00044639	
10.500000	0.00622886	
10.520000	0.00879367	
10.540000	0.00631909	
10.559999	0.00073840	
10.580000	-0.00558622	
10.599999	-0.00868380	
10.620000	-0.00765052	
10.639999	-0.00417215	
10.660000	0.00084934	
10.679999	0.00342795	
10.700000	0.00072579	
10.719999	-0.00378770	
10.740000	-0.00825769	
10.760000	-0.00889675	
10.780000	-0.00669163	
10.800000	-0.00102782	
10.820000	0.00675882	
10.840000	0.01207109	
10.860000	0.01366235	
10.880000	0.01030000	
10.900000	0.00211427	
10.920000	-0.00545922	
10.940000	-0.01028238	
10.960000	-0.01009157	
10.980000	-0.00714213	
11.000000	-0.00200197	
11.020000	0.00448948	
11.040000	0.00839581	
11.059999	0.00922628	
11.080000	0.00585335	
11.099999	-0.00047532	
11.120000	-0.00587964	
11.139999	-0.00753430	
11.160000	-0.00411566	
11.179999	0.00331417	
11.200000	0.01106484	
11.219999	0.01545620	
11.240000	0.01319194	
11.259999	0.00677589	
11.280000	-0.00089289	
11.300000	-0.00472322	
11.320000	-0.00496951	
11.340000	-0.00126190	
11.360000	0.00286022	
11.380000	0.00637476	
11.400000	0.00535430	
11.420000	-0.00022335	
11.440000	-0.00603589	
11.460000	-0.00755177	
11.480000	-0.00572602	
11.500000	0.00060022	
11.520000	0.00639996	
11.540000	0.01163624	
11.559999	0.01020165	
11.580000	0.00471056	
11.599999	-0.00212876	
11.620000	-0.00593877	
11.639999	-0.00649351	
11.660000	-0.00452064	
11.679999	-0.00242056	
11.700000	-0.00038612	
11.719999	-0.00198896	
11.740000	-0.00519505	
11.759999	-0.00861472	
11.780000	-0.00781329	
11.800000	-0.00556183	
11.820000	0.00032386	
11.840000	0.00658385	
11.860000	0.01437761	
11.880000	0.01875496	
11.900000	0.01890533	
11.920000	0.01435730	
11.940000	0.00517102	
11.960000	-0.00290397	
11.980000	-0.00818413	
12.000000	-0.00849259	
12.020000	-0.00641507	
12.040000	-0.00481813	
12.059999	0.00018772	
12.080000	0.00603440	
12.099999	0.01487282	
12.120000	0.02093570	
12.139999	0.02346474	
12.160000	0.02110964	
12.179999	0.01289628	
12.200000	0.00372544	
12.219999	-0.00454766	
12.240000	-0.00793380	
12.259999	-0.00749001	
12.280000	-0.00512049	
12.300000	0.00079834	
12.320000	0.00837955	
12.340000	0.01642588	
12.360000	0.02075343	
12.380000	0.01842557	
12.400000	0.01006427	
12.420000	-0.00041944	
12.440000	-0.00736625	
12.460000	-0.00981462	
12.480000	-0.00992252	
12.500000	-0.00698099	
12.520000	-0.00130093	
12.540000	0.00539717	
12.559999	0.00850594	
12.580000	0.00461364	
12.599999	-0.00230555	
12.620000	-0.00864966	
12.639999	-0.01043762	
12.660000	-0.00890875	
12.679999	-0.00562665	
12.700000	0.00052015	
12.719999	0.00602770	
12.740000	0.00679946	
12.759999	0.00170116	
12.780000	-0.00500669	
12.799999	-0.00856940	
12.820000	-0.00871895	
12.840000	-0.00734045	
12.860000	-0.00245348	
12.880000	0.00219697	
12.900000	0.00463253	
12.920000	0.00093712	
12.940000	-0.00464153	
12.960000	-0.00864154	
12.980000	-0.00976747	
13.000000	-0.00892378	
13.020000	-0.00512110	
13.040000	-0.00027314	
13.059999	0.00643452	
13.080000	0.01031463	
13.099999	0.01113454	
13.120000	0.00712518	
13.139999	-0.00045256	
13.160000	-0.00644921	
13.179999	-0.00842188	
13.200000	-0.00676295	
13.219999	-0.00171261	
13.240000	0.00482436	
13.259999	0.01252057	
13.280000	0.01681297	
13.299999	0.01578173	
13.320000	0.01011792	
13.340000	0.00116023	
13.360000	-0.00539176	
13.380000	-0.00921030	
13.400000	-0.00973740	
13.420000	-0.00775722	
13.440000	-0.00281456	
13.460000	0.00324629	
13.480000	0.00693397	
13.500000	0.00561887	
13.520000	0.00006703	
13.540000	-0.00547731	
13.559999	-0.00860110	
13.580000	-0.00875024	
13.599999	-0.00903656	
13.620000	-0.00664550	
13.639999	-0.00160268	
13.660000	0.00640525	
13.679999	0.01283756	
13.700000	0.01521175	
13.719999	0.01242241	
13.740000	0.00498244	
13.759999	-0.00096117	
13.780000	-0.00544479	
13.799999	-0.00629357	
13.820000	-0.00647278	
13.840000	-0.00559455	
13.860000	-0.00214218	
13.880000	0.00152174	
13.900000	0.00542644	
13.920000	0.00647433	
13.940000	0.00294191	
13.960000	-0.00178088	
13.980000	-0.00687431	
14.000000	-0.00817722	
14.020000	-0.00644942	
14.040000	-0.00212185	
14.059999	0.00385021	
14.080000	0.00740154	
14.099999	0.00781018	
14.120000	0.00596878	
14.139999	0.00110659	
14.160000	-0.00292815	
14.179999	-0.00570793	
14.200000	-0.00546673	
14.219999	-0.00391835	
14.240000	-0.00282107	
14.259999	0.00187021	
14.280000	0.00808409	
14.299999	0.01660815	
14.320000	0.02237721	
14.340000	0.02436979	
14.360000	0.01974779	
14.380000	0.00898102	
14.400000	-0.00143829	
14.420000	-0.00772652	
14.440000	-0.00874497	
14.460000	-0.00798175	
14.480000	-0.00694014	
14.500000	-0.00244068	
14.520000	0.00375877	
14.540000	0.01124020	
14.559999	0.01529974	
14.580000	0.01357010	
14.599999	0.00774780	
14.620000	-0.00079252	
14.639999	-0.00598206	
14.660000	-0.00764605	
14.679999	-0.00480898	
14.700000	0.00199051	
14.719999	0.00863963	
14.740000	0.01380540	
14.759999	0.01365747	
14.780000	0.00951807	
14.799999	0.00207017	
14.820000	-0.00464967	
14.839999	-0.00810285	
14.860000	-0.00739877	
14.880000	-0.00212552	
14.900000	0.00705610	
14.920000	0.01690868	
14.940000	0.02225001	
14.960000	0.02172960	
14.980000	0.01544482	
15.000000	0.00602567	
15.020000	-0.00148746	
15.040000	-0.00505525	
15.059999	-0.00505525	
15.080000	-0.00518653	
15.099999	-0.00209585	
15.120000	0.00388861	
15.139999	0.01209812	
15.160000	0.01708546	
15.179999	0.01745163	
15.200000	0.01229644	
15.219999	0.00270578	
15.240000	-0.00441964	
15.259999	-0.00889249	
15.280000	-0.00888640	
15.299999	-0.00834344	
15.320000	-0.00575386	
15.339999	0.00039418	
15.360000	0.00753139	
15.380000	0.01280484	
