Time	Right_Hand_y_baseline X
0.000000	-0.02635533	
0.020000	-0.02668536	
0.040000	-0.02349311	
0.060000	-0.01136357	
0.080000	0.00849795	
0.100000	0.02950263	
0.120000	0.04174918	
0.140000	0.04096514	
0.160000	0.02608746	
0.180000	0.00096172	
0.200000	-0.01858538	
0.220000	-0.02653551	
0.240000	-0.01934773	
0.260000	-0.00395399	
0.280000	0.01552480	
0.300000	0.03237253	
0.320000	0.03968060	
0.340000	0.03369564	
0.360000	0.01583147	
0.380000	-0.00719911	
0.400000	-0.02265906	
0.420000	-0.02621156	
0.440000	-0.01834828	
0.460000	-0.00216579	
0.480000	0.01816988	
0.500000	0.03617442	
0.520000	0.04383743	
0.540000	0.03712583	
0.560000	0.01571774	
0.580000	-0.00840169	
0.600000	-0.02412027	
0.620000	-0.02515298	
0.640000	-0.01472342	
0.660000	0.00406790	
0.680000	0.02409303	
0.700000	0.03613698	
0.720000	0.03431612	
0.740000	0.01581800	
0.760000	-0.00611812	
0.780000	-0.02281517	
0.800000	-0.02527970	
0.820000	-0.01590461	
0.840000	0.00154722	
0.860000	0.02259350	
0.880000	0.03614938	
0.900000	0.03443086	
0.920000	0.01712447	
0.940000	-0.00622934	
0.960000	-0.02237350	
0.980000	-0.02592009	
1.000000	-0.01891947	
1.020000	-0.00306410	
1.040000	0.01668471	
1.060000	0.03171128	
1.080000	0.03318560	
1.100000	0.01742733	
1.120000	-0.00424039	
1.140000	-0.02120918	
1.160000	-0.02713412	
1.180000	-0.02221328	
1.200000	-0.00961643	
1.220000	0.01140952	
1.240000	0.03099442	
1.260000	0.03940880	
1.280000	0.03215694	
1.300000	0.00830603	
1.320000	-0.01286054	
1.340000	-0.02679026	
1.360000	-0.02728814	
1.380000	-0.02045399	
1.400000	-0.00484502	
1.420000	0.01656288	
1.440000	0.03144771	
1.460000	0.03317875	
1.480000	0.01869941	
1.500000	-0.00336194	
1.520000	-0.02074552	
1.540000	-0.02757448	
1.560000	-0.02451086	
1.580000	-0.01488680	
1.600000	0.00126189	
1.620000	0.01870412	
1.640000	0.02913970	
1.660000	0.02597082	
1.680000	0.00973368	
1.700000	-0.01071268	
1.720000	-0.02410358	
1.740000	-0.02712744	
1.760000	-0.02225941	
1.780000	-0.00928426	
1.800000	0.00864005	
1.820000	0.02342731	
1.840000	0.02584946	
1.860000	0.01112473	
1.880000	-0.00831878	
1.900000	-0.02365392	
1.920000	-0.02789885	
1.940000	-0.02141607	
1.960000	-0.00570029	
1.980000	0.01649112	
2.000000	0.03292161	
2.020000	0.03557944	
2.040000	0.02113020	
2.060000	-0.00204349	
2.080000	-0.02057076	
2.100000	-0.02743280	
2.120000	-0.02196401	
2.140000	-0.00737876	
2.160000	0.01291913	
2.180000	0.03165412	
2.200000	0.03908449	
2.220000	0.03231215	
2.240000	0.01217866	
2.260000	-0.01022691	
2.280000	-0.02467066	
2.300000	-0.02547443	
2.320000	-0.01421428	
2.340000	0.00656551	
2.360000	0.02961516	
2.380000	0.04471403	
2.400000	0.04426575	
2.420000	0.02644992	
2.440000	0.00054437	
2.460000	-0.01944864	
2.480000	-0.02444035	
2.500000	-0.01363045	
2.520000	0.00538337	
2.540000	0.02690631	
2.560000	0.04086238	
2.580000	0.04005909	
2.600000	0.02287781	
2.620000	-0.00206023	
2.640000	-0.02085078	
2.660000	-0.02279723	
2.680000	-0.00889313	
2.700000	0.01359260	
2.720000	0.03327590	
2.740000	0.04170108	
2.760000	0.03308195	
2.780000	0.00822777	
2.800000	-0.01358783	
2.820000	-0.02567148	
2.840000	-0.01935959	
2.860000	-0.00420916	
2.880000	0.01662415	
2.900000	0.03326660	
2.920000	0.03647947	
2.940000	0.02210951	
2.960000	-0.00119191	
2.980000	-0.01936215	
3.000000	-0.02626783	
3.020000	-0.01813728	
3.040000	-0.00238073	
3.060000	0.01908845	
3.080000	0.03343767	
3.100000	0.03271013	
3.120000	0.01476109	
3.140000	-0.00841576	
3.160000	-0.02401096	
3.180000	-0.02566099	
3.200000	-0.01512498	
3.220000	0.00310987	
3.240000	0.02233559	
3.260000	0.03281999	
3.280000	0.02745688	
3.300000	0.00535047	
3.320000	-0.01508486	
3.340000	-0.02627927	
3.360000	-0.01981908	
3.380000	-0.00421011	
3.400000	0.01724625	
3.420000	0.03599548	
3.440000	0.04126072	
3.460000	0.02834499	
3.480000	0.00283182	
3.500000	-0.01768136	
3.520000	-0.02701920	
3.540000	-0.01914042	
3.560000	-0.00325364	
3.580000	0.01837176	
3.600000	0.03420073	
3.620000	0.03638744	
3.640000	0.02157068	
3.660000	-0.00184268	
3.680000	-0.02018434	
3.700000	-0.02358615	
3.720000	-0.01161247	
3.740000	0.00878149	
3.760000	0.02949619	
3.780000	0.04149044	
3.800000	0.03854907	
3.820000	0.01930523	
3.840000	-0.00494134	
3.860000	-0.02272338	
3.880000	-0.02540225	
3.900000	-0.01359755	
3.920000	0.00686592	
3.940000	0.02946693	
3.960000	0.04222709	
3.980000	0.03701061	
4.000000	0.01303244	
4.020000	-0.01174390	
4.040000	-0.02571541	
4.060000	-0.02017623	
4.080000	-0.00484747	
4.100000	0.01535374	
4.120000	0.03096896	
4.140000	0.03595579	
4.160000	0.02585727	
4.180000	0.00247502	
4.200000	-0.01786399	
4.220000	-0.02695203	
4.240000	-0.01878166	
4.260000	-0.00099814	
4.280000	0.02092814	
4.300000	0.03835088	
4.320000	0.04110545	
4.340000	0.02516830	
4.360000	-0.00022215	
4.380000	-0.02058601	
4.400000	-0.02525014	
4.420000	-0.01407051	
4.440000	0.00408542	
4.460000	0.02215892	
4.480000	0.03122419	
4.500000	0.02446991	
4.520000	0.00295126	
4.540000	-0.01732194	
4.560000	-0.02860796	
4.580000	-0.02262193	
4.600000	-0.00901532	
4.620000	0.01168078	
4.640000	0.02818865	
4.660000	0.03298861	
4.680000	0.02083397	
4.700000	-0.00200444	
4.720000	-0.02023673	
4.740000	-0.02754956	
4.760000	-0.02097732	
4.780000	-0.00544596	
4.800000	0.01436847	
4.820000	0.02972072	
4.840000	0.03117043	
4.860000	0.01558810	
4.880000	-0.00582290	
4.900000	-0.02215677	
4.920000	-0.02657241	
4.940000	-0.02027208	
4.960000	-0.00608212	
4.980000	0.01303220	
5.000000	0.02661574	
5.020000	0.02462399	
5.040000	0.00634062	
5.060000	-0.01388234	
5.080000	-0.02651560	
5.100000	-0.02510548	
5.120000	-0.01600820	
5.140000	-0.00003099	
5.160000	0.01486552	
5.180000	0.02131253	
5.200000	0.01378012	
5.220000	-0.00469249	
5.240000	-0.02018696	
5.260000	-0.02814376	
5.280000	-0.02480936	
5.300000	-0.01388407	
5.320000	0.00225174	
5.340000	0.01732916	
5.360000	0.01968360	
5.380000	0.00600773	
5.400000	-0.01153278	
5.420000	-0.02442044	
5.440000	-0.02661538	
5.460000	-0.02049130	
5.480000	-0.00734693	
5.500000	0.00946254	
5.520000	0.01832503	
5.540000	0.01164037	
5.560000	-0.00559318	
5.580000	-0.02135986	
5.600000	-0.02834427	
5.620000	-0.02593803	
5.640000	-0.01550347	
5.660000	0.00383180	
5.680000	0.02179575	
5.700000	0.02819335	
5.720000	0.01640213	
5.740000	-0.00437558	
5.760000	-0.02102506	
5.780000	-0.02629250	
5.800000	-0.01955539	
5.820000	-0.00457978	
5.840000	0.01215929	
5.860000	0.02333272	
5.880000	0.01922518	
5.900000	0.00042611	
5.920000	-0.01748437	
5.940000	-0.02765071	
5.960000	-0.02319390	
5.980000	-0.01024020	
6.000000	0.00897634	
6.020000	0.02557129	
6.040000	0.02913892	
6.060000	0.01474875	
6.080000	-0.00588590	
6.100000	-0.02194375	
6.120000	-0.02488291	
6.140000	-0.01557523	
6.160000	0.00143665	
6.180000	0.02128649	
6.200000	0.03315336	
6.220000	0.02878803	
6.240000	0.00739473	
6.260000	-0.01416647	
6.280000	-0.02695644	
6.300000	-0.02186805	
6.320000	-0.00885653	
6.340000	0.01166946	
6.360000	0.02863771	
6.380000	0.03627414	
6.400000	0.02698058	
6.420000	0.00360453	
6.440000	-0.01721734	
6.460000	-0.02689517	
6.480000	-0.02034640	
6.500000	-0.00558645	
6.520000	0.01175392	
6.540000	0.02425939	
6.560000	0.02325094	
6.580000	0.00580579	
6.600000	-0.01252347	
6.620000	-0.02546394	
6.640000	-0.02378279	
6.660000	-0.01366365	
6.680000	0.00227457	
6.700000	0.01561332	
6.720000	0.01602894	
6.740000	-0.00104898	
6.760000	-0.01790273	
6.780000	-0.02818680	
6.800000	-0.02396464	
6.820000	-0.01232427	
6.840000	0.00350809	
6.860000	0.01582944	
6.880000	0.01457316	
6.900000	-0.00225830	
6.920000	-0.01818103	
6.940000	-0.02847111	
6.960000	-0.02702862	
6.980000	-0.01801342	
7.000000	-0.00051975	
7.020000	0.02000070	
7.040000	0.02869385	
7.060000	0.01895982	
7.080000	-0.00241494	
7.100000	-0.02024144	
7.120000	-0.02794033	
7.140000	-0.02420413	
7.160000	-0.01274765	
7.180000	0.00609684	
7.200000	0.02118891	
7.220000	0.02214110	
7.240000	0.00505114	
7.260000	-0.01434183	
7.280000	-0.02689534	
7.300000	-0.02643508	
7.320000	-0.01924682	
7.340000	-0.00368178	
7.360000	0.01335043	
7.380000	0.02341408	
7.400000	0.01594573	
7.420000	-0.00322735	
7.440000	-0.02000642	
7.460000	-0.02742010	
7.480000	-0.02383518	
7.500000	-0.01034224	
7.520000	0.01117450	
7.540000	0.03104681	
7.560000	0.03533709	
7.580000	0.01934177	
7.600000	-0.00434989	
7.620000	-0.02178448	
7.640000	-0.02736092	
7.660000	-0.02107853	
7.680000	-0.00778013	
7.700000	0.01159823	
7.720000	0.02512693	
7.740000	0.02316552	
7.760000	0.00358188	
7.780000	-0.01612937	
7.800000	-0.02794963	
7.820000	-0.02581125	
7.840000	-0.01774877	
7.860000	-0.00156540	
7.880000	0.01557916	
7.900000	0.02338493	
7.920000	0.01430672	
7.940000	-0.00571692	
7.960000	-0.02160382	
7.980000	-0.02858114	
8.000000	-0.02663940	
8.020000	-0.01797330	
8.040000	-0.00390893	
8.059999	0.01070416	
8.080000	0.01553535	
8.099999	0.00492442	
8.120000	-0.01093340	
8.139999	-0.02465874	
