Time	Right_Heel_y_baseline X
0.000000	-0.01133913	
0.020000	-0.01102649	
0.040000	-0.00859962	
0.060000	-0.00168328	
0.080000	0.00703856	
0.100000	0.01345831	
0.120000	0.01110131	
0.140000	0.00039265	
0.160000	-0.00951970	
0.180000	-0.01209836	
0.200000	-0.00845827	
0.220000	0.00000073	
0.240000	0.00971639	
0.260000	0.01870927	
0.280000	0.01830138	
0.300000	0.00648624	
0.320000	-0.00567207	
0.340000	-0.01245566	
0.360000	-0.00947195	
0.380000	-0.00140466	
0.400000	0.00901185	
0.420000	0.01666224	
0.440000	0.01466846	
0.460000	0.00365886	
0.480000	-0.00677630	
0.500000	-0.01089701	
0.520000	-0.00595990	
0.540000	0.00250791	
0.560000	0.00939885	
0.580000	0.00804918	
0.600000	-0.00061777	
0.620000	-0.00849760	
0.640000	-0.01112606	
0.660000	-0.00644810	
0.680000	0.00165033	
0.700000	0.01390184	
0.720000	0.02268331	
0.740000	0.02050146	
0.760000	0.00737353	
0.780000	-0.00671218	
0.800000	-0.01417819	
0.820000	-0.01106685	
0.840000	-0.00274245	
0.860000	0.01192671	
0.880000	0.02479467	
0.900000	0.03101958	
0.920000	0.02344111	
0.940000	0.00656244	
0.960000	-0.01027361	
0.980000	-0.01787482	
1.000000	-0.01172182	
1.020000	0.00182487	
1.040000	0.01567744	
1.060000	0.02087945	
1.080000	0.01557337	
1.100000	0.00281766	
1.120000	-0.00805202	
1.140000	-0.01166937	
1.160000	-0.00636207	
1.180000	0.00348206	
1.200000	0.01153255	
1.220000	0.01278470	
1.240000	0.00380513	
1.260000	-0.00595601	
1.280000	-0.01247573	
1.300000	-0.00990546	
1.320000	-0.00294363	
1.340000	0.00716230	
1.360000	0.01391618	
1.380000	0.01129059	
1.400000	0.00110824	
1.420000	-0.00792356	
1.440000	-0.01019411	
1.460000	-0.00346194	
1.480000	0.00648685	
1.500000	0.01680769	
1.520000	0.01967093	
1.540000	0.01163191	
1.560000	-0.00075462	
1.580000	-0.00876024	
1.600000	-0.00950596	
1.620000	-0.00431256	
1.640000	0.00127828	
1.660000	0.00600193	
1.680000	0.00614944	
1.700000	-0.00047866	
1.720000	-0.00732125	
1.740000	-0.01071632	
1.760000	-0.00754538	
1.780000	0.00077042	
1.800000	0.01033263	
1.820000	0.01933084	
1.840000	0.02354047	
1.860000	0.01936260	
1.880000	0.00755914	
1.900000	-0.00329560	
1.920000	-0.00863630	
1.940000	-0.00400792	
1.960000	0.00396308	
1.980000	0.01667883	
2.000000	0.02605830	
2.020000	0.02708961	
2.040000	0.01581040	
2.060000	0.00053462	
2.080000	-0.01068395	
2.100000	-0.01195495	
2.120000	-0.00703607	
2.140000	0.00242391	
2.160000	0.01120885	
2.180000	0.01609352	
2.200000	0.01306394	
2.220000	0.00281255	
2.240000	-0.00608590	
2.260000	-0.01033752	
2.280000	-0.00651243	
2.300000	-0.00050980	
2.320000	0.00421958	
2.340000	0.00224732	
2.360000	-0.00406836	
2.380000	-0.00897536	
2.400000	-0.00904870	
2.420000	-0.00332387	
2.440000	0.00240628	
2.460000	0.00704737	
2.480000	0.00668618	
2.500000	0.00075874	
2.520000	-0.00511728	
2.540000	-0.00789283	
2.560000	-0.00361130	
