Time	Referenz_right_y_baseline X
0.000000	-0.02582470	
0.020000	-0.02585334	
0.040000	-0.02586766	
0.060000	-0.02585334	
0.080000	-0.02585334	
0.100000	-0.02585334	
0.120000	-0.02586766	
0.140000	-0.02585334	
0.160000	-0.02585334	
0.180000	-0.02585334	
0.200000	-0.02586766	
0.220000	-0.02586766	
0.240000	-0.02586766	
0.260000	-0.02586766	
0.280000	-0.02586766	
0.300000	-0.02586766	
0.320000	-0.02586766	
0.340000	-0.02585334	
0.360000	-0.02585334	
0.380000	-0.02585334	
0.400000	-0.02586766	
0.420000	-0.02586766	
0.440000	-0.02586766	
0.460000	-0.02586766	
0.480000	-0.02586766	
0.500000	-0.02586766	
0.520000	-0.02586766	
0.540000	-0.02586766	
0.560000	-0.02586766	
0.580000	-0.02586766	
0.600000	-0.02586766	
0.620000	-0.02586766	
0.640000	-0.02586766	
0.660000	-0.02586766	
0.680000	-0.02586766	
0.700000	-0.02586766	
0.720000	-0.02586766	
0.740000	-0.02586766	
0.760000	-0.02586766	
0.780000	-0.02586766	
0.800000	-0.02586766	
0.820000	-0.02586766	
0.840000	-0.02586766	
0.860000	-0.02586766	
0.880000	-0.02586766	
0.900000	-0.02586766	
0.920000	-0.02586766	
0.940000	-0.02586766	
0.960000	-0.02586766	
0.980000	-0.02586766	
1.000000	-0.02586766	
1.020000	-0.02586766	
1.040000	-0.02586766	
1.060000	-0.02586766	
1.080000	-0.02586766	
1.100000	-0.02586766	
1.120000	-0.02586766	
1.140000	-0.02586766	
1.160000	-0.02586766	
1.180000	-0.02586766	
1.200000	-0.02586766	
1.220000	-0.02586766	
1.240000	-0.02586766	
1.260000	-0.02586766	
1.280000	-0.02586766	
1.300000	-0.02586766	
1.320000	-0.02586766	
1.340000	-0.02586766	
1.360000	-0.02586766	
1.380000	-0.02586766	
1.400000	-0.02586766	
1.420000	-0.02586766	
1.440000	-0.02586766	
1.460000	-0.02586766	
1.480000	-0.02586766	
1.500000	-0.02586766	
1.520000	-0.02586766	
1.540000	-0.02586766	
1.560000	-0.02586766	
1.580000	-0.02586766	
1.600000	-0.02586766	
1.620000	-0.02586766	
1.640000	-0.02586766	
1.660000	-0.02586766	
1.680000	-0.02586766	
1.700000	-0.02586766	
1.720000	-0.02586766	
1.740000	-0.02586766	
1.760000	-0.02586766	
1.780000	-0.02586766	
1.800000	-0.02586766	
1.820000	-0.02586766	
1.840000	-0.02586766	
1.860000	-0.02586766	
1.880000	-0.02586766	
1.900000	-0.02586766	
1.920000	-0.02586766	
1.940000	-0.02514046	
1.960000	-0.02321073	
1.980000	-0.01766093	
2.000000	-0.01063265	
2.020000	-0.00479816	
2.040000	-0.00948705	
2.060000	-0.01739596	
2.080000	-0.02531363	
2.100000	-0.02617422	
2.120000	-0.02602094	
2.140000	-0.02586766	
2.160000	-0.02586766	
2.180000	-0.02586766	
2.200000	-0.02586766	
2.220000	-0.02586766	
2.240000	-0.02586766	
2.260000	-0.02586766	
2.280000	-0.02586766	
2.300000	-0.02586766	
2.320000	-0.02586766	
2.340000	-0.02586766	
2.360000	-0.02586766	
2.380000	-0.02586766	
2.400000	-0.02586766	
2.420000	-0.02586766	
2.440000	-0.02586766	
2.460000	-0.02586766	
2.480000	-0.02586766	
2.500000	-0.02466258	
2.520000	-0.02131084	
2.540000	-0.01429132	
2.560000	-0.00483067	
2.580000	0.00795476	
2.600000	0.02086857	
2.620000	0.03569221	
2.640000	0.04946645	
2.660000	0.06397593	
2.680000	0.07515541	
2.700000	0.08547361	
2.720000	0.09239071	
2.740000	0.09845294	
2.760000	0.10118767	
2.780000	0.10437687	
2.800000	0.10619491	
2.820000	0.10712946	
2.840000	0.10532624	
2.860000	0.09860791	
2.880000	0.08534492	
2.900000	0.06169365	
2.920000	0.03113203	
2.940000	-0.00018188	
2.960000	-0.01913652	
2.980000	-0.02617322	
3.000000	-0.02526276	
3.020000	-0.02551425	
3.040000	-0.02585822	
3.060000	-0.02606271	
3.080000	-0.02592324	
3.100000	-0.02582453	
3.120000	-0.02586547	
3.140000	-0.02586547	
3.160000	-0.02582453	
3.180000	-0.02567157	
3.200000	-0.02555940	
3.220000	-0.02555940	
3.240000	-0.02567157	
3.260000	-0.02593032	
3.280000	-0.02607687	
3.300000	-0.02607703	
3.320000	-0.02593032	
3.340000	-0.02582453	
3.360000	-0.02586547	
3.380000	-0.02575344	
3.400000	-0.02560015	
3.420000	-0.02544720	
3.440000	-0.02544720	
3.460000	-0.02535489	
3.480000	-0.02526276	
3.500000	-0.02243100	
3.520000	-0.01624025	
3.540000	-0.00517228	
3.560000	0.00713460	
3.580000	0.02032398	
3.600000	0.03185634	
3.620000	0.04300314	
3.640000	0.05183481	
3.660000	0.05953114	
3.680000	0.06411558	
3.700000	0.06869496	
3.720000	0.07118276	
3.740000	0.07439858	
3.760000	0.07560129	
3.780000	0.07635896	
3.800000	0.07497130	
3.820000	0.06994636	
3.840000	0.06193386	
3.860000	0.04731791	
3.880000	0.02609901	
3.900000	-0.00004409	
3.920000	-0.01867160	
3.940000	-0.02654380	
3.960000	-0.02606474	
3.980000	-0.02576220	
4.000000	-0.02599062	
4.020000	-0.02587354	
4.040000	-0.02555603	
4.060000	-0.02550077	
4.080000	-0.02575479	
4.100000	-0.02588922	
4.120000	-0.02575681	
4.140000	-0.02563721	
4.160000	-0.02564901	
4.180000	-0.02560824	
4.200000	-0.02560824	
4.220000	-0.02559628	
4.240000	-0.02562526	
4.260000	-0.02548207	
4.280000	-0.02534783	
4.300000	-0.02332191	
4.320000	-0.02034445	
4.340000	-0.01417644	
4.360000	-0.00607432	
4.380000	0.00634710	
4.400000	0.01823406	
4.420000	0.03051686	
4.440000	0.03902072	
4.460000	0.04784060	
4.480000	0.05392118	
4.500000	0.06025933	
4.520000	0.06414033	
4.540000	0.06791438	
4.560000	0.06979561	
4.580000	0.07101701	
4.600000	0.07086356	
4.620000	0.07071027	
4.640000	0.07071027	
4.660000	0.06961924	
4.680000	0.06848745	
4.700000	0.06535198	
4.720000	0.06197429	
4.740000	0.05566056	
4.760000	0.04978666	
4.780000	0.04069407	
4.800000	0.02929664	
4.820000	0.01095009	
4.840000	-0.00770876	
4.860000	-0.02137652	
4.880000	-0.02653132	
4.900000	-0.02680287	
4.920000	-0.02680589	
4.940000	-0.02670315	
4.960000	-0.02661926	
4.980000	-0.02661926	
5.000000	-0.02672504	
5.020000	-0.02683100	
5.040000	-0.02683100	
5.060000	-0.02680893	
5.080000	-0.02680893	
5.100000	-0.02680589	
5.120000	-0.02682494	
5.140000	-0.02682190	
5.160000	-0.02682190	
5.180000	-0.02676210	
5.200000	-0.02670214	
5.220000	-0.02658254	
5.240000	-0.02652258	
5.260000	-0.02548966	
5.280000	-0.02293280	
5.300000	-0.01655053	
5.320000	-0.00712980	
5.340000	0.00599994	
5.360000	0.01916339	
5.380000	0.03238291	
5.400000	0.04307625	
