Time	Referenz_right_y_velocity X
0.000000	-0.00117831	
0.020000	-0.00064448	
0.040000	-0.00011064	
0.060000	-0.00025419	
0.080000	0.00002397	
0.100000	0.00009549	
0.120000	0.00000012	
0.140000	-0.00008332	
0.160000	-0.00007140	
0.180000	-0.00005942	
0.200000	-0.00015528	
0.220000	-0.00015528	
0.240000	-0.00007134	
0.260000	0.00000019	
0.280000	0.00007165	
0.300000	0.00015559	
0.320000	0.00015559	
0.340000	0.00007165	
0.360000	0.00000012	
0.380000	-0.00007134	
0.400000	-0.00015528	
0.420000	-0.00015528	
0.440000	-0.00007134	
0.460000	0.00001211	
0.480000	0.00000019	
0.500000	0.00000019	
0.520000	0.00000019	
0.540000	0.00000019	
0.560000	0.00000019	
0.580000	0.00000019	
0.600000	0.00000019	
0.620000	0.00000019	
0.640000	0.00000019	
0.660000	0.00000019	
0.680000	0.00000019	
0.700000	0.00000019	
0.720000	0.00000019	
0.740000	0.00000019	
0.760000	0.00000019	
0.780000	0.00000019	
0.800000	0.00000019	
0.820000	0.00000019	
0.840000	0.00000019	
0.860000	0.00000019	
0.880000	0.00000019	
0.900000	0.00000019	
0.920000	0.00000019	
0.940000	0.00000019	
0.960000	0.00000019	
0.980000	0.00000019	
1.000000	0.00000019	
1.020000	0.00000019	
1.040000	0.00000019	
1.060000	0.00000019	
1.080000	0.00000019	
1.100000	0.00000019	
1.120000	0.00000019	
1.140000	0.00000019	
1.160000	0.00000019	
1.180000	0.00000019	
1.200000	0.00000019	
1.220000	0.00000019	
1.240000	0.00000019	
1.260000	0.00000019	
1.280000	0.00000019	
1.300000	0.00000019	
1.320000	0.00000019	
1.340000	0.00000019	
1.360000	0.00000019	
1.380000	0.00000019	
1.400000	0.00000019	
1.420000	0.00000019	
1.440000	0.00000019	
1.460000	0.00000019	
1.480000	0.00000019	
1.500000	0.00000019	
1.520000	0.00000019	
1.540000	0.00000019	
1.560000	0.00000019	
1.580000	0.00000019	
1.600000	0.00000019	
1.620000	0.00000019	
1.640000	0.00000019	
1.660000	0.00000019	
1.680000	0.00000019	
1.700000	0.00000019	
1.720000	0.00000019	
1.740000	0.00000019	
1.760000	0.00000019	
1.780000	0.00000019	
1.800000	0.00000019	
1.820000	0.00000019	
1.840000	0.00000019	
1.860000	-0.00060579	
1.880000	0.00202786	
1.900000	0.01290254	
1.920000	0.05006950	
1.940000	0.11697028	
1.960000	0.19189279	
1.980000	0.19667569	
2.000000	0.11405084	
2.020000	-0.01081364	
2.040000	-0.12246018	
2.060000	-0.19443065	
2.080000	-0.19934201	
2.100000	-0.12682484	
2.120000	-0.03925430	
2.140000	0.00548828	
2.160000	0.00314383	
2.180000	0.00063895	
2.200000	-0.00012796	
2.220000	0.00000019	
2.240000	0.00000019	
2.260000	0.00000019	
2.280000	0.00000019	
2.300000	0.00000019	
2.320000	0.00000019	
2.340000	0.00000019	
2.360000	0.00000019	
2.380000	0.00000019	
2.400000	0.00000019	
2.420000	-0.00100403	
2.440000	0.00323237	
2.460000	0.02396391	
2.480000	0.07557487	
2.500000	0.15826219	
2.520000	0.27242303	
2.540000	0.39786184	
2.560000	0.51679999	
2.580000	0.60915613	
2.600000	0.66978949	
2.620000	0.68640661	
2.640000	0.66427821	
2.660000	0.61078131	
2.680000	0.53164828	
2.700000	0.43122262	
2.720000	0.32943729	
2.740000	0.24804074	
2.760000	0.17677122	
2.780000	0.11095242	
2.800000	0.02862320	
2.820000	-0.09471183	
2.840000	-0.30512902	
2.860000	-0.59912544	
2.880000	-0.92357737	
2.900000	-1.14604306	
2.920000	-1.17697716	
2.940000	-1.01244223	
2.960000	-0.72335297	
2.980000	-0.40198019	
3.000000	-0.14318451	
3.020000	-0.01707933	
3.040000	0.00424534	
3.060000	-0.00552783	
3.080000	-0.00182073	
3.100000	0.00143070	
3.120000	0.00264179	
3.140000	0.00256002	
3.160000	0.00296123	
3.180000	0.00278416	
3.200000	0.00059617	
3.220000	-0.00271170	
3.240000	-0.00498642	
3.260000	-0.00471789	
3.280000	-0.00267886	
3.300000	-0.00047423	
3.320000	0.00199477	
3.340000	0.00421187	
3.360000	0.00501592	
3.380000	0.00419654	
3.400000	0.00436889	
3.420000	0.00288418	
3.440000	0.01325110	
3.460000	0.05488952	
3.480000	0.14226183	
3.500000	0.26213083	
3.520000	0.39330861	
3.540000	0.50615460	
3.560000	0.57676768	
3.580000	0.58922464	
3.600000	0.55232531	
3.620000	0.48289245	
3.640000	0.40319633	
3.660000	0.32397696	
3.680000	0.25191236	
3.700000	0.19167890	
3.720000	0.14112878	
3.740000	0.09566998	
3.760000	0.02958376	
3.780000	-0.06158387	
3.800000	-0.19478405	
3.820000	-0.38526875	
3.840000	-0.63335419	
3.860000	-0.83891350	
3.880000	-0.90939212	
3.900000	-0.82711905	
3.920000	-0.63523585	
3.940000	-0.38672343	
3.960000	-0.15097137	
3.980000	-0.01509723	
4.000000	0.01504706	
4.020000	0.00242529	
4.040000	0.00006755	
4.060000	0.00133316	
4.080000	0.00024674	
4.100000	-0.00155717	
4.120000	-0.00017701	
4.140000	0.00248315	
4.160000	0.00244329	
4.180000	0.00063380	
4.200000	0.00069303	
4.220000	0.00057686	
4.240000	0.01034004	
4.260000	0.03421523	
4.280000	0.07934201	
4.300000	0.14920738	
4.320000	0.25392848	
4.340000	0.36874038	
4.360000	0.46835712	
4.380000	0.52744800	
4.400000	0.54279065	
4.420000	0.51266718	
4.440000	0.44971386	
4.460000	0.37756118	
4.480000	0.31136659	
4.500000	0.25435078	
4.520000	0.19488128	
4.540000	0.13781284	
4.560000	0.08360629	
4.580000	0.04594405	
4.600000	0.01191378	
4.620000	-0.01352180	
4.640000	-0.03948012	
4.660000	-0.06846100	
4.680000	-0.11762960	
4.700000	-0.17303874	
4.720000	-0.23523051	
4.740000	-0.31340376	
4.760000	-0.43199509	
4.780000	-0.57794595	
4.800000	-0.68623084	
4.820000	-0.70770979	
4.840000	-0.62862879	
4.860000	-0.47564051	
4.880000	-0.27992529	
4.900000	-0.10984623	
4.920000	-0.01533248	
4.940000	0.00433114	
4.960000	0.00048739	
4.980000	-0.00079901	
5.000000	-0.00167303	
5.020000	-0.00203929	
5.040000	-0.00142542	
5.060000	-0.00028573	
5.080000	0.00016720	
5.100000	-0.00006606	
5.120000	0.00010331	
5.140000	0.00068707	
5.160000	0.00173064	
5.180000	0.00196298	
5.200000	0.00612419	
5.220000	0.02140005	
5.240000	0.06423422	
5.260000	0.14239942	
5.280000	0.25751811	
5.300000	0.38788316	
5.320000	0.50635970	
5.340000	0.58345884	
5.360000	0.60622120	
5.380000	0.57075083	
5.400000	0.49898317	
5.420000	0.41329861	
5.440000	0.33188280	
5.460000	0.26024160	
5.480000	0.19695385	
5.500000	0.14396420	
5.520000	0.09489471	
5.540000	0.05467523	
5.560000	0.00923161	
5.580000	-0.03192380	
5.600000	-0.07492413	
5.620000	-0.11594092	
5.640000	-0.18125547	
5.660000	-0.27294713	
5.680000	-0.39974350	
5.700000	-0.56298161	
5.720000	-0.71809942	
5.740000	-0.79241973	
5.760000	-0.74187320	
5.780000	-0.59614021	
5.800000	-0.39588711	
5.820000	-0.19846898	
5.840000	-0.05783108	
5.860000	-0.00147788	
5.880000	0.00424317	
5.900000	0.00047665	
5.920000	-0.00008661	
5.940000	-0.00009555	
5.960000	-0.00020694	
5.980000	-0.00020595	
6.000000	-0.00009468	
6.020000	-0.00000019	
6.040000	0.00009468	
6.060000	0.00020595	
6.080000	0.00020694	
6.100000	0.00009518	
6.120000	-0.00001608	
6.140000	-0.00000019	
6.160000	-0.00000019	
6.180000	-0.00011263	
6.200000	0.00057487	
6.220000	0.00062964	
6.240000	0.00862317	
6.260000	0.03089419	
6.280000	0.08156563	
6.300000	0.15846075	
6.320000	0.25566059	
6.340000	0.34946266	
6.360000	0.42805544	
6.380000	0.47724715	
6.400000	0.49294448	
6.420000	0.47761595	
6.440000	0.44350201	
6.460000	0.39681247	
6.480000	0.34243006	
6.500000	0.28761876	
6.520000	0.22823218	
6.540000	0.16801742	
6.560000	0.10514882	
6.580000	0.05149498	
6.600000	-0.00879249	
6.620000	-0.06685049	
6.640000	-0.12280750	
6.660000	-0.17789793	
6.680000	-0.26110759	
6.700000	-0.37437248	
6.720000	-0.51852840	
6.740000	-0.65675831	
6.760000	-0.72532189	
6.780000	-0.68951887	
6.800000	-0.55877626	
6.820000	-0.37824309	
6.840000	-0.19248301	
6.860000	-0.06073177	
6.880000	-0.00529177	
6.900000	-0.00130068	
6.920000	-0.00210764	
6.940000	-0.00119669	
6.960000	-0.00029914	
6.980000	0.00059934	
7.000000	0.00159610	
7.020000	0.00179497	
7.040000	0.00209461	
7.060000	0.00244391	
7.080000	0.00244478	
7.100000	0.00203401	
7.120000	0.00210019	
7.140000	0.00179491	
7.160000	0.00703384	
7.180000	0.01514255	
7.200000	0.04004537	
7.220000	0.08960848	
7.240000	0.17109805	
7.260000	0.26613960	
7.280000	0.35707271	
7.300000	0.42861018	
7.320000	0.46995479	
7.340000	0.47915751	
7.360000	0.46487093	
7.380000	0.43756065	
7.400000	0.40192950	
7.420000	0.35943249	
7.440000	0.30871654	
7.460000	0.25112587	
7.480000	0.19552769	
7.500000	0.14836997	
7.520000	0.10656577	
7.540000	0.07239676	
7.560000	0.02298062	
7.580000	-0.06021402	
7.600000	-0.20219041	
7.620000	-0.38613003	
7.640000	-0.58981317	
7.660000	-0.76356727	
7.680000	-0.84266943	
7.700000	-0.79227620	
7.720000	-0.63751823	
7.740000	-0.44023010	
7.760000	-0.24712361	
7.780000	-0.10251629	
7.800000	-0.02330379	
7.820000	-0.00022848	
7.840000	0.01411319	
7.860000	0.05312249	
7.880000	0.12739773	
7.900000	0.22866203	
7.920000	0.34380367	
7.940000	0.44284618	
7.960000	0.50208020	
7.980000	0.50039023	
8.000000	0.43678752	
8.020000	0.33560133	
8.040000	0.21721265	
8.059999	0.10852083	
8.080000	0.00664176	
8.099999	-0.08830512	
8.120000	-0.18957783	
8.139999	-0.29850951	
8.160000	-0.42732331	
8.179999	-0.53099751	
8.200000	-0.55911142	
8.220000	-0.49784827	
8.240000	-0.37788498	
8.260000	-0.23765667	
8.280000	-0.10317212	
8.300000	-0.01750358	
8.320000	0.00968662	
8.340000	0.00445197	
8.360000	0.00777828	
8.380000	0.01389980	
8.400000	0.04191465	
8.420000	0.10413194	
8.440000	0.20385823	
8.460000	0.32127219	
8.480000	0.43009874	
8.500000	0.49693277	
8.520000	0.50648707	
8.540000	0.45906070	
8.559999	0.37579286	
8.580000	0.28472519	
8.599999	0.19654562	
8.620000	0.12490161	
8.639999	0.04945178	
8.660000	-0.04544014	
8.679999	-0.18266556	
8.700000	-0.36576176	
8.720000	-0.55252498	
8.740000	-0.66332918	
8.760000	-0.65809113	
8.780000	-0.54857528	
8.800000	-0.37203813	
8.820000	-0.18789028	
8.840000	-0.05355028	
8.860000	0.00074586	
8.880000	0.00598908	
8.900000	0.00364402	
8.920000	0.01473010	
8.940000	0.04098979	
8.960000	0.08538847	
8.980000	0.14244679	
9.000000	0.21644238	
9.020000	0.28545597	
9.040000	0.33433834	
9.059999	0.34981704	
9.080000	0.33549422	
9.099999	0.29200390	
9.120000	0.23526113	
9.139999	0.18520577	
9.160000	0.14172147	
9.179999	0.10744863	
9.200000	0.07065625	
9.220000	0.03569975	
9.240000	-0.00547959	
9.260000	-0.03331023	
9.280000	-0.06069371	
9.300000	-0.10414312	
9.320000	-0.20119254	
9.340000	-0.33484852	
9.360000	-0.45454127	
9.380000	-0.50868219	
9.400000	-0.47565857	
9.420000	-0.36904916	
9.440000	-0.22059584	
9.460000	-0.09244826	
9.480000	-0.02084634	
9.500000	-0.00243752	
9.520000	0.00332085	
9.540000	0.00670633	
9.559999	0.02603250	
9.580000	0.06706600	
9.599999	0.12928379	
9.620000	0.19472320	
9.639999	0.25840163	
9.660000	0.29771122	
9.679999	0.30160129	
9.700000	0.27012989	
9.719999	0.23007558	
9.740000	0.19579540	
9.760000	0.17071290	
9.780000	0.15598784	
9.800000	0.14682208	
9.820000	0.13694745	
9.840000	0.11792439	
9.860000	0.09752434	
9.880000	0.06817241	
9.900000	0.03961125	
9.920000	-0.00594370	
9.940000	-0.08422648	
9.960000	-0.23367080	
9.980000	-0.40555421	
10.000000	-0.52777755	
10.020000	-0.55352873	
10.040000	-0.49139076	
10.059999	-0.35756227	
10.080000	-0.18800329	
10.099999	-0.05883088	
10.120000	-0.00439714	
10.139999	-0.00175225	
10.160000	0.00068874	
10.179999	0.00189779	
10.200000	0.00511594	
10.219999	0.00923207	
10.240000	0.02662104	
10.260000	0.06467319	
10.280000	0.12541309	
10.300000	0.19232486	
10.320000	0.25640088	
10.340000	0.30012468	
10.360000	0.32057440	
10.380000	0.31014881	
10.400000	0.27394980	
10.420000	0.22340800	
10.440000	0.17232223	
10.460000	0.12864925	
10.480000	0.08676787	
10.500000	0.05537431	
10.520000	0.02347081	
10.540000	-0.00553895	
10.559999	-0.04701252	
10.580000	-0.09087656	
10.599999	-0.15749286	
10.620000	-0.25892097	
10.639999	-0.36754531	
10.660000	-0.43330738	
10.679999	-0.43104661	
10.700000	-0.36824113	
10.719999	-0.25288820	
10.740000	-0.12535319	
10.760000	-0.03316289	
10.780000	-0.00090133	
10.800000	-0.00002701	
10.820000	-0.00017298	
10.840000	0.00351351	
10.860000	0.00717621	
10.880000	0.01993588	
10.900000	0.03793375	
10.920000	0.06797560	
10.940000	0.10558300	
10.960000	0.15514499	
10.980000	0.19471526	
11.000000	0.22159445	
11.020000	0.23573975	
11.040000	0.24416400	
11.059999	0.23942246	
11.080000	0.22519502	
11.099999	0.21081558	
11.120000	0.18775399	
11.139999	0.15564673	
11.160000	0.11692645	
11.179999	0.08754267	
11.200000	0.05803174	
11.219999	0.03583685	
11.240000	0.00604906	
11.259999	-0.03014845	
11.280000	-0.09875095	
11.300000	-0.21130410	
11.320000	-0.35039371	
11.340000	-0.45428243	
11.360000	-0.47873786	
11.380000	-0.42357367	
11.400000	-0.30911690	
11.420000	-0.17203273	
11.440000	-0.05711948	
11.460000	-0.00344080	
11.480000	0.00415078	
11.500000	-0.00005228	
11.520000	0.00056438	
11.540000	0.00300060	
11.559999	0.00424844	
11.580000	0.00296620	
11.599999	0.01709274	
11.620000	0.05505890	
11.639999	0.11843923	
11.660000	0.19102101	
11.679999	0.26580513	
11.700000	0.32739806	
11.719999	0.36655122	
11.740000	0.37128705	
11.759999	0.34966028	
11.780000	0.31006262	
11.800000	0.26211765	
11.820000	0.21338387	
11.840000	0.15685615	
11.860000	0.10294612	
11.880000	0.04365294	
11.900000	-0.01450919	
11.920000	-0.08561459	
11.940000	-0.15765411	
11.960000	-0.24421784	
11.980000	-0.35387126	
12.000000	-0.46263242	
12.020000	-0.51851809	
12.040000	-0.49435207	
12.059999	-0.40781927	
12.080000	-0.27334848	
12.099999	-0.13342531	
12.120000	-0.03305126	
12.139999	0.00389597	
12.160000	0.00670124	
12.179999	0.00639048	
12.200000	0.01900009	
12.219999	0.04186827	
12.240000	0.06858195	
12.259999	0.08917765	
12.280000	0.12013349	
12.300000	0.16734761	
12.320000	0.22310059	
12.340000	0.28084555	
12.360000	0.33764210	
12.380000	0.37675169	
12.400000	0.38472480	
12.420000	0.36470193	
12.440000	0.32751137	
12.460000	0.28040138	
12.480000	0.22233008	
12.500000	0.16104014	
12.520000	0.08750020	
12.540000	0.01516528	
12.559999	-0.04837381	
12.580000	-0.09656197	
12.599999	-0.15253052	
12.620000	-0.21578184	
12.639999	-0.29482520	
12.660000	-0.39780286	
12.679999	-0.49832544	
12.700000	-0.54655319	
12.719999	-0.50735515	
12.740000	-0.40578744	
12.759999	-0.26956904	
12.780000	-0.13384001	
12.799999	-0.03757513	
12.820000	-0.00106295	
12.840000	0.00050931	
12.860000	-0.00091027	
12.880000	0.01422924	
12.900000	0.04300343	
12.920000	0.08140153	
12.940000	0.11838881	
12.960000	0.15928006	
12.980000	0.19939417	
13.000000	0.23624061	
13.020000	0.25961706	
13.040000	0.27569273	
13.059999	0.27848881	
13.080000	0.25610417	
13.099999	0.21287884	
13.120000	0.17169273	
13.139999	0.14564867	
13.160000	0.12454206	
13.179999	0.10668780	
13.200000	0.08176723	
13.219999	0.04810664	
13.240000	-0.02302216	
13.259999	-0.12356579	
13.280000	-0.25389451	
13.299999	-0.38391435	
13.320000	-0.47734013	
13.340000	-0.49493790	
13.360000	-0.43559435	
13.380000	-0.32398707	
13.400000	-0.18826984	
13.420000	-0.07666210	
13.440000	0.00201712	
13.460000	0.06145106	
13.480000	0.13518725	
13.500000	0.21794847	
13.520000	0.30326855	
13.540000	0.36904383	
13.559999	0.39191937	
13.580000	0.36038318	
13.599999	0.28838113	
13.620000	0.20414037	
13.639999	0.10820908	
13.660000	0.01523960	
13.679999	-0.08136739	
13.700000	-0.19241352	
13.719999	-0.32518506	
13.740000	-0.42928851	
13.759999	-0.46332279	
13.780000	-0.41978076	
13.799999	-0.31776085	
13.820000	-0.18945713	
13.840000	-0.06777058	
13.860000	0.00134818	
13.880000	0.03890015	
13.900000	0.08373425	
13.920000	0.15772761	
13.940000	0.24643253	
13.960000	0.33571279	
13.980000	0.39767024	
14.000000	0.41787961	
14.020000	0.39349157	
14.040000	0.33620024	
14.059999	0.26389834	
14.080000	0.17910506	
14.099999	0.09501113	
14.120000	0.00636031	
14.139999	-0.09576079	
14.160000	-0.24257331	
14.179999	-0.40366539	
14.200000	-0.52050751	
14.219999	-0.54524219	
14.240000	-0.48489666	
14.259999	-0.35843605	
14.280000	-0.18558724	
14.299999	-0.02970210	
14.320000	0.08150417	
14.340000	0.16176185	
14.360000	0.24674538	
14.380000	0.32470989	
